"ple0044_h","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Not a day","1985","Not Employed","Male","854","1","1","1"
"Not a day","1985","Not Employed","Female","2091","1","1","1"
"Not a day","1985","Employed","Male","2316","1","1","1"
"Not a day","1985","Employed","Female","1381","1","1","1"
"Not a day","1986","Not Employed","Male","91","1","1","1"
"Not a day","1986","Not Employed","Female","167","1","1","1"
"Not a day","1986","Employed","Male","2064","1","1","1"
"Not a day","1986","Employed","Female","1261","1","1","1"
"Not a day","1987","Not Employed","Male","21","","",""
"Not a day","1987","Not Employed","Female","25","","",""
"Not a day","1987","Employed","Male","1932","1","1","1"
"Not a day","1987","Employed","Female","1134","1","1","1"
"Not a day","1988","Not Employed","Male","11","","",""
"Not a day","1988","Not Employed","Female","23","","",""
"Not a day","1988","Employed","Male","1856","1","1","1"
"Not a day","1988","Employed","Female","1136","1","1","1"
"Not a day","1989","Not Employed","Male","20","","",""
"Not a day","1989","Not Employed","Female","19","","",""
"Not a day","1989","Employed","Male","1707","1","1","1"
"Not a day","1989","Employed","Female","1094","1","1","1"
"Not a day","1990","Not Employed","Male","","","",""
"Not a day","1990","Not Employed","Female","","","",""
"Not a day","1990","Employed","Male","","","",""
"Not a day","1990","Employed","Female","","","",""
"Not a day","1991","Not Employed","Male","27","","",""
"Not a day","1991","Not Employed","Female","15","","",""
"Not a day","1991","Employed","Male","1574","1","1","1"
"Not a day","1991","Employed","Female","1087","1","1","1"
"Not a day","1992","Not Employed","Male","21","","",""
"Not a day","1992","Not Employed","Female","36","1","1","1"
"Not a day","1992","Employed","Male","2511","1","1","1"
"Not a day","1992","Employed","Female","1791","1","1","1"
"Not a day","1993","Not Employed","Male","","","",""
"Not a day","1993","Not Employed","Female","","","",""
"Not a day","1993","Employed","Male","","","",""
"Not a day","1993","Employed","Female","","","",""
"Not a day","1994","Not Employed","Male","36","1","1","1"
"Not a day","1994","Not Employed","Female","45","1","1","1"
"Not a day","1994","Employed","Male","2286","1","1","1"
"Not a day","1994","Employed","Female","1485","1","1","1"
"Not a day","1995","Not Employed","Male","20","","",""
"Not a day","1995","Not Employed","Female","27","","",""
"Not a day","1995","Employed","Male","2279","1","1","1"
"Not a day","1995","Employed","Female","1575","1","1","1"
"Not a day","1996","Not Employed","Male","6","","",""
"Not a day","1996","Not Employed","Female","12","","",""
"Not a day","1996","Employed","Male","2128","1","1","1"
"Not a day","1996","Employed","Female","1517","1","1","1"
"Not a day","1997","Not Employed","Male","7","","",""
"Not a day","1997","Not Employed","Female","18","","",""
"Not a day","1997","Employed","Male","2131","1","1","1"
"Not a day","1997","Employed","Female","1480","1","1","1"
"Not a day","1998","Not Employed","Male","6","","",""
"Not a day","1998","Not Employed","Female","6","","",""
"Not a day","1998","Employed","Male","2388","1","1","1"
"Not a day","1998","Employed","Female","1665","1","1","1"
"Not a day","1999","Not Employed","Male","48","1","1","1"
"Not a day","1999","Not Employed","Female","102","1","1","1"
"Not a day","1999","Employed","Male","2270","1","1","1"
"Not a day","1999","Employed","Female","1657","1","1","1"
"Not a day","2000","Not Employed","Male","32","1","1","1"
"Not a day","2000","Not Employed","Female","32","1","1","1"
"Not a day","2000","Employed","Male","3875","1","1","1"
"Not a day","2000","Employed","Female","3017","1","1","1"
"Not a day","2001","Not Employed","Male","14","","",""
"Not a day","2001","Not Employed","Female","15","","",""
"Not a day","2001","Employed","Male","3550","1","1","1"
"Not a day","2001","Employed","Female","2816","1","1","1"
"Not a day","2002","Not Employed","Male","22","","",""
"Not a day","2002","Not Employed","Female","20","","",""
"Not a day","2002","Employed","Male","3904","1","1","1"
"Not a day","2002","Employed","Female","2996","1","1","1"
"Not a day","2003","Not Employed","Male","21","","",""
"Not a day","2003","Not Employed","Female","28","","",""
"Not a day","2003","Employed","Male","3671","1","1","1"
"Not a day","2003","Employed","Female","2825","1","1","1"
"Not a day","2004","Not Employed","Male","30","1","1","1"
"Not a day","2004","Not Employed","Female","21","","",""
"Not a day","2004","Employed","Male","3518","1","1","1"
"Not a day","2004","Employed","Female","2874","1","1","1"
"Not a day","2005","Not Employed","Male","12","","",""
"Not a day","2005","Not Employed","Female","14","","",""
"Not a day","2005","Employed","Male","3300","1","1","1"
"Not a day","2005","Employed","Female","2794","1","1","1"
"Not a day","2006","Not Employed","Male","9","","",""
"Not a day","2006","Not Employed","Female","13","","",""
"Not a day","2006","Employed","Male","3462","1","1","1"
"Not a day","2006","Employed","Female","3035","1","1","1"
"Not a day","2007","Not Employed","Male","12","","",""
"Not a day","2007","Not Employed","Female","19","","",""
"Not a day","2007","Employed","Male","3203","1","1","1"
"Not a day","2007","Employed","Female","2757","1","1","1"
"Not a day","2008","Not Employed","Male","22","","",""
"Not a day","2008","Not Employed","Female","21","","",""
"Not a day","2008","Employed","Male","2886","1","1","1"
"Not a day","2008","Employed","Female","2547","1","1","1"
"Not a day","2009","Not Employed","Male","15","","",""
"Not a day","2009","Not Employed","Female","20","","",""
"Not a day","2009","Employed","Male","2597","1","1","1"
"Not a day","2009","Employed","Female","2303","1","1","1"
"Not a day","2010","Not Employed","Male","20","","",""
"Not a day","2010","Not Employed","Female","30","1","1","1"
"Not a day","2010","Employed","Male","3525","1","1","1"
"Not a day","2010","Employed","Female","3366","1","1","1"
"Not a day","2011","Not Employed","Male","39","1","1","1"
"Not a day","2011","Not Employed","Female","62","1","1","1"
"Not a day","2011","Employed","Male","2318","1","1","1"
"Not a day","2011","Employed","Female","2483","1","1","1"
"Not a day","2012","Not Employed","Male","53","1","1","1"
"Not a day","2012","Not Employed","Female","77","1","1","1"
"Not a day","2012","Employed","Male","3660","1","1","1"
"Not a day","2012","Employed","Female","3742","1","1","1"
"Not a day","2013","Not Employed","Male","842","1","1","1"
"Not a day","2013","Not Employed","Female","790","1","1","1"
"Not a day","2013","Employed","Male","3220","1","1","1"
"Not a day","2013","Employed","Female","3418","1","1","1"
"Not a day","2014","Not Employed","Male","348","1","1","1"
"Not a day","2014","Not Employed","Female","565","1","1","1"
"Not a day","2014","Employed","Male","3600","1","1","1"
"Not a day","2014","Employed","Female","3644","1","1","1"
"Not a day","2015","Not Employed","Male","410","1","1","1"
"Not a day","2015","Not Employed","Female","376","1","1","1"
"Not a day","2015","Employed","Male","3199","1","1","1"
"Not a day","2015","Employed","Female","3202","1","1","1"
"Not a day","2016","Not Employed","Male","51","1","1","1"
"Not a day","2016","Not Employed","Female","59","1","1","1"
"Not a day","2016","Employed","Male","3116","1","1","1"
"Not a day","2016","Employed","Female","3159","1","1","1"
"Not a day","2017","Not Employed","Male","44","1","1","1"
"Not a day","2017","Not Employed","Female","75","1","1","1"
"Not a day","2017","Employed","Male","3313","1","1","1"
"Not a day","2017","Employed","Female","3207","1","1","1"
"Not a day","2018","Not Employed","Male","43","1","1","1"
"Not a day","2018","Not Employed","Female","40","1","1","1"
"Not a day","2018","Employed","Male","3075","1","1","1"
"Not a day","2018","Employed","Female","3122","1","1","1"
"Not a day","2019","Not Employed","Male","132","1","1","1"
"Not a day","2019","Not Employed","Female","150","1","1","1"
"Not a day","2019","Employed","Male","3437","1","1","1"
"Not a day","2019","Employed","Female","2964","1","1","1"
