"ple0044_h","year","n","percent","lower_confidence","upper_confidence","value"
"No","1985","4445","0.393874349652807","0.384779380124307","0.402969319181306","2"
"Yes","1985","6642","0.606125650347193","0.597030680818693","0.615220619875693","1"
"No","1986","6911","0.682808486982247","0.673904432767978","0.691712541196517","2"
"Yes","1986","3583","0.317191513017752","0.308287458803483","0.326095567232022","1"
"No","1987","7196","0.719133838702555","0.71045792031925","0.727809757085861","2"
"Yes","1987","3112","0.280866161297445","0.272190242914139","0.28954207968075","1"
"No","1988","6806","0.709112252916854","0.700134919296282","0.718089586537425","2"
"Yes","1988","3026","0.290887747083146","0.281910413462575","0.299865080703718","1"
"No","1989","6785","0.723444535165432","0.714508570054713","0.73238050027615","2"
"Yes","1989","2840","0.276555464834568","0.26761949972385","0.285491429945287","1"
"No","1990","","","","","2"
"Yes","1990","","","","","1"
"No","1991","10909","0.786289263709176","0.779402876099053","0.793175651319299","2"
"Yes","1991","2703","0.213710736290824","0.206824348680701","0.220597123900947","1"
"No","1992","8884","0.70283363482244","0.695050026100456","0.710617243544425","2"
"Yes","1992","4359","0.29716636517756","0.289382756455575","0.304949973899544","1"
"No","1993","","","","","2"
"Yes","1993","","","","","1"
"No","1994","8980","0.729947526198173","0.722265587873276","0.737629464523069","2"
"Yes","1994","3852","0.270052473801827","0.262370535476931","0.277734412126724","1"
"No","1995","9058","0.729758370469909","0.722112481023902","0.737404259915917","2"
"Yes","1995","3901","0.270241629530091","0.262595740084083","0.277887518976098","1"
"No","1996","8962","0.733564516519894","0.725852861609681","0.741276171430107","2"
"Yes","1996","3663","0.266435483480106","0.258723828569893","0.274147138390319","1"
"No","1997","8767","0.735950551368264","0.728192517536763","0.743708585199765","2"
"Yes","1997","3636","0.264049448631736","0.256291414800235","0.271807482463237","1"
"No","1998","9639","0.730886038164655","0.723460680734438","0.738311395594872","2"
"Yes","1998","4065","0.269113961835345","0.261688604405128","0.276539319265562","1"
"No","1999","9111","0.716214967538197","0.708520562198704","0.723909372877691","2"
"Yes","1999","4077","0.283785032461803","0.27609062712231","0.291479437801296","1"
"No","2000","16462","0.71686071153489","0.711090514439103","0.722630908630678","2"
"Yes","2000","6956","0.28313928846511","0.277369091369322","0.288909485560897","1"
"No","2001","15001","0.711822518916256","0.705753790839096","0.717891246993416","2"
"Yes","2001","6395","0.288177481083744","0.282108753006584","0.294246209160904","1"
"No","2002","15449","0.716616405087595","0.710713822508734","0.722518987666456","2"
"Yes","2002","6942","0.283383594912405","0.277481012333544","0.289286177491266","1"
"No","2003","15072","0.720881170859563","0.714901506768336","0.726860834950791","2"
"Yes","2003","6545","0.279118829140437","0.273139165049209","0.285098493231664","1"
"No","2004","14680","0.719875588305036","0.713819746893715","0.725931429716358","2"
"Yes","2004","6443","0.280124411694964","0.274068570283642","0.286180253106285","1"
"No","2005","14173","0.71614663352672","0.709943330947142","0.722349936106297","2"
"Yes","2005","6120","0.28385336647328","0.277650063893703","0.290056669052858","1"
"No","2006","15018","0.713446796688077","0.707408159780832","0.719485433595323","2"
"Yes","2006","6519","0.286553203311923","0.280514566404677","0.292591840219168","1"
"No","2007","14072","0.715452296984346","0.709208941871134","0.721695652097557","2"
"Yes","2007","5991","0.284547703015654","0.278304347902443","0.290791058128866","1"
"No","2008","13565","0.722646332140483","0.716287416366406","0.729005247914561","2"
"Yes","2008","5476","0.277353667859517","0.270994752085439","0.283712583633594","1"
"No","2009","12803","0.729355506396553","0.722817204094261","0.735893808698844","2"
"Yes","2009","4935","0.270644493603448","0.264106191301156","0.277182795905739","1"
"No","2010","16841","0.727574176098323","0.721915866868219","0.733232485328426","2"
"Yes","2010","6941","0.272425823901677","0.266767514671574","0.278084133131781","1"
"No","2011","16139","0.804956996275889","0.799603143421524","0.810310849130254","2"
"Yes","2011","4902","0.195043003724111","0.189689150869746","0.200396856578476","1"
"No","2012","19873","0.740022533685151","0.734829471617075","0.745215595753228","2"
"Yes","2012","7532","0.259977466314848","0.254784404246772","0.265170528382925","1"
"No","2013","22137","0.752830875224717","0.747982378295291","0.757679372154143","2"
"Yes","2013","8270","0.247169124775283","0.242320627845857","0.252017621704709","1"
"No","2014","18671","0.726168314066425","0.7208323310363","0.73150429709655","2"
"Yes","2014","8157","0.273831685933575","0.26849570290345","0.2791676689637","1"
"No","2015","19428","0.747855402873401","0.742638430860745","0.753072374886058","2"
"Yes","2015","7187","0.252144597126599","0.246927625113942","0.257361569139255","1"
"No","2016","17721","0.746077118419025","0.740582616944926","0.751571619893124","2"
"Yes","2016","6385","0.253922881580975","0.248428380106876","0.259417383055074","1"
"No","2017","19772","0.759056215322665","0.753898581530093","0.764213849115236","2"
"Yes","2017","6639","0.240943784677335","0.235786150884764","0.246101418469906","1"
"No","2018","19221","0.767690736062609","0.762507560734288","0.77287391139093","2"
"Yes","2018","6280","0.232309263937391","0.22712608860907","0.237492439265712","1"
"No","2019","18852","0.77038040567265","0.765221842623898","0.775538968721402","2"
"Yes","2019","6684","0.22961959432735","0.224461031278598","0.234778157376102","1"
