"ple0044_h","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Not a day","1985","16-34 y.","Urban Area","1981","1","1","1"
"Not a day","1985","16-34 y.","Rural Area","478","1","1","1"
"Not a day","1985","35-65 y.","Urban Area","2699","1","1","1"
"Not a day","1985","35-65 y.","Rural Area","730","1","1","1"
"Not a day","1985","66 and older","Urban Area","553","1","1","1"
"Not a day","1985","66 and older","Rural Area","201","1","1","1"
"Not a day","1986","16-34 y.","Urban Area","1139","1","1","1"
"Not a day","1986","16-34 y.","Rural Area","307","1","1","1"
"Not a day","1986","35-65 y.","Urban Area","1622","1","1","1"
"Not a day","1986","35-65 y.","Rural Area","440","1","1","1"
"Not a day","1986","66 and older","Urban Area","62","1","1","1"
"Not a day","1986","66 and older","Rural Area","13","","",""
"Not a day","1987","16-34 y.","Urban Area","981","1","1","1"
"Not a day","1987","16-34 y.","Rural Area","278","1","1","1"
"Not a day","1987","35-65 y.","Urban Area","1414","1","1","1"
"Not a day","1987","35-65 y.","Rural Area","412","1","1","1"
"Not a day","1987","66 and older","Urban Area","23","","",""
"Not a day","1987","66 and older","Rural Area","4","","",""
"Not a day","1988","16-34 y.","Urban Area","979","1","1","1"
"Not a day","1988","16-34 y.","Rural Area","274","1","1","1"
"Not a day","1988","35-65 y.","Urban Area","1353","1","1","1"
"Not a day","1988","35-65 y.","Rural Area","390","1","1","1"
"Not a day","1988","66 and older","Urban Area","24","","",""
"Not a day","1988","66 and older","Rural Area","6","","",""
"Not a day","1989","16-34 y.","Urban Area","930","1","1","1"
"Not a day","1989","16-34 y.","Rural Area","232","1","1","1"
"Not a day","1989","35-65 y.","Urban Area","1312","1","1","1"
"Not a day","1989","35-65 y.","Rural Area","342","1","1","1"
"Not a day","1989","66 and older","Urban Area","17","","",""
"Not a day","1989","66 and older","Rural Area","7","","",""
"Not a day","1990","16-34 y.","Urban Area","","","",""
"Not a day","1990","16-34 y.","Rural Area","","","",""
"Not a day","1990","35-65 y.","Urban Area","","","",""
"Not a day","1990","35-65 y.","Rural Area","","","",""
"Not a day","1990","66 and older","Urban Area","","","",""
"Not a day","1990","66 and older","Rural Area","","","",""
"Not a day","1991","16-34 y.","Urban Area","859","1","1","1"
"Not a day","1991","16-34 y.","Rural Area","215","1","1","1"
"Not a day","1991","35-65 y.","Urban Area","1261","1","1","1"
"Not a day","1991","35-65 y.","Rural Area","345","1","1","1"
"Not a day","1991","66 and older","Urban Area","16","","",""
"Not a day","1991","66 and older","Rural Area","7","","",""
"Not a day","1992","16-34 y.","Urban Area","1023","1","1","1"
"Not a day","1992","16-34 y.","Rural Area","627","1","1","1"
"Not a day","1992","35-65 y.","Urban Area","1599","1","1","1"
"Not a day","1992","35-65 y.","Rural Area","1037","1","1","1"
"Not a day","1992","66 and older","Urban Area","10","","",""
"Not a day","1992","66 and older","Rural Area","8","","",""
"Not a day","1993","16-34 y.","Urban Area","","","",""
"Not a day","1993","16-34 y.","Rural Area","","","",""
"Not a day","1993","35-65 y.","Urban Area","","","",""
"Not a day","1993","35-65 y.","Rural Area","","","",""
"Not a day","1993","66 and older","Urban Area","","","",""
"Not a day","1993","66 and older","Rural Area","","","",""
"Not a day","1994","16-34 y.","Urban Area","993","1","1","1"
"Not a day","1994","16-34 y.","Rural Area","507","1","1","1"
"Not a day","1994","35-65 y.","Urban Area","1481","1","1","1"
"Not a day","1994","35-65 y.","Rural Area","849","1","1","1"
"Not a day","1994","66 and older","Urban Area","15","","",""
"Not a day","1994","66 and older","Rural Area","7","","",""
"Not a day","1995","16-34 y.","Urban Area","995","1","1","1"
"Not a day","1995","16-34 y.","Rural Area","527","1","1","1"
"Not a day","1995","35-65 y.","Urban Area","1463","1","1","1"
"Not a day","1995","35-65 y.","Rural Area","887","1","1","1"
"Not a day","1995","66 and older","Urban Area","19","","",""
"Not a day","1995","66 and older","Rural Area","10","","",""
"Not a day","1996","16-34 y.","Urban Area","932","1","1","1"
"Not a day","1996","16-34 y.","Rural Area","453","1","1","1"
"Not a day","1996","35-65 y.","Urban Area","1429","1","1","1"
"Not a day","1996","35-65 y.","Rural Area","815","1","1","1"
"Not a day","1996","66 and older","Urban Area","28","","",""
"Not a day","1996","66 and older","Rural Area","6","","",""
"Not a day","1997","16-34 y.","Urban Area","895","1","1","1"
"Not a day","1997","16-34 y.","Rural Area","462","1","1","1"
"Not a day","1997","35-65 y.","Urban Area","1402","1","1","1"
"Not a day","1997","35-65 y.","Rural Area","848","1","1","1"
"Not a day","1997","66 and older","Urban Area","22","","",""
"Not a day","1997","66 and older","Rural Area","7","","",""
"Not a day","1998","16-34 y.","Urban Area","941","1","1","1"
"Not a day","1998","16-34 y.","Rural Area","466","1","1","1"
"Not a day","1998","35-65 y.","Urban Area","1651","1","1","1"
"Not a day","1998","35-65 y.","Rural Area","975","1","1","1"
"Not a day","1998","66 and older","Urban Area","26","","",""
"Not a day","1998","66 and older","Rural Area","6","","",""
"Not a day","1999","16-34 y.","Urban Area","996","1","1","1"
"Not a day","1999","16-34 y.","Rural Area","497","1","1","1"
"Not a day","1999","35-65 y.","Urban Area","1621","1","1","1"
