"ple0044_h","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Part Time","indirect migration background","3","","","","2"
"No","1985","Not Working","indirect migration background","22","","","","2"
"No","1985","Full Time","no migration background","1604","0.479328858399655","0.462396654145185","0.496261062654125","2"
"No","1985","Part Time","no migration background","572","0.406620086716258","0.380741480589197","0.43249869284332","2"
"No","1985","Part Time","direct migration background","161","0.35045678497102","0.306997872214239","0.393915697727802","2"
"No","1985","Not Working","direct migration background","242","0.24860989984796","0.220230632279854","0.276989167416066","2"
"No","1985","Full Time","indirect migration background","24","","","","2"
"No","1985","Not Working","no migration background","1024","0.3200188174215","0.304030218070476","0.336007416772524","2"
"No","1985","Full Time","direct migration background","793","0.476991053977518","0.452448334870383","0.501533773084653","2"
"Yes","1985","Full Time","no migration background","1740","0.520671141600345","0.503738937345875","0.537603345854816","1"
"Yes","1985","Full Time","direct migration background","798","0.523008946022482","0.498466226915347","0.547551665129617","1"
"Yes","1985","Full Time","indirect migration background","27","","","","1"
"Yes","1985","Part Time","no migration background","812","0.593379913283742","0.56750130715668","0.619258519410803","1"
"Yes","1985","Part Time","direct migration background","302","0.64954321502898","0.606084302272198","0.693002127785761","1"
"Yes","1985","Part Time","indirect migration background","18","","","","1"
"Yes","1985","Not Working","no migration background","2246","0.6799811825785","0.663992583227476","0.695969781929524","1"
"Yes","1985","Not Working","direct migration background","649","0.75139010015204","0.723010832583934","0.779769367720146","1"
"Yes","1985","Not Working","indirect migration background","50","0.630360772563722","0.51886318795203","0.741858357175414","1"
"No","1986","Full Time","indirect migration background","26","","","","2"
"No","1986","Part Time","direct migration background","200","0.464961762703391","0.41892965614052","0.510993869266262","2"
"No","1986","Full Time","no migration background","1599","0.495606517766666","0.478321159222335","0.512891876310998","2"
"No","1986","Not Working","no migration background","2798","0.940210498782491","0.931713512876057","0.948707484688924","2"
"No","1986","Part Time","indirect migration background","14","","","","2"
"No","1986","Part Time","no migration background","596","0.453790760007619","0.426892295320276","0.480689224694962","2"
"No","1986","Not Working","indirect migration background","57","0.960689420754491","0.912702371916041","1.00867646959294","2"
"No","1986","Full Time","direct migration background","829","0.531784673777572","0.506682985831311","0.556886361723832","2"
"No","1986","Not Working","direct migration background","792","0.936365258945805","0.919964909655567","0.952765608236044","2"
"Yes","1986","Full Time","no migration background","1615","0.504393482233334","0.487108123689002","0.521678840777665","1"
"Yes","1986","Full Time","direct migration background","689","0.468215326222428","0.443113638276168","0.493317014168689","1"
"Yes","1986","Full Time","indirect migration background","29","","","","1"
"Yes","1986","Part Time","no migration background","720","0.546209239992381","0.519310775305038","0.573107704679724","1"
"Yes","1986","Part Time","direct migration background","251","0.535038237296609","0.489006130733738","0.58107034385948","1"
"Yes","1986","Part Time","indirect migration background","21","","","","1"
"Yes","1986","Not Working","no migration background","193","0.0597895012175094","0.0512925153110759","0.0682864871239429","1"
"Yes","1986","Not Working","direct migration background","59","0.0636347410541946","0.0472343917639561","0.0800350903444332","1"
"Yes","1986","Not Working","indirect migration background","6","","","","1"
"No","1987","Full Time","no migration background","1681","0.530290373243944","0.512908536703184","0.547672209784704","2"
"No","1987","Full Time","indirect migration background","35","0.591804540706885","0.471389334081881","0.712219747331889","2"
"No","1987","Part Time","direct migration background","221","0.498072599360571","0.451140322497393","0.545004876223748","2"
"No","1987","Part Time","indirect migration background","19","","","","2"
"No","1987","Not Working","no migration background","2825","0.990778590528209","0.987276106831791","0.994281074224627","2"
"No","1987","Not Working","direct migration background","849","0.988746903463478","0.981684764313012","0.995809042613943","2"
"No","1987","Not Working","indirect migration background","74","0.994675988314428","0.978315298458397","1.01103667817046","2"
"No","1987","Part Time","no migration background","618","0.472750291039467","0.445610875439508","0.499889706639427","2"
"No","1987","Full Time","direct migration background","874","0.570086534505837","0.545141187906491","0.595031881105182","2"
"Yes","1987","Full Time","no migration background","1486","0.469709626756056","0.452327790215296","0.487091463296816","1"
"Yes","1987","Full Time","direct migration background","639","0.429913465494163","0.404968118894818","0.454858812093509","1"
"Yes","1987","Full Time","indirect migration background","29","","","","1"
"Yes","1987","Part Time","no migration background","682","0.527249708960532","0.500110293360573","0.554389124560492","1"
"Yes","1987","Part Time","direct migration background","215","0.501927400639429","0.454995123776252","0.548859677502607","1"
"Yes","1987","Part Time","indirect migration background","15","","","","1"
"Yes","1987","Not Working","no migration background","36","0.00922140947179131","0.00571892577537331","0.0127238931682093","1"
"Yes","1987","Not Working","direct migration background","8","","","","1"
"Yes","1987","Not Working","indirect migration background","2","","","","1"
"No","1988","Full Time","no migration background","1559","0.508700923836791","0.490944370122642","0.526457477550941","2"
"No","1988","Part Time","indirect migration background","13","","","","2"
"No","1988","Not Working","no migration background","2627","0.991111693451835","0.987540196544797","0.994683190358874","2"
"No","1988","Full Time","indirect migration background","44","0.59102668186142","0.477464723280734","0.704588640442106","2"
"No","1988","Part Time","no migration background","610","0.481318410151139","0.453860265486248","0.50877655481603","2"
"No","1988","Part Time","direct migration background","221","0.467579626546872","0.421734041902631","0.513425211191113","2"
"No","1988","Not Working","direct migration background","800","0.990134546985404","0.983315605764625","0.996953488206183","2"
"No","1988","Not Working","indirect migration background","95","0.990840210094373","0.971783100034852","1.00989732015389","2"
"No","1988","Full Time","direct migration background","837","0.578809200435996","0.552796394747902","0.604822006124089","2"
"Yes","1988","Full Time","no migration background","1486","0.491299076163209","0.473542522449059","0.509055629877358","1"
"Yes","1988","Full Time","direct migration background","547","0.421190799564004","0.395177993875911","0.447203605252098","1"
"Yes","1988","Full Time","indirect migration background","28","","","","1"
