"ple0044_h","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Urban Area","East Germany","","","","","2"
"No","1985","Rural Area","East Germany","","","","","2"
"No","1985","Urban Area","West Germany","3570","0.400540564383681","0.390304432021924","0.410776696745438","2"
"No","1985","Rural Area","West Germany","875","0.372207875413544","0.352383443463008","0.39203230736408","2"
"Yes","1985","Urban Area","West Germany","5233","0.599459435616319","0.589223303254561","0.609695567978076","1"
"Yes","1985","Urban Area","East Germany","","","","","1"
"Yes","1985","Rural Area","West Germany","1409","0.627792124586456","0.60796769263592","0.647616556536993","1"
"Yes","1985","Rural Area","East Germany","","","","","1"
"No","1986","Urban Area","East Germany","","","","","2"
"No","1986","Rural Area","East Germany","","","","","2"
"No","1986","Urban Area","West Germany","5517","0.688154236179735","0.67821214174454","0.698096330614929","2"
"No","1986","Rural Area","West Germany","1394","0.66523661132011","0.645307758924149","0.685165463716071","2"
"Yes","1986","Urban Area","West Germany","2823","0.311845763820265","0.301903669385071","0.32178785825546","1"
"Yes","1986","Urban Area","East Germany","","","","","1"
"Yes","1986","Rural Area","West Germany","760","0.33476338867989","0.314834536283929","0.354692241075851","1"
"Yes","1986","Rural Area","East Germany","","","","","1"
"No","1987","Urban Area","East Germany","","","","","2"
"No","1987","Rural Area","East Germany","","","","","2"
"No","1987","Urban Area","West Germany","5773","0.726604950164084","0.716952798716435","0.736257101611733","2"
"No","1987","Rural Area","West Germany","1423","0.694094873712167","0.674466222503642","0.713723524920692","2"
"Yes","1987","Urban Area","East Germany","","","","","1"
"Yes","1987","Rural Area","West Germany","694","0.305905126287833","0.286276475079308","0.325533777496358","1"
"Yes","1987","Rural Area","East Germany","","","","","1"
"Yes","1987","Urban Area","West Germany","2418","0.273395049835916","0.263742898388267","0.283047201283565","1"
"No","1988","Urban Area","East Germany","","","","","2"
"No","1988","Rural Area","East Germany","","","","","2"
"No","1988","Urban Area","West Germany","5493","0.717538449262529","0.707578819717252","0.727498078807805","2"
"No","1988","Rural Area","West Germany","1313","0.680327345486948","0.659801623540074","0.700853067433822","2"
"Yes","1988","Urban Area","East Germany","","","","","1"
"Yes","1988","Rural Area","West Germany","670","0.319672654513052","0.299146932566178","0.340198376459926","1"
"Yes","1988","Rural Area","East Germany","","","","","1"
"Yes","1988","Urban Area","West Germany","2356","0.282461550737472","0.272501921192196","0.292421180282748","1"
"No","1989","Urban Area","West Germany","5462","0.725509821627754","0.715555850709765","0.735463792545743","2"
"No","1989","Urban Area","East Germany","","","","","2"
"No","1989","Rural Area","East Germany","","","","","2"
"No","1989","Rural Area","West Germany","1323","0.716214129785196","0.69596383053783","0.736464429032563","2"
"Yes","1989","Urban Area","East Germany","","","","","1"
"Yes","1989","Urban Area","West Germany","2259","0.274490178372246","0.264536207454257","0.284444149290235","1"
"Yes","1989","Rural Area","West Germany","581","0.283785870214804","0.263535570967437","0.30403616946217","1"
"Yes","1989","Rural Area","East Germany","","","","","1"
"No","1990","Rural Area","East Germany","","","","","2"
"No","1990","Urban Area","West Germany","","","","","2"
"No","1990","Urban Area","East Germany","","","","","2"
"No","1990","Rural Area","West Germany","","","","","2"
"Yes","1990","Urban Area","East Germany","","","","","1"
"Yes","1990","Rural Area","East Germany","","","","","1"
"Yes","1990","Urban Area","West Germany","","","","","1"
"Yes","1990","Rural Area","West Germany","","","","","1"
"No","1991","Rural Area","East Germany","2689","1","1","1","2"
"No","1991","Urban Area","West Germany","5368","0.733198124407982","0.72319105780808","0.743205191007885","2"
"No","1991","Urban Area","East Germany","1387","1","1","1","2"
"No","1991","Rural Area","West Germany","1375","0.724993919013416","0.705134716307448","0.744853121719383","2"
"Yes","1991","Urban Area","East Germany","","","","","1"
"Yes","1991","Rural Area","East Germany","","","","","1"
"Yes","1991","Urban Area","West Germany","2136","0.266801875592018","0.256794808992116","0.27680894219192","1"
"Yes","1991","Rural Area","West Germany","567","0.275006080986584","0.255146878280617","0.294865283692552","1"
"No","1992","Urban Area","West Germany","5341","0.738234512034703","0.728177859925032","0.748291164144374","2"
"No","1992","Urban Area","East Germany","749","0.582584605418588","0.556585536051135","0.60858367478604","2"
"No","1992","Rural Area","West Germany","1343","0.70790843329618","0.687610929637164","0.728205936955197","2"
"No","1992","Rural Area","East Germany","1389","0.59876022316863","0.579453826198406","0.618066620138853","2"
"Yes","1992","Urban Area","East Germany","633","0.417415394581412","0.39141632521396","0.443414463948865","1"
"Yes","1992","Rural Area","East Germany","1087","0.40123977683137","0.381933379861147","0.420546173801594","1"
"Yes","1992","Urban Area","West Germany","1999","0.261765487965297","0.251708835855626","0.271822140074968","1"
"Yes","1992","Rural Area","West Germany","585","0.29209156670382","0.271794063044803","0.312389070362836","1"
"No","1993","Urban Area","West Germany","","","","","2"
"No","1993","Urban Area","East Germany","","","","","2"
"No","1993","Rural Area","West Germany","","","","","2"
"No","1993","Rural Area","East Germany","","","","","2"
"Yes","1993","Urban Area","East Germany","","","","","1"
"Yes","1993","Rural Area","East Germany","","","","","1"
"Yes","1993","Urban Area","West Germany","","","","","1"
"Yes","1993","Rural Area","West Germany","","","","","1"
"No","1994","Urban Area","West Germany","5171","0.742406607182096","0.732297045401645","0.752516168962547","2"
"No","1994","Urban Area","East Germany","886","0.701234690978794","0.676890520163155","0.725578861794433","2"
"No","1994","Rural Area","West Germany","1310","0.706802353006164","0.686208140568893","0.727396565443434","2"
"No","1994","Rural Area","East Germany","1613","0.717661764327749","0.69968653484782","0.735636993807677","2"
"Yes","1994","Urban Area","West Germany","2017","0.257593392817904","0.247483831037453","0.267702954598355","1"
"Yes","1994","Urban Area","East Germany","472","0.298765309021206","0.274421138205567","0.323109479836845","1"
"Yes","1994","Rural Area","East Germany","796","0.282338235672251","0.264363006192323","0.30031346515218","1"
"Yes","1994","Rural Area","West Germany","567","0.293197646993836","0.272603434556566","0.313791859431107","1"
"No","1995","Urban Area","East Germany","823","0.708408993927374","0.683071249516453","0.733746738338295","2"
"No","1995","Rural Area","West Germany","1383","0.713390874452636","0.693498958419939","0.733282790485333","2"
"No","1995","Rural Area","East Germany","1556","0.695070421765564","0.676566816875452","0.713574026655677","2"
"No","1995","Urban Area","West Germany","5296","0.743781695421277","0.733808438582736","0.753754952259818","2"
"Yes","1995","Rural Area","East Germany","822","0.304929578234436","0.286425973344323","0.323433183124548","1"
