"ple0044_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Not Working","inadequately","101","0.269049999615556","0.222050268732432","0.31604973049868","2"
"No","1985","Not Working","general elemantary","472","0.324836846161294","0.301431938474731","0.348241753847857","2"
"No","1985","Not Working","higher vocational","46","0.276216992927035","0.20880547188495","0.343628513969119","2"
"No","1985","Not Working","in school","68","0.369708549145177","0.299188550810677","0.440228547479677","2"
"No","1985","Not Working","higher education","44","0.315185910864299","0.240837412257291","0.389534409471307","2"
"No","1985","Not Working","middle vocational","520","0.309354394907967","0.287541700614845","0.331167089201089","2"
"No","1985","Not Working","vocational + Abi","20","","","","2"
"No","1985","Full Time","higher education","212","0.467125068283553","0.421679992949821","0.512570143617286","2"
"No","1985","Full Time","higher vocational","165","0.47451893836536","0.421979108394012","0.527058768336707","2"
"No","1985","Part Time","middle vocational","377","0.420976487677465","0.388738886704935","0.453214088649995","2"
"No","1985","Part Time","vocational + Abi","18","","","","2"
"No","1985","Part Time","higher vocational","46","0.417040697127898","0.322729821078429","0.511351573177367","2"
"No","1985","Part Time","higher education","40","0.280099395404593","0.20700965073144","0.353189140077747","2"
"No","1985","Full Time","middle vocational","1241","0.47689620327174","0.457593484762292","0.496198921781188","2"
"No","1985","Full Time","general elemantary","509","0.493232272236927","0.462276300055214","0.524188244418639","2"
"No","1985","Full Time","vocational + Abi","72","0.488750167907665","0.409020553018185","0.568479782797146","2"
"No","1985","Full Time","inadequately","204","0.49908717914012","0.450451570534835","0.547722787745404","2"
"No","1985","Part Time","in school","3","","","","2"
"No","1985","Part Time","inadequately","39","0.517505385632601","0.420053313929885","0.614957457335316","2"
"No","1985","Part Time","general elemantary","209","0.394780078685165","0.353514500888749","0.436045656481581","2"
"No","1985","Full Time","in school","","","","","2"
"Yes","1985","Full Time","in school","","","","","1"
"Yes","1985","Full Time","inadequately","202","0.50091282085988","0.452277212254596","0.549548429465164","1"
"Yes","1985","Full Time","general elemantary","493","0.506767727763073","0.475811755581361","0.537723699944786","1"
"Yes","1985","Full Time","middle vocational","1331","0.52310379672826","0.503801078218812","0.542406515237708","1"
"Yes","1985","Full Time","vocational + Abi","79","0.511249832092335","0.431520217202854","0.590979446981815","1"
"Yes","1985","Full Time","higher vocational","182","0.52548106163464","0.472941231663293","0.578020891605988","1"
"Yes","1985","Full Time","higher education","251","0.532874931716447","0.487429856382714","0.578320007050179","1"
"Yes","1985","Part Time","in school","4","","","","1"
"Yes","1985","Part Time","inadequately","62","0.482494614367399","0.385042542664684","0.579946686070115","1"
"Yes","1985","Part Time","general elemantary","330","0.605219921314835","0.563954343518419","0.646485499111251","1"
"Yes","1985","Part Time","middle vocational","524","0.579023512322535","0.546785911350005","0.611261113295065","1"
"Yes","1985","Part Time","vocational + Abi","32","0.698880385072941","0.571725210676641","0.826035559469242","1"
"Yes","1985","Part Time","higher vocational","59","0.582959302872102","0.488648426822633","0.677270178921571","1"
"Yes","1985","Part Time","higher education","105","0.719900604595407","0.646810859922253","0.79299034926856","1"
"Yes","1985","Not Working","in school","112","0.630291450854823","0.559771452520323","0.700811449189323","1"
"Yes","1985","Not Working","inadequately","241","0.730950000384444","0.68395026950132","0.777949731267568","1"
"Yes","1985","Not Working","general elemantary","1066","0.675163153838706","0.651758246152143","0.698568061525269","1"
"Yes","1985","Not Working","middle vocational","1205","0.690645605092033","0.668832910798911","0.712458299385155","1"
"Yes","1985","Not Working","vocational + Abi","59","0.700716827164647","0.599734129459294","0.801699524869999","1"
"Yes","1985","Not Working","higher vocational","123","0.723783007072965","0.656371486030881","0.79119452811505","1"
"Yes","1985","Not Working","higher education","106","0.684814089135701","0.610465590528693","0.759162587742708","1"
"No","1986","Not Working","general elemantary","1267","0.934442863300272","0.921351068590297","0.947534658010248","2"
"No","1986","Not Working","in school","168","0.931941216949026","0.89525143311098","0.968631000787073","2"
