"ple0044_h","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1985","West Germany","4445","0.393874349652807","0.384779380124307","0.402969319181306","2"
"No","1985","East Germany","","","","","2"
"Yes","1985","West Germany","6642","0.606125650347193","0.597030680818693","0.615220619875693","1"
"Yes","1985","East Germany","","","","","1"
"No","1986","West Germany","6911","0.682808486982247","0.673904432767978","0.691712541196517","2"
"No","1986","East Germany","","","","","2"
"Yes","1986","West Germany","3583","0.317191513017752","0.308287458803483","0.326095567232022","1"
"Yes","1986","East Germany","","","","","1"
"No","1987","West Germany","7196","0.719133838702555","0.71045792031925","0.727809757085861","2"
"No","1987","East Germany","","","","","2"
"Yes","1987","West Germany","3112","0.280866161297445","0.272190242914139","0.28954207968075","1"
"Yes","1987","East Germany","","","","","1"
"No","1988","West Germany","6806","0.709112252916854","0.700134919296282","0.718089586537425","2"
"No","1988","East Germany","","","","","2"
"Yes","1988","West Germany","3026","0.290887747083146","0.281910413462575","0.299865080703718","1"
"Yes","1988","East Germany","","","","","1"
"No","1989","West Germany","6785","0.723444535165432","0.714508570054713","0.73238050027615","2"
"No","1989","East Germany","","","","","2"
"Yes","1989","West Germany","2840","0.276555464834568","0.26761949972385","0.285491429945287","1"
"Yes","1989","East Germany","","","","","1"
"No","1990","West Germany","","","","","2"
"No","1990","East Germany","","","","","2"
"Yes","1990","West Germany","","","","","1"
"Yes","1990","East Germany","","","","","1"
"No","1991","West Germany","6746","0.731397334629176","0.72246043228843","0.740334236969921","2"
"No","1991","East Germany","4163","1","1","1","2"
"Yes","1991","West Germany","2703","0.268602665370824","0.259665763030079","0.277539567711569","1"
"Yes","1991","East Germany","","","","","1"
"No","1992","West Germany","6689","0.730794243559059","0.721769937148414","0.739818549969705","2"
"No","1992","East Germany","2195","0.591857280697374","0.576555196794484","0.607159364600265","2"
"Yes","1992","West Germany","2591","0.269205756440941","0.260181450030295","0.278230062851586","1"
"Yes","1992","East Germany","1768","0.408142719302626","0.392840635399735","0.423444803205516","1"
"No","1993","West Germany","","","","","2"
"No","1993","East Germany","","","","","2"
"Yes","1993","West Germany","","","","","1"
"Yes","1993","East Germany","","","","","1"
"No","1994","West Germany","6481","0.734513768808963","0.725423323493543","0.743604214124383","2"
"No","1994","East Germany","2499","0.711413148849362","0.696943783101891","0.725882514596834","2"
"Yes","1994","West Germany","2584","0.265486231191037","0.256395785875616","0.274576676506457","1"
"Yes","1994","East Germany","1268","0.288586851150638","0.274117485403166","0.303056216898109","1"
"No","1995","West Germany","6679","0.736933715093424","0.728006721007509","0.745860709179339","2"
"No","1995","East Germany","2379","0.699913060399431","0.68497137414332","0.714854746655543","2"
"Yes","1995","West Germany","2666","0.263066284906576","0.254139290820661","0.271993278992491","1"
"Yes","1995","East Germany","1235","0.300086939600569","0.285145253344457","0.31502862585668","1"
"No","1996","West Germany","6521","0.733964765238141","0.724885837054502","0.74304369342178","2"
"No","1996","East Germany","2441","0.731838919098708","0.717214650504763","0.746463187692653","2"
