"ple0044_h","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Not a day","1985","Schleswig-Holstein","Urban Area","86","1","1","1"
"Not a day","1985","Schleswig-Holstein","Rural Area","120","1","1","1"
"Not a day","1985","Hamburg","Urban Area","151","1","1","1"
"Not a day","1985","Hamburg","Rural Area","3","","",""
"Not a day","1985","Lower Saxony","Urban Area","371","1","1","1"
"Not a day","1985","Lower Saxony","Rural Area","316","1","1","1"
"Not a day","1985","Bremen","Urban Area","84","1","1","1"
"Not a day","1985","Bremen","Rural Area","","","",""
"Not a day","1985","North Rhine-Westphalia","Urban Area","1743","1","1","1"
"Not a day","1985","North Rhine-Westphalia","Rural Area","50","1","1","1"
"Not a day","1985","Hesse","Urban Area","557","1","1","1"
"Not a day","1985","Hesse","Rural Area","86","1","1","1"
"Not a day","1985","Rhineland-Palatinate,Saarland","Urban Area","368","1","1","1"
"Not a day","1985","Rhineland-Palatinate,Saarland","Rural Area","99","1","1","1"
"Not a day","1985","Baden-Württemberg","Urban Area","1094","1","1","1"
"Not a day","1985","Baden-Württemberg","Rural Area","173","1","1","1"
"Not a day","1985","Bavaria","Urban Area","581","1","1","1"
"Not a day","1985","Bavaria","Rural Area","562","1","1","1"
"Not a day","1985","Berlin","Urban Area","198","1","1","1"
"Not a day","1985","Berlin","Rural Area","","","",""
"Not a day","1985","Brandenburg","Urban Area","","","",""
"Not a day","1985","Brandenburg","Rural Area","","","",""
"Not a day","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Not a day","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Not a day","1985","Saxony","Urban Area","","","",""
"Not a day","1985","Saxony","Rural Area","","","",""
"Not a day","1985","Saxony-Anhalt","Urban Area","","","",""
"Not a day","1985","Saxony-Anhalt","Rural Area","","","",""
"Not a day","1985","Thuringia","Urban Area","","","",""
"Not a day","1985","Thuringia","Rural Area","","","",""
"Not a day","1986","Schleswig-Holstein","Urban Area","57","1","1","1"
"Not a day","1986","Schleswig-Holstein","Rural Area","65","1","1","1"
"Not a day","1986","Hamburg","Urban Area","61","1","1","1"
"Not a day","1986","Hamburg","Rural Area","2","","",""
"Not a day","1986","Lower Saxony","Urban Area","201","1","1","1"
"Not a day","1986","Lower Saxony","Rural Area","179","1","1","1"
"Not a day","1986","Bremen","Urban Area","38","1","1","1"
"Not a day","1986","Bremen","Rural Area","","","",""
"Not a day","1986","North Rhine-Westphalia","Urban Area","907","1","1","1"
"Not a day","1986","North Rhine-Westphalia","Rural Area","23","","",""
"Not a day","1986","Hesse","Urban Area","300","1","1","1"
"Not a day","1986","Hesse","Rural Area","47","1","1","1"
"Not a day","1986","Rhineland-Palatinate,Saarland","Urban Area","199","1","1","1"
"Not a day","1986","Rhineland-Palatinate,Saarland","Rural Area","45","1","1","1"
"Not a day","1986","Baden-Württemberg","Urban Area","604","1","1","1"
"Not a day","1986","Baden-Württemberg","Rural Area","85","1","1","1"
"Not a day","1986","Bavaria","Urban Area","321","1","1","1"
"Not a day","1986","Bavaria","Rural Area","314","1","1","1"
"Not a day","1986","Berlin","Urban Area","135","1","1","1"
"Not a day","1986","Berlin","Rural Area","","","",""
"Not a day","1986","Brandenburg","Urban Area","","","",""
"Not a day","1986","Brandenburg","Rural Area","","","",""
"Not a day","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Not a day","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Not a day","1986","Saxony","Urban Area","","","",""
"Not a day","1986","Saxony","Rural Area","","","",""
"Not a day","1986","Saxony-Anhalt","Urban Area","","","",""
"Not a day","1986","Saxony-Anhalt","Rural Area","","","",""
"Not a day","1986","Thuringia","Urban Area","","","",""
"Not a day","1986","Thuringia","Rural Area","","","",""
"Not a day","1987","Schleswig-Holstein","Urban Area","40","1","1","1"
"Not a day","1987","Schleswig-Holstein","Rural Area","53","1","1","1"
"Not a day","1987","Hamburg","Urban Area","61","1","1","1"
"Not a day","1987","Hamburg","Rural Area","1","","",""
"Not a day","1987","Lower Saxony","Urban Area","184","1","1","1"
"Not a day","1987","Lower Saxony","Rural Area","157","1","1","1"
"Not a day","1987","Bremen","Urban Area","30","1","1","1"
"Not a day","1987","Bremen","Rural Area","","","",""
"Not a day","1987","North Rhine-Westphalia","Urban Area","766","1","1","1"
"Not a day","1987","North Rhine-Westphalia","Rural Area","23","","",""
"Not a day","1987","Hesse","Urban Area","285","1","1","1"
"Not a day","1987","Hesse","Rural Area","37","1","1","1"
"Not a day","1987","Rhineland-Palatinate,Saarland","Urban Area","173","1","1","1"
"Not a day","1987","Rhineland-Palatinate,Saarland","Rural Area","52","1","1","1"
"Not a day","1987","Baden-Württemberg","Urban Area","506","1","1","1"
"Not a day","1987","Baden-Württemberg","Rural Area","108","1","1","1"
"Not a day","1987","Bavaria","Urban Area","277","1","1","1"
"Not a day","1987","Bavaria","Rural Area","263","1","1","1"
"Not a day","1987","Berlin","Urban Area","96","1","1","1"
"Not a day","1987","Berlin","Rural Area","","","",""
"Not a day","1987","Brandenburg","Urban Area","","","",""
"Not a day","1987","Brandenburg","Rural Area","","","",""
"Not a day","1987","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Not a day","1987","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Not a day","1987","Saxony","Urban Area","","","",""
"Not a day","1987","Saxony","Rural Area","","","",""
"Not a day","1987","Saxony-Anhalt","Urban Area","","","",""
"Not a day","1987","Saxony-Anhalt","Rural Area","","","",""
"Not a day","1987","Thuringia","Urban Area","","","",""
"Not a day","1987","Thuringia","Rural Area","","","",""
"Not a day","1988","Schleswig-Holstein","Urban Area","43","1","1","1"
"Not a day","1988","Schleswig-Holstein","Rural Area","54","1","1","1"
"Not a day","1988","Hamburg","Urban Area","55","1","1","1"
"Not a day","1988","Hamburg","Rural Area","2","","",""
