"ple0044_h","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Not a day","1985","Schleswig-Holstein","206","1","1","1"
"Not a day","1985","Hamburg","154","1","1","1"
"Not a day","1985","Lower Saxony","687","1","1","1"
"Not a day","1985","Bremen","84","1","1","1"
"Not a day","1985","North Rhine-Westphalia","1793","1","1","1"
"Not a day","1985","Hesse","643","1","1","1"
"Not a day","1985","Rhineland-Palatinate,Saarland","467","1","1","1"
"Not a day","1985","Baden-Württemberg","1267","1","1","1"
"Not a day","1985","Bavaria","1143","1","1","1"
"Not a day","1985","Berlin","198","1","1","1"
"Not a day","1985","Brandenburg","","","",""
"Not a day","1985","Mecklenburg-Western Pomerania","","","",""
"Not a day","1985","Saxony","","","",""
"Not a day","1985","Saxony-Anhalt","","","",""
"Not a day","1985","Thuringia","","","",""
"Not a day","1986","Schleswig-Holstein","122","1","1","1"
"Not a day","1986","Hamburg","63","1","1","1"
"Not a day","1986","Lower Saxony","380","1","1","1"
"Not a day","1986","Bremen","38","1","1","1"
"Not a day","1986","North Rhine-Westphalia","930","1","1","1"
"Not a day","1986","Hesse","347","1","1","1"
"Not a day","1986","Rhineland-Palatinate,Saarland","244","1","1","1"
"Not a day","1986","Baden-Württemberg","689","1","1","1"
"Not a day","1986","Bavaria","635","1","1","1"
"Not a day","1986","Berlin","135","1","1","1"
"Not a day","1986","Brandenburg","","","",""
"Not a day","1986","Mecklenburg-Western Pomerania","","","",""
"Not a day","1986","Saxony","","","",""
"Not a day","1986","Saxony-Anhalt","","","",""
"Not a day","1986","Thuringia","","","",""
"Not a day","1987","Schleswig-Holstein","93","1","1","1"
"Not a day","1987","Hamburg","62","1","1","1"
"Not a day","1987","Lower Saxony","341","1","1","1"
"Not a day","1987","Bremen","30","1","1","1"
"Not a day","1987","North Rhine-Westphalia","789","1","1","1"
"Not a day","1987","Hesse","322","1","1","1"
"Not a day","1987","Rhineland-Palatinate,Saarland","225","1","1","1"
"Not a day","1987","Baden-Württemberg","614","1","1","1"
"Not a day","1987","Bavaria","540","1","1","1"
"Not a day","1987","Berlin","96","1","1","1"
"Not a day","1987","Brandenburg","","","",""
"Not a day","1987","Mecklenburg-Western Pomerania","","","",""
"Not a day","1987","Saxony","","","",""
"Not a day","1987","Saxony-Anhalt","","","",""
"Not a day","1987","Thuringia","","","",""
"Not a day","1988","Schleswig-Holstein","97","1","1","1"
"Not a day","1988","Hamburg","57","1","1","1"
"Not a day","1988","Lower Saxony","320","1","1","1"
"Not a day","1988","Bremen","30","1","1","1"
"Not a day","1988","North Rhine-Westphalia","812","1","1","1"
"Not a day","1988","Hesse","289","1","1","1"
"Not a day","1988","Rhineland-Palatinate,Saarland","214","1","1","1"
"Not a day","1988","Baden-Württemberg","556","1","1","1"
"Not a day","1988","Bavaria","551","1","1","1"
"Not a day","1988","Berlin","100","1","1","1"
"Not a day","1988","Brandenburg","","","",""
"Not a day","1988","Mecklenburg-Western Pomerania","","","",""
"Not a day","1988","Saxony","","","",""
"Not a day","1988","Saxony-Anhalt","","","",""
"Not a day","1988","Thuringia","","","",""
"Not a day","1989","Schleswig-Holstein","79","1","1","1"
"Not a day","1989","Hamburg","54","1","1","1"
"Not a day","1989","Lower Saxony","298","1","1","1"
"Not a day","1989","Bremen","32","1","1","1"
"Not a day","1989","North Rhine-Westphalia","754","1","1","1"
"Not a day","1989","Hesse","310","1","1","1"
"Not a day","1989","Rhineland-Palatinate,Saarland","171","1","1","1"
"Not a day","1989","Baden-Württemberg","523","1","1","1"
"Not a day","1989","Bavaria","521","1","1","1"
"Not a day","1989","Berlin","98","1","1","1"
"Not a day","1989","Brandenburg","","","",""
"Not a day","1989","Mecklenburg-Western Pomerania","","","",""
"Not a day","1989","Saxony","","","",""
"Not a day","1989","Saxony-Anhalt","","","",""
"Not a day","1989","Thuringia","","","",""
"Not a day","1990","Schleswig-Holstein","","","",""
"Not a day","1990","Hamburg","","","",""
"Not a day","1990","Lower Saxony","","","",""
"Not a day","1990","Bremen","","","",""
"Not a day","1990","North Rhine-Westphalia","","","",""
"Not a day","1990","Hesse","","","",""
