"ple0044_h","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1994","35-65 y.","East Germany","1259","0.639337963333478","0.618765848547655","0.659910078119302","2"
"No","1994","66 and older","West Germany","1091","0.983034152851747","0.975443698450901","0.990624607252592","2"
"No","1994","66 and older","East Germany","403","0.99652880560853","0.990793694915253","1.00226391630181","2"
"Yes","1994","16-34 y.","West Germany","1067","0.296869897612903","0.281742404311807","0.311997390914","1"
"Yes","1994","16-34 y.","East Germany","433","0.329115870298072","0.303272782549286","0.354958958046858","1"
"Yes","1994","35-65 y.","West Germany","1496","0.342413279971913","0.328469879370802","0.356356680573023","1"
"Yes","1994","35-65 y.","East Germany","834","0.360662036666522","0.340089921880698","0.381234151452345","1"
"Yes","1994","66 and older","West Germany","21","","","","1"
"Yes","1994","66 and older","East Germany","1","","","","1"
"No","1995","16-34 y.","West Germany","2488","0.689933909109784","0.674848217375327","0.705019600844241","2"
"No","1995","16-34 y.","East Germany","791","0.655685654236066","0.628689617518326","0.682681690953806","2"
"No","1995","35-65 y.","West Germany","3084","0.670742347937676","0.657161872417481","0.684322823457872","2"
"No","1995","35-65 y.","East Germany","1181","0.6184046360831","0.597194254631343","0.639615017534857","2"
"No","1995","66 and older","West Germany","1107","0.978185072608962","0.969682918646469","0.986687226571456","2"
"No","1995","66 and older","East Germany","407","0.9942698125487","0.986954666883965","1.00158495821344","2"
"Yes","1995","16-34 y.","West Germany","1123","0.310066090890216","0.294980399155759","0.325151782624673","1"
"Yes","1995","16-34 y.","East Germany","399","0.344314345763934","0.317318309046194","0.371310382481674","1"
"Yes","1995","35-65 y.","West Germany","1516","0.329257652062324","0.315677176542128","0.342838127582519","1"
"Yes","1995","35-65 y.","East Germany","834","0.381595363916899","0.360384982465142","0.402805745368656","1"
"Yes","1995","66 and older","West Germany","27","","","","1"
"Yes","1995","66 and older","East Germany","2","","","","1"
"No","1996","16-34 y.","West Germany","2379","0.695006059439052","0.679613947042238","0.710398171835865","2"
"No","1996","16-34 y.","East Germany","796","0.721002180505064","0.694770452138976","0.747233908871152","2"
"No","1996","35-65 y.","West Germany","3031","0.660363948395995","0.646557644038592","0.674170252753398","2"
"No","1996","35-65 y.","East Germany","1222","0.639270036685661","0.618102123793303","0.660437949578018","2"
"No","1996","66 and older","West Germany","1111","0.976017859002057","0.967148385634214","0.984887332369901","2"
"No","1996","66 and older","East Germany","423","0.998181989687275","0.994131974404764","1.00223200496979","2"
"Yes","1996","16-34 y.","West Germany","1058","0.304993940560948","0.289601828164135","0.320386052957762","1"
"Yes","1996","16-34 y.","East Germany","327","0.278997819494936","0.252766091128848","0.305229547861024","1"
"Yes","1996","35-65 y.","West Germany","1489","0.339636051604005","0.325829747246602","0.353442355961408","1"
"Yes","1996","35-65 y.","East Germany","755","0.36072996331434","0.339562050421982","0.381897876206697","1"
"Yes","1996","66 and older","West Germany","32","0.0239821409979429","0.0151126676300995","0.0328516143657862","1"
"Yes","1996","66 and older","East Germany","2","","","","1"
"No","1997","16-34 y.","West Germany","2316","0.690942243691888","0.67519970422373","0.706684783160046","2"
"No","1997","16-34 y.","East Germany","736","0.659747408498661","0.631735750704842","0.687759066292481","2"
"No","1997","35-65 y.","West Germany","2947","0.667058015492971","0.653207031998044","0.680908998987898","2"
"No","1997","35-65 y.","East Germany","1198","0.662266440019568","0.641264612006493","0.683268268032644","2"
"No","1997","66 and older","West Germany","1135","0.983104388802483","0.975687771545304","0.990521006059662","2"
"No","1997","66 and older","East Germany","435","0.995001938961327","0.988405211039282","1.00159866688337","2"
"Yes","1997","16-34 y.","West Germany","994","0.309057756308112","0.293315216839954","0.32480029577627","1"
"Yes","1997","16-34 y.","East Germany","363","0.340252591501339","0.312240933707519","0.368264249295158","1"
"Yes","1997","35-65 y.","West Germany","1500","0.332941984507029","0.319091001012102","0.346792968001956","1"
"Yes","1997","35-65 y.","East Germany","750","0.337733559980432","0.316731731967357","0.358735387993507","1"
"Yes","1997","66 and older","West Germany","25","","","","1"
"Yes","1997","66 and older","East Germany","4","","","","1"
"No","1998","16-34 y.","West Germany","2446","0.708773903464217","0.693700740953356","0.723847065975077","2"
"No","1998","16-34 y.","East Germany","782","0.680512068703822","0.653504188899508","0.707519948508137","2"
"No","1998","35-65 y.","West Germany","3325","0.65137571740464","0.638320246258238","0.664431188551042","2"
"No","1998","35-65 y.","East Germany","1245","0.623779947398731","0.602951255588635","0.644608639208828","2"
"No","1998","66 and older","West Germany","1362","0.985750056003799","0.979519444467697","0.991980667539902","2"
"No","1998","66 and older","East Germany","479","0.993385485705101","0.986156416032048","1.00061455537815","2"
"Yes","1998","16-34 y.","West Germany","1044","0.291226096535783","0.276152934024923","0.306299259046644","1"
"Yes","1998","16-34 y.","East Germany","363","0.319487931296178","0.292480051491863","0.346495811100492","1"
"Yes","1998","35-65 y.","West Germany","1793","0.34862428259536","0.335568811448958","0.361679753741762","1"
"Yes","1998","35-65 y.","East Germany","833","0.376220052601269","0.355391360791172","0.397048744411365","1"
"Yes","1998","66 and older","West Germany","28","","","","1"
"Yes","1998","66 and older","East Germany","4","","","","1"
"No","1999","16-34 y.","West Germany","2170","0.65927568518216","0.643060799338938","0.675490571025382","2"
"No","1999","16-34 y.","East Germany","736","0.639852909164876","0.611701409551897","0.668004408777855","2"
"No","1999","66 and older","West Germany","1273","0.972206597477032","0.963311897287418","0.981101297666647","2"
"No","1999","35-65 y.","West Germany","3210","0.651817795809769","0.638546544190461","0.665089047429076","2"
"No","1999","35-65 y.","East Germany","1241","0.626737555092794","0.605754119489702","0.647720990695886","2"
"No","1999","66 and older","East Germany","481","0.989160519586306","0.979954591545058","0.998366447627553","2"
"Yes","1999","16-34 y.","West Germany","1112","0.34072431481784","0.324509428974618","0.356939200661062","1"
"Yes","1999","35-65 y.","West Germany","1740","0.348182204190231","0.334910952570924","0.361453455809539","1"
"Yes","1999","16-34 y.","East Germany","381","0.360147090835124","0.331995591222145","0.388298590448103","1"
"Yes","1999","35-65 y.","East Germany","800","0.373262444907206","0.352279009304115","0.394245880510298","1"
"Yes","1999","66 and older","West Germany","39","0.0277934025229677","0.0188987023333531","0.0366881027125823","1"
"Yes","1999","66 and older","East Germany","5","","","","1"
"No","2000","16-34 y.","West Germany","3551","0.672673721088082","0.659963856029745","0.685383586146418","2"
"No","2000","16-34 y.","East Germany","1069","0.66146423797182","0.638277291426614","0.684651184517026","2"
"No","2000","66 and older","West Germany","2665","0.969916194005596","0.963522558695338","0.976309829315855","2"
"No","2000","35-65 y.","West Germany","6338","0.645155289051516","0.635660977159252","0.65464960094378","2"
"No","2000","35-65 y.","East Germany","1966","0.620178402351489","0.603367711006989","0.636989093695988","2"
"No","2000","66 and older","East Germany","873","0.98860002935025","0.981593935113676","0.995606123586824","2"
"Yes","2000","16-34 y.","West Germany","1685","0.327326278911918","0.314616413853582","0.340036143970255","1"
"Yes","2000","35-65 y.","West Germany","3418","0.354844710948484","0.34535039905622","0.364339022840748","1"
"Yes","2000","16-34 y.","East Germany","531","0.33853576202818","0.315348815482974","0.361722708573386","1"
"Yes","2000","35-65 y.","East Germany","1236","0.379821597648511","0.363010906304012","0.396632288993011","1"
"Yes","2000","66 and older","West Germany","77","0.0300838059944036","0.0236901706841449","0.0364774413046622","1"
"Yes","2000","66 and older","East Germany","9","","","","1"
"No","2001","16-34 y.","West Germany","3064","0.655578414401086","0.641825695400099","0.669331133402073","2"
"No","2001","16-34 y.","East Germany","1022","0.676067113203892","0.652201078418315","0.699933147989469","2"
"No","2001","66 and older","West Germany","2504","0.966875255285476","0.959965663749862","0.973784846821089","2"
"No","2001","35-65 y.","West Germany","5729","0.636499171694529","0.626527792175019","0.646470551214039","2"
"No","2001","35-65 y.","East Germany","1846","0.633708692546353","0.616372750109458","0.651044634983248","2"
"No","2001","66 and older","East Germany","836","0.982016673305379","0.973082938099199","0.990950408511559","2"
"Yes","2001","16-34 y.","West Germany","1522","0.344421585598914","0.330668866597927","0.358174304599901","1"
"Yes","2001","35-65 y.","West Germany","3210","0.363500828305472","0.353529448785961","0.373472207824982","1"
"Yes","2001","16-34 y.","East Germany","455","0.323932886796108","0.300066852010531","0.347798921581685","1"
"Yes","2001","35-65 y.","East Germany","1121","0.366291307453647","0.348955365016752","0.383627249890542","1"
"Yes","2001","66 and older","West Germany","73","0.0331247447145243","0.0262151531789111","0.0400343362501374","1"
"Yes","2001","66 and older","East Germany","14","","","","1"
"No","2002","16-34 y.","West Germany","3071","0.671422540728705","0.657720534652925","0.685124546804485","2"
"No","2002","66 and older","West Germany","2610","0.96740998196134","0.960738360413771","0.974081603508908","2"
"No","2002","16-34 y.","East Germany","974","0.69328424972939","0.66938392628601","0.71718457317277","2"
"No","2002","35-65 y.","West Germany","6145","0.636371126796158","0.626894869536244","0.645847384056071","2"
"No","2002","35-65 y.","East Germany","1769","0.612435366499604","0.594803663556255","0.630067069442953","2"
"No","2002","66 and older","East Germany","880","0.989523372966748","0.982849113260627","0.996197632672869","2"
"Yes","2002","16-34 y.","West Germany","1443","0.328577459271295","0.314875453195515","0.342279465347075","1"
"Yes","2002","35-65 y.","West Germany","3754","0.363628873203842","0.354152615943929","0.373105130463756","1"
"Yes","2002","35-65 y.","East Germany","1164","0.387564633500396","0.369932930557047","0.405196336443745","1"
"Yes","2002","66 and older","West Germany","111","0.0325900180386604","0.0259183964910924","0.0392616395862285","1"
"Yes","2002","16-34 y.","East Germany","456","0.30671575027061","0.28281542682723","0.33061607371399","1"
"Yes","2002","66 and older","East Germany","14","","","","1"
"No","2003","16-34 y.","West Germany","2928","0.689667118971598","0.675761666656287","0.703572571286909","2"
"No","2003","16-34 y.","East Germany","976","0.681762714715336","0.657518834519914","0.706006594910758","2"
"No","2003","35-65 y.","West Germany","5851","0.632168972324354","0.622416091010939","0.641921853637768","2"
"No","2003","66 and older","West Germany","2653","0.968444841749923","0.961917145824178","0.974972537675669","2"
"No","2003","35-65 y.","East Germany","1755","0.626017667829092","0.608355475576017","0.643679860082166","2"
"No","2003","66 and older","East Germany","909","0.991727240382371","0.985867908819061","0.99758657194568","2"
"Yes","2003","16-34 y.","West Germany","1324","0.310332881028402","0.296427428713091","0.324238333343713","1"
"Yes","2003","35-65 y.","West Germany","3540","0.367831027675646","0.358078146362232","0.377583908989061","1"
"Yes","2003","35-65 y.","East Germany","1128","0.373982332170908","0.356320139917834","0.391644524423983","1"
"Yes","2003","16-34 y.","East Germany","442","0.318237285284664","0.293993405089242","0.342481165480086","1"
"Yes","2003","66 and older","West Germany","102","0.0315551582500766","0.0250274623243312","0.038082854175822","1"
"Yes","2003","66 and older","East Germany","9","","","","1"
"No","2004","16-34 y.","West Germany","2817","0.676636408964307","0.662285214984692","0.690987602943922","2"
"No","2004","16-34 y.","East Germany","929","0.657240913640712","0.6322172523435","0.682264574937924","2"
"No","2004","35-65 y.","West Germany","5618","0.634287369185883","0.624410243071514","0.644164495300253","2"
"No","2004","66 and older","West Germany","2698","0.96309147837959","0.956137828181636","0.970045128577543","2"
"No","2004","35-65 y.","East Germany","1666","0.628542154492365","0.61043328251939","0.64665102646534","2"
"No","2004","66 and older","East Germany","952","0.986389486699799","0.979086570393993","0.993692403005606","2"
"Yes","2004","16-34 y.","West Germany","1264","0.323363591035693","0.309012397056078","0.337714785015308","1"
"Yes","2004","35-65 y.","West Germany","3516","0.365712630814117","0.355835504699747","0.375589756928486","1"
"Yes","2004","35-65 y.","East Germany","1069","0.371457845507635","0.35334897353466","0.38956671748061","1"
"Yes","2004","16-34 y.","East Germany","453","0.342759086359288","0.317735425062076","0.3677827476565","1"
"Yes","2004","66 and older","West Germany","126","0.0369085216204102","0.0299548714224568","0.0438621718183636","1"
"Yes","2004","66 and older","East Germany","15","","","","1"
"No","2005","16-34 y.","West Germany","2708","0.674220728135928","0.6594626074635","0.688978848808356","2"
"No","2005","16-34 y.","East Germany","889","0.672173186719484","0.646743494964824","0.697602878474144","2"
"No","2005","35-65 y.","West Germany","5307","0.627345716851458","0.617171643918042","0.637519789784874","2"
"No","2005","66 and older","West Germany","2723","0.967382387573318","0.960835519935956","0.973929255210681","2"
"No","2005","35-65 y.","East Germany","1593","0.622930147319721","0.604421665951726","0.641438628687716","2"
"No","2005","66 and older","East Germany","953","0.983235725555773","0.975164561692226","0.991306889419321","2"
"Yes","2005","16-34 y.","West Germany","1166","0.325779271864072","0.311021151191644","0.3405373925365","1"
"Yes","2005","35-65 y.","West Germany","3369","0.372654283148542","0.362480210215126","0.382828356081958","1"
"Yes","2005","35-65 y.","East Germany","1041","0.377069852680279","0.358561371312284","0.395578334048274","1"
"Yes","2005","16-34 y.","East Germany","420","0.327826813280516","0.302397121525856","0.353256505035176","1"
"Yes","2005","66 and older","West Germany","105","0.0326176124266818","0.0260707447893193","0.0391644800640442","1"
"Yes","2005","66 and older","East Germany","19","","","","1"
"No","2006","16-34 y.","West Germany","2598","0.686811752161154","0.6719378686654","0.701685635656907","2"
"No","2006","16-34 y.","East Germany","807","0.624435207448503","0.597327737619908","0.651542677277098","2"
"No","2006","35-65 y.","West Germany","5687","0.620410968007412","0.610569243272645","0.630252692742179","2"
"No","2006","35-65 y.","East Germany","1636","0.601562102597258","0.583323750222881","0.619800454971636","2"
"No","2006","66 and older","West Germany","3174","0.962762801540295","0.956328000560406","0.969197602520184","2"
"No","2006","66 and older","East Germany","1116","0.983581010125513","0.976210571668044","0.990951448582983","2"
"Yes","2006","16-34 y.","West Germany","1137","0.313188247838846","0.298314364343093","0.3280621313346","1"
"Yes","2006","16-34 y.","East Germany","419","0.375564792551497","0.348457322722902","0.402672262380092","1"
"Yes","2006","35-65 y.","West Germany","3653","0.379589031992588","0.369747307257821","0.389430756727355","1"
"Yes","2006","35-65 y.","East Germany","1132","0.398437897402742","0.380199545028364","0.416676249777119","1"
"Yes","2006","66 and older","West Germany","152","0.0372371984597053","0.0308023974798164","0.0436719994395943","1"
"Yes","2006","66 and older","East Germany","26","","","","1"
"No","2007","16-34 y.","West Germany","2325","0.668087257828088","0.652221476259536","0.68395303939664","2"
"No","2007","16-34 y.","East Germany","793","0.647786730156374","0.620416777832183","0.675156682480565","2"
"No","2007","35-65 y.","West Germany","5245","0.631319005734868","0.621104136143597","0.641533875326139","2"
"No","2007","35-65 y.","East Germany","1497","0.593668438047795","0.5746575966045","0.612679279491089","2"
"No","2007","66 and older","West Germany","3100","0.957403725027824","0.950450137057744","0.964357312997903","2"
"No","2007","66 and older","East Germany","1112","0.984188444663085","0.976934314360633","0.991442574965537","2"
"Yes","2007","16-34 y.","West Germany","1059","0.331912742171912","0.31604696060336","0.347778523740464","1"
"Yes","2007","16-34 y.","East Germany","377","0.352213269843626","0.324843317519435","0.379583222167817","1"
"Yes","2007","35-65 y.","West Germany","3324","0.368680994265132","0.358466124673861","0.378895863856403","1"
"Yes","2007","35-65 y.","East Germany","1067","0.406331561952205","0.387320720508911","0.4253424033955","1"
"Yes","2007","66 and older","West Germany","140","0.0425962749721763","0.035642687002097","0.0495498629422556","1"
"Yes","2007","66 and older","East Germany","24","","","","1"
"No","2008","16-34 y.","West Germany","2220","0.69110364752886","0.675009402154123","0.707197892903597","2"
"No","2008","16-34 y.","East Germany","745","0.673898275885821","0.646283088107979","0.701513463663663","2"
"No","2008","35-65 y.","West Germany","4981","0.632062692487537","0.621491941354101","0.642633443620973","2"
"No","2008","35-65 y.","East Germany","1449","0.597252567208162","0.577736239778814","0.616768894637511","2"
"No","2008","66 and older","West Germany","3061","0.958392647685797","0.951486798343606","0.965298497027989","2"
"No","2008","66 and older","East Germany","1109","0.980299276818507","0.97221445252771","0.988384101109305","2"
"Yes","2008","16-34 y.","West Germany","946","0.30889635247114","0.292802107096403","0.324990597845877","1"
"Yes","2008","16-34 y.","East Germany","362","0.326101724114179","0.298486536336337","0.353716911892021","1"
"Yes","2008","35-65 y.","West Germany","3014","0.367937307512463","0.357366556379027","0.378508058645899","1"
"Yes","2008","35-65 y.","East Germany","977","0.402747432791838","0.383231105362489","0.422263760221186","1"
"Yes","2008","66 and older","West Germany","151","0.0416073523142027","0.0347015029720114","0.048513201656394","1"
"Yes","2008","66 and older","East Germany","26","","","","1"
"No","2009","16-34 y.","West Germany","2038","0.702799879426655","0.686174755055711","0.719425003797599","2"
"No","2009","16-34 y.","East Germany","696","0.674256003615947","0.645339010668721","0.703172996563173","2"
"No","2009","35-65 y.","West Germany","4627","0.638008890468363","0.627001216795763","0.649016564140964","2"
"No","2009","35-65 y.","East Germany","1426","0.617601109193628","0.597774769887831","0.637427448499426","2"
"No","2009","66 and older","West Germany","2911","0.954692324167902","0.947336593983864","0.96204805435194","2"
"No","2009","66 and older","East Germany","1105","0.98163757226549","0.97379221968802","0.989482924842959","2"
"Yes","2009","16-34 y.","West Germany","865","0.297200120573345","0.280574996202401","0.313825244944289","1"
"Yes","2009","16-34 y.","East Germany","313","0.325743996384053","0.296827003436826","0.354660989331279","1"
"Yes","2009","35-65 y.","West Germany","2695","0.361991109531637","0.350983435859036","0.372998783204237","1"
"Yes","2009","35-65 y.","East Germany","882","0.382398890806372","0.362572551500575","0.402225230112169","1"
"Yes","2009","66 and older","West Germany","160","0.045307675832098","0.0379519456480599","0.0526634060161361","1"
"Yes","2009","66 and older","East Germany","20","","","","1"
"No","2010","16-34 y.","West Germany","3587","0.699311573070235","0.686571908747184","0.712051237393286","2"
"No","2010","16-34 y.","East Germany","1075","0.701838718185325","0.678909532395568","0.724767903975081","2"
"No","2010","35-65 y.","West Germany","6621","0.637303106692132","0.628059902163551","0.646546311220713","2"
"No","2010","35-65 y.","East Germany","1677","0.58963456731685","0.571472952944545","0.607796181689155","2"
"No","2010","66 and older","West Germany","2827","0.956912583788923","0.949640463793119","0.964184703784728","2"
"No","2010","66 and older","East Germany","1054","0.984942707363053","0.977645862176571","0.992239552549535","2"
"Yes","2010","16-34 y.","West Germany","1390","0.300688426929765","0.287948762606714","0.313428091252816","1"
"Yes","2010","16-34 y.","East Germany","454","0.298161281814675","0.275232096024919","0.321090467604432","1"
"Yes","2010","35-65 y.","West Germany","3772","0.362696893307868","0.353453688779287","0.371940097836449","1"
"Yes","2010","35-65 y.","East Germany","1141","0.41036543268315","0.392203818310845","0.428527047055455","1"
"Yes","2010","66 and older","West Germany","168","0.0430874162110766","0.0358152962152722","0.050359536206881","1"
"Yes","2010","66 and older","East Germany","16","","","","1"
"No","2011","16-34 y.","West Germany","2904","0.764657630936748","0.75118934926312","0.778125912610376","2"
"No","2011","16-34 y.","East Germany","801","0.743472653605894","0.717132672097473","0.769812635114314","2"
"No","2011","35-65 y.","West Germany","6126","0.685447762013912","0.675899087288958","0.694996436738866","2"
"No","2011","35-65 y.","East Germany","1355","0.680085205893103","0.659824338691914","0.700346073094292","2"
"No","2011","66 and older","West Germany","3694","0.97815648955454","0.973499765144263","0.982813213964817","2"
"No","2011","66 and older","East Germany","1259","0.994891561658728","0.990969185580663","0.998813937736793","2"
"Yes","2011","16-34 y.","West Germany","907","0.235342369063252","0.221874087389624","0.24881065073688","1"
"Yes","2011","16-34 y.","East Germany","255","0.256527346394106","0.230187364885686","0.282867327902527","1"
"Yes","2011","35-65 y.","West Germany","2958","0.314552237986088","0.305003563261134","0.324100912711042","1"
"Yes","2011","35-65 y.","East Germany","681","0.319914794106897","0.299653926905708","0.340175661308086","1"
"Yes","2011","66 and older","West Germany","91","0.02184351044546","0.0171867860351834","0.0265002348557367","1"
"Yes","2011","66 and older","East Germany","10","","","","1"
"No","2012","16-34 y.","West Germany","3600","0.725188638555441","0.71267891523642","0.737698361874462","2"
"No","2012","66 and older","West Germany","3725","0.950702953436819","0.94394231091438","0.957463595959258","2"
"No","2012","16-34 y.","East Germany","968","0.669059643241808","0.64442868165702","0.693690604826597","2"
"No","2012","35-65 y.","West Germany","8172","0.656201467717833","0.64785924644977","0.664543688985896","2"
"No","2012","35-65 y.","East Germany","2132","0.615259035457908","0.598948234925493","0.631569835990323","2"
