"year","pgcasmin","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(0) in school","Female","","","","","","","","","","","","","",""
"1984","(0) in school","Male","","","","","","","","","","","","","",""
"1984","(1a) inadequately completed","Female","572.84","614","265","205","457","716","844","1048","546.56","599.12","0","1278","598","647"
"1984","(1a) inadequately completed","Male","840.39","875.6","404","351","716","1023","1145","1534","811.02","869.76","54","4090","902","920"
"1984","(1b) general elementary school","Female","435.89","409","669","153","217","614","767","1023","417.26","454.52","0","1534","435","498"
"1984","(1b) general elementary school","Male","768.72","859","756","219","515","1023","1176","1534","744.21","793.23","0","2812","859","877"
"1984","(1c) basic vocational qualification","Female","564.32","511","790","199","327","767","971","1534","542.37","586.27","0","2601","511","562"
"1984","(1c) basic vocational qualification","Male","1078.6","1023","1954","716","864","1227","1534","2556","1056.18","1101.02","0","10737","971","1023"
"1984","(2a) intermediate vocational","Female","667.75","674.61","452","205","440","869","1023","1534","638.62","696.88","12","2458","639","711"
"1984","(2a) intermediate vocational","Male","1237.83","1125","496","664","869","1519","1892","3998","1178.87","1296.79","77","6135","1074","1217"
"1984","(2b) intermediate general qualification","Female","425.77","282.91","140","153","217","665","869","1278","377.35","474.19","0","1355","256","368"
"1984","(2b) intermediate general qualification","Male","461.85","287.43","90","149","225","716","971","1738","381.76","541.94","26","1962","245","332"
"1984","(2c_gen) general maturity certificate","Female","393.18","307","62","123","199","511","818","1278","319.98","466.38","77","1278","256","419"
"1984","(2c_gen) general maturity certificate","Male","551.15","337.35","99","205","230","818","1125","1873","473.17","629.13","0","1873","460","767"
"1984","(2c_voc) vocational maturity certificate","Female","769.42","767","107","281","562","971","1176","2045","701.37","837.47","51","2045","665","792"
"1984","(2c_voc) vocational maturity certificate","Male","1317.37","1176","198","716","920","1585","2045","2812","1238.61","1396.13","121","5113","1023","1176"
"1984","(3a) lower tertiary education","Female","896.45","920","45","310","568","1125","1329","1892","777.48","1015.42","107","1892","767","1023"
"1984","(3a) lower tertiary education","Male","1603.7","1535.97","156","741","1176","1994","2468","3579","1489.2","1718.2","0","5113","1483","1687"
"1984","(3b) higher tertiary education","Female","1030.85","1023.03","121","347","723","1298","1571","2147","951.84","1109.86","33","2147","920","1099"
"1984","(3b) higher tertiary education","Male","1759.95","1743.68","301","818","1278","2147","2655","4064","1671.94","1847.96","0","5157","1585","1790"
"1985","(0) in school","Female","","","","","","","","","","","","","",""
"1985","(0) in school","Male","","","","","","","","","","","","","",""
"1985","(1a) inadequately completed","Female","589.49","636.75","217","205","501","741","818","1023","560.67","618.31","31","1125","588","665"
"1985","(1a) inadequately completed","Male","855.7","869","307","245","722","1023","1176","1790","826.67","884.73","56","2555","920","920"
"1985","(1b) general elementary school","Female","453.65","425.27","615","160","206","639","808","1023","433.06","474.24","0","2301","460","511"
"1985","(1b) general elementary school","Male","771.63","844","661","230","401","1023","1176","1815","739.8","803.46","0","6647","869","915"
"1985","(1c) basic vocational qualification","Female","563.79","518.22","732","199","333","767","962","1432","542.28","585.3","0","2080","511","562"
"1985","(1c) basic vocational qualification","Male","1092.81","1023","1734","716","869","1278","1534","2556","1072.98","1112.64","0","6647","992","1023"
"1985","(2a) intermediate vocational","Female","700.67","712.98","445","256","480","895","1074","2045","669.55","731.79","0","2556","639","716"
