"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Female","582.14","537.77","2673","188","307","782","1023","1687","569.77","594.51","0","2601","542","563"
"1984","Male","1119.47","1023","4489","531","818","1329","1790","3040","1102.54","1136.4","0","10737","971","1006"
"1985","Female","596.48","562","2514","187","307","818","1023","1738","583.24","609.72","0","2556","562","588"
"1985","Male","1133.82","1023","4015","511","818","1380","1841","3068","1114.55","1153.09","0","17895","971","1023"
"1986","Female","632.84","596.47","2434","201","327","853","1074","1828","617.67","648.01","0","7669","562","614"
"1986","Male","1168.69","1038.53","3875","511","854","1406","1943","3131","1149.12","1188.26","0","16361","1023","1023"
"1987","Female","636.66","614","2457","205","332","869","1074","1892","622.47","650.85","0","3323","579","614"
"1987","Male","1190.49","1074","3840","511","869","1432","1994","3114","1171.67","1209.31","0","7449","1023","1052"
"1988","Female","665.45","618.26","2359","202","317","895","1125","2045","648.96","681.94","0","6647","598","614"
"1988","Male","1233.88","1125","3629","561","920","1503","2045","3323","1214.48","1253.28","0","6647","1074","1086"
"1989","Female","703.11","665","2343","215","358","925","1176","2095","686.78","719.44","0","3886","620","665"
"1989","Male","1287.3","1176","3537","639","920","1534","2045","3579","1265.93","1308.67","0","10226","1125","1125"
"1990","Female","652.1","560.67","3961","225","345","887","1176","1967","639.22","664.98","0","8181","479","511"
"1990","Male","1177.8","1098.33","5245","409","633","1509","2045","3579","1159.53","1196.07","0","10226","950","997"
"1991","Female","700.53","614","3723","240","383","920","1253","2122","687.91","713.15","0","6647","562","583"
"1991","Male","1265.81","1176","5004","468","767","1584","2147","3579","1246.62","1285","0","8896","1066","1099"
"1992","Female","786.21","735","3442","256","460","1023","1334","2244","772.48","799.94","0","6135","689","716"
"1992","Male","1364.67","1278","4703","588","920","1687","2250","3718","1345.5","1383.84","0","8692","1176","1179"
"1993","Female","850.8","818","3387","256","486","1125","1434","2352","835.19","866.41","0","8835","767","818"
"1993","Male","1492.97","1329","4531","665","1023","1790","2505","4167","1469.24","1516.7","0","20452","1227","1278"
"1994","Female","886.48","869","3253","271","511","1129","1475","2522","869.46","903.5","0","9715","818","859"
