"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","college entrance qualification","1298.09","1227","811","327","767","1790","2199","1245.56","1350.62","1125","1278"
"1984","lower secondary degree","836.75","844.16","3298","235","511","1074","1342","819.88","853.62","818","844"
"1984","no degree/no degree yet","735.54","767","674","224","528","920","1074","711.74","759.34","767","818"
"1984","Other degree","884.16","869","1092","486","678","1023","1268","858.2","910.12","868","869"
"1984","secondary school degree","894.72","818","1234","224","460","1140","1590","859.77","929.67","767","828"
"1985","college entrance qualification","1244.86","1125","799","248","704","1738","2250","1191.3","1298.42","1074","1234"
"1985","lower secondary degree","838.97","844","2999","230","511","1074","1380","822.11","855.83","818","844"
"1985","no degree/no degree yet","720.1","767","531","184","562","920","1074","694.39","745.81","767","818"
"1985","Other degree","871.05","869","924","458","665","1023","1227","845.41","896.69","869","895"
"1985","secondary school degree","935.24","837.75","1195","239","511","1176","1662","890.11","980.37","803","869"
"1986","college entrance qualification","1328.32","1236.05","809","307","767","1813","2301","1273.83","1382.81","1176","1278"
"1986","lower secondary degree","868.1","869","2877","251","519","1091","1430","848.02","888.18","818","869"
"1986","no degree/no degree yet","752.74","792","491","243","537","956","1125","724.51","780.97","792","869"
"1986","Other degree","904.73","878.86","877","399","685","1044","1304","879.26","930.2","890","920"
"1986","secondary school degree","948.1","869","1165","244","511","1227","1687","910.56","985.64","818","904"
"1987","college entrance qualification","1339.05","1227","813","281","716","1892","2403","1280.01","1398.09","1125","1299"
"1987","lower secondary degree","884.71","895","2861","256","537","1125","1432","867.62","901.8","869","895"
"1987","no degree/no degree yet","759.69","798.67","476","199","511","1023","1176","724.48","794.9","772","869"
"1987","Other degree","920.83","920","848","486","716","1074","1329","896.9","944.76","920","946"
"1987","secondary school degree","955.01","869","1190","256","491","1237","1737","918.41","991.61","818","894"
"1988","college entrance qualification","1371.38","1236.26","792","307","745","1994","2454","1310.06","1432.7","1156","1355"
"1988","lower secondary degree","918.98","920","2726","254","562","1176","1508","900.2","937.76","869","920"
"1988","no degree/no degree yet","823.86","869","416","269","625","1023","1227","790.59","857.13","818","910"
"1988","Other degree","948.04","920","771","447","767","1125","1405","921.63","974.45","927","971"
"1988","secondary school degree","983.62","920","1159","266","562","1278","1764","947.26","1019.98","818","920"
"1989","college entrance qualification","1441.2","1304","811","363","818","1943","2556","1376.46","1505.94","1207","1380"
"1989","lower secondary degree","943.27","956.86","2649","253","614","1227","1534","924.49","962.05","920","946"
"1989","no degree/no degree yet","821.03","872.07","400","225","573","1023","1278","782.74","859.32","818","920"
"1989","Other degree","1013.21","982.29","750","562","798","1176","1432","982.99","1043.43","971","1023"
"1989","secondary school degree","1040.49","930.8","1148","301","614","1309","1820","1000.78","1080.2","869","921"
"1990","college entrance qualification","1332.33","1162.47","1259","384","621","1892","2556","1283.91","1380.75","818","967"
"1990","lower secondary degree","905","869","3733","261","460","1227","1567","887.33","922.67","665","741"
"1990","no degree/no degree yet","859.33","920","387","293","614","1125","1278","821.54","897.12","920","971"
"1990","Other degree","984.03","971","760","383","665","1227","1524","946.74","1021.32","1017","1023"
"1990","secondary school degree","838.76","638.29","2925","281","419","1125","1586","818.68","858.84","511","537"
"1991","college entrance qualification","1407.64","1202","1256","409","690","1975","2556","1357.66","1457.62","978","1089"
"1991","lower secondary degree","964.73","920","3433","264","511","1278","1672","946.35","983.11","803","849"
"1991","no degree/no degree yet","876.67","920","394","232","562","1176","1432","834.23","919.11","872","971"
"1991","Other degree","1032.14","1023","752","460","767","1278","1534","1001.55","1062.73","1023","1125"
"1991","secondary school degree","919.29","766.23","2719","317","491","1176","1687","896.73","941.85","614","665"
"1992","college entrance qualification","1514.89","1329","1221","450","818","2045","2749","1464.54","1565.24","1144","1227"
"1992","lower secondary degree","1040.38","1023","3128","309","614","1355","1738","1021.48","1059.28","920","971"
"1992","no degree/no degree yet","954.13","987.33","352","245","689","1227","1534","907.65","1000.61","920","1023"
"1992","Other degree","1114.75","1094.72","702","603","844","1329","1585","1081.7","1147.8","1074","1176"
"1992","secondary school degree","1027.44","890.83","2563","358","614","1304","1790","1004.84","1050.04","771","818"
"1993","college entrance qualification","1645.68","1467.06","1225","511","971","2173","2938","1590.88","1700.48","1316","1431"
"1993","lower secondary degree","1111.75","1094","2948","317","665","1435","1841","1090.59","1132.91","1023","1074"
"1993","no degree/no degree yet","954.09","977.71","334","265","665","1202","1467","907.27","1000.91","971","1074"
"1993","Other degree","1179.47","1138.01","659","562","895","1432","1738","1142.75","1216.19","1125","1176"
"1993","secondary school degree","1163.29","1023","2561","409","690","1424","1994","1132.38","1194.2","920","971"
"1994","college entrance qualification","1628.82","1450.35","1278","455","956","2199","2914","1574.21","1683.43","1329","1432"
"1994","lower secondary degree","1150.07","1125","2716","350","726","1483","1892","1127.94","1172.2","1056","1125"
"1994","no degree/no degree yet","975.45","1003.64","298","360","665","1278","1432","923.34","1027.56","971","1125"
"1994","Other degree","1151.74","1125","576","588","920","1380","1636","1112.46","1191.02","1125","1227"
"1994","secondary school degree","1212.06","1074","2490","417","767","1483","2045","1184.22","1239.9","1000","1023"
"1995","college entrance qualification","1665.2","1483","1351","455","920","2250","2965","1597.67","1732.73","1329","1450"
"1995","lower secondary degree","1153.37","1125","2687","348","710","1493","1892","1130.64","1176.1","1074","1125"
"1995","no degree/no degree yet","968.67","1071.31","270","256","562","1329","1508","912.85","1024.49","1023","1176"
"1995","Other degree","1172.4","1125","732","358","767","1432","1761","1096.57","1248.23","1125","1227"
"1995","secondary school degree","1226.9","1100.6","2604","404","767","1508","2065","1200.34","1253.46","1023","1052"
"1996","college entrance qualification","1705.03","1534","1355","511","1004","2301","3017","1651.74","1758.32","1380","1483"
"1996","lower secondary degree","1188.24","1176","2606","336","741","1534","1892","1163.54","1212.94","1089","1125"
"1996","no degree/no degree yet","965.36","1082.61","248","256","511","1329","1534","904.47","1026.25","1023","1176"
"1996","Other degree","1170.88","1176","648","409","869","1483","1790","1129.27","1212.49","1176","1247"
"1996","secondary school degree","1265.49","1125","2556","409","767","1534","2147","1236.82","1294.16","1047","1079"
"1997","college entrance qualification","1695.81","1534","1397","511","947","2301","3068","1640.96","1750.66","1380","1499"
"1997","lower secondary degree","1191.62","1176","2469","347","767","1534","1943","1167.29","1215.95","1089","1138"
"1997","no degree/no degree yet","1007.74","1098.54","224","312","665","1329","1492","946.02","1069.46","997","1176"
"1997","Other degree","1219.15","1176","575","486","878","1483","1790","1173.45","1264.85","1176","1278"
"1997","secondary school degree","1265.29","1129.25","2518","402","777","1554","2130","1237.19","1293.39","1028","1074"
"1998","college entrance qualification","1662.96","1508.69","1565","468","971","2270","2965","1614.39","1711.53","1411","1483"
"1998","lower secondary degree","1195.95","1176","2611","317","716","1559","2012","1171.37","1220.53","1088","1150"
"1998","no degree/no degree yet","951.6","1023","216","209","511","1329","1534","883.31","1019.89","960","1145"
"1998","Other degree","1262.85","1227","580","409","845","1534","1943","1206.41","1319.29","1176","1278"
"1998","secondary school degree","1263.16","1125","2747","409","786","1534","2132","1237.54","1288.78","1074","1094"
"1999","college entrance qualification","1690.11","1534","1647","450","971","2301","3068","1641.82","1738.4","1432","1532"
