"year","age_gr","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","16-34 y.","indirect migration background","665.31","599.93","151","238","286","895","1176","1585","580.92","749.7","0","5113","460","767"
"1990","16-34 y.","no migration background","776.93","716","3156","263","409","1074","1329","2096","760.68","793.18","0","6135","553","574"
"1990","35-65 y.","direct migration background","1056.58","1018.85","1135","383","665","1278","1721","2710","1025.94","1087.22","77","8181","971","1023"
"1990","35-65 y.","indirect migration background","","","","","","","","","","","","","",""
"1990","35-65 y.","no migration background","1082.2","971","4076","307","500","1442","2045","3579","1059.81","1104.59","0","10226","629","665"
"1990","66 and older","direct migration background","","","","","","","","","","","","","",""
"1990","66 and older","indirect migration background","","","","","","","","","","","","","",""
"1990","66 and older","no migration background","762","511","50","105","240","1023","1841","5573","505.26","1018.74","0","5573","307","665"
"1991","16-34 y.","direct migration background","948.63","920","601","291","588","1232","1534","2199","913.85","983.41","28","2556","920","973"
"1991","16-34 y.","indirect migration background","646.99","537.64","195","253","307","844","1227","1534","579.01","714.97","26","4090","409","672"
"1991","16-34 y.","no migration background","856.55","808.71","2906","266","473","1171","1483","2403","838.61","874.49","0","5323","665","716"
"1991","35-65 y.","direct migration background","1107.38","1023","1142","383","665","1329","1841","3170","1077.39","1137.37","0","6902","1023","1074"
"1991","35-65 y.","indirect migration background","","","","","","","","","","","","","",""
"1991","35-65 y.","no migration background","1153.54","1023","3825","358","562","1534","2132","3579","1129.52","1177.56","0","8896","767","823"
"1991","66 and older","direct migration background","","","","","","","","","","","","","",""
"1991","66 and older","indirect migration background","","","","","","","","","","","","","",""
"1991","66 and older","no migration background","629.19","448.37","35","41","179","895","1687","2045","435.3","823.08","0","2045","251","767"
"1992","16-34 y.","direct migration background","975.05","997","564","307","537","1278","1585","2199","937.58","1012.52","61","2556","971","1074"
"1992","16-34 y.","indirect migration background","702.17","569.47","217","261","332","925","1278","2301","630.95","773.39","0","4090","511","767"
"1992","16-34 y.","no migration background","933.58","920","2642","307","562","1227","1534","2480","915.18","951.98","0","4260","818","869"
"1992","35-65 y.","direct migration background","1183.9","1124.69","1055","470","767","1432","1892","3579","1151.83","1215.97","0","6391","1074","1125"
"1992","35-65 y.","indirect migration background","","","","","","","","","","","","","",""
"1992","35-65 y.","no migration background","1264.97","1127.98","3622","424","716","1636","2250","3718","1240.88","1289.06","0","8692","971","1023"
"1992","66 and older","direct migration background","","","","","","","","","","","","","",""
"1992","66 and older","indirect migration background","","","","","","","","","","","","","",""
"1992","66 and older","no migration background","","","","","","","","","","","","","",""
"1993","16-34 y.","direct migration background","1027.64","1023","534","358","731","1278","1589","2250","988.52","1066.76","0","2965","1012","1074"
"1993","16-34 y.","indirect migration background","679.26","460","269","259","358","971","1278","2301","620.12","738.4","0","4090","504","818"
"1993","16-34 y.","no migration background","1013.26","1001.42","2560","343","614","1278","1637","2556","991.49","1035.03","0","12578","920","971"
"1993","35-65 y.","direct migration background","1302.45","1176","994","511","869","1534","2144","4397","1266.16","1338.74","26","6135","1125","1176"
