"year","bula_h","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1984","Baden-Württemberg","899.24","869","1450","868.11","930.37","256","511","1125","1493"
"1984","Bavaria","871.06","818","1276","842.84","899.28","230","511","1074","1534"
"1984","Berlin","1032.07","982.33","265","959.43","1104.71","400","665","1227","1534"
"1984","Brandenburg","","","","","","","","",""
"1984","Bremen","757.87","700.79","54","632.35","883.39","153","409","1023","1329"
"1984","Hamburg","941.9","920","179","872.48","1011.32","332","594","1176","1534"
"1984","Hesse","905.92","869","752","870.81","941.03","230","511","1162","1585"
"1984","Lower Saxony","908.88","869","672","863.59","954.17","220","471","1176","1687"
"1984","Mecklenburg-Western Pomerania","","","","","","","","",""
"1984","North Rhine-Westphalia","963.6","920","1831","938.07","989.13","256","614","1176","1636"
"1984","Rhineland-Palatinate,Saarland","851.47","818","456","805.28","897.66","215","511","1122","1534"
"1984","Saxony","","","","","","","","",""
"1984","Saxony-Anhalt","","","","","","","","",""
"1984","Schleswig-Holstein","915.9","869","227","845.01","986.79","266","511","1168","1756"
"1984","Thuringia","","","","","","","","",""
"1985","Baden-Württemberg","880.62","844","1325","854.19","907.05","230","511","1125","1534"
"1985","Bavaria","886.92","818","1190","856.51","917.33","235","511","1125","1585"
"1985","Berlin","1022.62","1015.65","228","953.61","1091.63","383","639","1227","1646"
"1985","Brandenburg","","","","","","","","",""
"1985","Bremen","679.82","614","42","544.04","815.6","181","272","946","1304"
"1985","Hamburg","924.91","920","167","848.6","1001.22","265","614","1207","1534"
"1985","Hesse","926.25","869","676","886.84","965.66","224","542","1227","1647"
"1985","Lower Saxony","965.61","869","585","887.3","1043.92","210","486","1176","1636"
"1985","Mecklenburg-Western Pomerania","","","","","","","","",""
"1985","North Rhine-Westphalia","956.08","895.8","1691","928.48","983.68","253","562","1193","1636"
"1985","Rhineland-Palatinate,Saarland","853.08","818","420","806.58","899.58","239","535","1023","1534"
"1985","Saxony","","","","","","","","",""
"1985","Saxony-Anhalt","","","","","","","","",""
"1985","Schleswig-Holstein","926.85","876.43","205","854.64","999.06","307","562","1125","1679"
"1985","Thuringia","","","","","","","","",""
"1986","Baden-Württemberg","936.13","914.34","1308","907.91","964.35","256","562","1176","1636"
"1986","Bavaria","921.71","851.92","1106","880.35","963.07","256","511","1165","1631"
"1986","Berlin","1036.85","1023","227","963.85","1109.85","364","690","1227","1536"
"1986","Brandenburg","","","","","","","","",""
"1986","Bremen","698.27","565.34","49","539.8","856.74","82","245","1023","1457"
"1986","Hamburg","1056.66","959.65","144","964.39","1148.93","389","818","1253","1790"
"1986","Hesse","957.39","869","634","913.49","1001.29","243","496","1227","1738"
"1986","Lower Saxony","944.97","869","613","891.73","998.21","223","511","1176","1643"
"1986","Mecklenburg-Western Pomerania","","","","","","","","",""
"1986","North Rhine-Westphalia","1001.04","946","1606","972.43","1029.65","274","614","1278","1716"
"1986","Rhineland-Palatinate,Saarland","905.64","863.69","426","856.39","954.89","237","562","1125","1534"
"1986","Saxony","","","","","","","","",""
"1986","Saxony-Anhalt","","","","","","","","",""
"1986","Schleswig-Holstein","940.96","869","196","863.57","1018.35","307","562","1125","1738"
"1986","Thuringia","","","","","","","","",""
"1987","Baden-Württemberg","962.53","920","1287","932.53","992.53","266","511","1227","1646"
"1987","Bavaria","919.3","862.33","1119","887.48","951.12","254","511","1176","1673"
"1987","Berlin","1087.37","1023","230","1018.4","1156.34","460","767","1313","1636"
"1987","Brandenburg","","","","","","","","",""
"1987","Bremen","776.16","747.47","41","614.2","938.12","82","307","1125","1329"
"1987","Hamburg","1019.96","958.41","130","923.56","1116.36","251","630","1278","1696"
"1987","Hesse","1004.77","920","651","958.92","1050.62","266","568","1253","1738"
"1987","Lower Saxony","936.2","834.6","629","881.9","990.5","245","471","1176","1687"
"1987","Mecklenburg-Western Pomerania","","","","","","","","",""
"1987","North Rhine-Westphalia","1017.84","971","1601","989.62","1046.06","266","639","1278","1753"
"1987","Rhineland-Palatinate,Saarland","896.01","863.36","416","845.42","946.6","238","511","1149","1534"
"1987","Saxony","","","","","","","","",""
"1987","Saxony-Anhalt","","","","","","","","",""
"1987","Schleswig-Holstein","946.95","920","193","867.3","1026.6","256","512","1199","1718"
"1987","Thuringia","","","","","","","","",""
"1988","Baden-Württemberg","974.97","920","1232","943.87","1006.07","256","562","1227","1694"
"1988","Bavaria","963.17","920","1063","929.79","996.55","251","562","1227","1738"
"1988","Berlin","1133.41","1099.61","222","1056.18","1210.64","460","767","1304","1759"
"1988","Brandenburg","","","","","","","","",""
"1988","Bremen","857.48","818.47","47","697.7","1017.26","220","383","1150","1501"
"1988","Hamburg","1059.26","1023","119","965.15","1153.37","294","767","1375","1783"
"1988","Hesse","1086.54","1007.43","598","1034.56","1138.52","263","614","1329","1892"
"1988","Lower Saxony","949.21","895.39","601","897.15","1001.27","220","491","1227","1738"
"1988","Mecklenburg-Western Pomerania","","","","","","","","",""
"1988","North Rhine-Westphalia","1052.09","997","1529","1021.07","1083.11","274","665","1323","1815"
"1988","Rhineland-Palatinate,Saarland","929.16","920","390","878.79","979.53","263","588","1181","1585"
"1988","Saxony","","","","","","","","",""
"1988","Saxony-Anhalt","","","","","","","","",""
"1988","Schleswig-Holstein","1001.44","948.36","187","912.28","1090.6","281","612","1278","1738"
"1988","Thuringia","","","","","","","","",""
"1989","Baden-Württemberg","1027.85","971","1203","993.55","1062.15","279","598","1278","1743"
"1989","Bavaria","1005.61","920","1045","967.43","1043.79","256","614","1278","1790"
"1989","Berlin","1180.05","1125.49","221","1098.46","1261.64","501","856","1432","1790"
"1989","Brandenburg","","","","","","","","",""
"1989","Bremen","1023.73","842.79","48","857.91","1189.55","302","680","1300","1841"
"1989","Hamburg","1102.75","1041.79","119","1010","1195.5","348","818","1309","1790"
"1989","Hesse","1090.65","1023","604","1041.27","1140.03","266","638","1380","1943"
"1989","Lower Saxony","1039.4","971","568","981.86","1096.94","288","614","1278","1636"
"1989","Mecklenburg-Western Pomerania","","","","","","","","",""
"1989","North Rhine-Westphalia","1091.92","1023","1501","1059.69","1124.15","281","665","1380","1860"
"1989","Rhineland-Palatinate,Saarland","940.51","910","396","885.7","995.32","230","527","1227","1585"
"1989","Saxony","","","","","","","","",""
"1989","Saxony-Anhalt","","","","","","","","",""
"1989","Schleswig-Holstein","1072.87","1023","175","978","1167.74","317","716","1329","1874"
"1989","Thuringia","","","","","","","","",""
"1990","Baden-Württemberg","1058.26","1022.61","1196","1024.69","1091.83","294","614","1329","1790"
"1990","Bavaria","1073.68","1023","1031","1032.94","1114.42","286","614","1329","1943"
"1990","Berlin","959.83","844.55","437","905.81","1013.85","353","503","1278","1664"
"1990","Brandenburg","485.46","482.44","567","468.74","502.18","256","376","588","710"
"1990","Bremen","1047.07","920","45","869.91","1224.23","317","562","1370","1900"
"1990","Hamburg","1151.39","1125","97","1048.31","1254.47","598","869","1534","1730"
"1990","Hesse","1141.38","1074","604","1082.62","1200.14","307","562","1470","1976"
"1990","Lower Saxony","1127.89","1023","558","1065.88","1189.9","315","664","1381","1892"
"1990","Mecklenburg-Western Pomerania","463.48","460","401","443.12","483.84","220","340","562","665"
"1990","North Rhine-Westphalia","1151.48","1074","1498","1114.69","1188.27","297","665","1466","2045"
"1990","Rhineland-Palatinate,Saarland","1022.98","1023","368","959.9","1086.06","264","614","1322","1790"
"1990","Saxony","474.51","460","1040","462.74","486.28","256","358","562","690"
"1990","Saxony-Anhalt","465.44","458","630","450.04","480.84","233","356","567","665"
"1990","Schleswig-Holstein","1029.98","1023","168","943.99","1115.97","301","608","1329","1892"
"1990","Thuringia","458.39","460","566","442.62","474.16","230","358","562","665"
"1991","Baden-Württemberg","1137.8","1074","1217","1101.94","1173.66","312","614","1452","1943"
"1991","Bavaria","1121.26","1023","1041","1083.24","1159.28","307","700","1432","1948"
"1991","Berlin","1082.99","1009.23","402","1016.69","1149.29","424","619","1380","1790"
"1991","Brandenburg","607.68","565.11","455","581.4","633.96","297","460","729","920"
"1991","Bremen","1019.7","920","44","846.83","1192.57","358","665","1351","1858"
"1991","Hamburg","1188.1","1189.67","97","1072.44","1303.76","460","890","1534","1841"
"1991","Hesse","1136.75","1056.12","616","1084.07","1189.43","302","614","1508","1975"
"1991","Lower Saxony","1123.74","1023","573","1058.08","1189.4","271","562","1432","1943"
"1991","Mecklenburg-Western Pomerania","581.15","562","322","552.52","609.78","271","435","690","869"
"1991","North Rhine-Westphalia","1190.36","1125","1524","1153.26","1227.46","307","680","1483","2122"
"1991","Rhineland-Palatinate,Saarland","1053.61","997","388","993.63","1113.59","280","592","1365","1943"
"1991","Saxony","574.14","537","836","554.59","593.69","307","422","665","835"
"1991","Saxony-Anhalt","580.9","562","557","558.96","602.84","307","435","676","829"
"1991","Schleswig-Holstein","1135.82","1074","184","1032.79","1238.85","245","548","1534","2137"
"1991","Thuringia","568.58","555.75","471","544.53","592.63","266","419","665","818"
"1992","Baden-Württemberg","1201.95","1125","1156","1163.91","1239.99","343","747","1534","2046"
"1992","Bavaria","1190.32","1086.64","1060","1150.43","1230.21","358","716","1534","2045"
"1992","Berlin","1114.92","1023","380","1054.63","1175.21","460","716","1380","1892"
"1992","Brandenburg","767.32","750.2","408","737","797.64","383","614","910","1125"
"1992","Bremen","1156.76","1079.52","43","1006.51","1307.01","562","844","1329","1892"
"1992","Hamburg","1252.95","1179.36","88","1128.75","1377.15","562","1023","1483","1896"
"1992","Hesse","1239.87","1176","584","1184.24","1295.5","358","716","1636","2045"
"1992","Lower Saxony","1217.52","1150.23","553","1153.77","1281.27","301","707","1585","2045"
"1992","Mecklenburg-Western Pomerania","772.27","716","257","731.96","812.58","407","562","910","1176"
"1992","North Rhine-Westphalia","1243.67","1176","1504","1208.18","1279.16","310","767","1555","2096"
"1992","Rhineland-Palatinate,Saarland","1141.67","1074","363","1078.66","1204.68","333","736","1483","1985"
"1992","Saxony","744.32","703.21","688","716.48","772.16","390","562","869","1125"
"1992","Saxony-Anhalt","745.24","716","482","714.79","775.69","383","562","920","1099"
"1992","Schleswig-Holstein","1182.36","1144.58","166","1072.82","1291.9","309","665","1534","2048"
"1992","Thuringia","695.01","665","413","666.29","723.73","358","537","820","1053"
"1993","Baden-Württemberg","1273.72","1176","1144","1233.22","1314.22","359","746","1598","2301"
"1993","Bavaria","1260.52","1125","1037","1217.04","1304","377","767","1636","2173"
"1993","Berlin","1283.2","1161","361","1210.75","1355.65","551","890","1534","1979"
"1993","Brandenburg","915.24","909.13","381","873.2","957.28","399","665","1125","1329"
"1993","Bremen","1227.29","1125","41","996.75","1457.83","391","817","1585","2147"
"1993","Hamburg","1335.24","1278","82","1210.11","1460.37","601","1023","1552","2058"
"1993","Hesse","1320.2","1227","583","1262.14","1378.26","409","756","1687","2299"
"1993","Lower Saxony","1274.05","1176","579","1197.4","1350.7","266","602","1594","2199"
"1993","Mecklenburg-Western Pomerania","933.24","869","227","878.51","987.97","502","715","1125","1380"
"1993","North Rhine-Westphalia","1352.2","1278","1480","1306.2","1398.2","353","818","1687","2319"
"1993","Rhineland-Palatinate,Saarland","1172.82","1111.53","350","1101.25","1244.39","328","665","1503","2096"
"1993","Saxony","905.91","818","657","851.34","960.48","447","663","1032","1360"
"1993","Saxony-Anhalt","877.92","823.65","435","838.6","917.24","412","614","1074","1329"
"1993","Schleswig-Holstein","1282.52","1158.12","171","1154.58","1410.46","342","741","1534","2454"
"1993","Thuringia","811.56","771","390","773.95","849.17","368","598","1023","1227"
"1994","Baden-Württemberg","1292.02","1176","1045","1248.17","1335.87","363","818","1585","2301"
"1994","Bavaria","1301.36","1191.36","978","1255.31","1347.41","396","844","1636","2258"
"1994","Berlin","1340.2","1227","340","1262.34","1418.06","614","920","1534","2147"
"1994","Brandenburg","987.45","971","362","942.69","1032.21","435","722","1219","1483"
"1994","Bremen","1176.93","1116.43","37","982.52","1371.34","409","800","1483","1872"
"1994","Hamburg","1306","1256.31","81","1168.46","1443.54","419","1023","1790","2045"
"1994","Hesse","1431.76","1278","550","1358.11","1505.41","470","895","1790","2352"
"1994","Lower Saxony","1304.61","1227","568","1230.46","1378.76","358","767","1627","2199"
"1994","Mecklenburg-Western Pomerania","1011.49","998.89","237","941.68","1081.3","444","741","1227","1534"
"1994","North Rhine-Westphalia","1367.88","1278","1419","1327.54","1408.22","394","818","1738","2454"
"1994","Rhineland-Palatinate,Saarland","1221.32","1174.34","349","1147.48","1295.16","347","767","1534","2050"
"1994","Saxony","965.49","935.75","640","920.4","1010.58","464","690","1176","1416"
"1994","Saxony-Anhalt","959.21","920","418","915.93","1002.49","437","690","1145","1483"
"1994","Schleswig-Holstein","1209.49","1067.55","171","1092.58","1326.4","369","614","1534","2045"
"1994","Thuringia","895.08","910.41","387","851.5","938.66","364","647","1101","1329"
"1995","Baden-Württemberg","1315.43","1191.51","1093","1272.11","1358.75","307","767","1636","2505"
"1995","Bavaria","1319.55","1176","1044","1258.42","1380.68","373","767","1641","2352"
"1995","Berlin","1330.78","1205.56","337","1257.64","1403.92","614","971","1534","2045"
"1995","Brandenburg","1008.01","1023","358","961.06","1054.96","406","767","1278","1534"
"1995","Bremen","1646.99","1151.64","41","432.99","2860.99","375","920","1790","2370"
"1995","Hamburg","1274.92","1243.58","77","1141.76","1408.08","352","895","1723","2147"
"1995","Hesse","1421.35","1260.73","566","1351.25","1491.45","409","818","1790","2454"
"1995","Lower Saxony","1334.88","1278","601","1262.09","1407.67","358","767","1636","2158"
"1995","Mecklenburg-Western Pomerania","1042.62","986.63","252","976.69","1108.55","511","716","1275","1570"
"1995","North Rhine-Westphalia","1364.63","1278","1521","1325.7","1403.56","340","767","1773","2505"
"1995","Rhineland-Palatinate,Saarland","1240.53","1161.57","388","1173.36","1307.7","332","818","1534","2199"
"1995","Saxony","1058.11","964.45","643","982.91","1133.31","435","716","1229","1611"
"1995","Saxony-Anhalt","970.42","971","410","922.47","1018.37","442","714","1164","1458"
"1995","Schleswig-Holstein","1275.59","1227","164","1159.17","1392.01","357","716","1636","2173"
"1995","Thuringia","935.69","920","390","886.23","985.15","407","665","1145","1432"
"1996","Baden-Württemberg","1370.1","1227","1018","1323.25","1416.95","358","849","1687","2556"
"1996","Bavaria","1366.51","1278","1017","1315.19","1417.83","358","767","1790","2459"
"1996","Berlin","1378.64","1197.72","317","1297.92","1459.36","716","971","1553","2301"
"1996","Brandenburg","1058.9","1023","342","1010.12","1107.68","424","818","1329","1665"
"1996","Bremen","1720.64","1216.04","41","1042.79","2398.49","362","992","1918","2454"
"1996","Hamburg","1451.15","1307.72","75","1283.54","1618.76","562","1041","1790","2454"
"1996","Hesse","1416.38","1278","538","1351.36","1481.4","376","920","1756","2556"
"1996","Lower Saxony","1344.69","1278","607","1277.46","1411.92","414","818","1688","2096"
"1996","Mecklenburg-Western Pomerania","1088.46","1023","226","1005.99","1170.93","460","716","1278","1534"
"1996","North Rhine-Westphalia","1399.97","1278","1488","1356.95","1442.99","380","818","1738","2556"
"1996","Rhineland-Palatinate,Saarland","1265.7","1184.24","394","1197","1334.4","366","818","1585","2147"
"1996","Saxony","1054","1000.89","651","1011.58","1096.42","460","716","1278","1636"
"1996","Saxony-Anhalt","993.66","979.04","385","948.84","1038.48","475","741","1202","1490"
"1996","Schleswig-Holstein","1274.33","1176","173","1155.12","1393.54","327","818","1534","2250"
"1996","Thuringia","952.26","946","385","907.89","996.63","409","716","1176","1436"
"1997","Baden-Württemberg","1359.88","1227","996","1313.45","1406.31","383","767","1790","2556"
"1997","Bavaria","1407.64","1278","977","1356.53","1458.75","445","869","1835","2546"
"1997","Berlin","1380.54","1224.92","298","1297.78","1463.3","614","997","1585","2096"
"1997","Brandenburg","1048.45","1023","345","999.16","1097.74","367","767","1278","1636"
"1997","Bremen","1425.44","1243.34","41","1207.2","1643.68","477","965","1790","2556"
"1997","Hamburg","1406.52","1294.94","70","1216.51","1596.53","383","920","1723","2556"
"1997","Hesse","1422.17","1281.65","494","1348.95","1495.39","379","767","1790","2505"
"1997","Lower Saxony","1331.46","1254.76","603","1254.63","1408.29","353","818","1636","2147"
"1997","Mecklenburg-Western Pomerania","1158.41","1023","221","1018.9","1297.92","445","804","1278","1739"
"1997","North Rhine-Westphalia","1414.87","1304.02","1472","1373.16","1456.58","381","791","1815","2556"
"1997","Rhineland-Palatinate,Saarland","1223.74","1176","384","1159.49","1287.99","358","869","1534","2045"
"1997","Saxony","1051.99","989.92","632","1006.26","1097.72","409","767","1278","1636"
"1997","Saxony-Anhalt","1011.07","985.15","369","961.93","1060.21","402","767","1227","1536"
"1997","Schleswig-Holstein","1312.51","1278","160","1188.01","1437.01","347","767","1687","2147"
"1997","Thuringia","996.13","971","368","948.62","1043.64","470","716","1176","1534"
"1998","Baden-Württemberg","1352.38","1243.1","1069","1305.93","1398.83","358","767","1738","2505"
"1998","Bavaria","1415.4","1278","1094","1366.8","1464","409","869","1790","2556"
"1998","Berlin","1341.22","1205.87","310","1254.47","1427.97","614","1023","1585","2040"
"1998","Brandenburg","1044.87","1016.46","342","991.2","1098.54","394","741","1329","1687"
"1998","Bremen","1476.25","1329","49","1240.13","1712.37","369","971","1738","2250"
"1998","Hamburg","1411.03","1329","85","1238.78","1583.28","317","767","1738","2556"
"1998","Hesse","1411.78","1318.61","553","1343.05","1480.51","358","808","1738","2505"
"1998","Lower Saxony","1349.89","1278","711","1288.29","1411.49","332","699","1774","2444"
"1998","Mecklenburg-Western Pomerania","1100.21","1023","229","1020.46","1179.96","358","767","1278","1986"
"1998","North Rhine-Westphalia","1415.52","1278","1615","1374.71","1456.33","358","849","1790","2556"
"1998","Rhineland-Palatinate,Saarland","1281.37","1181.74","435","1208.17","1354.57","317","767","1585","2352"
"1998","Saxony","1016.67","971","685","978.06","1055.28","409","716","1227","1534"
"1998","Saxony-Anhalt","1028.15","1005.37","372","978.88","1077.42","381","748","1278","1662"
"1998","Schleswig-Holstein","1390.04","1227","209","1269.21","1510.87","343","746","1636","2556"
"1998","Thuringia","998.46","971","400","949.61","1047.31","409","716","1240","1569"
"1999","Baden-Württemberg","1403.95","1244.96","1040","1351.95","1455.95","322","665","1790","2556"
"1999","Bavaria","1406.19","1278","1111","1357.56","1454.82","322","818","1820","2567"
"1999","Berlin","1459.05","1278","293","1364.9","1553.2","532","1023","1789","2490"
