"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","914.65","869","7162","244","537","1125","1542","2768","901.84","927.46","0","10737","843","869"
"1985","919.29","869","6529","239","527","1152","1585","2710","905.11","933.47","0","17895","844","869"
"1986","955.6","920","6309","256","562","1196","1647","2965","940.92","970.28","0","16361","869","910"
"1987","968.06","920","6297","256","562","1227","1687","2817","953.87","982.25","0","7449","869","920"
"1988","1004.14","938.56","5988","256","598","1278","1790","3068","989.15","1019.13","0","6647","920","920"
"1989","1049.82","971","5880","276","638","1329","1790","3170","1033.83","1065.81","0","10226","946","971"
"1990","956.11","869","9206","281","460","1272","1779","3068","943.47","968.75","0","10226","665","699"
"1991","1027.41","920","8727","307","528","1329","1862","3316","1014.09","1040.73","0","8896","792","818"
"1992","1124.57","1023","8145","353","658","1432","1968","3422","1110.89","1138.25","0","8692","920","971"
"1993","1223.72","1125","7918","376","716","1534","2142","3835","1207.4","1240.04","0","20452","1023","1059"
"1994","1260.05","1150.75","7582","406","767","1534","2158","3886","1243.78","1276.32","0","12271","1074","1125"
"1995","1280.11","1176","7885","379","767","1585","2250","4141","1261.55","1298.67","0","25565","1089","1125"
"1996","1315.44","1193.3","7657","399","818","1636","2301","4090","1298.37","1332.51","20","14316","1125","1150"
"1997","1322.72","1202","7430","400","811","1657","2301","4090","1305.29","1340.15","19","15339","1125","1166"
"1998","1326","1221.91","8158","367","777","1687","2352","4090","1309.43","1342.57","0","7669","1125","1176"
"1999","1338.89","1227","8089","322","767","1687","2352","4423","1321.57","1356.21","0","10397","1125","1176"
"2000","1351.73","1227","13845","322","767","1738","2403","4550","1336.79","1366.67","0","12782","1202","1227"
"2001","1375.21","1278","12632","322","767","1776","2505","4550","1359.46","1390.96","0","12782","1227","1278"
"2002","1421.86","1300","13504","325","744","1800","2500","5000","1395.77","1447.95","0","80000","1300","1350"
"2003","1437.2","1300","12792","325","734","1800","2500","5200","1413.29","1461.11","0","59000","1300","1350"
"2004","1453.07","1300","12404","350","732","1855","2567","5200","1429.11","1477.03","0","30214","1302","1382"
"2005","1465.05","1304","11749","350","724","1900","2600","5020","1441.59","1488.51","0","20000","1329","1400"
"2006","1483.55","1322","12387","348","720","1900","2678","5100","1454.5","1512.6","0","84300","1320","1400"
"2007","1490.13","1330","11810","362","730","1900","2700","5050","1466.41","1513.85","0","25000","1344","1400"
"2008","1509.48","1350","11188","358","712","1950","2728","5800","1485.41","1533.55","0","22000","1350","1400"
"2009","1540.29","1400","10428","373","743","2000","2800","5800","1514.59","1565.99","0","24399","1400","1417"
"2010","1582.72","1400","14113","358","750","2000","2800","6100","1559.37","1606.07","0","30000","1400","1412"
"2011","1618.39","1470","17030","400","820","2041","3000","5800","1597.45","1639.33","0","35000","1400","1450"
"2012","1640.93","1500","16767","392","817","2100","3000","5500","1619.39","1662.47","0","36000","1400","1490"
"2013","1664.63","1500","19122","400","804","2100","3099","6000","1644.91","1684.35","0","37000","1400","1400"
"2014","1701.23","1520","16857","400","813","2200","3100","5987","1679.84","1722.62","0","25000","1450","1500"
"2015","1739.52","1570","16633","420","850","2200","3200","6000","1717.63","1761.41","0","30000","1482","1500"
"2016","1759.93","1600","15801","423","880","2204","3200","6010","1737.4","1782.46","0","32000","1460","1500"
"2017","1787.25","1600","18060","433","900","2300","3250","6100","1766.73","1807.77","0","36600","1500","1500"
"2018","1849.11","1670","17635","444","950","2400","3400","6500","1828.12","1870.1","0","40000","1500","1534"
"2019","1977.26","1750","18433","450","1000","2500","3500","7000","1792.43","2162.09","0","1700000","1697","1700"
