"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","865.58","844.63","2290","347","562","1023","1278","2352","848.04","883.12","0","9715","818","844"
"1984","indirect migration background","674.96","614","68","230","307","920","1217","1636","563.37","786.55","61","2812","307","614"
"1984","no migration background","921.87","869","4804","235","516","1176","1585","2801","904.87","938.87","0","10737","869","876"
"1985","direct migration background","862.62","844","1960","308","588","1046","1329","2253","845.24","880","0","6647","818","869"
"1985","indirect migration background","684.36","680.66","67","196","266","869","1534","1585","589.99","778.73","38","1585","266","614"
"1985","no migration background","927.55","869","4502","235","511","1176","1636","2761","908.6","946.5","0","17895","869","895"
"1986","direct migration background","886.71","869","1884","297","614","1074","1380","2454","868.57","904.85","0","5113","844","869"
"1986","indirect migration background","769.53","716","91","230","409","971","1432","1687","672.64","866.42","49","3477","383","665"
"1986","no migration background","965.62","920","4334","253","557","1227","1687","2991","945.98","985.26","0","16361","895","920"
"1987","direct migration background","907.58","895","1873","317","614","1125","1432","2289","889.39","925.77","31","5113","869","897"
"1987","indirect migration background","700.47","716","92","233","383","920","1125","1636","610.31","790.63","118","3359","399","665"
"1987","no migration background","977.86","920","4332","256","557","1263","1738","2965","959.01","996.71","0","7449","905","920"
"1988","direct migration background","950.93","920","1747","307","614","1125","1483","2556","930.83","971.03","0","6647","887","920"
"1988","indirect migration background","673.08","665","121","191","332","971","1176","1636","595.79","750.37","0","3474","409","653"
"1988","no migration background","1013.49","963.43","4120","256","588","1278","1790","3097","993.74","1033.24","0","6647","920","971"
"1989","direct migration background","995.98","971","1699","358","710","1227","1534","2556","975.43","1016.53","0","5113","920","971"
"1989","indirect migration background","736.71","653.21","137","256","358","971","1391","1764","657.53","815.89","0","3471","496","767"
"1989","no migration background","1059.57","979","4044","268","623","1329","1841","3221","1038.31","1080.83","0","10226","971","997"
"1990","direct migration background","1007.08","971","1756","358","614","1253","1636","2608","983.14","1031.02","0","8181","946","989"
"1990","indirect migration background","673.66","562","168","205","286","952","1278","1943","592.14","755.18","0","5113","486","767"
"1990","no migration background","952.68","830.47","7282","281","460","1278","1790","3093","937.98","967.38","0","10226","593","614"
"1991","direct migration background","1053.76","1023","1747","332","649","1278","1677","3058","1030.57","1076.95","0","6902","971","1023"
"1991","indirect migration background","693.28","537.88","214","245","309","1008","1278","2045","625.49","761.07","26","4090","465","695"
"1991","no migration background","1028.12","920","6766","306","513","1330","1892","3323","1012.22","1044.02","0","8896","723","767"
"1992","direct migration background","1119.2","1074","1623","375","741","1380","1754","3323","1094.38","1144.02","0","6391","1032","1104"
"1992","indirect migration background","741.5","597.89","236","256","332","972","1380","2301","672.02","810.98","0","4090","511","767"
"1992","no migration background","1130.95","1023","6286","356","651","1432","1994","3426","1114.69","1147.21","0","8692","903","920"
"1993","direct migration background","1217.38","1125","1531","412","818","1473","1943","3835","1189.67","1245.09","0","6135","1074","1125"
"1993","indirect migration background","737.79","512.96","289","297","360","1023","1278","2301","679.45","796.13","0","4090","518","818"
"1993","no migration background","1234.83","1125","6098","377","716","1551","2147","3784","1215.11","1254.55","0","20452","1023","1058"
"1994","direct migration background","1233.95","1125","1369","445","818","1470","1994","3732","1200.59","1267.31","0","12271","1125","1176"
"1994","indirect migration background","812.75","630.46","294","281","394","1135","1534","2556","751.77","873.73","51","4090","614","920"
"1994","no migration background","1274.09","1176","5919","409","767","1585","2199","3886","1255.07","1293.11","0","10226","1074","1125"
"1995","direct migration background","1235.16","1125","1562","345","767","1519","2020","4868","1186.4","1283.92","0","25565","1125","1176"
"1995","indirect migration background","775.61","614.6","312","281","399","1048","1470","2454","711.76","839.46","0","4602","665","869"
"1995","no migration background","1298.68","1176","6011","389","767","1636","2301","4098","1278.25","1319.11","0","20452","1089","1125"
"1996","direct migration background","1234.16","1176","1438","383","790","1508","1943","5113","1202.81","1265.51","20","5113","1125","1202"
"1996","indirect migration background","919.64","811.16","320","297","394","1125","1534","8692","840.7","998.58","26","8692","767","946"
"1996","no migration background","1337.4","1227","5899","409","818","1677","2319","4090","1317.16","1357.64","44","14316","1125","1176"
"1997","direct migration background","1278.35","1176","1327","409","818","1534","2126","4602","1245.72","1310.98","56","5624","1176","1227"
"1997","indirect migration background","892.27","767","354","302","399","1132","1636","7506","827.65","956.89","19","7506","736","951"
"1997","no migration background","1342.94","1227","5749","409","818","1702","2352","4090","1322.23","1363.65","24","15339","1125","1176"
"1998","direct migration background","1291.26","1185.85","1284","358","808","1534","2199","4653","1253.54","1328.98","0","7669","1176","1227"
"1998","indirect migration background","928.61","871.23","358","291","409","1278","1662","3068","862.85","994.37","0","6135","767","995"
"1998","no migration background","1344.63","1227","6516","378","807","1713","2403","4090","1325.69","1363.57","0","7158","1125","1176"
"1999","direct migration background","1368.25","1176","1192","330","818","1585","2301","4653","1325.53","1410.97","0","10397","1176","1278"
"1999","indirect migration background","914.84","920","381","283","409","1249","1738","2659","856.72","972.96","61","3579","837","991"
"1999","no migration background","1349.9","1227","6516","322","792","1738","2383","4346","1330.25","1369.55","0","10226","1125","1176"
"2000","direct migration background","1268.15","1176","1809","322","767","1585","2045","4346","1231.99","1304.31","0","8181","1176","1278"
"2000","indirect migration background","990.96","1016.85","498","297","460","1329","1790","2710","934.93","1046.99","0","5113","946","1033"
"2000","no migration background","1376.83","1278","11538","322","767","1783","2454","4602","1360.05","1393.61","0","12782","1227","1240"
"2001","direct migration background","1271.18","1227","1627","322","716","1631","2096","4451","1232.12","1310.24","0","8308","1227","1278"
"2001","indirect migration background","1138.9","1023","467","312","489","1534","2096","4550","1070.51","1207.29","0","6647","971","1074"
"2001","no migration background","1398.97","1278","10538","322","767","1790","2556","4591","1381.37","1416.57","0","12782","1227","1278"
"2002","direct migration background","1245","1200","1544","318","603","1600","2000","4500","1184.88","1305.12","0","25000","1200","1300"
"2002","indirect migration background","1152.85","1051.45","478","307","458","1500","2000","4000","1057.79","1247.91","0","15000","1000","1150"
