"year","e11102","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Employed","Rural Area","887.55","818","1252","224","486","1099","1534","2563","846.84","928.26","0","17895","792","869"
"1985","Employed","Urban Area","945.48","891.1","5094","256","568","1176","1636","2761","930.61","960.35","0","6647","869","879"
"1985","Not Employed","Rural Area","386.99","237.97","41","136","197","511","946","1312","284.5","489.48","0","1312","205","511"
"1985","Not Employed","Urban Area","433.01","352.99","142","62","164","629","920","1585","370.98","495.04","0","2555","272","511"
"1986","Employed","Rural Area","872.37","838.34","1237","220","501","1150","1558","2326","843.62","901.12","0","3579","818","869"
"1986","Employed","Urban Area","996.06","920","4919","281","614","1227","1713","3068","978.92","1013.2","0","16361","895","920"
"1986","Not Employed","Rural Area","434.93","250.84","33","87","199","869","937","1176","306.35","563.51","0","1176","205","690"
"1986","Not Employed","Urban Area","502.57","484.39","120","102","215","702","924","1432","444.46","560.68","0","1432","394","562"
"1987","Employed","Rural Area","883.86","818","1274","235","460","1176","1559","2556","853.97","913.75","0","5113","818","869"
"1987","Employed","Urban Area","1003.2","920","4916","271","614","1274","1738","3068","986.97","1019.43","0","7449","920","920"
"1987","Not Employed","Rural Area","","","","","","","","","","","","","",""
"1987","Not Employed","Urban Area","472","409","79","129","205","665","920","1176","399.31","544.69","19","1787","225","511"
"1988","Employed","Rural Area","912.59","869","1173","230","486","1176","1636","2556","881.47","943.71","0","3579","854","920"
"1988","Employed","Urban Area","1042.89","971","4701","284","652","1278","1790","3170","1025.69","1060.09","0","6647","920","971"
"1988","Not Employed","Rural Area","","","","","","","","","","","","","",""
"1988","Not Employed","Urban Area","539.21","464.32","86","107","220","782","981","1713","461.68","616.74","0","1713","307","511"
"1989","Employed","Rural Area","972.91","920","1138","262","562","1253","1738","2659","940.79","1005.03","0","4090","879","941"
"1989","Employed","Urban Area","1083.15","1017","4616","286","687","1329","1841","3323","1064.62","1101.68","0","10226","971","997"
"1989","Not Employed","Rural Area","","","","","","","","","","","","","",""
"1989","Not Employed","Urban Area","596.79","516.55","105","184","265","818","1329","1483","525.42","668.16","0","1483","388","614"
"1990","Employed","Rural Area","1016.95","971","1154","281","573","1304","1790","3068","984.08","1049.82","0","5113","920","971"
"1990","Employed","Urban Area","1142.7","1074","4514","317","695","1432","1943","3579","1122.33","1163.07","0","10226","1023","1040"
"1990","Not Employed","Rural Area","","","","","","","","","","","","","",""
"1990","Not Employed","Urban Area","469.05","408.43","84","102","205","614","971","1380","389.35","548.75","41","1702","358","557"
"1991","Employed","Rural Area","1049.6","1023","1177","259","562","1380","1851","3068","1015.47","1083.73","40","5113","946","1023"
"1991","Employed","Urban Area","1192.3","1125","4542","331","716","1490","2045","3579","1171.7","1212.9","0","8896","1053","1079"
"1991","Not Employed","Rural Area","","","","","","","","","","","","","",""
"1991","Not Employed","Urban Area","597.65","511","114","77","205","920","1176","1763","513.44","681.86","0","2454","389","665"
"1992","Employed","Rural Area","977.48","869","2622","332","588","1278","1713","2710","958.27","996.69","0","5113","767","818"
"1992","Employed","Urban Area","1199.26","1125","5312","370","716","1534","2045","3579","1181.18","1217.34","0","8692","1023","1074"
"1992","Not Employed","Rural Area","513.48","334.54","47","96","194","818","1125","1636","394.8","632.16","0","1636","268","630"
"1992","Not Employed","Urban Area","638.94","563.22","83","164","307","818","1227","1943","544.59","733.29","0","1943","325","562"
"1993","Employed","Rural Area","1078.34","971","2538","358","665","1329","1815","3186","1053.91","1102.77","0","12578","920","971"
"1993","Employed","Urban Area","1305.39","1176","5189","409","781","1636","2250","4080","1284.06","1326.72","0","20452","1125","1125"
"1993","Not Employed","Rural Area","475.24","409","71","166","247","649","1023","1125","408.5","541.98","0","1150","386","527"
"1993","Not Employed","Urban Area","605.81","511","120","77","256","917","1176","2079","528.75","682.87","0","2079","399","635"
"1994","Employed","Rural Area","1121.25","1023","2475","368","716","1381","1892","3221","1097.22","1145.28","0","10226","997","1023"
"1994","Employed","Urban Area","1336.12","1227","4946","435","829","1636","2301","4090","1314.81","1357.43","0","12271","1125","1176"
"1994","Not Employed","Rural Area","566.37","562","53","207","299","687","971","1524","471.4","661.34","0","1524","424","614"
"1994","Not Employed","Urban Area","613.38","512.52","108","82","286","869","1278","1698","523.42","703.34","0","2654","337","551"
"1995","Employed","Rural Area","1153.65","1038","2602","357","716","1432","2020","3378","1125.43","1181.87","0","20452","1023","1031"
"1995","Employed","Urban Area","1358.57","1227","5094","421","818","1687","2352","4212","1334.17","1382.97","0","25565","1150","1176"
"1995","Not Employed","Rural Area","598.98","551.23","71","128","435","844","1150","1534","512.96","685","0","1534","440","614"
"1995","Not Employed","Urban Area","571.27","351.73","118","102","274","920","1221","1994","490.04","652.5","0","1994","343","741"
"1996","Employed","Rural Area","1196.31","1089.47","2531","393","767","1483","1968","3579","1170.75","1221.87","51","10226","1028","1074"
"1996","Employed","Urban Area","1384.76","1278","4971","414","869","1718","2448","4244","1362.36","1407.16","26","14316","1176","1227"
"1996","Not Employed","Rural Area","635.24","509.85","56","209","302","910","1176","1636","527.42","743.06","61","1636","358","588"
"1996","Not Employed","Urban Area","651.89","486.41","99","237","307","869","1227","1891","565.96","737.82","20","2058","409","716"
"1997","Employed","Rural Area","1205.24","1099","2470","370","767","1493","2005","3428","1176.4","1234.08","19","15339","1043","1074"
"1997","Employed","Urban Area","1386.43","1278","4829","409","844","1741","2454","4256","1364.42","1408.44","24","8692","1176","1227"
"1997","Not Employed","Rural Area","588.03","511","52","307","348","767","946","1498","505.6","670.46","162","1498","409","614"
"1997","Not Employed","Urban Area","675.45","670.12","79","230","312","878","1125","1585","582.32","768.58","82","1994","460","767"
"1998","Employed","Rural Area","1226.5","1110.19","2719","348","741","1534","2096","4090","1200.24","1252.76","0","7158","1032","1074"
"1998","Employed","Urban Area","1385.2","1278","5302","409","850","1738","2454","4295","1363.96","1406.44","0","7669","1196","1229"
"1998","Not Employed","Rural Area","600.87","410.6","49","164","294","920","1176","1638","492.26","709.48","61","1638","366","639"
"1998","Not Employed","Urban Area","645.93","473.93","88","153","266","1022","1534","1885","526.07","765.79","0","2579","358","716"
"1999","Employed","Rural Area","1217.99","1074","2728","322","767","1534","2060","4233","1191.5","1244.48","0","10226","1023","1074"
"1999","Employed","Urban Area","1406.51","1278","5216","342","818","1790","2505","4602","1383.98","1429.04","0","10397","1222","1278"
"1999","Not Employed","Rural Area","458.81","460","53","0","102","716","895","1227","367.13","550.49","0","1227","307","511"
"1999","Not Employed","Urban Area","729.92","637.51","92","64","258","1023","1483","2199","618.28","841.56","0","2556","470","818"
"2000","Employed","Rural Area","1236.54","1125","4623","327","717","1534","2068","3992","1213.71","1259.37","0","12782","1077","1125"
"2000","Employed","Urban Area","1424.03","1278","8954","322","814","1790","2556","4755","1404.57","1443.49","0","10226","1278","1295"
"2000","Not Employed","Rural Area","637.64","562","90","169","266","869","1253","2824","534.43","740.85","0","2824","358","665"
"2000","Not Employed","Urban Area","600.54","458.63","176","91","256","869","1227","2502","522.99","678.09","0","2638","322","511"
"2001","Employed","Rural Area","1261.27","1176","4154","322","755","1585","2117","3912","1236.92","1285.62","0","10226","1125","1174"
"2001","Employed","Urban Area","1443.17","1329","8249","322","767","1841","2556","4602","1422.77","1463.57","0","12782","1278","1329"
"2001","Not Employed","Rural Area","531.62","479.13","79","153","322","716","971","1333","451.88","611.36","0","2301","409","604"
