"year","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","871.77","818","1293","205","460","1074","1534","2563","831.99","911.55","0","17895","767","844"
"1985","Urban Area","933.12","869","5236","251","562","1176","1636","2756","918.42","947.82","0","6647","869","869"
"1986","Rural Area","861.29","819.18","1270","210","473","1125","1543","2326","832.89","889.69","0","3579","794","869"
"1986","Urban Area","983.68","920","5039","275","597","1227","1687","3068","966.78","1000.58","0","16361","869","920"
"1987","Rural Area","877.51","818","1302","230","446","1160","1549","2556","847.92","907.1","0","5113","818","869"
"1987","Urban Area","995.22","920","4995","266","614","1253","1738","2965","979.11","1011.33","0","7449","900","920"
"1988","Rural Area","899.36","869","1201","220","460","1176","1636","2556","868.56","930.16","0","3579","840","920"
"1988","Urban Area","1034.12","971","4787","281","614","1278","1790","3117","1017.07","1051.17","0","6647","920","955"
"1989","Rural Area","965.24","920","1159","256","562","1238","1738","2659","933.42","997.06","0","4090","869","920"
"1989","Urban Area","1073.28","997","4721","281","665","1329","1841","3323","1054.98","1091.58","0","10226","971","971"
"1990","Rural Area","753.15","573","3333","253","389","1023","1432","2556","737.95","768.35","0","5113","511","532"
"1990","Urban Area","1052.45","971","5804","307","537","1329","1841","3272","1035.14","1069.76","0","10226","869","920"
"1991","Rural Area","839.57","682","3009","259","460","1125","1534","2659","822.25","856.89","0","5113","614","639"
"1991","Urban Area","1114.76","1023","5656","317","598","1432","1943","3432","1096.96","1132.56","0","8896","938","971"
"1992","Rural Area","969.6","869","2669","320","563","1278","1687","2710","950.53","988.67","0","5113","767","818"
"1992","Urban Area","1191.96","1107","5395","359","716","1525","2045","3579","1174","1209.92","0","8692","1023","1063"
"1993","Rural Area","1062.27","971","2609","334","639","1329","1790","3150","1038.23","1086.31","0","12578","920","952"
"1993","Urban Area","1290.81","1176","5309","396","767","1611","2200","4065","1269.75","1311.87","0","20452","1099","1125"
"1994","Rural Area","1110.32","1023","2528","358","703","1380","1891","3208","1086.55","1134.09","0","10226","971","1023"
"1994","Urban Area","1322.07","1227","5054","411","818","1636","2301","4090","1300.95","1343.19","0","12271","1125","1176"
"1995","Rural Area","1138.02","1023","2673","348","687","1432","1984","3323","1110.27","1165.77","0","20452","1023","1023"
"1995","Urban Area","1341.6","1227","5212","399","818","1648","2352","4212","1317.53","1365.67","0","25565","1125","1176"
"1996","Rural Area","1182.63","1074","2587","376","745","1478","1943","3579","1157.33","1207.93","51","10226","1023","1074"
"1996","Urban Area","1370.13","1263.14","5070","409","865","1688","2403","4244","1347.97","1392.29","20","14316","1176","1227"
"1997","Rural Area","1195.05","1074","2522","357","767","1488","1994","3428","1166.57","1223.53","19","15339","1023","1074"
"1997","Urban Area","1374.61","1263","4908","409","818","1738","2454","4245","1352.79","1396.43","24","8692","1176","1227"
"1998","Rural Area","1212.81","1092","2768","322","716","1533","2088","4090","1186.8","1238.82","0","7158","1023","1074"
"1998","Urban Area","1372.18","1278","5390","383","818","1738","2454","4244","1351.1","1393.26","0","7669","1176","1227"
"1999","Rural Area","1201.99","1074","2781","317","731","1519","2045","4233","1175.71","1228.27","0","10226","1023","1074"
"1999","Urban Area","1395.58","1278","5308","324","818","1790","2505","4602","1373.25","1417.91","0","10397","1202","1237"
"2000","Rural Area","1225.77","1125","4715","322","716","1534","2051","3988","1203.18","1248.36","0","12782","1074","1125"
"2000","Urban Area","1406.71","1278","9130","322","767","1790","2556","4632","1387.43","1425.99","0","10226","1278","1278"
"2001","Rural Area","1248.11","1158.48","4233","322","716","1585","2096","3886","1224.01","1272.21","0","10226","1125","1147"
