"year","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(0) in school","","","","","","","","","","","","","",""
"1984","(1a) inadequately completed","742.88","767","669","256","562","936","1074","1534","719.12","766.64","0","4090","767","818"
"1984","(1b) general elementary school","590.76","562","1425","184","271","869","1023","1432","572.83","608.69","0","2812","639","711"
"1984","(1c) basic vocational qualification","928.79","920","2744","358","665","1125","1432","2425","909.64","947.94","0","10737","895","920"
"1984","(2a) intermediate vocational","967.05","869","948","332","614","1227","1585","2812","928.62","1005.48","12","6135","842","910"
"1984","(2b) intermediate general qualification","439.09","286.28","230","153","223","665","920","1687","396.39","481.79","0","1962","256","311"
"1984","(2c_gen) general maturity certificate","481.1","327","161","174","226","665","971","1873","423.8","538.4","0","1873","358","614"
"1984","(2c_voc) vocational maturity certificate","1105.58","1003.46","305","511","754","1410","1807","2812","1044.01","1167.15","51","5113","905","1023"
"1984","(3a) lower tertiary education","1448.74","1382.87","201","562","971","1841","2250","3579","1347.28","1550.2","0","5113","1278","1534"
"1984","(3b) higher tertiary education","1554.1","1534","422","675","1023","2045","2556","3835","1480.98","1627.22","0","5157","1329","1534"
"1985","(0) in school","","","","","","","","","","","","","",""
"1985","(1a) inadequately completed","752.83","767","524","245","598","920","1074","1577","727.61","778.05","31","2555","767","818"
"1985","(1b) general elementary school","596.25","562","1276","179","256","863","1023","1738","574.95","617.55","0","6647","614","703"
"1985","(1c) basic vocational qualification","930.82","920","2466","377","665","1125","1432","2334","912.96","948.68","0","6647","899","920"
"1985","(2a) intermediate vocational","1018","895","913","383","622","1278","1687","2815","964.95","1071.05","0","17895","869","920"
"1985","(2b) intermediate general qualification","447.34","276","230","179","221","639","964","1406","405.2","489.48","0","1790","256","317"
"1985","(2c_gen) general maturity certificate","456.73","307","158","147","232","602","969","2045","396.87","516.59","0","2045","329","547"
"1985","(2c_voc) vocational maturity certificate","1012.36","920","282","245","716","1253","1749","2556","948.48","1076.24","0","4602","869","997"
"1985","(3a) lower tertiary education","1463","1432","187","521","999","1943","2379","3477","1360.37","1565.63","87","3594","1278","1534"
"1985","(3b) higher tertiary education","1536.37","1533.3","407","654","971","2045","2556","4090","1461.13","1611.61","62","5113","1403","1571"
"1986","(0) in school","","","","","","","","","","","","","",""
"1986","(1a) inadequately completed","775.32","815.99","486","371","562","961","1125","1611","747.3","803.34","31","2556","792","869"
"1986","(1b) general elementary school","626.05","612.06","1228","199","295","895","1074","1585","604.96","647.14","0","3477","665","716"
"1986","(1c) basic vocational qualification","957.29","926.82","2350","357","665","1176","1488","2352","934.97","979.61","0","16361","920","946"
"1986","(2a) intermediate vocational","1033.17","935.22","880","381","681","1278","1687","3068","991.63","1074.71","51","7669","920","971"
"1986","(2b) intermediate general qualification","475.17","291","237","194","233","665","971","1738","432.19","518.15","0","1790","270","341"
"1986","(2c_gen) general maturity certificate","512.29","326.4","172","206","245","716","1023","2096","454.14","570.44","99","2096","337","588"
"1986","(2c_voc) vocational maturity certificate","1082.31","1001.29","276","452","767","1329","1778","2969","1021.01","1143.61","15","4193","920","1023"
"1986","(3a) lower tertiary education","1616.95","1534","180","920","1076","1994","2413","3579","1510.81","1723.09","199","4108","1432","1644"
"1986","(3b) higher tertiary education","1632.39","1585","407","665","1125","2045","2556","3579","1555.43","1709.35","0","5624","1457","1637"
"1987","(0) in school","","","","","","","","","","","","","",""
"1987","(1a) inadequately completed","802.16","818","471","281","609","1023","1227","1534","767.47","836.85","31","5113","782","869"
"1987","(1b) general elementary school","637.63","614","1216","205","307","920","1125","1611","616.53","658.73","0","3359","665","767"
"1987","(1c) basic vocational qualification","974.3","971","2327","409","716","1227","1508","2556","956.12","992.48","0","4090","920","971"
"1987","(2a) intermediate vocational","1034.07","941","904","358","665","1278","1738","2817","993.33","1074.81","0","7449","920","971"
"1987","(2b) intermediate general qualification","493.8","293.26","238","192","256","741","989","1687","449.5","538.1","31","2147","281","330"
"1987","(2c_gen) general maturity certificate","562.29","372.96","173","205","258","767","1125","2454","498.45","626.13","36","2454","407","639"
"1987","(2c_voc) vocational maturity certificate","1048.02","971","273","256","716","1329","1790","2556","982.53","1113.51","36","4346","920","1023"
"1987","(3a) lower tertiary education","1529.52","1534","175","613","1074","2045","2403","3502","1425.22","1633.82","42","3579","1409","1585"
"1987","(3b) higher tertiary education","1698.65","1636","408","701","1074","2199","2659","4295","1614.33","1782.97","51","6033","1534","1738"
"1988","(0) in school","","","","","","","","","","","","","",""
"1988","(1a) inadequately completed","835.99","869","415","332","660","1023","1227","1534","803.15","868.83","0","3068","818","910"
"1988","(1b) general elementary school","674.53","663.18","1168","205","281","944","1176","1738","649.4","699.66","0","6647","716","767"
"1988","(1c) basic vocational qualification","1005","1006.34","2197","383","738","1227","1549","2418","985.4","1024.6","0","4109","971","1023"
"1988","(2a) intermediate vocational","1054.22","985.53","865","358","698","1304","1790","3323","1013.92","1094.52","0","5113","920","1023"
"1988","(2b) intermediate general qualification","546.94","354.59","249","194","261","782","1023","1585","500.66","593.22","0","2045","304","404"
"1988","(2c_gen) general maturity certificate","562.78","409","150","174","274","818","1074","2301","492.74","632.82","0","2301","429","664"
