"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","Female","586.78","562","775","205","383","723","971","1892","568.39","605.17","0","2352","562","614"
"1984","direct migration background","Male","1016.89","946","1515","614","767","1125","1479","2812","994.44","1039.34","0","9715","920","920"
"1984","indirect migration background","Female","517.78","463.22","32","230","307","614","1074","1074","428.56","607","61","1074","286","562"
"1984","indirect migration background","Male","852.7","717.08","36","244","615","1125","1534","2812","658.97","1046.43","164","2812","245","716"
"1984","no migration background","Female","582","537","1866","184","297","794","1023","1687","566.08","597.92","0","2601","511","562"
"1984","no migration background","Male","1133.9","1023","2938","511","818","1380","1807","3068","1111.3","1156.5","0","10737","1023","1042"
"1985","direct migration background","Female","591.59","586.08","668","205","409","767","920","1555","571.48","611.7","0","2045","562","614"
"1985","direct migration background","Male","1014.68","920.52","1292","562","818","1176","1534","2556","993.22","1036.14","0","6647","920","920"
"1985","indirect migration background","Female","475.36","467.38","30","153","235","614","920","920","385.75","564.97","131","1023","256","562"
"1985","indirect migration background","Male","850.12","715.16","37","235","614","1109","1585","1585","694.41","1005.83","38","1585","256","716"
"1985","no migration background","Female","597.77","562","1816","184","297","818","1023","1771","581.07","614.47","0","2556","532","588"
"1985","no migration background","Male","1150.96","1023","2686","486","818","1386","1892","3221","1124.63","1177.29","0","17895","1023","1074"
"1986","direct migration background","Female","603.2","585.64","635","205","358","792","971","1534","580.14","626.26","0","2556","578","634"
"1986","direct migration background","Male","1044.8","993.01","1249","614","818","1176","1534","2751","1023.26","1066.34","0","5113","941","971"
"1986","indirect migration background","Female","718.11","614.44","41","194","343","869","1687","1687","618.95","817.27","102","1687","337","588"
"1986","indirect migration background","Male","821.02","781.95","50","230","614","1023","1380","1636","664.39","977.65","49","3477","279","859"
"1986","no migration background","Female","635.42","597","1758","199","323","868","1074","1841","616.28","654.56","0","7669","562","614"
"1986","no migration background","Male","1187.55","1074","2576","511","869","1432","1993","3272","1160.68","1214.42","0","16361","1074","1115"
"1987","direct migration background","Female","620.78","614","652","215","358","818","1023","1784","598.47","643.09","31","2096","614","665"
"1987","direct migration background","Male","1070.51","1023","1221","665","869","1227","1585","2403","1048.85","1092.17","55","5113","971","1023"
"1987","indirect migration background","Female","512.76","407.86","42","233","332","723","818","971","438.98","586.54","118","1023","362","614"
