"year","age_gr","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","East Germany","","","","","","","","","","","","","",""
"1984","16-34 y.","West Germany","737.84","717.74","2934","219","409","946","1227","2045","722.6","753.08","0","5113","716","741"
"1984","35-65 y.","East Germany","","","","","","","","","","","","","",""
"1984","35-65 y.","West Germany","1044.19","971","4178","311","680","1278","1790","2967","1025.94","1062.44","0","10737","920","954"
"1984","66 and older","East Germany","","","","","","","","","","","","","",""
"1984","66 and older","West Germany","550.62","336.69","50","77","153","716","1227","3323","356.83","744.41","31","3323","205","562"
"1985","16-34 y.","East Germany","","","","","","","","","","","","","",""
"1985","16-34 y.","West Germany","732.05","738.78","2690","218","410","946","1176","2045","715.95","748.15","0","6647","716","767"
"1985","35-65 y.","East Germany","","","","","","","","","","","","","",""
"1985","35-65 y.","West Germany","1062.82","975.61","3791","307","665","1329","1815","3068","1042.25","1083.39","0","17895","920","971"
"1985","66 and older","East Germany","","","","","","","","","","","","","",""
"1985","66 and older","West Germany","533.71","256","48","77","179","818","1380","2045","364.73","702.69","15","2556","230","717"
"1986","16-34 y.","East Germany","","","","","","","","","","","","","",""
"1986","16-34 y.","West Germany","757.17","767","2678","232","435","971","1249","1994","741.07","773.27","0","7669","741","767"
"1986","35-65 y.","East Germany","","","","","","","","","","","","","",""
"1986","35-65 y.","West Germany","1109.13","1023","3600","338","715","1380","1943","3131","1087.53","1130.73","0","16361","971","1023"
"1986","66 and older","East Germany","","","","","","","","","","","","","",""
"1986","66 and older","West Germany","631.49","307","31","102","194","875","1790","3068","348.4","914.58","82","3068","268","875"
"1987","16-34 y.","East Germany","","","","","","","","","","","","","",""
"1987","16-34 y.","West Germany","781.41","767","2684","246","450","1012","1278","2147","764.63","798.19","0","5113","767","767"
"1987","35-65 y.","East Germany","","","","","","","","","","","","","",""
"1987","35-65 y.","West Germany","1110.45","1023","3577","328","678","1409","1946","3068","1090.12","1130.78","0","7449","989","1023"
"1987","66 and older","East Germany","","","","","","","","","","","","","",""
"1987","66 and older","West Germany","701.39","207.93","36","102","171","971","1792","3170","414.91","987.87","51","3170","205","971"
"1988","16-34 y.","East Germany","","","","","","","","","","","","","",""
"1988","16-34 y.","West Germany","811.79","818","2560","251","501","1023","1337.66","2301","794.28","829.3","0","5624","767","818"
"1988","35-65 y.","East Germany","","","","","","","","","","","","","",""
"1988","35-65 y.","West Germany","1148.51","1074","3393","307","716","1471","2045","3323","1126.86","1170.16","0","6647","1023","1047"
"1988","66 and older","East Germany","","","","","","","","","","","","","",""
"1988","66 and older","West Germany","637.61","324.61","35","95","199","933","1605","2349","404.87","870.35","0","2349","215","812"
"1989","16-34 y.","East Germany","","","","","","","","","","","","","",""
"1989","16-34 y.","West Germany","844.3","832.64","2582","256","511","1074","1380","2301","826.6","862","0","5113","818","839"
"1989","35-65 y.","East Germany","","","","","","","","","","","","","",""
"1989","35-65 y.","West Germany","1203.24","1125","3262","348","767","1534","2045","3528","1179.61","1226.87","0","10226","1056","1089"
"1989","66 and older","East Germany","","","","","","","","","","","","","",""
"1989","66 and older","West Germany","998.65","663.96","36","127","225","1278","2714","5113","596.04","1401.26","82","5113","348","1048"
"1990","16-34 y.","East Germany","448.36","450","1411","194","352","548","639","1125","437.76","458.96","12","2045","435","460"
"1990","16-34 y.","West Germany","888.34","889.2","2517","272","537","1144","1432","2250","868.39","908.29","0","6135","869","918"
"1990","35-65 y.","East Germany","498.15","485.49","2004","268","368","603","731","1125","489.75","506.55","51","1836","475","496"
"1990","35-65 y.","West Germany","1258.63","1176","3224","383","767","1585","2147","3614","1232.93","1284.33","0","10226","1125","1150"
"1990","66 and older","East Germany","","","","","","","","","","","","","",""
"1990","66 and older","West Germany","","","","","","","","","","","","","",""
"1991","16-34 y.","East Germany","562.15","526.17","1151","256","415","665","844","1483","546.74","577.56","56","2301","511","537"
"1991","16-34 y.","West Germany","939.98","920","2551","276","526","1227","1549","2556","919.81","960.15","0","5323","895","920"
"1991","35-65 y.","East Germany","610.74","573","1676","323","459","716","907","1655","596.98","624.5","0","2914","569","603"
