"pli0165","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","2013","Schleswig-Holstein","(0) in school","19","","",""
"Daily","2013","Schleswig-Holstein","(1a) inadequately completed","8","","",""
"Daily","2013","Schleswig-Holstein","(1b) general elementary school","19","","",""
"Daily","2013","Schleswig-Holstein","(1c) basic vocational qualification","48","0.154118613268569","0.106298751737214","0.201938474799924"
"Daily","2013","Schleswig-Holstein","(2b) intermediate general qualification","19","","",""
"Daily","2013","Schleswig-Holstein","(2a) intermediate vocational","71","0.253103106169749","0.197748599809576","0.308457612529923"
"Daily","2013","Schleswig-Holstein","(2c_gen) general maturity certificate","23","","",""
"Daily","2013","Schleswig-Holstein","(2c_voc) vocational maturity certificate","34","0.187396971686445","0.109336175431436","0.265457767941455"
"Daily","2013","Schleswig-Holstein","(3a) lower tertiary education","14","","",""
"Daily","2013","Schleswig-Holstein","(3b) higher tertiary education","16","","",""
"Daily","2013","Hamburg","(0) in school","6","","",""
"Daily","2013","Hamburg","(1a) inadequately completed","","","",""
"Daily","2013","Hamburg","(1b) general elementary school","10","","",""
"Daily","2013","Hamburg","(1c) basic vocational qualification","10","","",""
"Daily","2013","Hamburg","(2b) intermediate general qualification","3","","",""
"Daily","2013","Hamburg","(2a) intermediate vocational","18","","",""
"Daily","2013","Hamburg","(2c_gen) general maturity certificate","15","","",""
"Daily","2013","Hamburg","(2c_voc) vocational maturity certificate","14","","",""
"Daily","2013","Hamburg","(3a) lower tertiary education","10","","",""
"Daily","2013","Hamburg","(3b) higher tertiary education","29","","",""
"Daily","2013","Lower Saxony","(0) in school","40","0.745192522674339","0.621919569369297","0.868465475979382"
"Daily","2013","Lower Saxony","(1a) inadequately completed","10","","",""
"Daily","2013","Lower Saxony","(1b) general elementary school","52","0.152806526304203","0.105369854983591","0.200243197624814"
"Daily","2013","Lower Saxony","(1c) basic vocational qualification","102","0.141722923166955","0.112522333656097","0.170923512677813"
"Daily","2013","Lower Saxony","(2b) intermediate general qualification","56","0.547487303025745","0.448434987019271","0.646539619032219"
"Daily","2013","Lower Saxony","(2a) intermediate vocational","213","0.29680912790913","0.261661098478048","0.331957157340211"
"Daily","2013","Lower Saxony","(2c_gen) general maturity certificate","66","0.650909541653947","0.558852124273674","0.74296695903422"
"Daily","2013","Lower Saxony","(2c_voc) vocational maturity certificate","57","0.346642183550003","0.279674777436008","0.413609589663999"
"Daily","2013","Lower Saxony","(3a) lower tertiary education","33","0.221447687889196","0.15608021183853","0.286815163939862"
"Daily","2013","Lower Saxony","(3b) higher tertiary education","69","0.189042220248591","0.146797771437767","0.231286669059416"
"Daily","2013","Bremen","(0) in school","1","","",""
"Daily","2013","Bremen","(1a) inadequately completed","2","","",""
"Daily","2013","Bremen","(1b) general elementary school","8","","",""
"Daily","2013","Bremen","(1c) basic vocational qualification","9","","",""
"Daily","2013","Bremen","(2b) intermediate general qualification","4","","",""
"Daily","2013","Bremen","(2a) intermediate vocational","11","","",""
"Daily","2013","Bremen","(2c_gen) general maturity certificate","2","","",""
"Daily","2013","Bremen","(2c_voc) vocational maturity certificate","6","","",""
"Daily","2013","Bremen","(3a) lower tertiary education","3","","",""
"Daily","2013","Bremen","(3b) higher tertiary education","16","","",""
"Daily","2013","North Rhine-Westphalia","(0) in school","108","0.880178167370088","0.823918600938025","0.936437733802151"
"Daily","2013","North Rhine-Westphalia","(1a) inadequately completed","23","","",""
"Daily","2013","North Rhine-Westphalia","(1b) general elementary school","134","0.182103536244854","0.147287009307973","0.216920063181734"
"Daily","2013","North Rhine-Westphalia","(1c) basic vocational qualification","212","0.134297481467223","0.114734684950594","0.153860277983852"
"Daily","2013","North Rhine-Westphalia","(2b) intermediate general qualification","93","0.497600190564304","0.421539712808691","0.573660668319916"
"Daily","2013","North Rhine-Westphalia","(2a) intermediate vocational","257","0.286306285112394","0.257096688833455","0.315515881391334"
"Daily","2013","North Rhine-Westphalia","(2c_gen) general maturity certificate","149","0.641572961554612","0.58283058449102","0.700315338618203"
"Daily","2013","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","190","0.32335100921561","0.286969554702302","0.359732463728918"
"Daily","2013","North Rhine-Westphalia","(3a) lower tertiary education","73","0.203053831999624","0.159782612251729","0.246325051747519"
"Daily","2013","North Rhine-Westphalia","(3b) higher tertiary education","155","0.251307937161337","0.220769137922829","0.281846736399845"
"Daily","2013","Hesse","(0) in school","31","0.915007604645005","0.825151080445515","1.0048641288445"
"Daily","2013","Hesse","(1a) inadequately completed","11","","",""
"Daily","2013","Hesse","(1b) general elementary school","33","0.13768373801176","0.0786789770261654","0.196688498997354"
"Daily","2013","Hesse","(1c) basic vocational qualification","69","0.147566635066173","0.109415860803518","0.185717409328828"
"Daily","2013","Hesse","(2b) intermediate general qualification","24","","",""
"Daily","2013","Hesse","(2a) intermediate vocational","119","0.291998810952708","0.246162492706578","0.337835129198838"
"Daily","2013","Hesse","(2c_gen) general maturity certificate","45","0.43130646867037","0.328413613713647","0.534199323627093"
"Daily","2013","Hesse","(2c_voc) vocational maturity certificate","58","0.324367449864952","0.256909033388758","0.391825866341146"
"Daily","2013","Hesse","(3a) lower tertiary education","28","","",""
"Daily","2013","Hesse","(3b) higher tertiary education","81","0.20432713524214","0.162848441100923","0.245805829383357"
"Daily","2013","Rhineland-Palatinate,Saarland","(0) in school","21","","",""
"Daily","2013","Rhineland-Palatinate,Saarland","(1a) inadequately completed","4","","",""
"Daily","2013","Rhineland-Palatinate,Saarland","(1b) general elementary school","44","0.248341689285585","0.18396033814912","0.312723040422051"
"Daily","2013","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","88","0.180204297580275","0.14370548950673","0.21670310565382"
"Daily","2013","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","10","","",""
"Daily","2013","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","73","0.290862021526822","0.236181325296954","0.345542717756689"
"Daily","2013","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","33","0.650705663058692","0.525840254365161","0.775571071752224"
"Daily","2013","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","38","0.29257727387107","0.210837316180368","0.374317231561773"
"Daily","2013","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","17","","",""
"Daily","2013","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","38","0.222504900743729","0.157236283436879","0.287773518050579"
"Daily","2013","Baden-Württemberg","(0) in school","43","0.906783623332547","0.826197357553983","0.987369889111112"
"Daily","2013","Baden-Württemberg","(1a) inadequately completed","5","","",""
"Daily","2013","Baden-Württemberg","(1b) general elementary school","54","0.140467515296362","0.0984733150935019","0.182461715499222"
"Daily","2013","Baden-Württemberg","(1c) basic vocational qualification","125","0.142543882671018","0.116495828440395","0.16859193690164"
"Daily","2013","Baden-Württemberg","(2b) intermediate general qualification","43","0.539299115703823","0.432705099665233","0.645893131742413"
"Daily","2013","Baden-Württemberg","(2a) intermediate vocational","176","0.223605650652421","0.192695369894155","0.254515931410687"
"Daily","2013","Baden-Württemberg","(2c_gen) general maturity certificate","71","0.629209633159978","0.54349991273183","0.714919353588125"
"Daily","2013","Baden-Württemberg","(2c_voc) vocational maturity certificate","68","0.252913766178723","0.201256045414421","0.304571486943024"
"Daily","2013","Baden-Württemberg","(3a) lower tertiary education","34","0.125546209344308","0.0851157688896407","0.165976649798976"
"Daily","2013","Baden-Württemberg","(3b) higher tertiary education","102","0.251385067369234","0.211259249127612","0.291510885610857"
"Daily","2013","Bavaria","(0) in school","52","0.805346726843503","0.709825822019316","0.900867631667689"
"Daily","2013","Bavaria","(1a) inadequately completed","11","","",""
"Daily","2013","Bavaria","(1b) general elementary school","63","0.119478617496121","0.0834882864207159","0.155468948571525"
"Daily","2013","Bavaria","(1c) basic vocational qualification","204","0.156490258060897","0.135839030683962","0.177141485437832"
"Daily","2013","Bavaria","(2b) intermediate general qualification","50","0.428401480821786","0.333296677768848","0.523506283874724"
"Daily","2013","Bavaria","(2a) intermediate vocational","267","0.262619369670694","0.234291268558016","0.290947470783373"
"Daily","2013","Bavaria","(2c_gen) general maturity certificate","91","0.564445450804319","0.485879451055093","0.643011450553546"
"Daily","2013","Bavaria","(2c_voc) vocational maturity certificate","84","0.28897311183867","0.237765258219418","0.340180965457922"
"Daily","2013","Bavaria","(3a) lower tertiary education","57","0.129392696985736","0.0914128247733893","0.167372569198082"
"Daily","2013","Bavaria","(3b) higher tertiary education","98","0.244960652777831","0.207264585276396","0.282656720279265"
