"pli0165","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2013","16-34 y.","West Germany","2706","0.621193848974814","0.606925336787173","0.635462361162454"
"Daily","2013","16-34 y.","East Germany","675","0.576518746787537","0.548643529093132","0.604393964481943"
"Daily","2013","35-65 y.","West Germany","2641","0.205969806086214","0.198615844024742","0.213323768147685"
"Daily","2013","35-65 y.","East Germany","569","0.141369551210377","0.129433623751107","0.153305478669647"
"Daily","2013","66 and older","West Germany","239","0.0557972650244571","0.0484104239167612","0.063184106132153"
"Daily","2013","66 and older","East Germany","62","0.0433485527795253","0.031935573459338","0.0547615320997126"
"Min 1x per week","2013","16-34 y.","West Germany","610","0.143524407042131","0.133211597854887","0.153837216229375"
"Min 1x per week","2013","16-34 y.","East Germany","170","0.136004473082934","0.116665794330623","0.155343151835245"
"Min 1x per week","2013","35-65 y.","West Germany","1549","0.132549531963065","0.126383403925453","0.138715660000677"
"Min 1x per week","2013","35-65 y.","East Germany","382","0.114327573399143","0.103426051205562","0.125229095592723"
"Min 1x per week","2013","66 and older","West Germany","162","0.0389981124111884","0.0327678894635484","0.0452283353588283"
"Min 1x per week","2013","66 and older","East Germany","53","0.0324659723917838","0.0225329321730882","0.0423990126104794"
"Min 1x per month","2013","16-34 y.","West Germany","136","0.0362528297859971","0.0307547742813988","0.0417508852905955"
"Min 1x per month","2013","16-34 y.","East Germany","26","","",""
"Min 1x per month","2013","35-65 y.","West Germany","402","0.0381044923298604","0.0346230986665697","0.0415858859931512"
"Min 1x per month","2013","35-65 y.","East Germany","107","0.0325242953663045","0.0264471577578842","0.0386014329747248"
"Min 1x per month","2013","66 and older","West Germany","38","0.00785041062409815","0.00501017454677175","0.0106906467014245"
"Min 1x per month","2013","66 and older","East Germany","15","","",""
"Rarely","2013","16-34 y.","West Germany","232","0.0457119814157713","0.039568545041536","0.0518554177900066"
"Rarely","2013","16-34 y.","East Germany","73","0.0737612227393168","0.0590153667182343","0.0885070787603993"
"Rarely","2013","35-65 y.","West Germany","1110","0.0943663620280219","0.0890503497511696","0.0996823743048743"
"Rarely","2013","35-65 y.","East Germany","303","0.0967626962585881","0.0866345491235778","0.106890843393598"
"Rarely","2013","66 and older","West Germany","221","0.053859182794523","0.0465943195495541","0.0611240460394918"
"Rarely","2013","66 and older","East Germany","53","0.033569618932931","0.0234749203650273","0.0436643175008346"
"Never","2013","16-34 y.","West Germany","756","0.153316932781287","0.142719220995434","0.16391464456714"
"Never","2013","16-34 y.","East Germany","263","0.198211362481308","0.175721402736753","0.220701322225863"
"Never","2013","35-65 y.","West Germany","5915","0.529009807592839","0.519932879602574","0.538086735583104"
"Never","2013","35-65 y.","East Germany","1912","0.615015883765588","0.598345727906293","0.631686039624883"
"Never","2013","66 and older","West Germany","3049","0.843495029145733","0.831802054549716","0.855188003741751"
"Never","2013","66 and older","East Germany","1040","0.881989228530322","0.863908025289924","0.90007043177072"
"Daily","2014","16-34 y.","West Germany","","","",""
"Daily","2014","16-34 y.","East Germany","","","",""
"Daily","2014","35-65 y.","West Germany","","","",""
"Daily","2014","35-65 y.","East Germany","","","",""
"Daily","2014","66 and older","West Germany","","","",""
"Daily","2014","66 and older","East Germany","","","",""
"Min 1x per week","2014","16-34 y.","West Germany","","","",""
"Min 1x per week","2014","16-34 y.","East Germany","","","",""
"Min 1x per week","2014","35-65 y.","West Germany","","","",""
"Min 1x per week","2014","35-65 y.","East Germany","","","",""
"Min 1x per week","2014","66 and older","West Germany","","","",""
"Min 1x per week","2014","66 and older","East Germany","","","",""
"Min 1x per month","2014","16-34 y.","West Germany","","","",""
"Min 1x per month","2014","16-34 y.","East Germany","","","",""
"Min 1x per month","2014","35-65 y.","West Germany","","","",""
"Min 1x per month","2014","35-65 y.","East Germany","","","",""
"Min 1x per month","2014","66 and older","West Germany","","","",""
"Min 1x per month","2014","66 and older","East Germany","","","",""
"Rarely","2014","16-34 y.","West Germany","","","",""
"Rarely","2014","16-34 y.","East Germany","","","",""
"Rarely","2014","35-65 y.","West Germany","","","",""
"Rarely","2014","35-65 y.","East Germany","","","",""
"Rarely","2014","66 and older","West Germany","","","",""
"Rarely","2014","66 and older","East Germany","","","",""
"Never","2014","16-34 y.","West Germany","","","",""
"Never","2014","16-34 y.","East Germany","","","",""
"Never","2014","35-65 y.","West Germany","","","",""
"Never","2014","35-65 y.","East Germany","","","",""
"Never","2014","66 and older","West Germany","","","",""
"Never","2014","66 and older","East Germany","","","",""
"Daily","2015","16-34 y.","West Germany","","","",""
"Daily","2015","16-34 y.","East Germany","","","",""
"Daily","2015","35-65 y.","West Germany","","","",""
"Daily","2015","35-65 y.","East Germany","","","",""
"Daily","2015","66 and older","West Germany","","","",""
"Daily","2015","66 and older","East Germany","","","",""
"Min 1x per week","2015","16-34 y.","West Germany","","","",""
"Min 1x per week","2015","16-34 y.","East Germany","","","",""
"Min 1x per week","2015","35-65 y.","West Germany","","","",""
"Min 1x per week","2015","35-65 y.","East Germany","","","",""
"Min 1x per week","2015","66 and older","West Germany","","","",""
"Min 1x per week","2015","66 and older","East Germany","","","",""
"Min 1x per month","2015","16-34 y.","West Germany","","","",""
"Min 1x per month","2015","16-34 y.","East Germany","","","",""
"Min 1x per month","2015","35-65 y.","West Germany","","","",""
"Min 1x per month","2015","35-65 y.","East Germany","","","",""
"Min 1x per month","2015","66 and older","West Germany","","","",""
"Min 1x per month","2015","66 and older","East Germany","","","",""
"Rarely","2015","16-34 y.","West Germany","","","",""
"Rarely","2015","16-34 y.","East Germany","","","",""
"Rarely","2015","35-65 y.","West Germany","","","",""
"Rarely","2015","35-65 y.","East Germany","","","",""
"Rarely","2015","66 and older","West Germany","","","",""
"Rarely","2015","66 and older","East Germany","","","",""
"Never","2015","16-34 y.","West Germany","","","",""
"Never","2015","16-34 y.","East Germany","","","",""
"Never","2015","35-65 y.","West Germany","","","",""
"Never","2015","35-65 y.","East Germany","","","",""
"Never","2015","66 and older","West Germany","","","",""
"Never","2015","66 and older","East Germany","","","",""
"Daily","2016","16-34 y.","West Germany","","","",""
"Daily","2016","16-34 y.","East Germany","","","",""
"Daily","2016","35-65 y.","West Germany","","","",""
"Daily","2016","35-65 y.","East Germany","","","",""
"Daily","2016","66 and older","West Germany","","","",""
"Daily","2016","66 and older","East Germany","","","",""
"Min 1x per week","2016","16-34 y.","West Germany","","","",""
"Min 1x per week","2016","16-34 y.","East Germany","","","",""
"Min 1x per week","2016","35-65 y.","West Germany","","","",""
"Min 1x per week","2016","35-65 y.","East Germany","","","",""
"Min 1x per week","2016","66 and older","West Germany","","","",""
"Min 1x per week","2016","66 and older","East Germany","","","",""
"Min 1x per month","2016","16-34 y.","West Germany","","","",""
"Min 1x per month","2016","16-34 y.","East Germany","","","",""
"Min 1x per month","2016","35-65 y.","West Germany","","","",""
"Min 1x per month","2016","35-65 y.","East Germany","","","",""
"Min 1x per month","2016","66 and older","West Germany","","","",""
"Min 1x per month","2016","66 and older","East Germany","","","",""
"Rarely","2016","16-34 y.","West Germany","","","",""
"Rarely","2016","16-34 y.","East Germany","","","",""
"Rarely","2016","35-65 y.","West Germany","","","",""
"Rarely","2016","35-65 y.","East Germany","","","",""
"Rarely","2016","66 and older","West Germany","","","",""
"Rarely","2016","66 and older","East Germany","","","",""
"Never","2016","16-34 y.","West Germany","","","",""
"Never","2016","16-34 y.","East Germany","","","",""
"Never","2016","35-65 y.","West Germany","","","",""
"Never","2016","35-65 y.","East Germany","","","",""
"Never","2016","66 and older","West Germany","","","",""
"Never","2016","66 and older","East Germany","","","",""
"Daily","2017","16-34 y.","West Germany","1805","0.627986451750575","0.610143977916022","0.645828925585128"
"Daily","2017","16-34 y.","East Germany","254","0.577735043983615","0.530666064383271","0.624804023583958"
"Daily","2017","35-65 y.","West Germany","1039","0.529556658606454","0.507306042359735","0.551807274853173"
"Daily","2017","35-65 y.","East Germany","175","0.540944461099308","0.485561413331978","0.596327508866638"
"Daily","2017","66 and older","West Germany","10","","",""
"Daily","2017","66 and older","East Germany","2","","",""
"Min 1x per week","2017","16-34 y.","West Germany","459","0.165194994954965","0.151486445040858","0.178903544869071"
"Min 1x per week","2017","16-34 y.","East Germany","75","0.140481347954001","0.107367100259097","0.173595595648905"
"Min 1x per week","2017","35-65 y.","West Germany","327","0.14691251641026","0.13113065054439","0.162694382276129"
"Min 1x per week","2017","35-65 y.","East Germany","59","0.170323640202813","0.128544478695621","0.212102801710005"
"Min 1x per week","2017","66 and older","West Germany","","","",""
"Min 1x per week","2017","66 and older","East Germany","","","",""
"Min 1x per month","2017","16-34 y.","West Germany","89","0.0367958128374129","0.0298462268219809","0.0437453988528448"
"Min 1x per month","2017","16-34 y.","East Germany","16","","",""
"Min 1x per month","2017","35-65 y.","West Germany","51","0.0286074967084018","0.0211761167638347","0.0360388766529689"
"Min 1x per month","2017","35-65 y.","East Germany","9","","",""
"Min 1x per month","2017","66 and older","West Germany","1","","",""
"Min 1x per month","2017","66 and older","East Germany","","","",""
"Rarely","2017","16-34 y.","West Germany","135","0.0491760024517642","0.0411937174283618","0.0571582874751666"
"Rarely","2017","16-34 y.","East Germany","11","","",""
