"pli0165","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","16-34 y.","no migration background","2673","0.616549161650526","0.602159437158714","0.630938886142338","1"
"Daily","2013","16-34 y.","direct migration background","293","0.523110639106314","0.483212242904652","0.563009035307975","1"
"Daily","2013","16-34 y.","indirect migration background","415","0.655328314818179","0.619042435321713","0.691614194314645","1"
"Daily","2013","35-65 y.","no migration background","2650","0.191452365011459","0.184603970611836","0.198300759411083","1"
"Daily","2013","35-65 y.","direct migration background","394","0.189357085389069","0.170666734898304","0.208047435879835","1"
"Daily","2013","35-65 y.","indirect migration background","166","0.288194158229067","0.249377279819233","0.327011036638901","1"
"Daily","2013","66 and older","no migration background","276","0.0524632544059765","0.045991957680144","0.058934551131809","1"
"Daily","2013","66 and older","direct migration background","24","","","","1"
"Daily","2013","66 and older","indirect migration background","1","","","","1"
"Min 1x per month","2013","35-65 y.","indirect migration background","21","","","","3"
"Min 1x per month","2013","66 and older","no migration background","50","0.00790243321008171","0.00533249146521899","0.0104723749549444","3"
"Min 1x per month","2013","16-34 y.","no migration background","114","0.0277785174172372","0.0229149950730984","0.0326420397613761","3"
"Min 1x per month","2013","16-34 y.","direct migration background","31","0.080874796255175","0.059095502992617","0.102654089517733","3"
"Min 1x per month","2013","16-34 y.","indirect migration background","17","","","","3"
"Min 1x per month","2013","35-65 y.","no migration background","428","0.0370254078247894","0.033738686142781","0.0403121295067978","3"
"Min 1x per month","2013","35-65 y.","direct migration background","60","0.0340329914734848","0.0253834501223929","0.0426825328245768","3"
"Min 1x per month","2013","66 and older","direct migration background","3","","","","3"
"Min 1x per month","2013","66 and older","indirect migration background","","","","","3"
"Min 1x per week","2013","16-34 y.","no migration background","592","0.140577023713975","0.130290362671737","0.150863684756213","2"
"Min 1x per week","2013","35-65 y.","indirect migration background","98","0.164977649194585","0.133168002008258","0.196787296380913","2"
"Min 1x per week","2013","66 and older","direct migration background","17","","","","2"
"Min 1x per week","2013","66 and older","indirect migration background","1","","","","2"
"Min 1x per week","2013","16-34 y.","direct migration background","97","0.152498660723826","0.123780735734929","0.181216585712723","2"
"Min 1x per week","2013","16-34 y.","indirect migration background","91","0.1474354138418","0.120366555782892","0.174504271900709","2"
"Min 1x per week","2013","35-65 y.","no migration background","1564","0.126703474149237","0.120913445429504","0.13249350286897","2"
"Min 1x per week","2013","35-65 y.","direct migration background","269","0.140545129310639","0.123965252165174","0.157125006456103","2"
"Min 1x per week","2013","66 and older","no migration background","197","0.0376374375932219","0.0321135471843112","0.0431613280021326","2"
"Never","2013","66 and older","direct migration background","303","0.853947160254035","0.817815696087904","0.890078624420166","5"
"Never","2013","35-65 y.","indirect migration background","190","0.413053066752182","0.370854316326807","0.455251817177556","5"
"Never","2013","66 and older","no migration background","3783","0.850719549191335","0.840376220044942","0.861062878337728","5"
"Never","2013","66 and older","indirect migration background","3","","","","5"
"Never","2013","16-34 y.","no migration background","778","0.162356083767088","0.151442238802683","0.173269928731493","5"
"Never","2013","16-34 y.","direct migration background","144","0.197796125739941","0.165976057014075","0.229616194465807","5"
"Never","2013","16-34 y.","indirect migration background","97","0.125141500019754","0.0998790789406999","0.150403921098808","5"
"Never","2013","35-65 y.","no migration background","6833","0.549690439974251","0.541030392643777","0.558350487304726","5"
"Never","2013","35-65 y.","direct migration background","804","0.541186384686924","0.517415056419555","0.564957712954292","5"
"Rarely","2013","16-34 y.","no migration background","229","0.0527392134511743","0.0461244338072655","0.0593539930950831","4"
"Rarely","2013","16-34 y.","direct migration background","37","0.0457197781747442","0.0290342536322897","0.0624053027171988","4"
"Rarely","2013","16-34 y.","indirect migration background","39","0.0398719263320143","0.0249335437762046","0.054810308887824","4"
"Rarely","2013","35-65 y.","indirect migration background","48","0.0833489055422895","0.0596597691751132","0.107038041909466","4"
"Rarely","2013","66 and older","no migration background","254","0.0512773255993847","0.0448755861713661","0.0576790650274032","4"
"Rarely","2013","66 and older","direct migration background","20","","","","4"
"Rarely","2013","66 and older","indirect migration background","","","","","4"
"Rarely","2013","35-65 y.","no migration background","1204","0.0951283130402631","0.0900214526255388","0.100235173454987","4"
"Rarely","2013","35-65 y.","direct migration background","161","0.0948784091398837","0.0808986712333429","0.108858147046424","4"
"Daily","2014","35-65 y.","direct migration background","","","","","1"
"Daily","2014","35-65 y.","indirect migration background","","","","","1"
"Daily","2014","66 and older","no migration background","","","","","1"
"Daily","2014","66 and older","direct migration background","","","","","1"
"Daily","2014","66 and older","indirect migration background","","","","","1"
"Daily","2014","16-34 y.","no migration background","","","","","1"
"Daily","2014","16-34 y.","direct migration background","","","","","1"
"Daily","2014","16-34 y.","indirect migration background","","","","","1"
