"pli0165","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","2013","1-pers.-HH","(0) in school","3","","",""
"Daily","2013","1-pers.-HH","(1a) inadequately completed","6","","",""
"Daily","2013","1-pers.-HH","(1b) general elementary school","44","0.1033061646879","0.0729435163288393","0.13366881304696"
"Daily","2013","1-pers.-HH","(1c) basic vocational qualification","105","0.117836731287762","0.0971596382553926","0.138513824320131"
"Daily","2013","1-pers.-HH","(2b) intermediate general qualification","25","","",""
"Daily","2013","1-pers.-HH","(2a) intermediate vocational","173","0.217633587424628","0.188450210775414","0.246816964073841"
"Daily","2013","1-pers.-HH","(2c_gen) general maturity certificate","114","0.59018065379564","0.517106771799566","0.663254535791713"
"Daily","2013","1-pers.-HH","(2c_voc) vocational maturity certificate","78","0.30473646866005","0.249212171758118","0.360260765561981"
"Daily","2013","1-pers.-HH","(3a) lower tertiary education","58","0.151791402504622","0.111912534824688","0.191670270184555"
"Daily","2013","1-pers.-HH","(3b) higher tertiary education","131","0.278073440069069","0.238682516687692","0.317464363450446"
"Daily","2013","(Married) couple without C. ","(0) in school","3","","",""
"Daily","2013","(Married) couple without C. ","(1a) inadequately completed","8","","",""
"Daily","2013","(Married) couple without C. ","(1b) general elementary school","36","0.0632733685993592","0.0423685626114818","0.0841781745872365"
"Daily","2013","(Married) couple without C. ","(1c) basic vocational qualification","227","0.0968106812692797","0.0848527069267902","0.108768655611769"
"Daily","2013","(Married) couple without C. ","(2b) intermediate general qualification","26","","",""
"Daily","2013","(Married) couple without C. ","(2a) intermediate vocational","333","0.191580511342541","0.173339102169548","0.209821920515534"
"Daily","2013","(Married) couple without C. ","(2c_gen) general maturity certificate","59","0.42411820367776","0.344497251801999","0.503739155553521"
"Daily","2013","(Married) couple without C. ","(2c_voc) vocational maturity certificate","120","0.256933844350308","0.218596483186665","0.29527120551395"
"Daily","2013","(Married) couple without C. ","(3a) lower tertiary education","117","0.161192301374959","0.134980881636907","0.187403721113011"
"Daily","2013","(Married) couple without C. ","(3b) higher tertiary education","236","0.210322872602923","0.187926763872262","0.232718981333585"
"Daily","2013","Single parent ","(0) in school","106","0.916794119686307","0.867984159352483","0.965604080020131"
"Daily","2013","Single parent ","(1a) inadequately completed","18","","",""
"Daily","2013","Single parent ","(1b) general elementary school","114","0.404258000681429","0.343425382589338","0.465090618773519"
"Daily","2013","Single parent ","(1c) basic vocational qualification","131","0.262879599418726","0.220113608044655","0.305645590792797"
"Daily","2013","Single parent ","(2b) intermediate general qualification","105","0.626645649182013","0.552161783814295","0.70112951454973"
"Daily","2013","Single parent ","(2a) intermediate vocational","282","0.351826674880366","0.317942588437109","0.385710761323623"
"Daily","2013","Single parent ","(2c_gen) general maturity certificate","81","0.636249058705226","0.553551620884409","0.718946496526043"
"Daily","2013","Single parent ","(2c_voc) vocational maturity certificate","83","0.366736116727759","0.305511113964904","0.427961119490613"
"Daily","2013","Single parent ","(3a) lower tertiary education","35","0.317663415143233","0.239986588146212","0.395340242140254"
"Daily","2013","Single parent ","(3b) higher tertiary education","64","0.318507699850866","0.258940853968658","0.378074545733074"
"Daily","2013","Couple + C. LE 16 ","(0) in school","1","","",""
"Daily","2013","Couple + C. LE 16 ","(1a) inadequately completed","47","0.364641991252122","0.277425672044695","0.451858310459548"
"Daily","2013","Couple + C. LE 16 ","(1b) general elementary school","136","0.39897826850183","0.348603334892044","0.449353202111616"
"Daily","2013","Couple + C. LE 16 ","(1c) basic vocational qualification","349","0.315271962710042","0.287314862068732","0.343229063351352"
"Daily","2013","Couple + C. LE 16 ","(2b) intermediate general qualification","63","0.541625152273277","0.453209739846343","0.630040564700211"
"Daily","2013","Couple + C. LE 16 ","(2a) intermediate vocational","587","0.295328765592601","0.275112086725813","0.315545444459389"
"Daily","2013","Couple + C. LE 16 ","(2c_gen) general maturity certificate","74","0.424158954453173","0.353134607736038","0.495183301170308"
"Daily","2013","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","260","0.320134149365677","0.288697190631526","0.351571108099828"
"Daily","2013","Couple + C. LE 16 ","(3a) lower tertiary education","99","0.132473168382466","0.103959467070932","0.160986869694"
"Daily","2013","Couple + C. LE 16 ","(3b) higher tertiary education","289","0.242587143594792","0.218294055341429","0.266880231848154"
"Daily","2013","Couple + C. GT 16 ","(0) in school","102","0.849673085948629","0.787269848605267","0.912076323291991"
"Daily","2013","Couple + C. GT 16 ","(1a) inadequately completed","5","","",""
"Daily","2013","Couple + C. GT 16 ","(1b) general elementary school","55","0.324895172248979","0.252099298231741","0.397691046266217"
"Daily","2013","Couple + C. GT 16 ","(1c) basic vocational qualification","116","0.190000559453515","0.158531720143836","0.221469398763195"
"Daily","2013","Couple + C. GT 16 ","(2b) intermediate general qualification","77","0.660116672573005","0.573545270258583","0.746688074887427"
"Daily","2013","Couple + C. GT 16 ","(2a) intermediate vocational","195","0.335345792545609","0.299730172080978","0.37096141301024"
"Daily","2013","Couple + C. GT 16 ","(2c_gen) general maturity certificate","161","0.740533274151235","0.683001365269317","0.798065183033153"
"Daily","2013","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","59","0.385446487299626","0.316423570782552","0.454469403816701"
"Daily","2013","Couple + C. GT 16 ","(3a) lower tertiary education","43","0.200365124363453","0.144611587296336","0.256118661430569"
"Daily","2013","Couple + C. GT 16 ","(3b) higher tertiary education","61","0.284842839225275","0.234761700769773","0.334923977680776"
"Daily","2013","Couple + C. LE and GT 16","(0) in school","147","0.814837986498171","0.758560573271716","0.871115399724625"
"Daily","2013","Couple + C. LE and GT 16","(1a) inadequately completed","10","","",""
"Daily","2013","Couple + C. LE and GT 16","(1b) general elementary school","68","0.316563653707352","0.247051070447544","0.38607623696716"
"Daily","2013","Couple + C. LE and GT 16","(1c) basic vocational qualification","79","0.26576855232869","0.218180012397425","0.313357092259955"
"Daily","2013","Couple + C. LE and GT 16","(2b) intermediate general qualification","84","0.620987266060226","0.534186068687152","0.7077884634333"
"Daily","2013","Couple + C. LE and GT 16","(2a) intermediate vocational","102","0.244306964626052","0.203165313860306","0.285448615391799"
"Daily","2013","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","96","0.636336563102172","0.558305967561245","0.714367158643098"
"Daily","2013","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","44","0.228350934141326","0.167197603229395","0.289504265053257"
"Daily","2013","Couple + C. LE and GT 16","(3a) lower tertiary education","19","","",""
"Daily","2013","Couple + C. LE and GT 16","(3b) higher tertiary education","31","0.217648488751781","0.159731019572327","0.275565957931235"
"Min 1x per week","2013","1-pers.-HH","(0) in school","","","",""
"Min 1x per week","2013","1-pers.-HH","(1a) inadequately completed","5","","",""
"Min 1x per week","2013","1-pers.-HH","(1b) general elementary school","8","","",""
"Min 1x per week","2013","1-pers.-HH","(1c) basic vocational qualification","59","0.0649899037369185","0.0491808545763818","0.0807989528974553"
"Min 1x per week","2013","1-pers.-HH","(2b) intermediate general qualification","12","","",""
"Min 1x per week","2013","1-pers.-HH","(2a) intermediate vocational","78","0.107409547657808","0.0855110135859083","0.129308081729709"
"Min 1x per week","2013","1-pers.-HH","(2c_gen) general maturity certificate","14","","",""
"Min 1x per week","2013","1-pers.-HH","(2c_voc) vocational maturity certificate","27","","",""
"Min 1x per week","2013","1-pers.-HH","(3a) lower tertiary education","40","0.15411320441939","0.113985534295134","0.194240874543647"
"Min 1x per week","2013","1-pers.-HH","(3b) higher tertiary education","60","0.100152457077798","0.0737596752066674","0.126545238948929"
"Min 1x per week","2013","(Married) couple without C. ","(0) in school","1","","",""
"Min 1x per week","2013","(Married) couple without C. ","(1a) inadequately completed","7","","",""
"Min 1x per week","2013","(Married) couple without C. ","(1b) general elementary school","14","","",""
"Min 1x per week","2013","(Married) couple without C. ","(1c) basic vocational qualification","172","0.0759175841642752","0.0652065075550032","0.0866286607735472"
"Min 1x per week","2013","(Married) couple without C. ","(2b) intermediate general qualification","9","","",""
"Min 1x per week","2013","(Married) couple without C. ","(2a) intermediate vocational","172","0.125358757745197","0.110010586022341","0.140706929468053"
"Min 1x per week","2013","(Married) couple without C. ","(2c_gen) general maturity certificate","19","","",""
"Min 1x per week","2013","(Married) couple without C. ","(2c_voc) vocational maturity certificate","54","0.145969486374041","0.11499061780854","0.176948354939542"
"Min 1x per week","2013","(Married) couple without C. ","(3a) lower tertiary education","82","0.094854555348631","0.0739675838284652","0.115741526868797"
"Min 1x per week","2013","(Married) couple without C. ","(3b) higher tertiary education","148","0.121740597511792","0.103771194300293","0.13971000072329"
"Min 1x per week","2013","Single parent ","(0) in school","7","","",""
"Min 1x per week","2013","Single parent ","(1a) inadequately completed","3","","",""
"Min 1x per week","2013","Single parent ","(1b) general elementary school","25","","",""
"Min 1x per week","2013","Single parent ","(1c) basic vocational qualification","57","0.153679517175092","0.118642566153558","0.188716468196627"
"Min 1x per week","2013","Single parent ","(2b) intermediate general qualification","16","","",""
"Min 1x per week","2013","Single parent ","(2a) intermediate vocational","127","0.169860687696079","0.143216176857816","0.196505198534342"
"Min 1x per week","2013","Single parent ","(2c_gen) general maturity certificate","12","","",""
"Min 1x per week","2013","Single parent ","(2c_voc) vocational maturity certificate","38","0.121480052051913","0.0799762473569481","0.162983856746878"
"Min 1x per week","2013","Single parent ","(3a) lower tertiary education","19","","",""
"Min 1x per week","2013","Single parent ","(3b) higher tertiary education","29","","",""
"Min 1x per week","2013","Couple + C. LE 16 ","(0) in school","","","",""
"Min 1x per week","2013","Couple + C. LE 16 ","(1a) inadequately completed","15","","",""
"Min 1x per week","2013","Couple + C. LE 16 ","(1b) general elementary school","67","0.131435400167441","0.096677621227604","0.166193179107278"
"Min 1x per week","2013","Couple + C. LE 16 ","(1c) basic vocational qualification","143","0.130104926663245","0.109862120999142","0.150347732327347"
