"pli0165","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","16-34 y.","Male","1444","0.586374651339491","0.566937047705268","0.605812254973713","1"
"Daily","2013","16-34 y.","Female","1937","0.639334945044379","0.622647781950482","0.656022108138277","1"
"Daily","2013","35-65 y.","Male","1342","0.188193254130826","0.17881864352294","0.197567864738712","1"
"Daily","2013","35-65 y.","Female","1868","0.19871084211362","0.190080479651629","0.207341204575611","1"
"Daily","2013","66 and older","Male","189","0.0749391252153399","0.0643745427518822","0.0855037076787975","1"
"Daily","2013","66 and older","Female","112","0.0367056912402466","0.0294016184578655","0.0440097640226276","1"
"Min 1x per month","2013","16-34 y.","Female","73","0.0212763503031429","0.0162616513769205","0.0262910492293653","3"
"Min 1x per month","2013","35-65 y.","Male","243","0.0373523758202943","0.0328044049893169","0.0419003466512717","3"
"Min 1x per month","2013","66 and older","Female","26","","","","3"
"Min 1x per month","2013","66 and older","Male","27","","","","3"
"Min 1x per month","2013","16-34 y.","Male","89","0.0430241595321097","0.0350155293518252","0.0510327897123941","3"
"Min 1x per month","2013","35-65 y.","Female","266","0.0367001317429651","0.0326334687582996","0.0407667947276306","3"
"Min 1x per week","2013","16-34 y.","Female","439","0.133377624195794","0.121562924313106","0.145192324078482","2"
"Min 1x per week","2013","16-34 y.","Male","341","0.150604785070191","0.136488323660331","0.164721246480051","2"
"Min 1x per week","2013","35-65 y.","Male","823","0.126151269174761","0.118188047130117","0.134114491219404","2"
"Min 1x per week","2013","35-65 y.","Female","1108","0.131875184717427","0.124557119989407","0.139193249445446","2"
"Min 1x per week","2013","66 and older","Male","129","0.0511555545009938","0.0423154626101705","0.0599956463918171","2"
"Min 1x per week","2013","66 and older","Female","86","0.0273237787217288","0.0209913046444786","0.0336562527989791","2"
"Never","2013","16-34 y.","Female","565","0.158738242360286","0.146039151994352","0.171437332726221","5"
"Never","2013","35-65 y.","Female","4270","0.550131283369963","0.539371595113697","0.560890971626228","5"
"Never","2013","66 and older","Male","1871","0.796469217854684","0.780314014838645","0.812624420870723","5"
"Never","2013","66 and older","Female","2218","0.892994506122359","0.880987179545786","0.905001832698931","5"
"Never","2013","35-65 y.","Male","3557","0.541129643140668","0.529178194546098","0.553081091735238","5"
"Never","2013","16-34 y.","Male","454","0.165119776410105","0.150465540197269","0.179774012622941","5"
"Rarely","2013","16-34 y.","Female","167","0.0472728380963978","0.0398979341501607","0.0546477420426349","4"
"Rarely","2013","16-34 y.","Male","138","0.0548766276481038","0.0458880802307674","0.0638651750654402","4"
"Rarely","2013","35-65 y.","Male","713","0.107173457733451","0.0997543436157576","0.114592571851145","4"
"Rarely","2013","35-65 y.","Female","700","0.0825825580560252","0.0766293469582355","0.088535769153815","4"
"Rarely","2013","66 and older","Male","170","0.0669550191740703","0.0569260630519859","0.0769839752961547","4"
"Rarely","2013","66 and older","Female","104","0.0369329160692359","0.0296071345769723","0.0442586975614996","4"
"Daily","2014","35-65 y.","Male","","","","","1"
"Daily","2014","16-34 y.","Male","","","","","1"
"Daily","2014","16-34 y.","Female","","","","","1"
"Daily","2014","35-65 y.","Female","","","","","1"
"Daily","2014","66 and older","Male","","","","","1"
"Daily","2014","66 and older","Female","","","","","1"
"Min 1x per month","2014","16-34 y.","Female","","","","","3"
"Min 1x per month","2014","35-65 y.","Male","","","","","3"
"Min 1x per month","2014","16-34 y.","Male","","","","","3"
"Min 1x per month","2014","35-65 y.","Female","","","","","3"
"Min 1x per month","2014","66 and older","Male","","","","","3"
"Min 1x per month","2014","66 and older","Female","","","","","3"
"Min 1x per week","2014","16-34 y.","Female","","","","","2"
"Min 1x per week","2014","35-65 y.","Male","","","","","2"
"Min 1x per week","2014","35-65 y.","Female","","","","","2"
"Min 1x per week","2014","16-34 y.","Male","","","","","2"
"Min 1x per week","2014","66 and older","Male","","","","","2"
"Min 1x per week","2014","66 and older","Female","","","","","2"
"Never","2014","16-34 y.","Female","","","","","5"
"Never","2014","66 and older","Female","","","","","5"
"Never","2014","35-65 y.","Male","","","","","5"
"Never","2014","16-34 y.","Male","","","","","5"
"Never","2014","66 and older","Male","","","","","5"
"Never","2014","35-65 y.","Female","","","","","5"
"Rarely","2014","16-34 y.","Female","","","","","4"
"Rarely","2014","66 and older","Male","","","","","4"
"Rarely","2014","66 and older","Female","","","","","4"
"Rarely","2014","16-34 y.","Male","","","","","4"
"Rarely","2014","35-65 y.","Male","","","","","4"
"Rarely","2014","35-65 y.","Female","","","","","4"
"Daily","2015","16-34 y.","Male","","","","","1"
"Daily","2015","16-34 y.","Female","","","","","1"
"Daily","2015","35-65 y.","Male","","","","","1"
"Daily","2015","35-65 y.","Female","","","","","1"
"Daily","2015","66 and older","Male","","","","","1"
"Daily","2015","66 and older","Female","","","","","1"
"Min 1x per month","2015","35-65 y.","Male","","","","","3"
"Min 1x per month","2015","35-65 y.","Female","","","","","3"
"Min 1x per month","2015","16-34 y.","Male","","","","","3"
"Min 1x per month","2015","16-34 y.","Female","","","","","3"
"Min 1x per month","2015","66 and older","Male","","","","","3"
"Min 1x per month","2015","66 and older","Female","","","","","3"
"Min 1x per week","2015","35-65 y.","Female","","","","","2"
"Min 1x per week","2015","16-34 y.","Male","","","","","2"
"Min 1x per week","2015","35-65 y.","Male","","","","","2"
"Min 1x per week","2015","16-34 y.","Female","","","","","2"
"Min 1x per week","2015","66 and older","Male","","","","","2"
"Min 1x per week","2015","66 and older","Female","","","","","2"
"Never","2015","16-34 y.","Female","","","","","5"
"Never","2015","35-65 y.","Male","","","","","5"
"Never","2015","66 and older","Male","","","","","5"
"Never","2015","66 and older","Female","","","","","5"
"Never","2015","16-34 y.","Male","","","","","5"
"Never","2015","35-65 y.","Female","","","","","5"
"Rarely","2015","16-34 y.","Female","","","","","4"
"Rarely","2015","35-65 y.","Male","","","","","4"
"Rarely","2015","16-34 y.","Male","","","","","4"
"Rarely","2015","66 and older","Male","","","","","4"
"Rarely","2015","35-65 y.","Female","","","","","4"
"Rarely","2015","66 and older","Female","","","","","4"
"Daily","2016","16-34 y.","Male","","","","","1"
"Daily","2016","16-34 y.","Female","","","","","1"
"Daily","2016","35-65 y.","Male","","","","","1"
"Daily","2016","35-65 y.","Female","","","","","1"
"Daily","2016","66 and older","Male","","","","","1"
"Daily","2016","66 and older","Female","","","","","1"
"Min 1x per month","2016","16-34 y.","Male","","","","","3"
"Min 1x per month","2016","16-34 y.","Female","","","","","3"
"Min 1x per month","2016","35-65 y.","Male","","","","","3"
"Min 1x per month","2016","35-65 y.","Female","","","","","3"
"Min 1x per month","2016","66 and older","Male","","","","","3"
"Min 1x per month","2016","66 and older","Female","","","","","3"
"Min 1x per week","2016","16-34 y.","Male","","","","","2"
"Min 1x per week","2016","16-34 y.","Female","","","","","2"
"Min 1x per week","2016","35-65 y.","Male","","","","","2"
"Min 1x per week","2016","35-65 y.","Female","","","","","2"
"Min 1x per week","2016","66 and older","Male","","","","","2"
"Min 1x per week","2016","66 and older","Female","","","","","2"
"Never","2016","16-34 y.","Male","","","","","5"
"Never","2016","16-34 y.","Female","","","","","5"
"Never","2016","35-65 y.","Male","","","","","5"
"Never","2016","35-65 y.","Female","","","","","5"
"Never","2016","66 and older","Male","","","","","5"
"Never","2016","66 and older","Female","","","","","5"
"Rarely","2016","16-34 y.","Male","","","","","4"
"Rarely","2016","16-34 y.","Female","","","","","4"
"Rarely","2016","35-65 y.","Male","","","","","4"
"Rarely","2016","35-65 y.","Female","","","","","4"
"Rarely","2016","66 and older","Male","","","","","4"
"Rarely","2016","66 and older","Female","","","","","4"
"Daily","2017","35-65 y.","Male","801","0.592838375303527","0.566513179637049","0.619163570970005","1"
"Daily","2017","66 and older","Female","6","","","","1"
"Daily","2017","16-34 y.","Male","1343","0.64969660079281","0.628704556687756","0.670688644897863","1"
"Daily","2017","16-34 y.","Female","716","0.53170872211889","0.504134536345965","0.559282907891816","1"
"Daily","2017","35-65 y.","Female","413","0.422440536269005","0.39027690037643","0.45460417216158","1"
"Daily","2017","66 and older","Male","6","","","","1"
"Min 1x per month","2017","16-34 y.","Male","65","0.0444668689831419","0.0353966367368445","0.0535371012294393","3"
"Min 1x per month","2017","16-34 y.","Female","40","0.0395061558220236","0.0287418147632637","0.0502704968807834","3"
"Min 1x per month","2017","66 and older","Male","","","","","3"
"Min 1x per month","2017","66 and older","Female","1","","","","3"
"Min 1x per month","2017","35-65 y.","Male","38","0.0309580047374493","0.0216773671271633","0.0402386423477352","3"
"Min 1x per month","2017","35-65 y.","Female","22","","","","3"
"Min 1x per week","2017","16-34 y.","Male","336","0.158805802320347","0.142723116630344","0.174888488010351","2"
"Min 1x per week","2017","35-65 y.","Male","231","0.145600376706072","0.126701682072753","0.164499071339392","2"
"Min 1x per week","2017","16-34 y.","Female","198","0.167972488452524","0.147314135558512","0.188630841346536","2"
"Min 1x per week","2017","66 and older","Female","","","","","2"
"Min 1x per week","2017","35-65 y.","Female","155","0.159270310207063","0.135442748803546","0.183097871610579","2"
"Min 1x per week","2017","66 and older","Male","","","","","2"
"Never","2017","16-34 y.","Male","158","0.104452313813182","0.0909943099816905","0.117910317644673","5"
"Never","2017","16-34 y.","Female","240","0.205890190324461","0.183545935354026","0.228234445294895","5"
"Never","2017","35-65 y.","Male","176","0.15742351455204","0.137908921297323","0.176938107806757","5"
"Never","2017","35-65 y.","Female","243","0.299869144839987","0.270033220882924","0.32970506879705","5"
"Never","2017","66 and older","Male","14","","","","5"
"Never","2017","66 and older","Female","25","","","","5"
"Rarely","2017","16-34 y.","Male","82","0.0425784140905197","0.0336941061114516","0.0514627220695878","4"
"Rarely","2017","16-34 y.","Female","64","0.0549224432821015","0.0423327131775662","0.0675121733866369","4"
"Rarely","2017","66 and older","Male","","","","","4"
"Rarely","2017","35-65 y.","Female","73","0.095108321476822","0.0760057625554452","0.114210880398199","4"
"Rarely","2017","66 and older","Female","1","","","","4"
"Rarely","2017","35-65 y.","Male","92","0.0731797287009113","0.0592252635998538","0.0871341938019688","4"
"Daily","2018","35-65 y.","Male","696","0.580564983957361","0.551390243170416","0.609739724744306","1"
"Daily","2018","16-34 y.","Female","486","0.601793198864869","0.567372827165844","0.636213570563895","1"
"Daily","2018","66 and older","Female","3","","","","1"
"Daily","2018","35-65 y.","Female","353","0.506999972017221","0.469367678817897","0.544632265216545","1"
"Daily","2018","16-34 y.","Male","966","0.732702813095784","0.708506028922797","0.756899597268771","1"
"Daily","2018","66 and older","Male","5","","","","1"
"Min 1x per month","2018","16-34 y.","Male","32","0.0160982453654826","0.00921708520949546","0.0229794055214698","3"
"Min 1x per month","2018","16-34 y.","Female","18","","","","3"
"Min 1x per month","2018","35-65 y.","Male","39","0.0544310166508113","0.0410182281391124","0.0678438051625103","3"
"Min 1x per month","2018","66 and older","Female","2","","","","3"
"Min 1x per month","2018","35-65 y.","Female","27","","","","3"
"Min 1x per month","2018","66 and older","Male","","","","","3"
"Min 1x per week","2018","35-65 y.","Male","203","0.179410659115398","0.156725788773777","0.20209552945702","2"
"Min 1x per week","2018","35-65 y.","Female","110","0.150674943189883","0.123747772042246","0.177602114337521","2"
"Min 1x per week","2018","66 and older","Female","1","","","","2"
"Min 1x per week","2018","16-34 y.","Male","186","0.160663196951256","0.140585085407193","0.180741308495318","2"
"Min 1x per week","2018","16-34 y.","Female","126","0.193886356356488","0.166088625730698","0.221684086982277","2"
"Min 1x per week","2018","66 and older","Male","2","","","","2"
"Never","2018","16-34 y.","Male","57","0.0553302621373618","0.0428300353415215","0.0678304889332021","5"
"Never","2018","16-34 y.","Female","110","0.144587834968631","0.119859710955745","0.169315958981516","5"
"Never","2018","35-65 y.","Male","98","0.0950596242915428","0.0777192976396936","0.112399950943392","5"
"Never","2018","66 and older","Male","6","","","","5"
"Never","2018","66 and older","Female","11","","","","5"
"Never","2018","35-65 y.","Female","144","0.224202668397249","0.192810033191642","0.255595303602856","5"
"Rarely","2018","16-34 y.","Male","44","0.0352054824501157","0.0251287647778258","0.0452822001224055","4"
"Rarely","2018","16-34 y.","Female","37","0.0395360877201566","0.0258343719800634","0.0532378034602497","4"
"Rarely","2018","66 and older","Female","1","","","","4"
"Rarely","2018","35-65 y.","Male","63","0.0905337159848871","0.0735689559970866","0.107498475972688","4"
"Rarely","2018","35-65 y.","Female","44","0.0698086253365364","0.0506275062726542","0.0889897444004187","4"
"Rarely","2018","66 and older","Male","","","","","4"
"Daily","2019","66 and older","Female","1","","","","1"
"Daily","2019","35-65 y.","Female","398","0.543441193513418","0.5061123375599","0.580770049466935","1"
"Daily","2019","16-34 y.","Male","834","0.766919017497841","0.741586148584854","0.792251886410828","1"
"Daily","2019","16-34 y.","Female","472","0.650304279389568","0.614540681436693","0.686067877342442","1"
"Daily","2019","35-65 y.","Male","763","0.676840545389427","0.649177592470706","0.704503498308147","1"
"Daily","2019","66 and older","Male","5","","","","1"
"Min 1x per month","2019","35-65 y.","Male","22","","","","3"
"Min 1x per month","2019","66 and older","Female","1","","","","3"
"Min 1x per month","2019","16-34 y.","Female","12","","","","3"
"Min 1x per month","2019","16-34 y.","Male","10","","","","3"
"Min 1x per month","2019","35-65 y.","Female","20","","","","3"
"Min 1x per month","2019","66 and older","Male","","","","","3"
"Min 1x per week","2019","16-34 y.","Male","148","0.13308984199601","0.112737438562124","0.153442245429897","2"
"Min 1x per week","2019","16-34 y.","Female","96","0.150612944661736","0.123789057840374","0.177436831483098","2"
"Min 1x per week","2019","35-65 y.","Male","189","0.176957277348492","0.154384119193163","0.199530435503821","2"
"Min 1x per week","2019","35-65 y.","Female","112","0.211710585447357","0.181095591769683","0.242325579125032","2"
"Min 1x per week","2019","66 and older","Female","1","","","","2"
"Min 1x per week","2019","66 and older","Male","2","","","","2"
"Never","2019","16-34 y.","Male","40","0.0505822560729252","0.037451674194526","0.0637128379513243","5"
"Never","2019","16-34 y.","Female","64","0.0976394196018115","0.0753786389035093","0.119900200300114","5"
"Never","2019","35-65 y.","Male","74","0.0838107096140635","0.0674203196968334","0.100201099531294","5"
"Never","2019","35-65 y.","Female","102","0.132220360714634","0.106835549553754","0.157605171875515","5"
"Never","2019","66 and older","Male","8","","","","5"
"Never","2019","66 and older","Female","10","","","","5"
"Rarely","2019","16-34 y.","Male","38","0.0402004942880273","0.0284308819184589","0.0519701066575957","4"
"Rarely","2019","16-34 y.","Female","39","0.0724116244656023","0.0529750586561862","0.0918481902750184","4"
"Rarely","2019","35-65 y.","Male","50","0.0442279886564491","0.0320668939671068","0.0563890833457913","4"
