"pli0165","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","2013","35-65 y.","higher education","151","0.047819914201819","0.0410909273398636","0.0545489010637743"
"Min 1x per month","2013","66 and older","in school","","","",""
"Min 1x per month","2013","66 and older","inadequately","","","",""
"Min 1x per month","2013","66 and older","general elemantary","1","","",""
"Min 1x per month","2013","66 and older","middle vocational","28","","",""
"Min 1x per month","2013","66 and older","vocational + Abi","4","","",""
"Min 1x per month","2013","66 and older","higher vocational","3","","",""
"Min 1x per month","2013","66 and older","higher education","17","","",""
"Rarely","2013","16-34 y.","in school","8","","",""
"Rarely","2013","16-34 y.","inadequately","5","","",""
"Rarely","2013","16-34 y.","general elemantary","44","0.0475370922063083","0.0335496742284796","0.061524510184137"
"Rarely","2013","16-34 y.","middle vocational","139","0.0532823992655084","0.0443414445511445","0.0622233539798722"
"Rarely","2013","16-34 y.","vocational + Abi","25","","",""
"Rarely","2013","16-34 y.","higher vocational","9","","",""
"Rarely","2013","16-34 y.","higher education","64","0.0636143746696226","0.046743986827952","0.0804847625112932"
"Rarely","2013","35-65 y.","in school","","","",""
"Rarely","2013","35-65 y.","inadequately","9","","",""
"Rarely","2013","35-65 y.","general elemantary","79","0.0733835624524991","0.0569903391738672","0.0897767857311311"
"Rarely","2013","35-65 y.","middle vocational","669","0.0923612322533395","0.0857777592023402","0.0989447053043387"
"Rarely","2013","35-65 y.","vocational + Abi","111","0.100690668077455","0.0839282399058142","0.117453096249095"
"Rarely","2013","35-65 y.","higher vocational","129","0.126372532667369","0.107422383760378","0.145322681574359"
"Rarely","2013","35-65 y.","higher education","414","0.0961951676062515","0.0868969502452222","0.105493384967281"
"Rarely","2013","66 and older","in school","","","",""
"Rarely","2013","66 and older","inadequately","","","",""
"Rarely","2013","66 and older","general elemantary","17","","",""
"Rarely","2013","66 and older","middle vocational","120","0.0502337472827455","0.0417039214706939","0.058763573094797"
"Rarely","2013","66 and older","vocational + Abi","4","","",""
"Rarely","2013","66 and older","higher vocational","24","","",""
"Rarely","2013","66 and older","higher education","109","0.086784728593948","0.0704998177773147","0.103069639410581"
"Never","2013","16-34 y.","in school","16","","",""
"Never","2013","16-34 y.","inadequately","41","0.416304323408108","0.328472053896822","0.504136592919395"
"Never","2013","16-34 y.","general elemantary","129","0.17062984930843","0.145901284328733","0.195358414288127"
"Never","2013","16-34 y.","middle vocational","465","0.147642770325844","0.133520689244459","0.161764851407228"
"Never","2013","16-34 y.","vocational + Abi","93","0.167451477060497","0.131614668044998","0.203288286075995"
"Never","2013","16-34 y.","higher vocational","38","0.183162011320398","0.119542609049435","0.246781413591362"
"Never","2013","16-34 y.","higher education","189","0.213793141790873","0.185454086707919","0.242132196873826"
"Never","2013","35-65 y.","in school","","","",""
"Never","2013","35-65 y.","inadequately","85","0.571924810986436","0.494772481257889","0.649077140714983"
"Never","2013","35-65 y.","general elemantary","511","0.599831783168549","0.569031763663461","0.630631802673636"
