"pli0165","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","2017","35-65 y.","vocational + Abi","16","","",""
"Min 1x per week","2017","35-65 y.","higher vocational","","","",""
"Min 1x per week","2017","35-65 y.","higher education","72","0.151005726374614","0.115560794467545","0.186450658281683"
"Min 1x per week","2017","66 and older","in school","","","",""
"Min 1x per week","2017","66 and older","inadequately","","","",""
"Min 1x per week","2017","66 and older","general elemantary","","","",""
"Min 1x per week","2017","66 and older","middle vocational","","","",""
"Min 1x per week","2017","66 and older","vocational + Abi","","","",""
"Min 1x per week","2017","66 and older","higher vocational","","","",""
"Min 1x per week","2017","66 and older","higher education","","","",""
"Min 1x per month","2017","16-34 y.","in school","3","","",""
"Min 1x per month","2017","16-34 y.","inadequately","55","0.0622402659039593","0.0489375200604955","0.0755430117474231"
"Min 1x per month","2017","16-34 y.","general elemantary","17","","",""
"Min 1x per month","2017","16-34 y.","middle vocational","16","","",""
"Min 1x per month","2017","16-34 y.","vocational + Abi","","","",""
"Min 1x per month","2017","16-34 y.","higher vocational","","","",""
"Min 1x per month","2017","16-34 y.","higher education","5","","",""
"Min 1x per month","2017","35-65 y.","in school","","","",""
"Min 1x per month","2017","35-65 y.","inadequately","21","","",""
"Min 1x per month","2017","35-65 y.","general elemantary","12","","",""
"Min 1x per month","2017","35-65 y.","middle vocational","10","","",""
"Min 1x per month","2017","35-65 y.","vocational + Abi","2","","",""
"Min 1x per month","2017","35-65 y.","higher vocational","","","",""
"Min 1x per month","2017","35-65 y.","higher education","11","","",""
"Min 1x per month","2017","66 and older","in school","","","",""
"Min 1x per month","2017","66 and older","inadequately","1","","",""
"Min 1x per month","2017","66 and older","general elemantary","","","",""
"Min 1x per month","2017","66 and older","middle vocational","","","",""
"Min 1x per month","2017","66 and older","vocational + Abi","","","",""
"Min 1x per month","2017","66 and older","higher vocational","","","",""
"Min 1x per month","2017","66 and older","higher education","","","",""
"Rarely","2017","16-34 y.","in school","2","","",""
"Rarely","2017","16-34 y.","inadequately","62","0.053899031976841","0.0414647987334241","0.0663332652202579"
"Rarely","2017","16-34 y.","general elemantary","23","","",""
"Rarely","2017","16-34 y.","middle vocational","23","","",""
"Rarely","2017","16-34 y.","vocational + Abi","4","","",""
"Rarely","2017","16-34 y.","higher vocational","","","",""
"Rarely","2017","16-34 y.","higher education","22","","",""
"Rarely","2017","35-65 y.","in school","","","",""
"Rarely","2017","35-65 y.","inadequately","62","0.0771228185364485","0.0591983325076096","0.0950473045652875"
"Rarely","2017","35-65 y.","general elemantary","29","","",""
"Rarely","2017","35-65 y.","middle vocational","37","0.138225257738627","0.102962622359682","0.173487893117571"
"Rarely","2017","35-65 y.","vocational + Abi","1","","",""
"Rarely","2017","35-65 y.","higher vocational","","","",""
"Rarely","2017","35-65 y.","higher education","26","","",""
"Rarely","2017","66 and older","in school","","","",""
"Rarely","2017","66 and older","inadequately","1","","",""
"Rarely","2017","66 and older","general elemantary","","","",""
"Rarely","2017","66 and older","middle vocational","","","",""
"Rarely","2017","66 and older","vocational + Abi","","","",""
"Rarely","2017","66 and older","higher vocational","","","",""
"Rarely","2017","66 and older","higher education","","","",""
"Never","2017","16-34 y.","in school","1","","",""
"Never","2017","16-34 y.","inadequately","231","0.191273256943059","0.16961677975081","0.212929734135307"
"Never","2017","16-34 y.","general elemantary","76","0.118263699850341","0.0938848488017955","0.142642550898887"
"Never","2017","16-34 y.","middle vocational","32","0.101916883885864","0.0760623594916999","0.127771408280029"
"Never","2017","16-34 y.","vocational + Abi","5","","",""
"Never","2017","16-34 y.","higher vocational","","","",""
"Never","2017","16-34 y.","higher education","24","","",""
"Never","2017","35-65 y.","in school","","","",""
"Never","2017","35-65 y.","inadequately","243","0.328202344053837","0.296654230721034","0.359750457386641"
"Never","2017","35-65 y.","general elemantary","51","0.116143549315927","0.0850545728343516","0.147232525797502"
"Never","2017","35-65 y.","middle vocational","48","0.164362606232295","0.126497897174484","0.202227315290105"
"Never","2017","35-65 y.","vocational + Abi","6","","",""
"Never","2017","35-65 y.","higher vocational","","","",""
"Never","2017","35-65 y.","higher education","40","0.117973454404176","0.0860405784750036","0.149906330333348"
"Never","2017","66 and older","in school","","","",""
"Never","2017","66 and older","inadequately","28","","",""
"Never","2017","66 and older","general elemantary","7","","",""
"Never","2017","66 and older","middle vocational","","","",""
"Never","2017","66 and older","vocational + Abi","","","",""
"Never","2017","66 and older","higher vocational","","","",""
"Never","2017","66 and older","higher education","3","","",""
"Daily","2018","16-34 y.","in school","4","","",""
"Daily","2018","16-34 y.","inadequately","484","0.613785829128204","0.579769828105055","0.647801830151352"
"Daily","2018","16-34 y.","general elemantary","324","0.742488362230875","0.701350048849471","0.783626675612278"
"Daily","2018","16-34 y.","middle vocational","261","0.730651422959252","0.684175659912536","0.777127186005968"
"Daily","2018","16-34 y.","vocational + Abi","29","","",""
"Daily","2018","16-34 y.","higher vocational","","","",""
"Daily","2018","16-34 y.","higher education","274","0.836158796393825","0.796102839089932","0.876214753697719"
"Daily","2018","35-65 y.","in school","","","",""
"Daily","2018","35-65 y.","inadequately","331","0.488643509469393","0.44997668288991","0.527310336048876"
"Daily","2018","35-65 y.","general elemantary","193","0.608642127683381","0.554830938290512","0.662453317076249"
"Daily","2018","35-65 y.","middle vocational","205","0.59804417713989","0.54346549569834","0.652622858581439"
"Daily","2018","35-65 y.","vocational + Abi","33","0.510930084622198","0.376351372396205","0.64550879684819"
"Daily","2018","35-65 y.","higher vocational","","","",""
"Daily","2018","35-65 y.","higher education","222","0.693377242482695","0.643477517345627","0.743276967619763"
"Daily","2018","66 and older","in school","","","",""
"Daily","2018","66 and older","inadequately","3","","",""
"Daily","2018","66 and older","general elemantary","","","",""
"Daily","2018","66 and older","middle vocational","","","",""
"Daily","2018","66 and older","vocational + Abi","","","",""
"Daily","2018","66 and older","higher vocational","","","",""
"Daily","2018","66 and older","higher education","5","","",""
"Min 1x per week","2018","16-34 y.","in school","","","",""
"Min 1x per week","2018","16-34 y.","inadequately","140","0.20844748331736","0.180068363613195","0.236826603021524"
"Min 1x per week","2018","16-34 y.","general elemantary","55","0.154742630107241","0.120717272652987","0.188767987561495"
"Min 1x per week","2018","16-34 y.","middle vocational","53","0.146852960581342","0.109770600556833","0.183935320605851"
"Min 1x per week","2018","16-34 y.","vocational + Abi","2","","",""
"Min 1x per week","2018","16-34 y.","higher vocational","","","",""
"Min 1x per week","2018","16-34 y.","higher education","36","0.12252541808005","0.0870406853737253","0.158010150786376"
"Min 1x per week","2018","35-65 y.","in school","","","",""
"Min 1x per week","2018","35-65 y.","inadequately","111","0.162238246269047","0.133720351418094","0.19075614112"
"Min 1x per week","2018","35-65 y.","general elemantary","56","0.136159809258726","0.0983464100337393","0.173973208483713"
"Min 1x per week","2018","35-65 y.","middle vocational","59","0.170871262023948","0.128971385632509","0.212771138415387"
"Min 1x per week","2018","35-65 y.","vocational + Abi","10","","",""
"Min 1x per week","2018","35-65 y.","higher vocational","","","",""
"Min 1x per week","2018","35-65 y.","higher education","57","0.172582026445777","0.131686912129351","0.213477140762203"
"Min 1x per week","2018","66 and older","in school","","","",""
"Min 1x per week","2018","66 and older","inadequately","1","","",""
"Min 1x per week","2018","66 and older","general elemantary","1","","",""
"Min 1x per week","2018","66 and older","middle vocational","","","",""
"Min 1x per week","2018","66 and older","vocational + Abi","","","",""
"Min 1x per week","2018","66 and older","higher vocational","","","",""
"Min 1x per week","2018","66 and older","higher education","","","",""
"Min 1x per month","2018","16-34 y.","in school","","","",""
"Min 1x per month","2018","16-34 y.","inadequately","20","","",""
"Min 1x per month","2018","16-34 y.","general elemantary","15","","",""
"Min 1x per month","2018","16-34 y.","middle vocational","7","","",""
"Min 1x per month","2018","16-34 y.","vocational + Abi","1","","",""
"Min 1x per month","2018","16-34 y.","higher vocational","","","",""
"Min 1x per month","2018","16-34 y.","higher education","5","","",""
"Min 1x per month","2018","35-65 y.","in school","","","",""
"Min 1x per month","2018","35-65 y.","inadequately","27","","",""
"Min 1x per month","2018","35-65 y.","general elemantary","12","","",""
"Min 1x per month","2018","35-65 y.","middle vocational","8","","",""
"Min 1x per month","2018","35-65 y.","vocational + Abi","2","","",""
"Min 1x per month","2018","35-65 y.","higher vocational","","","",""
"Min 1x per month","2018","35-65 y.","higher education","6","","",""
"Min 1x per month","2018","66 and older","in school","","","",""
"Min 1x per month","2018","66 and older","inadequately","2","","",""
"Min 1x per month","2018","66 and older","general elemantary","","","",""
"Min 1x per month","2018","66 and older","middle vocational","","","",""
"Min 1x per month","2018","66 and older","vocational + Abi","","","",""
"Min 1x per month","2018","66 and older","higher vocational","","","",""
"Min 1x per month","2018","66 and older","higher education","","","",""
"Rarely","2018","16-34 y.","in school","","","",""
"Rarely","2018","16-34 y.","inadequately","39","0.0428024380162627","0.0286609284957298","0.0569439475367956"
"Rarely","2018","16-34 y.","general elemantary","14","","",""
"Rarely","2018","16-34 y.","middle vocational","14","","",""
"Rarely","2018","16-34 y.","vocational + Abi","","","",""
"Rarely","2018","16-34 y.","higher vocational","","","",""
"Rarely","2018","16-34 y.","higher education","7","","",""
"Rarely","2018","35-65 y.","in school","","","",""
"Rarely","2018","35-65 y.","inadequately","49","0.1031441964063","0.0796173191492383","0.126671073663361"
"Rarely","2018","35-65 y.","general elemantary","10","","",""
"Rarely","2018","35-65 y.","middle vocational","12","","",""
"Rarely","2018","35-65 y.","vocational + Abi","4","","",""
"Rarely","2018","35-65 y.","higher vocational","","","",""
"Rarely","2018","35-65 y.","higher education","20","","",""
"Rarely","2018","66 and older","in school","","","",""
"Rarely","2018","66 and older","inadequately","1","","",""
"Rarely","2018","66 and older","general elemantary","","","",""
"Rarely","2018","66 and older","middle vocational","","","",""
"Rarely","2018","66 and older","vocational + Abi","","","",""
"Rarely","2018","66 and older","higher vocational","","","",""
"Rarely","2018","66 and older","higher education","","","",""
"Never","2018","16-34 y.","in school","","","",""
"Never","2018","16-34 y.","inadequately","104","0.120915411799147","0.0981373436699251","0.14369347992837"
"Never","2018","16-34 y.","general elemantary","26","","",""
"Never","2018","16-34 y.","middle vocational","15","","",""
"Never","2018","16-34 y.","vocational + Abi","2","","",""
"Never","2018","16-34 y.","higher vocational","","","",""
"Never","2018","16-34 y.","higher education","6","","",""
"Never","2018","35-65 y.","in school","1","","",""
"Never","2018","35-65 y.","inadequately","124","0.192257643013274","0.161774565351746","0.222740720674802"
"Never","2018","35-65 y.","general elemantary","45","0.189507903432039","0.14629707373924","0.232718733124839"
"Never","2018","35-65 y.","middle vocational","26","","",""
"Never","2018","35-65 y.","vocational + Abi","4","","",""
"Never","2018","35-65 y.","higher vocational","","","",""
"Never","2018","35-65 y.","higher education","23","","",""
"Never","2018","66 and older","in school","","","",""
"Never","2018","66 and older","inadequately","14","","",""
"Never","2018","66 and older","general elemantary","","","",""
"Never","2018","66 and older","middle vocational","","","",""
"Never","2018","66 and older","vocational + Abi","","","",""
"Never","2018","66 and older","higher vocational","","","",""
"Never","2018","66 and older","higher education","1","","",""
"Daily","2019","16-34 y.","in school","","","",""
"Daily","2019","16-34 y.","inadequately","460","0.662092637368172","0.62603431078581","0.698150963950533"
"Daily","2019","16-34 y.","general elemantary","307","0.789034677197269","0.748333401535909","0.829735952858628"
"Daily","2019","16-34 y.","middle vocational","219","0.767979361365901","0.719562710042807","0.816396012688995"
"Daily","2019","16-34 y.","vocational + Abi","28","","",""
"Daily","2019","16-34 y.","higher vocational","","","",""
"Daily","2019","16-34 y.","higher education","228","0.853167693193015","0.811182633086594","0.895152753299436"
"Daily","2019","35-65 y.","in school","","","",""
"Daily","2019","35-65 y.","inadequately","394","0.557731046615078","0.520429213723723","0.595032879506433"
"Daily","2019","35-65 y.","general elemantary","200","0.559832729500113","0.505100572316654","0.614564886683571"
"Daily","2019","35-65 y.","middle vocational","205","0.650067755562927","0.594597493894026","0.705538017231827"
"Daily","2019","35-65 y.","vocational + Abi","36","0.838928863587038","0.734937109904077","0.94292061727"
"Daily","2019","35-65 y.","higher vocational","","","",""
"Daily","2019","35-65 y.","higher education","235","0.760657402920655","0.713538262205405","0.807776543635904"
"Daily","2019","66 and older","in school","","","",""
"Daily","2019","66 and older","inadequately","3","","",""
"Daily","2019","66 and older","general elemantary","","","",""
"Daily","2019","66 and older","middle vocational","","","",""
"Daily","2019","66 and older","vocational + Abi","","","",""
"Daily","2019","66 and older","higher vocational","","","",""
"Daily","2019","66 and older","higher education","2","","",""
"Min 1x per week","2019","16-34 y.","in school","","","",""
"Min 1x per week","2019","16-34 y.","inadequately","107","0.177246900565724","0.148134940314985","0.206358860816462"
"Min 1x per week","2019","16-34 y.","general elemantary","45","0.107604198573113","0.0766907250394297","0.138517672106797"
"Min 1x per week","2019","16-34 y.","middle vocational","43","0.111484057805812","0.0753850170721992","0.147583098539424"
"Min 1x per week","2019","16-34 y.","vocational + Abi","6","","",""
"Min 1x per week","2019","16-34 y.","higher vocational","","","",""
"Min 1x per week","2019","16-34 y.","higher education","26","","",""
"Min 1x per week","2019","35-65 y.","in school","","","",""
"Min 1x per week","2019","35-65 y.","inadequately","127","0.201871051219126","0.171723774382986","0.232018328055267"
"Min 1x per week","2019","35-65 y.","general elemantary","61","0.22413335041251","0.178155217286995","0.270111483538024"
"Min 1x per week","2019","35-65 y.","middle vocational","43","0.192862724612228","0.14697603030074","0.238749418923717"
"Min 1x per week","2019","35-65 y.","vocational + Abi","7","","",""
"Min 1x per week","2019","35-65 y.","higher vocational","","","",""
"Min 1x per week","2019","35-65 y.","higher education","41","0.133483643254299","0.0959262689475252","0.171041017561072"
"Min 1x per week","2019","66 and older","in school","","","",""
"Min 1x per week","2019","66 and older","inadequately","","","",""
"Min 1x per week","2019","66 and older","general elemantary","","","",""
"Min 1x per week","2019","66 and older","middle vocational","","","",""
"Min 1x per week","2019","66 and older","vocational + Abi","1","","",""
"Min 1x per week","2019","66 and older","higher vocational","","","",""
"Min 1x per week","2019","66 and older","higher education","2","","",""
"Min 1x per month","2019","16-34 y.","in school","","","",""
"Min 1x per month","2019","16-34 y.","inadequately","9","","",""
"Min 1x per month","2019","16-34 y.","general elemantary","7","","",""
"Min 1x per month","2019","16-34 y.","middle vocational","1","","",""
"Min 1x per month","2019","16-34 y.","vocational + Abi","1","","",""
"Min 1x per month","2019","16-34 y.","higher vocational","","","",""
"Min 1x per month","2019","16-34 y.","higher education","1","","",""
"Min 1x per month","2019","35-65 y.","in school","","","",""
"Min 1x per month","2019","35-65 y.","inadequately","11","","",""
"Min 1x per month","2019","35-65 y.","general elemantary","8","","",""
"Min 1x per month","2019","35-65 y.","middle vocational","10","","",""
"Min 1x per month","2019","35-65 y.","vocational + Abi","1","","",""
"Min 1x per month","2019","35-65 y.","higher vocational","","","",""
"Min 1x per month","2019","35-65 y.","higher education","6","","",""
"Min 1x per month","2019","66 and older","in school","","","",""
"Min 1x per month","2019","66 and older","inadequately","1","","",""
"Min 1x per month","2019","66 and older","general elemantary","","","",""
"Min 1x per month","2019","66 and older","middle vocational","","","",""
"Min 1x per month","2019","66 and older","vocational + Abi","","","",""
"Min 1x per month","2019","66 and older","higher vocational","","","",""
"Min 1x per month","2019","66 and older","higher education","","","",""
"Rarely","2019","16-34 y.","in school","","","",""
"Rarely","2019","16-34 y.","inadequately","31","0.0529114642979381","0.0358460222880106","0.0699769063078656"
"Rarely","2019","16-34 y.","general elemantary","12","","",""
"Rarely","2019","16-34 y.","middle vocational","13","","",""
"Rarely","2019","16-34 y.","vocational + Abi","","","",""
"Rarely","2019","16-34 y.","higher vocational","","","",""
"Rarely","2019","16-34 y.","higher education","13","","",""
"Rarely","2019","35-65 y.","in school","","","",""
"Rarely","2019","35-65 y.","inadequately","48","0.078984471410628","0.058727296903152","0.0992416459181041"
"Rarely","2019","35-65 y.","general elemantary","15","","",""
"Rarely","2019","35-65 y.","middle vocational","13","","",""
"Rarely","2019","35-65 y.","vocational + Abi","1","","",""
"Rarely","2019","35-65 y.","higher vocational","","","",""
"Rarely","2019","35-65 y.","higher education","16","","",""
"Rarely","2019","66 and older","in school","","","",""
"Rarely","2019","66 and older","inadequately","2","","",""
"Rarely","2019","66 and older","general elemantary","2","","",""
"Rarely","2019","66 and older","middle vocational","","","",""
"Rarely","2019","66 and older","vocational + Abi","","","",""
"Rarely","2019","66 and older","higher vocational","","","",""
"Rarely","2019","66 and older","higher education","1","","",""
"Never","2019","16-34 y.","in school","","","",""
"Never","2019","16-34 y.","inadequately","54","0.0851904900662569","0.0639086950940468","0.106472285038467"
"Never","2019","16-34 y.","general elemantary","15","","",""
"Never","2019","16-34 y.","middle vocational","16","","",""
"Never","2019","16-34 y.","vocational + Abi","3","","",""
"Never","2019","16-34 y.","higher vocational","","","",""
"Never","2019","16-34 y.","higher education","5","","",""
"Never","2019","35-65 y.","in school","","","",""
"Never","2019","35-65 y.","inadequately","101","0.144919822994476","0.118481016165072","0.17135862982388"
"Never","2019","35-65 y.","general elemantary","32","0.133903377196242","0.0963556643751134","0.171451090017371"
"Never","2019","35-65 y.","middle vocational","13","","",""
"Never","2019","35-65 y.","vocational + Abi","3","","",""
"Never","2019","35-65 y.","higher vocational","","","",""
"Never","2019","35-65 y.","higher education","17","","",""
"Never","2019","66 and older","in school","","","",""
"Never","2019","66 and older","inadequately","15","","",""
"Never","2019","66 and older","general elemantary","","","",""
"Never","2019","66 and older","middle vocational","1","","",""
"Never","2019","66 and older","vocational + Abi","","","",""
"Never","2019","66 and older","higher vocational","","","",""
"Never","2019","66 and older","higher education","1","","",""
