"pli0165","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"Daily","2013","16-34 y.","Full Time","1167","0.568367352663845","0.547508492638064","0.589226212689626"
"Daily","2013","16-34 y.","Part Time","1155","0.651719430389565","0.630073818752467","0.673365042026663"
"Daily","2013","16-34 y.","Not Working","1059","0.655077036568619","0.63192987058153","0.678224202555708"
"Daily","2013","35-65 y.","Full Time","1557","0.196155126647912","0.187114560271603","0.205195693024221"
"Daily","2013","35-65 y.","Part Time","1074","0.197433291118559","0.186247738846378","0.208618843390739"
"Daily","2013","35-65 y.","Not Working","579","0.179492740714054","0.164781139034739","0.194204342393368"
"Daily","2013","66 and older","Full Time","2","","",""
"Daily","2013","66 and older","Part Time","39","0.0847293003848626","0.0566187721976342","0.112839828572091"
"Daily","2013","66 and older","Not Working","260","0.0510303378470403","0.0446000490183882","0.0574606266756924"
"Min 1x per week","2013","16-34 y.","Full Time","323","0.162161994384186","0.14663907393907","0.177684914829303"
"Min 1x per week","2013","16-34 y.","Part Time","252","0.114437513265851","0.099974169255301","0.128900857276401"
"Min 1x per week","2013","16-34 y.","Not Working","205","0.136783170100547","0.120050437698207","0.153515902502886"
"Min 1x per week","2013","35-65 y.","Full Time","994","0.13301946258075","0.125287816728849","0.140751108432651"
"Min 1x per week","2013","35-65 y.","Part Time","679","0.135910929711256","0.126281221755244","0.145540637667267"
"Min 1x per week","2013","35-65 y.","Not Working","258","0.106692901873627","0.0948580328618109","0.118527770885444"
"Min 1x per week","2013","66 and older","Full Time","7","","",""
"Min 1x per week","2013","66 and older","Part Time","27","","",""
"Min 1x per week","2013","66 and older","Not Working","181","0.0329751531413362","0.0277571742061643","0.0381931320765081"
"Min 1x per month","2013","16-34 y.","Full Time","80","0.0352911192612497","0.0275206057619739","0.0430616327605256"
"Min 1x per month","2013","16-34 y.","Part Time","48","0.0336965232004644","0.0254982153563644","0.0418948310445644"
"Min 1x per month","2013","16-34 y.","Not Working","34","0.0234961954858056","0.0161201034506505","0.0308722875209607"
"Min 1x per month","2013","35-65 y.","Full Time","270","0.0402063213143017","0.0357338681989594","0.044678774429644"
"Min 1x per month","2013","35-65 y.","Part Time","163","0.0360881186716796","0.0308471995634333","0.0413290377799259"
"Min 1x per month","2013","35-65 y.","Not Working","76","0.0290653681678727","0.0226254817203312","0.0355052546154142"
