"pli0165","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","Full Time","no migration background","2268","0.289686031292591","0.279877435668042","0.29949462691714","1"
"Daily","2013","Full Time","direct migration background","262","0.245434104971554","0.217967290991825","0.272900918951282","1"
"Daily","2013","Full Time","indirect migration background","196","0.441033730200874","0.39633577830651","0.485731682095238","1"
"Daily","2013","Part Time","no migration background","1817","0.302871139992585","0.291178935724822","0.314563344260348","1"
"Daily","2013","Part Time","direct migration background","248","0.314186120230617","0.281399295335273","0.346972945125961","1"
"Daily","2013","Part Time","indirect migration background","203","0.580253611987636","0.531889802087023","0.628617421888248","1"
"Daily","2013","Not Working","no migration background","1514","0.149255806084737","0.141178276474114","0.157333335695361","1"
"Daily","2013","Not Working","direct migration background","201","0.129919814096787","0.108472178191959","0.151367450001615","1"
"Daily","2013","Not Working","indirect migration background","183","0.521181863659403","0.465839734259891","0.576523993058915","1"
"Min 1x per month","2013","Part Time","indirect migration background","11","","","","3"
"Min 1x per month","2013","Not Working","no migration background","132","0.0146759124780202","0.0119500398973635","0.0174017850586768","3"
"Min 1x per month","2013","Full Time","no migration background","288","0.0370955868259506","0.0330089072517396","0.0411822664001617","3"
"Min 1x per month","2013","Full Time","direct migration background","39","0.0445065842558262","0.0313446951796644","0.057668473331988","3"
"Min 1x per month","2013","Full Time","indirect migration background","23","","","","3"
"Min 1x per month","2013","Part Time","no migration background","172","0.0313827066340591","0.0269462910250602","0.035819122243058","3"
"Min 1x per month","2013","Part Time","direct migration background","36","0.0543915854066216","0.0383729966686812","0.0704101741445619","3"
"Min 1x per month","2013","Not Working","direct migration background","19","","","","3"
"Min 1x per month","2013","Not Working","indirect migration background","4","","","","3"
"Min 1x per week","2013","Full Time","no migration background","1090","0.139729176967381","0.132232323486885","0.147226030447877","2"
"Min 1x per week","2013","Part Time","indirect migration background","63","0.170816241569343","0.13393478454975","0.207697698588937","2"
"Min 1x per week","2013","Not Working","direct migration background","102","0.0749638979996897","0.0581655135755212","0.0917622824238582","2"
"Min 1x per week","2013","Not Working","indirect migration background","47","0.193067138025601","0.149340226602523","0.236794049448679","2"
"Min 1x per week","2013","Full Time","direct migration background","154","0.160466438157454","0.137040155327917","0.183892720986991","2"
"Min 1x per week","2013","Full Time","indirect migration background","80","0.12815328656457","0.0980617848476814","0.158244788281458","2"
"Min 1x per week","2013","Part Time","no migration background","768","0.122594535197059","0.114249145140268","0.130939925253851","2"
"Min 1x per week","2013","Part Time","direct migration background","127","0.126803781717296","0.103300703037365","0.150306860397227","2"
"Min 1x per week","2013","Not Working","no migration background","495","0.0596470205131601","0.0542785165941567","0.0650155244321635","2"
"Never","2013","Not Working","direct migration background","567","0.730479036921927","0.702174096350413","0.758783977493441","5"
"Never","2013","Part Time","indirect migration background","97","0.175370903925269","0.138103752951849","0.21263805489869","5"
"Never","2013","Not Working","no migration background","4915","0.724009065341696","0.713876186372543","0.734141944310849","5"
"Never","2013","Not Working","indirect migration background","63","0.24691689333937","0.199144964461207","0.294688822217533","5"
"Never","2013","Full Time","no migration background","3783","0.444034254577875","0.433290647164876","0.454777861990873","5"
"Never","2013","Full Time","direct migration background","382","0.456089368454892","0.424300066395451","0.487878670514333","5"
"Never","2013","Full Time","indirect migration background","130","0.286760339046332","0.246047048434439","0.327473629658226","5"
"Never","2013","Part Time","no migration background","2696","0.456361454189669","0.443687255371027","0.469035653008311","5"
"Never","2013","Part Time","direct migration background","302","0.419993835069808","0.385132782873071","0.454854887266546","5"
"Rarely","2013","Full Time","no migration background","787","0.0894549503362033","0.0832837338178271","0.0956261668545795","4"
"Rarely","2013","Full Time","direct migration background","106","0.0935035041602743","0.0749216411979057","0.112085367122643","4"
"Rarely","2013","Full Time","indirect migration background","45","0.0804127809460762","0.0559324139434061","0.104893147948746","4"
"Rarely","2013","Part Time","indirect migration background","26","","","","4"
"Rarely","2013","Not Working","no migration background","420","0.0524121955823858","0.0473604746352156","0.0574639165295561","4"
"Rarely","2013","Not Working","direct migration background","55","0.047474338684361","0.0339090232144249","0.0610396541542971","4"
"Rarely","2013","Not Working","indirect migration background","16","","","","4"
"Rarely","2013","Part Time","no migration background","480","0.0867901639866274","0.0796265617793608","0.093953766193894","4"
"Rarely","2013","Part Time","direct migration background","57","0.0846246775756569","0.0649661565202608","0.104283198631053","4"
"Daily","2014","Part Time","direct migration background","","","","","1"
"Daily","2014","Part Time","indirect migration background","","","","","1"
"Daily","2014","Not Working","no migration background","","","","","1"
"Daily","2014","Not Working","direct migration background","","","","","1"
"Daily","2014","Not Working","indirect migration background","","","","","1"
"Daily","2014","Full Time","no migration background","","","","","1"
"Daily","2014","Full Time","direct migration background","","","","","1"
"Daily","2014","Full Time","indirect migration background","","","","","1"
"Daily","2014","Part Time","no migration background","","","","","1"
"Min 1x per month","2014","Part Time","indirect migration background","","","","","3"
"Min 1x per month","2014","Not Working","no migration background","","","","","3"
"Min 1x per month","2014","Not Working","direct migration background","","","","","3"
"Min 1x per month","2014","Part Time","direct migration background","","","","","3"
"Min 1x per month","2014","Not Working","indirect migration background","","","","","3"
"Min 1x per month","2014","Full Time","no migration background","","","","","3"
"Min 1x per month","2014","Full Time","direct migration background","","","","","3"
"Min 1x per month","2014","Full Time","indirect migration background","","","","","3"
"Min 1x per month","2014","Part Time","no migration background","","","","","3"
"Min 1x per week","2014","Part Time","indirect migration background","","","","","2"
"Min 1x per week","2014","Not Working","direct migration background","","","","","2"
