"pli0165","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","1-pers.-HH","Urban Area","586","0.229990394462566","0.213254949877263","0.246725839047869","1"
"Daily","2013","1-pers.-HH","Rural Area","191","0.158423317473441","0.137124400589327","0.179722234357555","1"
"Daily","2013","(Married) couple without C. ","Urban Area","809","0.172106300375873","0.161429953233605","0.182782647518141","1"
"Daily","2013","(Married) couple without C. ","Rural Area","381","0.137619428932853","0.124834062153266","0.15040479571244","1"
"Daily","2013","Single parent ","Urban Area","746","0.43111816764991","0.407535084478867","0.454701250820953","1"
"Daily","2013","Single parent ","Rural Area","365","0.401569822882167","0.369858524230402","0.433281121533932","1"
"Daily","2013","Couple + C. LE 16 ","Urban Area","1301","0.315029223726245","0.300965487781682","0.329092959670807","1"
"Daily","2013","Couple + C. LE 16 ","Rural Area","639","0.244915989688321","0.227283599188857","0.262548380187785","1"
"Daily","2013","Couple + C. GT 16 ","Urban Area","631","0.399579426974702","0.376760732157536","0.422398121791869","1"
"Daily","2013","Couple + C. GT 16 ","Rural Area","341","0.336203613475761","0.306879888188239","0.365527338763284","1"
"Daily","2013","Couple + C. LE and GT 16","Urban Area","493","0.387948504775652","0.360727754749419","0.415169254801886","1"
"Daily","2013","Couple + C. LE and GT 16","Rural Area","271","0.341084337129223","0.307963101618091","0.374205572640354","1"
"Min 1x per month","2013","Couple + C. GT 16 ","Rural Area","24","","","","3"
"Min 1x per month","2013","(Married) couple without C. ","Rural Area","56","0.0204589560904693","0.0152051155411693","0.0257127966397693","3"
"Min 1x per month","2013","1-pers.-HH","Urban Area","55","0.0238558870860027","0.0177872790396565","0.0299244951323489","3"
"Min 1x per month","2013","Couple + C. LE and GT 16","Urban Area","30","0.0274276588272713","0.0183038875143553","0.0365514301401873","3"
"Min 1x per month","2013","(Married) couple without C. ","Urban Area","134","0.0321602161117971","0.0271702427468045","0.0371501894767898","3"
"Min 1x per month","2013","Single parent ","Urban Area","48","0.026857999518615","0.0191593184718286","0.0345566805654013","3"
"Min 1x per month","2013","Single parent ","Rural Area","41","0.0318020340519287","0.0204509776271437","0.0431530904767138","3"
"Min 1x per month","2013","Couple + C. LE 16 ","Urban Area","154","0.0385913562633647","0.0327597486710553","0.0444229638556741","3"
"Min 1x per month","2013","Couple + C. LE 16 ","Rural Area","69","0.0385153847799265","0.0306250890853131","0.0464056804745399","3"
"Min 1x per month","2013","Couple + C. GT 16 ","Urban Area","58","0.0315184688768677","0.0233791196001188","0.0396578181536166","3"
"Min 1x per month","2013","Couple + C. LE and GT 16","Rural Area","23","","","","3"
"Min 1x per month","2013","1-pers.-HH","Rural Area","21","","","","3"
"Min 1x per week","2013","(Married) couple without C. ","Urban Area","445","0.102100568798941","0.0935367998369367","0.110664337760945","2"
"Min 1x per week","2013","Single parent ","Urban Area","226","0.1251131100977","0.109358097585924","0.140868122609476","2"
"Min 1x per week","2013","Single parent ","Rural Area","115","0.131723931107223","0.109846918975518","0.153600943238928","2"
"Min 1x per week","2013","(Married) couple without C. ","Rural Area","238","0.0935616586915785","0.0827537436075288","0.104369573775628","2"
"Min 1x per week","2013","1-pers.-HH","Rural Area","88","0.0797284232626597","0.0639281094683136","0.0955287370570057","2"
"Min 1x per week","2013","Couple + C. LE 16 ","Rural Area","345","0.152124517921777","0.137398998094671","0.166850037748883","2"
"Min 1x per week","2013","1-pers.-HH","Urban Area","223","0.0876772358333353","0.0764298391083637","0.098924632558307","2"
"Min 1x per week","2013","Couple + C. LE 16 ","Urban Area","601","0.136483684251109","0.126090110473927","0.146877258028291","2"
"Min 1x per week","2013","Couple + C. GT 16 ","Urban Area","206","0.123875917162373","0.108528414814141","0.139223419510605","2"
"Min 1x per week","2013","Couple + C. GT 16 ","Rural Area","109","0.113120296902884","0.093459408506453","0.132781185299315","2"
"Min 1x per week","2013","Couple + C. LE and GT 16","Urban Area","163","0.162739913078757","0.142119550444452","0.183360275713062","2"
"Min 1x per week","2013","Couple + C. LE and GT 16","Rural Area","118","0.14067589137542","0.116384686282257","0.164967096468583","2"
