"pli0165","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2013","(0) in school","West Germany","329","0.857476065982497","0.82295732999835","0.891994801966645"
"Daily","2013","(0) in school","East Germany","40","0.810647129332463","0.706150307391634","0.915143951273292"
"Daily","2013","(1a) inadequately completed","West Germany","77","0.158549059828069","0.117691244718373","0.199406874937765"
"Daily","2013","(1a) inadequately completed","East Germany","20","","",""
"Daily","2013","(1b) general elementary school","West Germany","428","0.173015191852851","0.15507632349111","0.190954060214593"
"Daily","2013","(1b) general elementary school","East Germany","47","0.149433871695767","0.102216196543372","0.196651546848161"
"Daily","2013","(1c) basic vocational qualification","West Germany","888","0.149751039049727","0.139604602287644","0.159897475811811"
"Daily","2013","(1c) basic vocational qualification","East Germany","142","0.107159088815609","0.0883329932089585","0.12598518442226"
"Daily","2013","(2b) intermediate general qualification","West Germany","309","0.464206034776448","0.42386162741356","0.504550442139337"
"Daily","2013","(2b) intermediate general qualification","East Germany","85","0.627999296314919","0.546466438322903","0.709532154306936"
"Daily","2013","(2a) intermediate vocational","West Germany","1236","0.273316155235739","0.260021947194844","0.286610363276634"
"Daily","2013","(2a) intermediate vocational","East Germany","461","0.184498932806035","0.168099112882888","0.200898752729182"
"Daily","2013","(2c_gen) general maturity certificate","West Germany","514","0.601586808322465","0.569295640903621","0.63387797574131"
"Daily","2013","(2c_gen) general maturity certificate","East Germany","85","0.650721565885012","0.573124093390885","0.728319038379138"
"Daily","2013","(2c_voc) vocational maturity certificate","West Germany","563","0.308557377535873","0.287782826370746","0.329331928701"
"Daily","2013","(2c_voc) vocational maturity certificate","East Germany","89","0.250659375159237","0.205124926283777","0.296193824034697"
"Daily","2013","(3a) lower tertiary education","West Germany","279","0.174590116459747","0.154942124347216","0.194238108572277"
"Daily","2013","(3a) lower tertiary education","East Germany","94","0.135576488232128","0.109074738286717","0.162078238177538"
"Daily","2013","(3b) higher tertiary education","West Germany","645","0.246743373435787","0.231138496878096","0.262348249993478"
"Daily","2013","(3b) higher tertiary education","East Germany","175","0.243843000179066","0.21423537694387","0.273450623414262"
"Min 1x per week","2013","(0) in school","West Germany","40","0.0868786159441144","0.0590673547623838","0.114689877125845"
"Min 1x per week","2013","(0) in school","East Germany","8","","",""
