"pli0165","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2013","Not Employed","Male","716","0.170998054035288","0.158501350229306","0.183494757841269"
"Daily","2013","Not Employed","Female","1182","0.143132728335712","0.133655961394563","0.152609495276862"
"Daily","2013","Employed","Male","2259","0.287119658329289","0.277232332634398","0.297006984024181"
"Daily","2013","Employed","Female","2735","0.314241874933669","0.304483426739846","0.324000323127493"
"Min 1x per week","2013","Not Employed","Male","247","0.0734419817870373","0.064783721841238","0.0821002417328366"
"Min 1x per week","2013","Not Employed","Female","397","0.0567790932570504","0.0505167786284572","0.0630414078856437"
"Min 1x per week","2013","Employed","Male","1046","0.133779857276345","0.126340274847438","0.141219439705251"
"Min 1x per week","2013","Employed","Female","1236","0.136290338531816","0.129077940683039","0.143502736380594"
"Min 1x per month","2013","Not Employed","Male","64","0.0188281454159699","0.0143168794703975","0.0233394113615424"
"Min 1x per month","2013","Not Employed","Female","91","0.0119819706353171","0.00903768114879709","0.0149262601218371"
"Min 1x per month","2013","Employed","Male","295","0.0388886524956779","0.034663548952018","0.0431137560393378"
"Min 1x per month","2013","Employed","Female","274","0.0344319668748735","0.0305989952278146","0.0382649385219323"
"Rarely","2013","Not Employed","Male","221","0.0625211972159788","0.054485630919169","0.0705567635127886"
"Rarely","2013","Not Employed","Female","270","0.0432317642606661","0.0377282664032503","0.0487352621180819"
"Rarely","2013","Employed","Male","800","0.0979909779397871","0.09149360877019","0.104488347109384"
"Rarely","2013","Employed","Female","701","0.0767650209101104","0.071168719942163","0.0823613218780579"
"Never","2013","Not Employed","Male","2239","0.674210621545726","0.658654964026017","0.689766279065436"
"Never","2013","Not Employed","Female","3306","0.744874443511254","0.733077962651144","0.756670924371364"
"Never","2013","Employed","Male","3643","0.442220853958901","0.431366854323735","0.453074853594068"
"Never","2013","Employed","Female","3747","0.43827079874953","0.427840469462199","0.448701128036861"
"Daily","2014","Not Employed","Male","","","",""
"Daily","2014","Not Employed","Female","","","",""
"Daily","2014","Employed","Male","","","",""
"Daily","2014","Employed","Female","","","",""
"Min 1x per week","2014","Not Employed","Male","","","",""
"Min 1x per week","2014","Not Employed","Female","","","",""
"Min 1x per week","2014","Employed","Male","","","",""
"Min 1x per week","2014","Employed","Female","","","",""
"Min 1x per month","2014","Not Employed","Male","","","",""
"Min 1x per month","2014","Not Employed","Female","","","",""
"Min 1x per month","2014","Employed","Male","","","",""
"Min 1x per month","2014","Employed","Female","","","",""
"Rarely","2014","Not Employed","Male","","","",""
"Rarely","2014","Not Employed","Female","","","",""
"Rarely","2014","Employed","Male","","","",""
"Rarely","2014","Employed","Female","","","",""
"Never","2014","Not Employed","Male","","","",""
"Never","2014","Not Employed","Female","","","",""
"Never","2014","Employed","Male","","","",""
"Never","2014","Employed","Female","","","",""
"Daily","2015","Not Employed","Male","","","",""
"Daily","2015","Not Employed","Female","","","",""
"Daily","2015","Employed","Male","","","",""
"Daily","2015","Employed","Female","","","",""
"Min 1x per week","2015","Not Employed","Male","","","",""
"Min 1x per week","2015","Not Employed","Female","","","",""
"Min 1x per week","2015","Employed","Male","","","",""
"Min 1x per week","2015","Employed","Female","","","",""
"Min 1x per month","2015","Not Employed","Male","","","",""
"Min 1x per month","2015","Not Employed","Female","","","",""
"Min 1x per month","2015","Employed","Male","","","",""
"Min 1x per month","2015","Employed","Female","","","",""
"Rarely","2015","Not Employed","Male","","","",""
"Rarely","2015","Not Employed","Female","","","",""
"Rarely","2015","Employed","Male","","","",""
"Rarely","2015","Employed","Female","","","",""
"Never","2015","Not Employed","Male","","","",""
"Never","2015","Not Employed","Female","","","",""
"Never","2015","Employed","Male","","","",""
"Never","2015","Employed","Female","","","",""
"Daily","2016","Not Employed","Male","","","",""
"Daily","2016","Not Employed","Female","","","",""
"Daily","2016","Employed","Male","","","",""
"Daily","2016","Employed","Female","","","",""
"Min 1x per week","2016","Not Employed","Male","","","",""
"Min 1x per week","2016","Not Employed","Female","","","",""
"Min 1x per week","2016","Employed","Male","","","",""
"Min 1x per week","2016","Employed","Female","","","",""
"Min 1x per month","2016","Not Employed","Male","","","",""
"Min 1x per month","2016","Not Employed","Female","","","",""
"Min 1x per month","2016","Employed","Male","","","",""
"Min 1x per month","2016","Employed","Female","","","",""
"Rarely","2016","Not Employed","Male","","","",""
"Rarely","2016","Not Employed","Female","","","",""
"Rarely","2016","Employed","Male","","","",""
"Rarely","2016","Employed","Female","","","",""
"Never","2016","Not Employed","Male","","","",""
"Never","2016","Not Employed","Female","","","",""
"Never","2016","Employed","Male","","","",""
"Never","2016","Employed","Female","","","",""
"Daily","2017","Not Employed","Male","2028","0.630645145088367","0.613777587543911","0.647512702632823"
"Daily","2017","Not Employed","Female","1114","0.484393187173024","0.463327356794315","0.505459017551734"
"Daily","2017","Employed","Male","122","0.65627926962434","0.589956571775104","0.722601967473577"
"Daily","2017","Employed","Female","21","","",""
"Min 1x per week","2017","Not Employed","Male","530","0.156709601516238","0.144004616796599","0.169414586235877"
"Min 1x per week","2017","Not Employed","Female","348","0.162462602838439","0.146913724923558","0.17801148075332"
"Min 1x per week","2017","Employed","Male","37","0.129049312049071","0.0822338183066694","0.175864805791473"
"Min 1x per week","2017","Employed","Female","5","","",""
"Min 1x per month","2017","Not Employed","Male","99","0.0425962705222559","0.035538441848088","0.0496540991964238"
"Min 1x per month","2017","Not Employed","Female","61","0.0311368073967347","0.023815502137874","0.0384581126555955"
"Min 1x per month","2017","Employed","Male","4","","",""
"Min 1x per month","2017","Employed","Female","2","","",""
"Rarely","2017","Not Employed","Male","158","0.0470351404192313","0.0396358950088367","0.0544343858296259"
"Rarely","2017","Not Employed","Female","137","0.0695939585422636","0.058867847785241","0.0803200692992862"
"Rarely","2017","Employed","Male","16","","",""
"Rarely","2017","Employed","Female","1","","",""
"Never","2017","Not Employed","Male","330","0.123013842453908","0.111534655539426","0.13449302936839"
"Never","2017","Not Employed","Female","502","0.252413444049538","0.234102647852228","0.270724240246848"
"Never","2017","Employed","Male","18","","",""
"Never","2017","Employed","Female","6","","",""
"Daily","2018","Not Employed","Male","1335","0.678638188544777","0.657803562142574","0.69947281494698"
"Daily","2018","Not Employed","Female","809","0.550050490219006","0.524247671165812","0.5758533092722"
"Daily","2018","Employed","Male","332","0.730703635308862","0.690471273324223","0.770935997293501"
"Daily","2018","Employed","Female","33","0.769585260045355","0.646551206235004","0.892619313855705"
"Min 1x per week","2018","Not Employed","Male","320","0.176807623683561","0.159787190854462","0.19382805651266"
"Min 1x per week","2018","Not Employed","Female","232","0.177634547205315","0.157811056445336","0.197458037965294"
"Min 1x per week","2018","Employed","Male","71","0.126654001319676","0.0964897690999118","0.15681823353944"
"Min 1x per week","2018","Employed","Female","5","","",""
"Min 1x per month","2018","Not Employed","Male","55","0.0247912080672585","0.0178542816839913","0.0317281344505257"
"Min 1x per month","2018","Not Employed","Female","46","0.0317097086792681","0.0226214034975331","0.0407980138610031"
"Min 1x per month","2018","Employed","Male","16","","",""
"Min 1x per month","2018","Employed","Female","1","","",""
"Rarely","2018","Not Employed","Male","88","0.0546496801288647","0.0445091738938189","0.0647901863639105"
"Rarely","2018","Not Employed","Female","81","0.0532323214952509","0.0415885572883978","0.0648760857021041"
"Rarely","2018","Employed","Male","19","","",""
"Rarely","2018","Employed","Female","1","","",""
"Never","2018","Not Employed","Male","132","0.0651132995755388","0.0541059241504682","0.0761206750006094"
"Never","2018","Not Employed","Female","260","0.18737293240116","0.167134211745106","0.207611653057214"
"Never","2018","Employed","Male","29","","",""
