"pli0165","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","Not Employed","1-pers.-HH","181","0.0885602675659362","0.0752870810997169","0.101833454032156","1"
"Daily","2013","Not Employed","(Married) couple without C. ","360","0.0932286289050385","0.084088246423279","0.102369011386798","1"
"Daily","2013","Not Employed","Single parent ","362","0.455637120047928","0.418476979643448","0.492797260452408","1"
"Daily","2013","Not Employed","Couple + C. LE 16 ","409","0.352633579123208","0.323747829011061","0.381519329235355","1"
"Daily","2013","Not Employed","Couple + C. GT 16 ","249","0.37630280188239","0.33934282033056","0.41326278343422","1"
"Daily","2013","Not Employed","Couple + C. LE and GT 16","289","0.570840214439081","0.527542694333272","0.614137734544891","1"
"Daily","2013","Employed","1-pers.-HH","596","0.323333027675427","0.301712525774294","0.344953529576561","1"
"Daily","2013","Employed","(Married) couple without C. ","830","0.224219472614137","0.210788152419737","0.237650792808537","1"
"Daily","2013","Employed","Single parent ","749","0.405015529320744","0.383069292951286","0.426961765690203","1"
"Daily","2013","Employed","Couple + C. LE 16 ","1531","0.283642920205865","0.271647955555232","0.295637884856498","1"
"Daily","2013","Employed","Couple + C. GT 16 ","723","0.379029559857446","0.358314422023637","0.399744697691256","1"
"Daily","2013","Employed","Couple + C. LE and GT 16","475","0.314914489999205","0.291533268109415","0.338295711888995","1"
"Min 1x per month","2013","Employed","Couple + C. LE 16 ","195","0.0403971097288566","0.0351578595072588","0.0456363599504544","3"
"Min 1x per month","2013","Not Employed","Couple + C. LE 16 ","28","","","","3"
"Min 1x per month","2013","Not Employed","1-pers.-HH","14","","","","3"
"Min 1x per month","2013","Employed","Couple + C. GT 16 ","67","0.0315797453141022","0.0241126436045006","0.0390468470237038","3"
"Min 1x per month","2013","Not Employed","Single parent ","21","","","","3"
"Min 1x per month","2013","Not Employed","Couple + C. GT 16 ","15","","","","3"
"Min 1x per month","2013","Not Employed","Couple + C. LE and GT 16","9","","","","3"
"Min 1x per month","2013","Employed","1-pers.-HH","62","0.0378013388737961","0.0289859959253698","0.0466166818222223","3"
