"pli0165","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","2013","1-pers.-HH","777","0.208873111519977","0.195516095095437","0.222230127944517"
"Daily","2013","(Married) couple without C. ","1190","0.160407166834682","0.152151639099337","0.168662694570027"
"Daily","2013","Single parent ","1111","0.419962546610123","0.401034979113403","0.438890114106844"
"Daily","2013","Couple + C. LE 16 ","1940","0.292601728261704","0.281521081464287","0.30368237505912"
"Daily","2013","Couple + C. GT 16 ","972","0.37840977348763","0.360338998739664","0.396480548235597"
"Daily","2013","Couple + C. LE and GT 16","764","0.369125338798448","0.34807078792762","0.390179889669275"
"Min 1x per week","2013","1-pers.-HH","311","0.0853317813146594","0.0761520003325987","0.0945115622967202"
"Min 1x per week","2013","(Married) couple without C. ","683","0.0992038766531395","0.0924791262227191","0.10592862708356"
"Min 1x per week","2013","Single parent ","341","0.127608945804363","0.11481343384874","0.140404457759985"
"Min 1x per week","2013","Couple + C. LE 16 ","946","0.141486801437528","0.13299839583245","0.149975207042607"
"Min 1x per week","2013","Couple + C. GT 16 ","315","0.120283178207855","0.108162765526596","0.132403590889114"
"Min 1x per week","2013","Couple + C. LE and GT 16","281","0.153877817292058","0.138134651854421","0.169620982729696"
"Min 1x per month","2013","1-pers.-HH","76","0.0232309893406029","0.0182813345761884","0.0281806441050174"
"Min 1x per month","2013","(Married) couple without C. ","190","0.0281907460537231","0.0244673228990871","0.0319141692083592"
"Min 1x per month","2013","Single parent ","89","0.0287245601024577","0.022318966208499","0.0351301539964165"
"Min 1x per month","2013","Couple + C. LE 16 ","223","0.0385670548583072","0.0338771675349778","0.0432569421816366"
"Min 1x per month","2013","Couple + C. GT 16 ","82","0.0293003668042567","0.0230165650839272","0.0355841685245862"
"Min 1x per month","2013","Couple + C. LE and GT 16","53","0.0323795956793485","0.0246567789320234","0.0401024124266737"
"Rarely","2013","1-pers.-HH","205","0.0589850799427989","0.0512437699265696","0.0667263899590281"
"Rarely","2013","(Married) couple without C. ","583","0.0752105957734041","0.069277798174646","0.0811433933721621"
"Rarely","2013","Single parent ","177","0.0645137843198361","0.0550925791875775","0.0739349894520947"
"Rarely","2013","Couple + C. LE 16 ","614","0.101136610314697","0.0937932351912979","0.108479985438096"
"Rarely","2013","Couple + C. GT 16 ","218","0.0734705351994431","0.0637491146603533","0.0831919557385329"
"Rarely","2013","Couple + C. LE and GT 16","168","0.0815608989432437","0.0696195416093054","0.0935022562771819"
"Never","2013","1-pers.-HH","2189","0.623579037881962","0.607659598369278","0.639498477394647"
"Never","2013","(Married) couple without C. ","4945","0.636987614685051","0.626170166821903","0.6478050625482"
"Never","2013","Single parent ","894","0.35919016316322","0.340791413647223","0.377588912679217"
"Never","2013","Couple + C. LE 16 ","2753","0.426207805127764","0.414163473953148","0.43825213630238"
"Never","2013","Couple + C. GT 16 ","1180","0.398536146300815","0.380293739496037","0.416778553105592"
