"pli0165","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2013","Urban Area","Male","1994","0.266200209582187","0.256094052150204","0.27630636701417"
"Daily","2013","Urban Area","Female","2651","0.25525725989257","0.246257450116085","0.264257069669054"
"Daily","2013","Rural Area","Male","981","0.213043807982223","0.200635461976169","0.225452153988278"
"Daily","2013","Rural Area","Female","1266","0.211764789114861","0.2003521006142","0.223177477615523"
"Min 1x per week","2013","Urban Area","Male","846","0.116605835377942","0.10926694371814","0.123944727037744"
"Min 1x per week","2013","Urban Area","Female","1043","0.101505122824569","0.0952714655282654","0.107738780120874"
"Min 1x per week","2013","Rural Area","Male","447","0.107721963331843","0.0983267555269605","0.117117171136726"
"Min 1x per week","2013","Rural Area","Female","590","0.10405114327781","0.0955221413775787","0.112580145178042"
"Min 1x per month","2013","Urban Area","Male","244","0.0356184798797851","0.0313805360003653","0.039856423759205"
"Min 1x per month","2013","Urban Area","Female","238","0.0247202997464776","0.021515266062859","0.0279253334300962"
"Min 1x per month","2013","Rural Area","Male","115","0.0254137982999829","0.0206445594036263","0.0301830371963394"
"Min 1x per month","2013","Rural Area","Female","127","0.0251000027447216","0.0207303181336901","0.0294696873557531"
"Rarely","2013","Urban Area","Male","635","0.0799494307332096","0.0737477899339724","0.0861510715324468"
"Rarely","2013","Urban Area","Female","601","0.0586668451574076","0.0538160918958321","0.0635175984189831"
"Rarely","2013","Rural Area","Male","386","0.0983430193436588","0.08931907096278","0.107366967724538"
"Rarely","2013","Rural Area","Female","370","0.0703156368561903","0.0631735209544613","0.0774577527579192"
"Never","2013","Urban Area","Male","3628","0.501626044426876","0.490193029280173","0.513059059573579"
"Never","2013","Urban Area","Female","4483","0.559850472378976","0.54960393133453","0.570097013423421"
"Never","2013","Rural Area","Male","2254","0.555477411042292","0.54041882212815","0.570535999956434"
"Never","2013","Rural Area","Female","2570","0.588768428006416","0.575023304238438","0.602513551774395"
"Daily","2014","Urban Area","Male","","","",""
"Daily","2014","Urban Area","Female","","","",""
"Daily","2014","Rural Area","Male","","","",""
"Daily","2014","Rural Area","Female","","","",""
"Min 1x per week","2014","Urban Area","Male","","","",""
"Min 1x per week","2014","Urban Area","Female","","","",""
"Min 1x per week","2014","Rural Area","Male","","","",""
"Min 1x per week","2014","Rural Area","Female","","","",""
"Min 1x per month","2014","Urban Area","Male","","","",""
"Min 1x per month","2014","Urban Area","Female","","","",""
"Min 1x per month","2014","Rural Area","Male","","","",""
"Min 1x per month","2014","Rural Area","Female","","","",""
"Rarely","2014","Urban Area","Male","","","",""
"Rarely","2014","Urban Area","Female","","","",""
"Rarely","2014","Rural Area","Male","","","",""
"Rarely","2014","Rural Area","Female","","","",""
"Never","2014","Urban Area","Male","","","",""
"Never","2014","Urban Area","Female","","","",""
"Never","2014","Rural Area","Male","","","",""
"Never","2014","Rural Area","Female","","","",""
"Daily","2015","Urban Area","Male","","","",""
"Daily","2015","Urban Area","Female","","","",""
"Daily","2015","Rural Area","Male","","","",""
"Daily","2015","Rural Area","Female","","","",""
"Min 1x per week","2015","Urban Area","Male","","","",""
"Min 1x per week","2015","Urban Area","Female","","","",""
"Min 1x per week","2015","Rural Area","Male","","","",""
"Min 1x per week","2015","Rural Area","Female","","","",""
"Min 1x per month","2015","Urban Area","Male","","","",""
"Min 1x per month","2015","Urban Area","Female","","","",""
"Min 1x per month","2015","Rural Area","Male","","","",""
"Min 1x per month","2015","Rural Area","Female","","","",""
"Rarely","2015","Urban Area","Male","","","",""
"Rarely","2015","Urban Area","Female","","","",""
"Rarely","2015","Rural Area","Male","","","",""
"Rarely","2015","Rural Area","Female","","","",""
"Never","2015","Urban Area","Male","","","",""
"Never","2015","Urban Area","Female","","","",""
"Never","2015","Rural Area","Male","","","",""
"Never","2015","Rural Area","Female","","","",""
"Daily","2016","Urban Area","Male","","","",""
"Daily","2016","Urban Area","Female","","","",""
"Daily","2016","Rural Area","Male","","","",""
"Daily","2016","Rural Area","Female","","","",""
"Min 1x per week","2016","Urban Area","Male","","","",""
"Min 1x per week","2016","Urban Area","Female","","","",""
"Min 1x per week","2016","Rural Area","Male","","","",""
"Min 1x per week","2016","Rural Area","Female","","","",""
"Min 1x per month","2016","Urban Area","Male","","","",""
"Min 1x per month","2016","Urban Area","Female","","","",""
"Min 1x per month","2016","Rural Area","Male","","","",""
"Min 1x per month","2016","Rural Area","Female","","","",""
"Rarely","2016","Urban Area","Male","","","",""
"Rarely","2016","Urban Area","Female","","","",""
"Rarely","2016","Rural Area","Male","","","",""
"Rarely","2016","Rural Area","Female","","","",""
"Never","2016","Urban Area","Male","","","",""
"Never","2016","Urban Area","Female","","","",""
"Never","2016","Rural Area","Male","","","",""
"Never","2016","Rural Area","Female","","","",""
"Daily","2017","Urban Area","Male","1539","0.637687841112805","0.618307485006545","0.657068197219065"
"Daily","2017","Urban Area","Female","826","0.466290986201334","0.441854812476385","0.490727159926284"
"Daily","2017","Rural Area","Male","611","0.621146044604136","0.590758926063647","0.651533163144624"
"Daily","2017","Rural Area","Female","309","0.533420128086672","0.493368270745975","0.573471985427369"
"Min 1x per week","2017","Urban Area","Male","399","0.160566356055044","0.145763800773679","0.175368911336409"
"Min 1x per week","2017","Urban Area","Female","265","0.170526737148463","0.152104182137193","0.188949292159734"
"Min 1x per week","2017","Rural Area","Male","168","0.140035719214851","0.118297880373309","0.161773558056393"
"Min 1x per week","2017","Rural Area","Female","88","0.138512708727495","0.110779877425677","0.166245540029313"
"Min 1x per month","2017","Urban Area","Male","72","0.0392779078392386","0.0314456082265952","0.0471102074518821"
"Min 1x per month","2017","Urban Area","Female","43","0.0302464603788803","0.0218572634168457","0.0386356573409149"
"Min 1x per month","2017","Rural Area","Male","31","0.0444444625084983","0.0315354345584677","0.0573534904585289"
"Min 1x per month","2017","Rural Area","Female","20","","",""
"Rarely","2017","Urban Area","Male","123","0.0494129100132342","0.0406745003357749","0.0581513196906935"
"Rarely","2017","Urban Area","Female","93","0.0660405977495932","0.053875322992117","0.0782058725070695"
"Rarely","2017","Rural Area","Male","51","0.050850034051064","0.0370884068924493","0.0646116612096787"
"Rarely","2017","Rural Area","Female","45","0.0728128317313868","0.051952912231149","0.0936727512316247"
"Never","2017","Urban Area","Male","230","0.113054984979678","0.100287380010771","0.125822589948585"
"Never","2017","Urban Area","Female","374","0.266895218521729","0.245227866071575","0.288562570971882"
"Never","2017","Rural Area","Male","118","0.143523739621451","0.121561517435354","0.165485961807548"
"Never","2017","Rural Area","Female","134","0.210543027324116","0.177812000863946","0.243274053784285"
"Daily","2018","Urban Area","Male","1235","0.688681036650241","0.667079353768215","0.710282719532268"
"Daily","2018","Urban Area","Female","634","0.572076756106612","0.542676999629495","0.601476512583729"
"Daily","2018","Rural Area","Male","432","0.694521601200967","0.658610999372637","0.730432203029298"
"Daily","2018","Rural Area","Female","208","0.518543906333156","0.468633760632015","0.568454052034296"
"Min 1x per week","2018","Urban Area","Male","285","0.170981259014122","0.153416905652594","0.188545612375649"
"Min 1x per week","2018","Urban Area","Female","163","0.166725616774865","0.144577906936541","0.188873326613189"
"Min 1x per week","2018","Rural Area","Male","106","0.151262280347355","0.123327733844288","0.179196826850422"
"Min 1x per week","2018","Rural Area","Female","74","0.198125852150333","0.158311339316926","0.237940364983741"
"Min 1x per month","2018","Urban Area","Male","52","0.0242585413019864","0.017081004026483","0.0314360785774899"
"Min 1x per month","2018","Urban Area","Female","36","0.0282317427260902","0.018389731828775","0.0380737536234054"
"Min 1x per month","2018","Rural Area","Male","19","","",""
"Min 1x per month","2018","Rural Area","Female","11","","",""
"Rarely","2018","Urban Area","Male","88","0.0556235388793402","0.0449310792055744","0.066315998553106"
"Rarely","2018","Urban Area","Female","66","0.0552731234205655","0.0416948739970646","0.0688513728440663"
"Rarely","2018","Rural Area","Male","19","","",""
"Rarely","2018","Rural Area","Female","16","","",""
"Never","2018","Urban Area","Male","105","0.0604556241543102","0.0493369567468166","0.0715742915618038"
"Never","2018","Urban Area","Female","189","0.177692760971868","0.154979182180617","0.200406339763119"
"Never","2018","Rural Area","Male","56","0.0898248695505392","0.0675328029543092","0.112116936146769"
"Never","2018","Rural Area","Female","76","0.196442484604273","0.156755882304988","0.236129086903557"
