"pli0165","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","2013","Full Time","1-pers.-HH","390","0.31729083562063","0.2909136089303","0.34366806231096"
"Daily","2013","Full Time","(Married) couple without C. ","575","0.23655333449881","0.219422510887569","0.253684158110051"
"Daily","2013","Full Time","Single parent ","307","0.410647936162371","0.377419165688705","0.443876706636037"
"Daily","2013","Full Time","Couple + C. LE 16 ","804","0.270254334449258","0.254480890072953","0.286027778825564"
"Daily","2013","Full Time","Couple + C. GT 16 ","381","0.349257759566518","0.322615376626175","0.37590014250686"
"Daily","2013","Full Time","Couple + C. LE and GT 16","224","0.285682770088064","0.254534782162544","0.316830758013584"
"Daily","2013","Part Time","1-pers.-HH","206","0.337390004706785","0.299620182285002","0.375159827128568"
"Daily","2013","Part Time","(Married) couple without C. ","255","0.1996328629362","0.178230765668782","0.221034960203618"
"Daily","2013","Part Time","Single parent ","442","0.399282522983498","0.370073872124493","0.428491173842503"
"Daily","2013","Part Time","Couple + C. LE 16 ","727","0.302329111157604","0.283877899232312","0.320780323082895"
"Daily","2013","Part Time","Couple + C. GT 16 ","342","0.422060693889585","0.389373558285157","0.454747829494013"
"Daily","2013","Part Time","Couple + C. LE and GT 16","251","0.350361384220831","0.315219463465841","0.38550330497582"
"Daily","2013","Not Working","1-pers.-HH","181","0.0885602675659362","0.0752870810997169","0.101833454032156"
"Daily","2013","Not Working","(Married) couple without C. ","360","0.0932286289050385","0.084088246423279","0.102369011386798"
"Daily","2013","Not Working","Single parent ","362","0.455637120047928","0.418476979643448","0.492797260452408"
"Daily","2013","Not Working","Couple + C. LE 16 ","409","0.352633579123208","0.323747829011061","0.381519329235355"
"Daily","2013","Not Working","Couple + C. GT 16 ","249","0.37630280188239","0.33934282033056","0.41326278343422"
"Daily","2013","Not Working","Couple + C. LE and GT 16","289","0.570840214439081","0.527542694333272","0.614137734544891"
"Min 1x per week","2013","Full Time","1-pers.-HH","161","0.127065646457159","0.108190628699003","0.145940664215315"
"Min 1x per week","2013","Full Time","(Married) couple without C. ","311","0.160264659135015","0.145476488516925","0.175052829753104"
"Min 1x per week","2013","Full Time","Single parent ","115","0.153717722427901","0.129355795349529","0.178079649506274"
"Min 1x per week","2013","Full Time","Couple + C. LE 16 ","450","0.132209367191978","0.120178607979932","0.144240126404024"
"Min 1x per week","2013","Full Time","Couple + C. GT 16 ","149","0.128322540609781","0.109631868535398","0.147013212684163"
"Min 1x per week","2013","Full Time","Couple + C. LE and GT 16","115","0.152073678644054","0.127313800962203","0.176833556325904"
"Min 1x per week","2013","Part Time","1-pers.-HH","77","0.132614062381759","0.105521453751793","0.159706671011725"
"Min 1x per week","2013","Part Time","(Married) couple without C. ","143","0.0999475593868887","0.0838886630164302","0.116006455757347"
"Min 1x per week","2013","Part Time","Single parent ","172","0.138297227740863","0.117708870488315","0.158885584993412"
"Min 1x per week","2013","Part Time","Couple + C. LE 16 ","348","0.142081460689886","0.128054895141875","0.156108026237898"
"Min 1x per week","2013","Part Time","Couple + C. GT 16 ","102","0.118300332302477","0.0969255541863709","0.139675110418584"
"Min 1x per week","2013","Part Time","Couple + C. LE and GT 16","101","0.156698967512412","0.129922341944328","0.183475593080497"
"Min 1x per week","2013","Not Working","1-pers.-HH","73","0.0397105970731866","0.0305874214801932","0.0488337726661799"
"Min 1x per week","2013","Not Working","(Married) couple without C. ","229","0.0561348304025019","0.0488986063017376","0.0633710545032662"
"Min 1x per week","2013","Not Working","Single parent ","54","0.0835336411755107","0.0628887539079783","0.104178528443043"
"Min 1x per week","2013","Not Working","Couple + C. LE 16 ","148","0.176040838933021","0.153015486246024","0.199066191620018"
"Min 1x per week","2013","Not Working","Couple + C. GT 16 ","64","0.106885996547855","0.083314346866254","0.130457646229455"
"Min 1x per week","2013","Not Working","Couple + C. LE and GT 16","65","0.152812602282913","0.121337615123279","0.184287589442548"
"Min 1x per month","2013","Full Time","1-pers.-HH","44","0.0405222490966121","0.0293472698217093","0.0516972283715149"
"Min 1x per month","2013","Full Time","(Married) couple without C. ","83","0.0420489566983116","0.0339584890674969","0.0501394243291262"
"Min 1x per month","2013","Full Time","Single parent ","28","","",""
"Min 1x per month","2013","Full Time","Couple + C. LE 16 ","118","0.0371057164440338","0.0303919820253358","0.0438194508627319"
"Min 1x per month","2013","Full Time","Couple + C. GT 16 ","40","0.0321189940816442","0.0222655629263073","0.0419724252369811"
"Min 1x per month","2013","Full Time","Couple + C. LE and GT 16","30","0.0520095896781581","0.0366992052178462","0.06731997413847"
"Min 1x per month","2013","Part Time","1-pers.-HH","18","","",""
"Min 1x per month","2013","Part Time","(Married) couple without C. ","41","0.0333937815729727","0.0237742641565076","0.0430132989894378"
"Min 1x per month","2013","Part Time","Single parent ","40","0.0371743976109657","0.0258912050961247","0.0484575901258068"
"Min 1x per month","2013","Part Time","Couple + C. LE 16 ","77","0.0449908438644517","0.0366631366143772","0.0533185511145262"
