"pli0165","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Daily","2013","Full Time","lower secondary degree","506","0.248207737371203","0.228960686685583","0.267454788056822"
"Daily","2013","Full Time","secondary school degree","979","0.297912894109708","0.282386500813076","0.313439287406341"
"Daily","2013","Full Time","college entrance qualification","913","0.300425133193906","0.285176059501498","0.315674206886314"
"Daily","2013","Full Time","Other degree","159","0.260104186559598","0.223103467221627","0.297104905897569"
"Daily","2013","Full Time","no degree/no degree yet","30","0.266737911146451","0.170426538990211","0.363049283302692"
"Daily","2013","Part Time","lower secondary degree","423","0.244007620591077","0.222394588192694","0.265620652989461"
"Daily","2013","Part Time","secondary school degree","748","0.269203093771566","0.251711153417304","0.286695034125828"
"Daily","2013","Part Time","college entrance qualification","700","0.375569732478771","0.355533137002881","0.395606327954662"
"Daily","2013","Part Time","Other degree","132","0.258609292117739","0.218107843908378","0.2991107403271"
"Daily","2013","Part Time","no degree/no degree yet","117","0.577848902466478","0.507059475710631","0.648638329222324"
"Daily","2013","Not Working","lower secondary degree","422","0.0753033682224526","0.0667060967923131","0.083900639652592"
"Daily","2013","Not Working","secondary school degree","475","0.185270367660103","0.168484834373899","0.202055900946306"
"Daily","2013","Not Working","college entrance qualification","419","0.233116269971379","0.212801005300034","0.253431534642723"
"Daily","2013","Not Working","Other degree","134","0.131479124663089","0.104793567938089","0.158164681388089"
"Daily","2013","Not Working","no degree/no degree yet","320","0.46740221772447","0.425475226035912","0.509329209413029"
"Min 1x per week","2013","Full Time","lower secondary degree","256","0.136199440553091","0.120916672963923","0.151482208142259"
"Min 1x per week","2013","Full Time","secondary school degree","455","0.15287975213323","0.140662375838566","0.165097128427895"
"Min 1x per week","2013","Full Time","college entrance qualification","472","0.128746936003745","0.117606585806875","0.139887286200615"
"Min 1x per week","2013","Full Time","Other degree","89","0.131408795800453","0.102913633006413","0.159903958594492"
"Min 1x per week","2013","Full Time","no degree/no degree yet","13","","",""
"Min 1x per week","2013","Part Time","lower secondary degree","201","0.118794902220941","0.102513466338597","0.135076338103286"
"Min 1x per week","2013","Part Time","secondary school degree","343","0.13887436448188","0.125236577086125","0.152512151877635"
"Min 1x per week","2013","Part Time","college entrance qualification","288","0.119861368857253","0.106422837065252","0.133299900649253"
"Min 1x per week","2013","Part Time","Other degree","79","0.127369632634292","0.0965325680924781","0.158206697176106"
"Min 1x per week","2013","Part Time","no degree/no degree yet","17","","",""
"Min 1x per week","2013","Not Working","lower secondary degree","178","0.0431151304531766","0.0364975611917746","0.0497326997145787"
"Min 1x per week","2013","Not Working","secondary school degree","176","0.0778230424000369","0.0662489580932968","0.089397126706777"
"Min 1x per week","2013","Not Working","college entrance qualification","158","0.0934285760215384","0.0794451912616747","0.107411960781402"
"Min 1x per week","2013","Not Working","Other degree","55","0.0522156886879135","0.0346480658911783","0.0697833114846487"
"Min 1x per week","2013","Not Working","no degree/no degree yet","57","0.0934326349662939","0.0689759279895131","0.117889341943075"
"Min 1x per month","2013","Full Time","lower secondary degree","68","0.0372547186741699","0.0288164383301826","0.0456929990181571"
"Min 1x per month","2013","Full Time","secondary school degree","119","0.0354610378611412","0.0291823912033002","0.0417396845189821"
"Min 1x per month","2013","Full Time","college entrance qualification","134","0.044805698752278","0.0379243951157079","0.0516870023888481"
"Min 1x per month","2013","Full Time","Other degree","18","","",""
"Min 1x per month","2013","Full Time","no degree/no degree yet","3","","",""
"Min 1x per month","2013","Part Time","lower secondary degree","48","0.0354540104302713","0.0261483017092465","0.0447597191512961"
"Min 1x per month","2013","Part Time","secondary school degree","70","0.0263663769753636","0.0200477513482486","0.0326850026024785"
"Min 1x per month","2013","Part Time","college entrance qualification","74","0.0344790881138869","0.0269299843894877","0.042028191838286"
"Min 1x per month","2013","Part Time","Other degree","17","","",""
"Min 1x per month","2013","Part Time","no degree/no degree yet","4","","",""
"Min 1x per month","2013","Not Working","lower secondary degree","46","0.010918849402411","0.00753307357389452","0.0143046252309274"
"Min 1x per month","2013","Not Working","secondary school degree","48","0.0150000926691189","0.00974850679263639","0.0202516785456014"
"Min 1x per month","2013","Not Working","college entrance qualification","34","0.0201515835350141","0.0134000027706115","0.0269031642994167"
"Min 1x per month","2013","Not Working","Other degree","11","","",""
"Min 1x per month","2013","Not Working","no degree/no degree yet","8","","",""
"Rarely","2013","Full Time","lower secondary degree","200","0.0981880716896729","0.0849295543913605","0.111446588987985"
"Rarely","2013","Full Time","secondary school degree","288","0.0836631490139535","0.0742632083133604","0.0930630897145467"
"Rarely","2013","Full Time","college entrance qualification","372","0.0955203555767513","0.085743355993136","0.105297355160367"
"Rarely","2013","Full Time","Other degree","54","0.0802191642802848","0.0573087756632622","0.103129552897307"
"Rarely","2013","Full Time","no degree/no degree yet","6","","",""
"Rarely","2013","Part Time","lower secondary degree","117","0.0781508973310582","0.0646441055854414","0.091657689076675"
"Rarely","2013","Part Time","secondary school degree","213","0.0988768181353862","0.0871051248829412","0.110648511387831"
"Rarely","2013","Part Time","college entrance qualification","183","0.084184866108811","0.0726965180314867","0.0956732141861353"
"Rarely","2013","Part Time","Other degree","31","0.0741051891680609","0.0498764923391154","0.0983338859970065"
"Rarely","2013","Part Time","no degree/no degree yet","10","","",""
"Rarely","2013","Not Working","lower secondary degree","177","0.0479048574148633","0.0409468682177534","0.0548628466119732"
"Rarely","2013","Not Working","secondary school degree","132","0.0567239827331911","0.0467302401169486","0.0667177253494336"
"Rarely","2013","Not Working","college entrance qualification","137","0.0703685019066739","0.0580795173683665","0.0826574864449814"
"Rarely","2013","Not Working","Other degree","30","0.0434411563781679","0.0273434400794605","0.0595388726768754"
"Rarely","2013","Not Working","no degree/no degree yet","11","","",""
"Never","2013","Full Time","lower secondary degree","905","0.480150031711863","0.457889522318536","0.502410541105191"
"Never","2013","Full Time","secondary school degree","1492","0.430083166881967","0.413275307774463","0.446891025989471"
"Never","2013","Full Time","college entrance qualification","1581","0.43050187647332","0.41403194068863","0.44697181225801"
"Never","2013","Full Time","Other degree","220","0.501702773000239","0.459531307153234","0.543874238847244"
"Never","2013","Full Time","no degree/no degree yet","29","","",""
"Never","2013","Part Time","lower secondary degree","728","0.523592569426652","0.498459744774812","0.548725394078492"
"Never","2013","Part Time","secondary school degree","1096","0.466679346635804","0.447004873724822","0.486353819546786"
"Never","2013","Part Time","college entrance qualification","999","0.385904944441278","0.365763313383184","0.406046575499372"
"Never","2013","Part Time","Other degree","190","0.489267892108324","0.443030337276557","0.53550544694009"
"Never","2013","Part Time","no degree/no degree yet","39","0.209884460142871","0.151518083708449","0.268250836577294"
"Never","2013","Not Working","lower secondary degree","2796","0.822757794507097","0.810316276431012","0.835199312583181"
"Never","2013","Not Working","secondary school degree","1227","0.66518251453755","0.644793328745953","0.685571700329148"
"Never","2013","Not Working","college entrance qualification","916","0.582935068565395","0.55924407043751","0.606626066693279"
"Never","2013","Not Working","Other degree","386","0.752970768960729","0.718912625806905","0.787028912114552"
"Never","2013","Not Working","no degree/no degree yet","148","0.421511255701815","0.380015785903797","0.463006725499833"
"Daily","2014","Full Time","lower secondary degree","","","",""
"Daily","2014","Full Time","secondary school degree","","","",""
"Daily","2014","Full Time","college entrance qualification","","","",""
"Daily","2014","Full Time","Other degree","","","",""
"Daily","2014","Full Time","no degree/no degree yet","","","",""
"Daily","2014","Part Time","lower secondary degree","","","",""
"Daily","2014","Part Time","secondary school degree","","","",""
"Daily","2014","Part Time","college entrance qualification","","","",""
"Daily","2014","Part Time","Other degree","","","",""
"Daily","2014","Part Time","no degree/no degree yet","","","",""
"Daily","2014","Not Working","lower secondary degree","","","",""
"Daily","2014","Not Working","secondary school degree","","","",""
"Daily","2014","Not Working","college entrance qualification","","","",""
"Daily","2014","Not Working","Other degree","","","",""
"Daily","2014","Not Working","no degree/no degree yet","","","",""
