"pli0165","year","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","6892","0.244623701338944","0.239344440894387","0.249902961783501","1"
"Min 1x per month","2013","724","0.0283974295035082","0.0263574491404256","0.0304374098665908","3"
"Min 1x per week","2013","2926","0.10779406146152","0.103985402232616","0.111602720690423","2"
"Never","2013","12935","0.545271356928975","0.539155960120992","0.551386753736959","5"
"Rarely","2013","1992","0.0739134507670532","0.0707003105960112","0.0771265909380952","4"
"Daily","2014","","","","","1"
"Min 1x per month","2014","","","","","3"
"Min 1x per week","2014","","","","","2"
"Never","2014","","","","","5"
"Rarely","2014","","","","","4"
"Daily","2015","","","","","1"
"Min 1x per month","2015","","","","","3"
"Min 1x per week","2015","","","","","2"
"Never","2015","","","","","5"
"Rarely","2015","","","","","4"
"Daily","2016","","","","","1"
"Min 1x per month","2016","","","","","3"
"Min 1x per week","2016","","","","","2"
"Never","2016","","","","","5"
"Rarely","2016","","","","","4"
"Daily","2017","3285","0.590424583854196","0.577474232089597","0.603374935618796","1"
"Min 1x per month","2017","166","0.0389474915808066","0.0338524736963988","0.0440425094652145","3"
"Min 1x per week","2017","920","0.156487142035124","0.14691922079968","0.166055063270568","2"
"Never","2017","856","0.159115786664257","0.149482884638905","0.168748688689609","5"
"Rarely","2017","312","0.0550249958656161","0.0490198635879726","0.0610301281432595","4"
"Daily","2018","2509","0.654219462823872","0.639234536538312","0.669204389109432","1"
"Min 1x per month","2018","118","0.0275622249716214","0.0224042330737034","0.0327202168695393","3"
"Min 1x per week","2018","628","0.168134686606571","0.156351906421288","0.179917466791854","2"
"Never","2018","426","0.0996101905527638","0.0901748022128206","0.109045578892707","5"
"Rarely","2018","189","0.0504734350451718","0.0435761591333853","0.0573707109569584","4"
"Daily","2019","2473","0.696200415875371","0.681112281483074","0.711288550267668","1"
"Min 1x per month","2019","65","0.0169179552781187","0.012686949334812","0.0211489612214253","3"
"Min 1x per week","2019","548","0.153948080632272","0.142107841768351","0.165788319496193","2"
"Never","2019","298","0.0800110874524995","0.0711100382794445","0.0889121366255546","5"
"Rarely","2019","185","0.052922460761739","0.0455775317897259","0.0602673897337521","4"
