"pli0165","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","16-34 y.","Urban Area","2286","0.63068487211572","0.61518220831907","0.64618753591237","1"
"Daily","2013","16-34 y.","Rural Area","1095","0.571123516613814","0.549009038473632","0.593237994753996","1"
"Daily","2013","35-65 y.","Urban Area","2147","0.209856740119928","0.201635358014989","0.218078122224867","1"
"Daily","2013","35-65 y.","Rural Area","1063","0.163200002350304","0.153403203461555","0.172996801239054","1"
"Daily","2013","66 and older","Urban Area","212","0.0582097633943525","0.0501175918649142","0.0663019349237909","1"
"Daily","2013","66 and older","Rural Area","89","0.0429808386124059","0.0333849055827068","0.0525767716421051","1"
"Min 1x per month","2013","16-34 y.","Rural Area","55","0.026117925520523","0.0189915601856918","0.0332442908553542","3"
"Min 1x per month","2013","35-65 y.","Urban Area","339","0.0396604130382351","0.0357201838437123","0.0436006422327578","3"
"Min 1x per month","2013","66 and older","Rural Area","17","","","","3"
"Min 1x per month","2013","66 and older","Urban Area","36","0.00762195281212154","0.00461614109487781","0.0106277645293653","3"
"Min 1x per month","2013","16-34 y.","Urban Area","107","0.0349368813660252","0.0290386541352632","0.0408351085967873","3"
"Min 1x per month","2013","35-65 y.","Rural Area","170","0.0321555456285054","0.0274787972757271","0.0368322939812837","3"
"Min 1x per week","2013","16-34 y.","Rural Area","290","0.157608058018552","0.141326653448141","0.173889462588962","2"
"Min 1x per week","2013","16-34 y.","Urban Area","490","0.13530031455654","0.124313200661331","0.146287428451749","2"
"Min 1x per week","2013","35-65 y.","Urban Area","1246","0.132444220429432","0.125600446395431","0.139287994463433","2"
"Min 1x per week","2013","35-65 y.","Rural Area","685","0.122705715391376","0.114007737023103","0.131403693759649","2"
"Min 1x per week","2013","66 and older","Urban Area","153","0.0427207089455327","0.0357314902733256","0.0497099276177398","2"
"Min 1x per week","2013","66 and older","Rural Area","62","0.0267753166692217","0.0191376040245317","0.0344130293139117","2"
"Never","2013","16-34 y.","Rural Area","356","0.160979595321112","0.144557928584942","0.177401262057281","5"
