"pli0165","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","Not Employed","West Germany","1525","0.158834127526859","0.150011735485151","0.167656519568568","1"
"Daily","2013","Not Employed","East Germany","373","0.139382577733095","0.124705080350603","0.154060075115586","1"
"Daily","2013","Employed","West Germany","4061","0.310252447069826","0.302352486530109","0.318152407609542","1"
"Daily","2013","Employed","East Germany","933","0.255228276106782","0.240914466810052","0.269542085403511","1"
"Min 1x per month","2013","Employed","East Germany","113","0.031739887548162","0.0259844551664928","0.0374953199298312","3"
"Min 1x per month","2013","Employed","West Germany","456","0.0378928623120362","0.0346321487169621","0.0411535759071104","3"
"Min 1x per month","2013","Not Employed","West Germany","120","0.0161900989392141","0.0131439301399718","0.0192362677384564","3"
"Min 1x per month","2013","Not Employed","East Germany","35","0.00966510178743997","0.00551902867276653","0.0138111749021134","3"
"Min 1x per week","2013","Employed","West Germany","1817","0.136599203973298","0.130734413019431","0.142463994927164","2"
"Min 1x per week","2013","Employed","East Germany","465","0.12783313576958","0.116870859172013","0.138795412367147","2"
"Min 1x per week","2013","Not Employed","East Germany","140","0.0540554606413874","0.0444725966942992","0.0636383245884756","2"
"Min 1x per week","2013","Not Employed","West Germany","504","0.0662890397545994","0.0602842098211894","0.0722938696880094","2"
"Never","2013","Employed","East Germany","1733","0.489135414874884","0.472723974625887","0.50554685512388","5"
"Never","2013","Employed","West Germany","5657","0.429280324454569","0.420827455340289","0.437733193568849","5"
"Never","2013","Not Employed","East Germany","1482","0.75103867734356","0.73271385421273","0.76936350047439","5"
"Never","2013","Not Employed","West Germany","4063","0.705897488802324","0.694899993010921","0.716894984593728","5"
"Rarely","2013","Not Employed","East Germany","109","0.0458581824945179","0.0369936143484705","0.0547227506405653","4"
"Rarely","2013","Employed","East Germany","320","0.0960632857005928","0.0863888203204545","0.105737751080731","4"
"Rarely","2013","Employed","West Germany","1181","0.0859751621902716","0.0811878943020392","0.090762430078504","4"
"Rarely","2013","Not Employed","West Germany","382","0.052789244977003","0.0473920307665566","0.0581864591874495","4"
"Daily","2014","Not Employed","West Germany","","","","","1"
"Daily","2014","Not Employed","East Germany","","","","","1"
"Daily","2014","Employed","West Germany","","","","","1"
"Daily","2014","Employed","East Germany","","","","","1"
"Min 1x per month","2014","Employed","West Germany","","","","","3"
"Min 1x per month","2014","Employed","East Germany","","","","","3"
"Min 1x per month","2014","Not Employed","West Germany","","","","","3"
"Min 1x per month","2014","Not Employed","East Germany","","","","","3"
"Min 1x per week","2014","Employed","West Germany","","","","","2"
"Min 1x per week","2014","Not Employed","East Germany","","","","","2"
"Min 1x per week","2014","Employed","East Germany","","","","","2"
"Min 1x per week","2014","Not Employed","West Germany","","","","","2"
"Never","2014","Employed","West Germany","","","","","5"
"Never","2014","Employed","East Germany","","","","","5"
"Never","2014","Not Employed","East Germany","","","","","5"
"Never","2014","Not Employed","West Germany","","","","","5"
"Rarely","2014","Employed","West Germany","","","","","4"
"Rarely","2014","Not Employed","West Germany","","","","","4"
"Rarely","2014","Not Employed","East Germany","","","","","4"
"Rarely","2014","Employed","East Germany","","","","","4"
"Daily","2015","Employed","East Germany","","","","","1"
"Daily","2015","Not Employed","West Germany","","","","","1"
"Daily","2015","Not Employed","East Germany","","","","","1"
"Daily","2015","Employed","West Germany","","","","","1"
"Min 1x per month","2015","Employed","East Germany","","","","","3"
"Min 1x per month","2015","Employed","West Germany","","","","","3"
"Min 1x per month","2015","Not Employed","East Germany","","","","","3"
"Min 1x per month","2015","Not Employed","West Germany","","","","","3"
"Min 1x per week","2015","Employed","West Germany","","","","","2"
"Min 1x per week","2015","Not Employed","East Germany","","","","","2"
"Min 1x per week","2015","Employed","East Germany","","","","","2"
"Min 1x per week","2015","Not Employed","West Germany","","","","","2"
"Never","2015","Employed","East Germany","","","","","5"
"Never","2015","Employed","West Germany","","","","","5"
"Never","2015","Not Employed","East Germany","","","","","5"
"Never","2015","Not Employed","West Germany","","","","","5"
"Rarely","2015","Not Employed","West Germany","","","","","4"
"Rarely","2015","Not Employed","East Germany","","","","","4"
"Rarely","2015","Employed","West Germany","","","","","4"
"Rarely","2015","Employed","East Germany","","","","","4"
"Daily","2016","Employed","East Germany","","","","","1"
"Daily","2016","Not Employed","West Germany","","","","","1"
"Daily","2016","Employed","West Germany","","","","","1"
"Daily","2016","Not Employed","East Germany","","","","","1"
"Min 1x per month","2016","Employed","East Germany","","","","","3"
"Min 1x per month","2016","Not Employed","East Germany","","","","","3"
"Min 1x per month","2016","Employed","West Germany","","","","","3"
"Min 1x per month","2016","Not Employed","West Germany","","","","","3"
"Min 1x per week","2016","Not Employed","East Germany","","","","","2"
"Min 1x per week","2016","Employed","West Germany","","","","","2"
"Min 1x per week","2016","Employed","East Germany","","","","","2"
"Min 1x per week","2016","Not Employed","West Germany","","","","","2"
"Never","2016","Employed","West Germany","","","","","5"
"Never","2016","Not Employed","East Germany","","","","","5"
"Never","2016","Employed","East Germany","","","","","5"
"Never","2016","Not Employed","West Germany","","","","","5"
"Rarely","2016","Employed","East Germany","","","","","4"
"Rarely","2016","Not Employed","West Germany","","","","","4"
"Rarely","2016","Not Employed","East Germany","","","","","4"
"Rarely","2016","Employed","West Germany","","","","","4"
"Daily","2017","Employed","East Germany","26","","","","1"
"Daily","2017","Employed","West Germany","117","0.639436882098063","0.571869558339507","0.707004205856619","1"
"Daily","2017","Not Employed","East Germany","405","0.562660310986294","0.525912484433953","0.599408137538635","1"
"Daily","2017","Not Employed","West Germany","2737","0.591686979994616","0.577493738063695","0.605880221925536","1"
"Min 1x per month","2017","Employed","East Germany","1","","","","3"
"Min 1x per month","2017","Employed","West Germany","5","","","","3"
"Min 1x per month","2017","Not Employed","East Germany","24","","","","3"
