"pli0165","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2013","Full Time","in school","3","","",""
"Daily","2013","Full Time","inadequately","24","","",""
"Daily","2013","Full Time","general elemantary","259","0.431887969964954","0.391986418341892","0.471789521588016"
"Daily","2013","Full Time","middle vocational","1286","0.295624509591211","0.28211206888855","0.309136950293873"
"Daily","2013","Full Time","vocational + Abi","283","0.392663209888944","0.35808053297418","0.427245886803708"
"Daily","2013","Full Time","higher vocational","182","0.218158317900727","0.190279163188647","0.246037472612807"
"Daily","2013","Full Time","higher education","618","0.236896770420438","0.221281507020117","0.252512033820759"
"Daily","2013","Part Time","in school","80","0.85102549457424","0.779425407600927","0.922625581547553"
"Daily","2013","Part Time","inadequately","32","0.344892727233908","0.238722937538359","0.451062516929458"
"Daily","2013","Part Time","general elemantary","287","0.393958119666562","0.356365543435037","0.431550695898088"
"Daily","2013","Part Time","middle vocational","1146","0.295509162710457","0.280606643836961","0.310411681583953"
"Daily","2013","Part Time","vocational + Abi","192","0.308859392453045","0.273610965941129","0.344107818964961"
"Daily","2013","Part Time","higher vocational","68","0.21260463233407","0.170102973462576","0.255106291205563"
"Daily","2013","Part Time","higher education","344","0.264834715331698","0.242556960667913","0.287112469995483"
"Daily","2013","Not Working","in school","285","0.863096687377586","0.826929056898682","0.899264317856489"
"Daily","2013","Not Working","inadequately","43","0.14455621636074","0.0933263848959964","0.195786047825483"
"Daily","2013","Not Working","general elemantary","296","0.122992708181574","0.10548613959643","0.140499276766717"
"Daily","2013","Not Working","middle vocational","801","0.138369520218546","0.128156666374588","0.148582374062505"
"Daily","2013","Not Working","vocational + Abi","82","0.185688955013543","0.144950714520476","0.226427195506609"
"Daily","2013","Not Working","higher vocational","45","0.0818816928724249","0.0570936697752197","0.10666971596963"
"Daily","2013","Not Working","higher education","231","0.134283465958008","0.116794231887802","0.151772700028213"
"Min 1x per week","2013","Full Time","in school","","","",""
"Min 1x per week","2013","Full Time","inadequately","13","","",""
"Min 1x per week","2013","Full Time","general elemantary","72","0.107660772806206","0.0826929325758757","0.132628613036537"
"Min 1x per week","2013","Full Time","middle vocational","608","0.149471635883575","0.13891354833326","0.160029723433889"
"Min 1x per week","2013","Full Time","vocational + Abi","101","0.135104425871223","0.1108969040673","0.159311947675147"
"Min 1x per week","2013","Full Time","higher vocational","114","0.13645341826858","0.11328110462329","0.159625731913871"
"Min 1x per week","2013","Full Time","higher education","401","0.136363657198207","0.123760107637577","0.148967206758837"
"Min 1x per week","2013","Part Time","in school","5","","",""
"Min 1x per week","2013","Part Time","inadequately","13","","",""
"Min 1x per week","2013","Part Time","general elemantary","84","0.0975179741228039","0.0746942053718275","0.12034174287378"
"Min 1x per week","2013","Part Time","middle vocational","484","0.129012095800208","0.11806351551329","0.139960676087125"
"Min 1x per week","2013","Part Time","vocational + Abi","102","0.131231624602917","0.105471534506881","0.156991714698953"
"Min 1x per week","2013","Part Time","higher vocational","50","0.131558937647469","0.0964471091998258","0.166670766095112"
"Min 1x per week","2013","Part Time","higher education","202","0.123635743117759","0.107016707647408","0.140254778588109"
"Min 1x per week","2013","Not Working","in school","42","0.110315416164835","0.0773529657014131","0.143277866628256"
"Min 1x per week","2013","Not Working","inadequately","11","","",""
"Min 1x per week","2013","Not Working","general elemantary","84","0.0413450660237121","0.0307329315150092","0.051957200532415"
"Min 1x per week","2013","Not Working","middle vocational","289","0.0599788120670931","0.0529556268197948","0.0670019973143914"
"Min 1x per week","2013","Not Working","vocational + Abi","27","","",""
"Min 1x per week","2013","Not Working","higher vocational","38","0.0794547475487594","0.0550045901428229","0.103904904954696"
"Min 1x per week","2013","Not Working","higher education","137","0.0815021933407808","0.0674677441329713","0.0955366425485902"
"Min 1x per month","2013","Full Time","in school","","","",""
"Min 1x per month","2013","Full Time","inadequately","2","","",""
"Min 1x per month","2013","Full Time","general elemantary","17","","",""
"Min 1x per month","2013","Full Time","middle vocational","151","0.0362653200227401","0.0307294489738865","0.0418011910715937"
"Min 1x per month","2013","Full Time","vocational + Abi","22","","",""
"Min 1x per month","2013","Full Time","higher vocational","29","","",""
"Min 1x per month","2013","Full Time","higher education","125","0.0522619909801369","0.044088356300374","0.0604356256598998"
"Min 1x per month","2013","Part Time","in school","1","","",""
"Min 1x per month","2013","Part Time","inadequately","2","","",""
"Min 1x per month","2013","Part Time","general elemantary","16","","",""
"Min 1x per month","2013","Part Time","middle vocational","108","0.0327509908371501","0.0269377555803438","0.0385642260939564"
"Min 1x per month","2013","Part Time","vocational + Abi","23","","",""
"Min 1x per month","2013","Part Time","higher vocational","13","","",""
"Min 1x per month","2013","Part Time","higher education","53","0.0319910962575423","0.0231063362324432","0.0408758562826413"
"Min 1x per month","2013","Not Working","in school","5","","",""
"Min 1x per month","2013","Not Working","inadequately","2","","",""
"Min 1x per month","2013","Not Working","general elemantary","10","","",""
"Min 1x per month","2013","Not Working","middle vocational","89","0.0147162717341185","0.0111546653020397","0.0182778781661973"
"Min 1x per month","2013","Not Working","vocational + Abi","8","","",""
"Min 1x per month","2013","Not Working","higher vocational","10","","",""
"Min 1x per month","2013","Not Working","higher education","26","","",""
"Rarely","2013","Full Time","in school","","","",""
