"pli0165","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Rarely","2017","Part Time","Urban Area","10","","","","4"
"Daily","2018","Part Time","Urban Area","192","0.746788752678848","0.695015693659127","0.798561811698569","1"
"Daily","2018","Full Time","Rural Area","34","0.659883550899955","0.533526732921009","0.786240368878901","1"
"Daily","2018","Not Working","Rural Area","540","0.640795427845002","0.609024736301512","0.672566119388491","1"
"Daily","2018","Part Time","Rural Area","66","0.691902969417441","0.594884410770288","0.788921528064594","1"
"Daily","2018","Full Time","Urban Area","73","0.770453711176727","0.688029176391695","0.852878245961759","1"
"Daily","2018","Not Working","Urban Area","1604","0.636702013618917","0.617780894951221","0.655623132286613","1"
"Min 1x per month","2018","Full Time","Urban Area","2","","","","3"
"Min 1x per month","2018","Full Time","Rural Area","1","","","","3"
"Min 1x per month","2018","Part Time","Urban Area","11","","","","3"
"Min 1x per month","2018","Not Working","Rural Area","26","","","","3"
"Min 1x per month","2018","Part Time","Rural Area","3","","","","3"
"Min 1x per month","2018","Not Working","Urban Area","75","0.0253179186090415","0.0191378585858278","0.0314979786322552","3"
"Min 1x per week","2018","Part Time","Urban Area","37","0.10326672890307","0.0670361479833649","0.139497309822774","2"
"Min 1x per week","2018","Part Time","Rural Area","10","","","","2"
"Min 1x per week","2018","Not Working","Rural Area","156","0.161454990490781","0.137088949866881","0.185821031114681","2"
"Min 1x per week","2018","Full Time","Urban Area","15","","","","2"
"Min 1x per week","2018","Full Time","Rural Area","14","","","","2"
"Min 1x per week","2018","Not Working","Urban Area","396","0.182742865626559","0.167539253613654","0.197946477639465","2"
"Never","2018","Full Time","Urban Area","6","","","","5"
"Never","2018","Full Time","Rural Area","3","","","","5"
"Never","2018","Part Time","Urban Area","19","","","","5"
"Never","2018","Not Working","Urban Area","269","0.0957172651742398","0.084142972427056","0.107291557921424","5"
"Never","2018","Not Working","Rural Area","123","0.126607657345079","0.104586977925978","0.148628336764181","5"
"Never","2018","Part Time","Rural Area","6","","","","5"
"Rarely","2018","Full Time","Urban Area","4","","","","4"
"Rarely","2018","Full Time","Rural Area","2","","","","4"
"Rarely","2018","Not Working","Rural Area","31","0.0395534026003769","0.0266464244755315","0.0524603807252223","4"
"Rarely","2018","Part Time","Urban Area","12","","","","4"
"Rarely","2018","Part Time","Rural Area","2","","","","4"
"Rarely","2018","Not Working","Urban Area","138","0.0595199369712424","0.0502120043569403","0.0688278695855446","4"
"Daily","2019","Not Working","Rural Area","459","0.629062354415005","0.593019361271595","0.665105347558415","1"
"Daily","2019","Part Time","Rural Area","114","0.832118223136058","0.770425657789225","0.893810788482891","1"
"Daily","2019","Full Time","Urban Area","167","0.745389237866639","0.687953541410683","0.802824934322596","1"
"Daily","2019","Full Time","Rural Area","84","0.760629846144582","0.68364083028761","0.837618862001554","1"
"Daily","2019","Part Time","Urban Area","283","0.802040796440282","0.760765266642248","0.843316326238316","1"
"Daily","2019","Not Working","Urban Area","1290","0.672779055198406","0.651753504264657","0.693804606132156","1"
"Min 1x per month","2019","Part Time","Urban Area","1","","","","3"
"Min 1x per month","2019","Not Working","Rural Area","15","","","","3"
"Min 1x per month","2019","Full Time","Rural Area","3","","","","3"
"Min 1x per month","2019","Full Time","Urban Area","4","","","","3"
"Min 1x per month","2019","Part Time","Rural Area","5","","","","3"
"Min 1x per month","2019","Not Working","Urban Area","35","0.0193869477883984","0.013208289728283","0.0255656058485139","3"
"Min 1x per week","2019","Full Time","Urban Area","31","0.154166616002069","0.106557563860663","0.201775668143474","2"
"Min 1x per week","2019","Full Time","Rural Area","22","","","","2"
"Min 1x per week","2019","Part Time","Urban Area","47","0.112798299115894","0.0800288578852182","0.145567740346569","2"
"Min 1x per week","2019","Part Time","Rural Area","14","","","","2"
"Min 1x per week","2019","Not Working","Rural Area","119","0.206467006020335","0.176265307354905","0.236668704685765","2"
"Min 1x per week","2019","Not Working","Urban Area","290","0.153289324976929","0.137145216036995","0.169433433916862","2"
"Never","2019","Full Time","Urban Area","11","","","","5"
"Never","2019","Full Time","Rural Area","5","","","","5"
"Never","2019","Part Time","Urban Area","17","","","","5"
"Never","2019","Part Time","Rural Area","4","","","","5"
"Never","2019","Not Working","Urban Area","188","0.0876232663962676","0.074952950983779","0.100293581808756","5"
"Never","2019","Not Working","Rural Area","58","0.0933883465144675","0.0716773110250004","0.115099382003935","5"
"Rarely","2019","Full Time","Urban Area","8","","","","4"
"Rarely","2019","Full Time","Rural Area","4","","","","4"
"Rarely","2019","Part Time","Urban Area","10","","","","4"
"Rarely","2019","Part Time","Rural Area","4","","","","4"
"Rarely","2019","Not Working","Rural Area","39","0.0523941834147002","0.035768521584164","0.0690198452452364","4"
"Rarely","2019","Not Working","Urban Area","110","0.0669214056399989","0.055723617500283","0.0781191937797149","4"
