"pli0165","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","Not Employed","Urban Area","1287","0.164265107052983","0.154564342685174","0.173965871420791","1"
"Daily","2013","Not Employed","Rural Area","611","0.135548381291367","0.12355441502033","0.147542347562405","1"
"Daily","2013","Employed","Urban Area","3358","0.320745190873609","0.311925394166155","0.329564987581062","1"
"Daily","2013","Employed","Rural Area","1636","0.258764603327848","0.247661689415468","0.269867517240227","1"
"Min 1x per month","2013","Employed","Rural Area","185","0.0320059576254215","0.0275436632379726","0.0364682520128705","3"
"Min 1x per month","2013","Employed","Urban Area","384","0.0391308411499811","0.0354668547243327","0.0427948275756296","3"
"Min 1x per month","2013","Not Employed","Urban Area","98","0.0152724727091592","0.0120616838616142","0.0184832615567041","3"
"Min 1x per month","2013","Not Employed","Rural Area","57","0.0140661084558206","0.00993985227215822","0.018192364639483","3"
"Min 1x per week","2013","Employed","Urban Area","1475","0.137242606357481","0.13074054653827","0.143744666176692","2"
"Min 1x per week","2013","Employed","Rural Area","807","0.130454220066273","0.121915716674051","0.138992723458496","2"
"Min 1x per week","2013","Not Employed","Rural Area","230","0.065105983142581","0.0564615414290652","0.0737504248560968","2"
"Min 1x per week","2013","Not Employed","Urban Area","414","0.0632202792049838","0.0568487163345506","0.0695918420754171","2"
"Never","2013","Employed","Rural Area","2763","0.475473234413835","0.462812662411504","0.488133806416166","5"
"Never","2013","Employed","Urban Area","4627","0.422771077592897","0.413436625878806","0.432105529306988","5"
"Never","2013","Not Employed","Rural Area","2061","0.732884473559126","0.717381584601065","0.748387362517187","5"
"Never","2013","Not Employed","Urban Area","3484","0.706324519439432","0.69440016125014","0.718248877628724","5"
"Rarely","2013","Not Employed","Rural Area","170","0.052395053551105","0.0445876952055983","0.0602024118966116","4"
"Rarely","2013","Employed","Rural Area","586","0.103301984566623","0.0955861323684475","0.111017836764798","4"
"Rarely","2013","Employed","Urban Area","915","0.0801102840260328","0.0749807944117718","0.0852397736402937","4"
"Rarely","2013","Not Employed","Urban Area","321","0.0509176215934421","0.0451620953664005","0.0566731478204836","4"
"Daily","2014","Not Employed","Urban Area","","","","","1"
"Daily","2014","Not Employed","Rural Area","","","","","1"
"Daily","2014","Employed","Urban Area","","","","","1"
"Daily","2014","Employed","Rural Area","","","","","1"
"Min 1x per month","2014","Employed","Urban Area","","","","","3"
"Min 1x per month","2014","Employed","Rural Area","","","","","3"
"Min 1x per month","2014","Not Employed","Urban Area","","","","","3"
"Min 1x per month","2014","Not Employed","Rural Area","","","","","3"
"Min 1x per week","2014","Employed","Urban Area","","","","","2"
"Min 1x per week","2014","Not Employed","Rural Area","","","","","2"
"Min 1x per week","2014","Employed","Rural Area","","","","","2"
"Min 1x per week","2014","Not Employed","Urban Area","","","","","2"
"Never","2014","Employed","Urban Area","","","","","5"
"Never","2014","Employed","Rural Area","","","","","5"
"Never","2014","Not Employed","Rural Area","","","","","5"
"Never","2014","Not Employed","Urban Area","","","","","5"
"Rarely","2014","Employed","Urban Area","","","","","4"
"Rarely","2014","Not Employed","Urban Area","","","","","4"
"Rarely","2014","Not Employed","Rural Area","","","","","4"
"Rarely","2014","Employed","Rural Area","","","","","4"
"Daily","2015","Employed","Rural Area","","","","","1"
"Daily","2015","Not Employed","Urban Area","","","","","1"
"Daily","2015","Not Employed","Rural Area","","","","","1"
"Daily","2015","Employed","Urban Area","","","","","1"
"Min 1x per month","2015","Employed","Rural Area","","","","","3"
"Min 1x per month","2015","Employed","Urban Area","","","","","3"
"Min 1x per month","2015","Not Employed","Rural Area","","","","","3"
"Min 1x per month","2015","Not Employed","Urban Area","","","","","3"
"Min 1x per week","2015","Employed","Urban Area","","","","","2"
"Min 1x per week","2015","Not Employed","Rural Area","","","","","2"
"Min 1x per week","2015","Employed","Rural Area","","","","","2"
"Min 1x per week","2015","Not Employed","Urban Area","","","","","2"
"Never","2015","Employed","Rural Area","","","","","5"
"Never","2015","Employed","Urban Area","","","","","5"
"Never","2015","Not Employed","Rural Area","","","","","5"
"Never","2015","Not Employed","Urban Area","","","","","5"
"Rarely","2015","Not Employed","Urban Area","","","","","4"
"Rarely","2015","Not Employed","Rural Area","","","","","4"
"Rarely","2015","Employed","Urban Area","","","","","4"
"Rarely","2015","Employed","Rural Area","","","","","4"
"Daily","2016","Employed","Rural Area","","","","","1"
"Daily","2016","Not Employed","Urban Area","","","","","1"
"Daily","2016","Employed","Urban Area","","","","","1"
"Daily","2016","Not Employed","Rural Area","","","","","1"
"Min 1x per month","2016","Employed","Rural Area","","","","","3"
"Min 1x per month","2016","Not Employed","Rural Area","","","","","3"
"Min 1x per month","2016","Employed","Urban Area","","","","","3"
"Min 1x per month","2016","Not Employed","Urban Area","","","","","3"
"Min 1x per week","2016","Not Employed","Rural Area","","","","","2"
"Min 1x per week","2016","Employed","Urban Area","","","","","2"
"Min 1x per week","2016","Employed","Rural Area","","","","","2"
"Min 1x per week","2016","Not Employed","Urban Area","","","","","2"
"Never","2016","Employed","Urban Area","","","","","5"
"Never","2016","Not Employed","Rural Area","","","","","5"
"Never","2016","Employed","Rural Area","","","","","5"
"Never","2016","Not Employed","Urban Area","","","","","5"
"Rarely","2016","Employed","Rural Area","","","","","4"
"Rarely","2016","Not Employed","Urban Area","","","","","4"
"Rarely","2016","Not Employed","Rural Area","","","","","4"
"Rarely","2016","Employed","Urban Area","","","","","4"
"Daily","2017","Employed","Rural Area","46","0.63360614410506","0.523078619878253","0.744133668331866","1"
"Daily","2017","Employed","Urban Area","97","0.638239100785528","0.563550891898551","0.712927309672504","1"
"Daily","2017","Not Employed","Rural Area","874","0.594367771946556","0.56953604193522","0.619199501957893","1"
