"pli0165","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","in school","West Germany","328","0.866278149055555","0.832542460243752","0.900013837867358","1"
"Daily","2013","in school","East Germany","40","0.810647129332463","0.706150307391634","0.915143951273292","1"
"Daily","2013","inadequately","West Germany","74","0.178637088503627","0.133690229297398","0.223583947709856","1"
"Daily","2013","inadequately","East Germany","25","","","","1"
"Daily","2013","general elemantary","West Germany","719","0.238704222489488","0.221097818647843","0.256310626331133","1"
"Daily","2013","general elemantary","East Germany","123","0.290140545557155","0.241972247818886","0.338308843295425","1"
"Daily","2013","middle vocational","West Germany","2555","0.241789834860404","0.233105066644407","0.250474603076401","1"
"Daily","2013","middle vocational","East Germany","678","0.199320825285147","0.185110539499676","0.213531111070617","1"
"Daily","2013","vocational + Abi","West Germany","482","0.334008057314358","0.310155986836232","0.357860127792484","1"
"Daily","2013","vocational + Abi","East Germany","75","0.246377310782199","0.195356172028613","0.297398449535784","1"
"Daily","2013","higher vocational","West Germany","244","0.190104361656403","0.168255792106989","0.211952931205817","1"
"Daily","2013","higher vocational","East Germany","51","0.121632961385857","0.0907387212004433","0.152527201571271","1"
"Daily","2013","higher education","West Germany","924","0.220483163261012","0.208185950393555","0.232780376128469","1"
"Daily","2013","higher education","East Germany","269","0.191440573698103","0.171183026282996","0.211698121113211","1"
"Min 1x per month","2013","vocational + Abi","East Germany","8","","","","3"
"Min 1x per month","2013","in school","West Germany","4","","","","3"
"Min 1x per month","2013","in school","East Germany","2","","","","3"
"Min 1x per month","2013","inadequately","West Germany","6","","","","3"
"Min 1x per month","2013","inadequately","East Germany","","","","","3"
"Min 1x per month","2013","general elemantary","West Germany","38","0.0164595044756377","0.0112045567634492","0.0217144521878262","3"
"Min 1x per month","2013","general elemantary","East Germany","5","","","","3"
"Min 1x per month","2013","middle vocational","West Germany","272","0.0284263754099786","0.0250554975746874","0.0317972532452698","3"
"Min 1x per month","2013","middle vocational","East Germany","76","0.0207400615076543","0.0156707238295021","0.0258093991858065","3"
"Min 1x per month","2013","vocational + Abi","West Germany","45","0.0297207299983751","0.0211327457887884","0.0383087142079618","3"
"Min 1x per month","2013","higher vocational","West Germany","38","0.0330589952708167","0.0231036287961106","0.0430143617455228","3"
"Min 1x per month","2013","higher vocational","East Germany","14","","","","3"
"Min 1x per month","2013","higher education","West Germany","163","0.0413725811730479","0.0354653025269685","0.0472798598191273","3"
"Min 1x per month","2013","higher education","East Germany","41","0.0265402716609947","0.0182641746061346","0.0348163687158548","3"
"Min 1x per week","2013","in school","West Germany","39","0.0839871326091206","0.0564944653013968","0.111479799916844","2"
"Min 1x per week","2013","in school","East Germany","8","","","","2"
"Min 1x per week","2013","inadequately","East Germany","4","","","","2"
"Min 1x per week","2013","general elemantary","West Germany","214","0.0702899086593649","0.059731847828597","0.0808479694901328","2"
"Min 1x per week","2013","inadequately","West Germany","33","0.133463091530699","0.0935587533492986","0.1733674297121","2"
"Min 1x per week","2013","general elemantary","East Germany","26","","","","2"
"Min 1x per week","2013","middle vocational","West Germany","1061","0.109538970814767","0.103204122820112","0.115873818809422","2"
"Min 1x per week","2013","middle vocational","East Germany","320","0.106368529902049","0.0954016518790246","0.117335407925074","2"
"Min 1x per week","2013","vocational + Abi","West Germany","191","0.124449964283846","0.107756326043672","0.141143602524019","2"
"Min 1x per week","2013","vocational + Abi","East Germany","39","0.101642276007397","0.0658627441949366","0.137421807819858","2"
"Min 1x per week","2013","higher vocational","West Germany","163","0.123777827072375","0.105440290861686","0.142115363283063","2"
"Min 1x per week","2013","higher vocational","East Germany","39","0.0972390070524162","0.0692349783747682","0.125243035730064","2"
"Min 1x per week","2013","higher education","West Germany","577","0.124311032781735","0.114524338957374","0.134097726606096","2"
"Min 1x per week","2013","higher education","East Germany","163","0.0964110955594959","0.0812139209993049","0.111608270119687","2"
"Never","2013","in school","West Germany","13","","","","5"
"Never","2013","general elemantary","West Germany","1153","0.632856327798598","0.612948013654438","0.652764641942758","5"
"Never","2013","general elemantary","East Germany","175","0.598900722495269","0.54688025391044","0.650921191080098","5"
"Never","2013","middle vocational","West Germany","4747","0.547095334848848","0.536998638055898","0.557192031641799","5"
