"pli0165","year","migback","n","percent","lower_confidence","upper_confidence"
"Daily","2013","no migration background","5599","0.238609403526203","0.232928498027616","0.24429030902479"
"Daily","2013","direct migration background","711","0.217918567992138","0.202221251324394","0.233615884659883"
"Daily","2013","indirect migration background","582","0.502136236192234","0.473692360496749","0.53058011188772"
"Min 1x per week","2013","no migration background","2353","0.105065252446969","0.100978340578944","0.109152164314995"
"Min 1x per week","2013","direct migration background","383","0.117504899334849","0.105260529106987","0.129749269562711"
"Min 1x per week","2013","indirect migration background","190","0.157259019963571","0.136549140537959","0.177968899389184"
"Min 1x per month","2013","no migration background","592","0.0271854340012396","0.0250179634745886","0.0293529045278906"
"Min 1x per month","2013","direct migration background","94","0.0362858651666654","0.0291754465588408","0.0433962837744899"
"Min 1x per month","2013","indirect migration background","38","0.039331261525154","0.0282732128085711","0.0503893102417368"
"Rarely","2013","no migration background","1687","0.0746023645720613","0.0711004098862216","0.0781043192579011"
"Rarely","2013","direct migration background","218","0.0728457296563723","0.0629640592534609","0.0827274000592838"
"Rarely","2013","indirect migration background","87","0.0571540308327404","0.0439481754109764","0.0703598862545045"
"Never","2013","no migration background","11394","0.554537545453526","0.547913229113795","0.561161861793258"
"Never","2013","direct migration background","1251","0.555444937849975","0.536550429299367","0.574339446400582"
"Never","2013","indirect migration background","290","0.2441194514863","0.219682304050499","0.268556598922101"
"Daily","2014","no migration background","","","",""
"Daily","2014","direct migration background","","","",""
"Daily","2014","indirect migration background","","","",""
"Min 1x per week","2014","no migration background","","","",""
"Min 1x per week","2014","direct migration background","","","",""
"Min 1x per week","2014","indirect migration background","","","",""
"Min 1x per month","2014","no migration background","","","",""
"Min 1x per month","2014","direct migration background","","","",""
"Min 1x per month","2014","indirect migration background","","","",""
"Rarely","2014","no migration background","","","",""
"Rarely","2014","direct migration background","","","",""
"Rarely","2014","indirect migration background","","","",""
"Never","2014","no migration background","","","",""
"Never","2014","direct migration background","","","",""
"Never","2014","indirect migration background","","","",""
"Daily","2015","no migration background","","","",""
"Daily","2015","direct migration background","","","",""
"Daily","2015","indirect migration background","","","",""
"Min 1x per week","2015","no migration background","","","",""
"Min 1x per week","2015","direct migration background","","","",""
"Min 1x per week","2015","indirect migration background","","","",""
"Min 1x per month","2015","no migration background","","","",""
"Min 1x per month","2015","direct migration background","","","",""
