"pli0165","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","2013","West Germany","5586","0.253104458126289","0.247043119789415","0.259165796463162","1"
"Daily","2013","East Germany","1306","0.20865251266773","0.198106414039081","0.219198611296379","1"
"Min 1x per month","2013","East Germany","148","0.022864719855335","0.0189853901266776","0.0267440495839923","3"
"Min 1x per month","2013","West Germany","576","0.0297018502534042","0.0273352056284813","0.032068494878327","3"
"Min 1x per week","2013","East Germany","605","0.0981708212245076","0.0904484662921876","0.105893176156828","2"
"Min 1x per week","2013","West Germany","2321","0.110062887234898","0.105699851145229","0.114425923324566","2"
"Never","2013","East Germany","3215","0.594433622472617","0.581690406015241","0.607176838929993","5"
"Never","2013","West Germany","9720","0.533680602422602","0.526726018614488","0.540635186230716","5"
"Rarely","2013","West Germany","1563","0.0734502019628081","0.0698134006469655","0.0770870032786507","4"
"Rarely","2013","East Germany","429","0.0758783237798104","0.0690057430823926","0.0827509044772283","4"
"Daily","2014","West Germany","","","","","1"
"Daily","2014","East Germany","","","","","1"
"Min 1x per month","2014","East Germany","","","","","3"
"Min 1x per month","2014","West Germany","","","","","3"
"Min 1x per week","2014","East Germany","","","","","2"
"Min 1x per week","2014","West Germany","","","","","2"
"Never","2014","East Germany","","","","","5"
"Never","2014","West Germany","","","","","5"
"Rarely","2014","West Germany","","","","","4"
"Rarely","2014","East Germany","","","","","4"
"Daily","2015","West Germany","","","","","1"
"Daily","2015","East Germany","","","","","1"
"Min 1x per month","2015","East Germany","","","","","3"
"Min 1x per month","2015","West Germany","","","","","3"
"Min 1x per week","2015","West Germany","","","","","2"
"Min 1x per week","2015","East Germany","","","","","2"
"Never","2015","East Germany","","","","","5"
"Never","2015","West Germany","","","","","5"
"Rarely","2015","West Germany","","","","","4"
"Rarely","2015","East Germany","","","","","4"
"Daily","2016","West Germany","","","","","1"
"Daily","2016","East Germany","","","","","1"
"Min 1x per month","2016","West Germany","","","","","3"
"Min 1x per month","2016","East Germany","","","","","3"
"Min 1x per week","2016","West Germany","","","","","2"
"Min 1x per week","2016","East Germany","","","","","2"
"Never","2016","West Germany","","","","","5"
"Never","2016","East Germany","","","","","5"
"Rarely","2016","West Germany","","","","","4"
"Rarely","2016","East Germany","","","","","4"
"Daily","2017","East Germany","431","0.567508753687274","0.531765436641933","0.603252070732614","1"
"Daily","2017","West Germany","2854","0.594805500755677","0.580918722632021","0.608692278879332","1"
"Min 1x per month","2017","East Germany","25","","","","3"
"Min 1x per month","2017","West Germany","141","0.03448629011903","0.0293246859175015","0.0396478943205585","3"
"Min 1x per week","2017","West Germany","786","0.158124130818669","0.147803521356649","0.168444740280689","2"
"Min 1x per week","2017","East Germany","134","0.147924332515454","0.122310250194587","0.173538414836322","2"
"Never","2017","West Germany","734","0.155136509634082","0.144895741866376","0.165377277401788","5"
"Never","2017","East Germany","122","0.179930707070489","0.152216795394322","0.207644618746656","5"
"Rarely","2017","West Germany","286","0.0574475686725426","0.0508653724714604","0.0640297648736247","4"
"Rarely","2017","East Germany","26","","","","4"
"Daily","2018","East Germany","327","0.594919511205636","0.554041196993096","0.635797825418177","1"
"Daily","2018","West Germany","2182","0.665154374272293","0.649091458918927","0.681217289625659","1"
"Min 1x per month","2018","East Germany","17","","","","3"
"Min 1x per month","2018","West Germany","101","0.0281826824662479","0.0225498827331939","0.0338154821993019","3"
"Min 1x per week","2018","West Germany","532","0.16260642456179","0.150046862605209","0.175165986518371","2"
"Min 1x per week","2018","East Germany","96","0.19811441468528","0.164924399597068","0.231304429773492","2"
"Never","2018","West Germany","334","0.0919423312045651","0.0821077629024772","0.101776899506653","5"
"Never","2018","East Germany","92","0.141192940491657","0.112196312090551","0.170189568892762","5"
"Rarely","2018","East Germany","22","","","","4"
"Rarely","2018","West Germany","167","0.0521141874951039","0.0445493983534796","0.0596789766367281","4"
"Daily","2019","East Germany","309","0.670965469799313","0.628755461421163","0.713175478177464","1"
"Daily","2019","West Germany","2164","0.700353263228055","0.684208878980283","0.716497647475826","1"
"Min 1x per month","2019","East Germany","7","","","","3"
"Min 1x per month","2019","West Germany","58","0.0173168886106102","0.0127196207489127","0.0219141564723076","3"
"Min 1x per week","2019","West Germany","477","0.160762123012483","0.147817406745137","0.173706839279829","2"
"Min 1x per week","2019","East Germany","71","0.112542274586097","0.0841515618105274","0.140932987361667","2"
"Never","2019","West Germany","240","0.0705397257877554","0.0615159056418569","0.0795635459336538","5"
"Never","2019","East Germany","58","0.137564202358637","0.106621323348206","0.168507081369067","5"
"Rarely","2019","East Germany","31","0.0644342326205051","0.0423775544607924","0.0864909107802178","4"
"Rarely","2019","West Germany","154","0.0510279993610968","0.0432728690256047","0.058783129696589","4"
