"pli0165","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2017","West Germany","Male","1875","0.643707131593983","0.626274148521354","0.661140114666611"
"Daily","2017","West Germany","Female","979","0.475321904520002","0.452878785338864","0.497765023701141"
"Daily","2017","East Germany","Male","275","0.577327970080018","0.531327816469671","0.623328123690366"
"Daily","2017","East Germany","Female","156","0.540441304161582","0.483571485446644","0.597311122876521"
"Min 1x per week","2017","West Germany","Male","489","0.157843394162702","0.144571478334055","0.171115309991349"
"Min 1x per week","2017","West Germany","Female","297","0.158810067558918","0.142384178580799","0.175235956537037"
"Min 1x per week","2017","East Germany","Male","78","0.137213502210715","0.105173220747766","0.169253783673663"
"Min 1x per week","2017","East Germany","Female","56","0.177449586574017","0.13385266328298","0.221046509865054"
"Min 1x per month","2017","West Germany","Male","85","0.0348401141876048","0.0281649277521085","0.0415153006231011"
"Min 1x per month","2017","West Germany","Female","56","0.0336217755532919","0.025520997662857","0.0417225534437269"
"Min 1x per month","2017","East Germany","Male","18","","",""
"Min 1x per month","2017","East Germany","Female","7","","",""
"Rarely","2017","West Germany","Male","159","0.0507616271061134","0.0427710270556441","0.0587522271565827"
"Rarely","2017","West Germany","Female","127","0.0737836361795747","0.0620352263873679","0.0855320459717816"
"Rarely","2017","East Germany","Male","15","","",""
"Rarely","2017","East Germany","Female","11","","",""
"Never","2017","West Germany","Male","291","0.112847732949597","0.10132993419387","0.124365531705325"
"Never","2017","West Germany","Female","443","0.258462616188213","0.23878791125193","0.278137321124496"
"Never","2017","East Germany","Male","57","0.169200877356004","0.134287203725851","0.204114550986158"
"Never","2017","East Germany","Female","65","0.209508334510361","0.163068957722409","0.255947711298312"
"Daily","2018","West Germany","Male","1447","0.703282184533358","0.683536456302086","0.72302791276463"
"Daily","2018","West Germany","Female","735","0.563798670417953","0.536416470643629","0.591180870192277"
"Daily","2018","East Germany","Male","220","0.620026018150866","0.56850875434975","0.671543281951983"
"Daily","2018","East Germany","Female","107","0.527178391315497","0.4601304036598","0.594226378971195"
"Min 1x per week","2018","West Germany","Male","333","0.159111476073307","0.143300579383931","0.174922372762682"
"Min 1x per week","2018","West Germany","Female","199","0.171897096162374","0.151064699204954","0.192729493119793"
"Min 1x per week","2018","East Germany","Male","58","0.200629063435273","0.15812386955098","0.243134257319566"
"Min 1x per week","2018","East Germany","Female","38","0.191329515343192","0.138505054738393","0.244153975947991"
"Min 1x per month","2018","West Germany","Male","61","0.0271756559788139","0.0201474615260684","0.0342038504315595"
"Min 1x per month","2018","West Germany","Female","40","0.0308596753943747","0.021310808767841","0.0404085420209084"
"Min 1x per month","2018","East Germany","Male","10","","",""
"Min 1x per month","2018","East Germany","Female","7","","",""
"Rarely","2018","West Germany","Male","92","0.0501230867590086","0.0406914056998773","0.0595547678181399"
"Rarely","2018","West Germany","Female","75","0.057407159086444","0.0445629337942516","0.0702513843786365"
"Rarely","2018","East Germany","Male","15","","",""
"Rarely","2018","East Germany","Female","7","","",""
"Never","2018","West Germany","Male","123","0.0603075966555125","0.0500175959482958","0.0705975973627292"
"Never","2018","West Germany","Female","211","0.176037398938854","0.155008378655825","0.197066419221883"
"Never","2018","East Germany","Male","38","0.112582738657483","0.0790344213495922","0.146131055965373"
"Never","2018","East Germany","Female","54","0.218387554491837","0.162903528713837","0.273871580269837"
"Daily","2019","West Germany","Male","1401","0.740954837043997","0.72130184224475","0.760607831843245"
"Daily","2019","West Germany","Female","763","0.60096828050251","0.573074863162269","0.628861697842752"
"Daily","2019","East Germany","Male","201","0.709038600267332","0.655646338173903","0.762430862360761"
"Daily","2019","East Germany","Female","108","0.593137366914758","0.524712014787223","0.661562719042292"
"Min 1x per week","2019","West Germany","Male","302","0.152329657480264","0.13621018393003","0.168449131030497"
"Min 1x per week","2019","West Germany","Female","175","0.181403205672296","0.159453447575684","0.203352963768908"
"Min 1x per week","2019","East Germany","Male","37","0.10621217812502","0.0699937108828694","0.14243064536717"
"Min 1x per week","2019","East Germany","Female","34","0.125482093103404","0.0793406974759537","0.171623488730854"
"Min 1x per month","2019","West Germany","Male","27","","",""
"Min 1x per month","2019","West Germany","Female","31","0.0337705051170756","0.0234813156761179","0.0440596945580333"
"Min 1x per month","2019","East Germany","Male","5","","",""
"Min 1x per month","2019","East Germany","Female","2","","",""
"Rarely","2019","West Germany","Male","78","0.0407457161585301","0.0318771588200211","0.0496142734970391"
"Rarely","2019","West Germany","Female","76","0.076197086231936","0.0610847681551883","0.0913094043086836"
"Rarely","2019","East Germany","Male","14","","",""
"Rarely","2019","East Germany","Female","17","","",""
"Never","2019","West Germany","Male","101","0.0553746679877914","0.0451150665814367","0.0656342693941462"
"Never","2019","West Germany","Female","139","0.107660922476182","0.09000598254641","0.125315862405955"
"Never","2019","East Germany","Male","21","","",""
"Never","2019","East Germany","Female","37","0.198184284226537","0.142659435467925","0.253709132985148"
