"pli0165","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Rarely","2017","Urban Area","East Germany","10","","",""
"Rarely","2017","Rural Area","West Germany","80","0.0648871066450692","0.0507301643848486","0.0790440489052899"
"Rarely","2017","Rural Area","East Germany","16","","",""
"Never","2017","Urban Area","West Germany","553","0.157374154994251","0.145540992261183","0.16920731772732"
"Never","2017","Urban Area","East Germany","51","0.164275540454366","0.124054129647781","0.204496951260951"
"Never","2017","Rural Area","West Germany","181","0.147788387403556","0.127392053517097","0.168184721290015"
"Never","2017","Rural Area","East Germany","71","0.19018147412779","0.152286864149878","0.228076084105701"
"Daily","2018","Urban Area","West Germany","1691","0.657591460562414","0.639281449190188","0.67590147193464"
"Daily","2018","Urban Area","East Germany","178","0.646136546395045","0.589415167967052","0.702857924823038"
"Daily","2018","Rural Area","West Germany","491","0.691849237415092","0.658491503466788","0.725206971363396"
"Daily","2018","Rural Area","East Germany","149","0.550206398831324","0.492041043450366","0.608371754212283"
"Min 1x per week","2018","Urban Area","West Germany","404","0.166874214176078","0.152486621204404","0.181261807147752"
"Min 1x per week","2018","Urban Area","East Germany","44","0.196376934920346","0.149253362941881","0.24350050689881"
"Min 1x per week","2018","Rural Area","West Germany","128","0.147542381251756","0.121920915196466","0.173163847307047"
"Min 1x per week","2018","Rural Area","East Germany","52","0.199631256253526","0.152894963398215","0.246367549108837"
"Min 1x per month","2018","Urban Area","West Germany","84","0.0272749545122429","0.0209898094665535","0.0335600995579323"
"Min 1x per month","2018","Urban Area","East Germany","4","","",""
"Min 1x per month","2018","Rural Area","West Germany","17","","",""
"Min 1x per month","2018","Rural Area","East Germany","13","","",""
"Rarely","2018","Urban Area","West Germany","141","0.0561957033793043","0.047309202896193","0.0650822038624156"
"Rarely","2018","Urban Area","East Germany","13","","",""
"Rarely","2018","Rural Area","West Germany","26","","",""
"Rarely","2018","Rural Area","East Germany","9","","",""
"Never","2018","Urban Area","West Germany","260","0.0920636673699609","0.0809076271499544","0.103219707589967"
"Never","2018","Urban Area","East Germany","34","0.10006026077563","0.064464006736427","0.135656514814834"
"Never","2018","Rural Area","West Germany","74","0.0915140501935991","0.0706829513469538","0.112345149040244"
"Never","2018","Rural Area","East Germany","58","0.177102284396428","0.132466831990062","0.221737736802795"
"Daily","2019","Urban Area","West Germany","1609","0.705343864571499","0.686700435955962","0.723987293187036"
"Daily","2019","Urban Area","East Germany","131","0.701738100324316","0.637525951501849","0.765950249146783"
"Daily","2019","Rural Area","West Germany","511","0.700670568393002","0.667078972792097","0.734262163993908"
"Daily","2019","Rural Area","East Germany","146","0.647879834205441","0.586812798391363","0.70894687001952"
"Min 1x per week","2019","Urban Area","West Germany","341","0.149895230471071","0.13529708366103","0.164493377281112"
"Min 1x per week","2019","Urban Area","East Germany","27","","",""
"Min 1x per week","2019","Rural Area","West Germany","119","0.188856943902259","0.16014819999161","0.217565687812908"
"Min 1x per week","2019","Rural Area","East Germany","36","0.126076985867618","0.0836376423962208","0.168516329339016"
"Min 1x per month","2019","Urban Area","West Germany","37","0.0146511408540718","0.0097375575401404","0.0195647241680032"
"Min 1x per month","2019","Urban Area","East Germany","3","","",""
"Min 1x per month","2019","Rural Area","West Germany","19","","",""
"Min 1x per month","2019","Rural Area","East Germany","4","","",""
"Rarely","2019","Urban Area","West Germany","119","0.0534338855559418","0.0442367741310967","0.0626309969807869"
"Rarely","2019","Urban Area","East Germany","9","","",""
"Rarely","2019","Rural Area","West Germany","26","","",""
"Rarely","2019","Rural Area","East Germany","21","","",""
"Never","2019","Urban Area","West Germany","191","0.0766758785474159","0.0657947469041918","0.08755701019064"
"Never","2019","Urban Area","East Germany","25","","",""
"Never","2019","Rural Area","West Germany","39","0.0450978722378053","0.0298764076508896","0.0603193368247211"
"Never","2019","Rural Area","East Germany","28","","",""
