"pli0165","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2013","(0) in school","in school","368","0.860703862303165","0.828532866884561","0.89287485772177"
"Daily","2013","(0) in school","inadequately","","","",""
"Daily","2013","(0) in school","general elemantary","","","",""
"Daily","2013","(0) in school","middle vocational","1","","",""
"Daily","2013","(0) in school","vocational + Abi","","","",""
"Daily","2013","(0) in school","higher vocational","","","",""
"Daily","2013","(0) in school","higher education","","","",""
"Daily","2013","(1a) inadequately completed","in school","","","",""
"Daily","2013","(1a) inadequately completed","inadequately","72","0.162916660616772","0.119030181722678","0.206803139510866"
"Daily","2013","(1a) inadequately completed","general elemantary","","","",""
"Daily","2013","(1a) inadequately completed","middle vocational","24","","",""
"Daily","2013","(1a) inadequately completed","vocational + Abi","","","",""
"Daily","2013","(1a) inadequately completed","higher vocational","1","","",""
"Daily","2013","(1a) inadequately completed","higher education","","","",""
"Daily","2013","(1b) general elementary school","in school","","","",""
"Daily","2013","(1b) general elementary school","inadequately","27","","",""
"Daily","2013","(1b) general elementary school","general elemantary","448","0.164671390303401","0.147865986531618","0.181476794075183"
"Daily","2013","(1b) general elementary school","middle vocational","","","",""
"Daily","2013","(1b) general elementary school","vocational + Abi","","","",""
"Daily","2013","(1b) general elementary school","higher vocational","","","",""
"Daily","2013","(1b) general elementary school","higher education","","","",""
"Daily","2013","(1c) basic vocational qualification","in school","","","",""
"Daily","2013","(1c) basic vocational qualification","inadequately","","","",""
"Daily","2013","(1c) basic vocational qualification","general elemantary","","","",""
"Daily","2013","(1c) basic vocational qualification","middle vocational","974","0.147396233119017","0.137907647033182","0.156884819204852"
"Daily","2013","(1c) basic vocational qualification","vocational + Abi","","","",""
"Daily","2013","(1c) basic vocational qualification","higher vocational","56","0.0957596461064216","0.0678164228931994","0.123702869319644"
"Daily","2013","(1c) basic vocational qualification","higher education","","","",""
"Daily","2013","(2b) intermediate general qualification","in school","","","",""
"Daily","2013","(2b) intermediate general qualification","inadequately","","","",""
"Daily","2013","(2b) intermediate general qualification","general elemantary","394","0.489339848291095","0.452876985039608","0.525802711542581"
"Daily","2013","(2b) intermediate general qualification","middle vocational","","","",""
"Daily","2013","(2b) intermediate general qualification","vocational + Abi","","","",""
"Daily","2013","(2b) intermediate general qualification","higher vocational","","","",""
"Daily","2013","(2b) intermediate general qualification","higher education","","","",""
"Daily","2013","(2a) intermediate vocational","in school","","","",""
"Daily","2013","(2a) intermediate vocational","inadequately","","","",""
"Daily","2013","(2a) intermediate vocational","general elemantary","","","",""
"Daily","2013","(2a) intermediate vocational","middle vocational","1559","0.253832450544356","0.242553211706803","0.26511168938191"
"Daily","2013","(2a) intermediate vocational","vocational + Abi","","","",""
"Daily","2013","(2a) intermediate vocational","higher vocational","138","0.190948363566682","0.162762335448481","0.219134391684882"
"Daily","2013","(2a) intermediate vocational","higher education","","","",""
"Daily","2013","(2c_gen) general maturity certificate","in school","","","",""
"Daily","2013","(2c_gen) general maturity certificate","inadequately","","","",""
"Daily","2013","(2c_gen) general maturity certificate","general elemantary","","","",""
"Daily","2013","(2c_gen) general maturity certificate","middle vocational","599","0.608602168948005","0.578767069560935","0.638437268335075"
"Daily","2013","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Daily","2013","(2c_gen) general maturity certificate","higher vocational","","","",""
"Daily","2013","(2c_gen) general maturity certificate","higher education","","","",""
"Daily","2013","(2c_voc) vocational maturity certificate","in school","","","",""
"Daily","2013","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Daily","2013","(2c_voc) vocational maturity certificate","general elemantary","","","",""
