"pli0165","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2013","in school","368","0.860703862303165","0.828532866884561","0.89287485772177"
"Daily","2013","inadequately","99","0.204121784915873","0.160502438243446","0.247741131588299"
"Daily","2013","general elemantary","842","0.244686987583911","0.228140121461416","0.261233853706406"
"Daily","2013","middle vocational","3233","0.2329929505899","0.225544230527682","0.240441670652117"
"Daily","2013","vocational + Abi","557","0.32336895367202","0.301614322159163","0.345123585184876"
"Daily","2013","higher vocational","295","0.173673086733129","0.155498600902725","0.191847572563533"
"Daily","2013","higher education","1193","0.214409452026505","0.203860888572746","0.224958015480264"
"Min 1x per week","2013","in school","47","0.0894598698782411","0.0629424196620138","0.115977320094468"
"Min 1x per week","2013","inadequately","37","0.123252133544567","0.0876770645580135","0.158827202531121"
"Min 1x per week","2013","general elemantary","240","0.0670731855492681","0.0574449859017715","0.0767013851967647"
"Min 1x per week","2013","middle vocational","1381","0.10888225661129","0.103393718468341","0.11437079475424"
"Min 1x per week","2013","vocational + Abi","230","0.121680920665962","0.106476705316532","0.136885136015392"
"Min 1x per week","2013","higher vocational","202","0.117409231627207","0.101965553703251","0.132852909551164"
"Min 1x per week","2013","higher education","740","0.118476285787783","0.110170017647042","0.126782553928525"
"Min 1x per month","2013","in school","6","","",""
"Min 1x per month","2013","inadequately","6","","",""
"Min 1x per month","2013","general elemantary","43","0.0163116082050015","0.0114360539169539","0.0211871624930492"
"Min 1x per month","2013","middle vocational","348","0.0268342588397606","0.0239868567936429","0.0296816608858783"
"Min 1x per month","2013","vocational + Abi","53","0.0320335242430689","0.0238439913971662","0.0402230570889715"
"Min 1x per month","2013","higher vocational","52","0.0296073777076785","0.0214754475917942","0.0377393078235628"
"Min 1x per month","2013","higher education","204","0.0382706826759491","0.033339708094994","0.0432016572569041"
"Rarely","2013","in school","8","","",""
"Rarely","2013","inadequately","14","","",""
"Rarely","2013","general elemantary","140","0.0430214035432298","0.0352115977869834","0.0508312092994763"
"Rarely","2013","middle vocational","928","0.0740093342568764","0.0693966137810473","0.0786220547327055"
"Rarely","2013","vocational + Abi","140","0.0822792607030321","0.0694993719357231","0.0950591494703412"
"Rarely","2013","higher vocational","162","0.100223923716322","0.0858169473373592","0.114630900095284"
"Rarely","2013","higher education","587","0.088132150804375","0.0808458622269783","0.0954184393817716"
"Never","2013","in school","16","","",""
"Never","2013","inadequately","172","0.631558038348043","0.579354210879215","0.683761865816871"
"Never","2013","general elemantary","1328","0.62890681511859","0.610312444951241","0.647501185285939"
"Never","2013","middle vocational","6483","0.557281199702173","0.548529109942546","0.5660332894618"
"Never","2013","vocational + Abi","796","0.440637340715918","0.417547869089465","0.46372681234237"
"Never","2013","higher vocational","958","0.579086380215664","0.555400578603299","0.602772181828028"
"Never","2013","higher education","3091","0.540711428705388","0.527902912401199","0.553519945009576"
"Daily","2014","in school","","","",""
"Daily","2014","inadequately","","","",""
"Daily","2014","general elemantary","","","",""
"Daily","2014","middle vocational","","","",""
"Daily","2014","vocational + Abi","","","",""
"Daily","2014","higher vocational","","","",""
"Daily","2014","higher education","","","",""
"Min 1x per week","2014","in school","","","",""
"Min 1x per week","2014","inadequately","","","",""
"Min 1x per week","2014","general elemantary","","","",""
"Min 1x per week","2014","middle vocational","","","",""
"Min 1x per week","2014","vocational + Abi","","","",""
"Min 1x per week","2014","higher vocational","","","",""
"Min 1x per week","2014","higher education","","","",""
"Min 1x per month","2014","in school","","","",""
"Min 1x per month","2014","inadequately","","","",""
"Min 1x per month","2014","general elemantary","","","",""
"Min 1x per month","2014","middle vocational","","","",""
"Min 1x per month","2014","vocational + Abi","","","",""
"Min 1x per month","2014","higher vocational","","","",""
"Min 1x per month","2014","higher education","","","",""
"Rarely","2014","in school","","","",""
"Rarely","2014","inadequately","","","",""
"Rarely","2014","general elemantary","","","",""
"Rarely","2014","middle vocational","","","",""
"Rarely","2014","vocational + Abi","","","",""
"Rarely","2014","higher vocational","","","",""
"Rarely","2014","higher education","","","",""
"Never","2014","in school","","","",""
"Never","2014","inadequately","","","",""
"Never","2014","general elemantary","","","",""
"Never","2014","middle vocational","","","",""
"Never","2014","vocational + Abi","","","",""
"Never","2014","higher vocational","","","",""
"Never","2014","higher education","","","",""
"Daily","2015","in school","","","",""
"Daily","2015","inadequately","","","",""
"Daily","2015","general elemantary","","","",""
"Daily","2015","middle vocational","","","",""
"Daily","2015","vocational + Abi","","","",""
"Daily","2015","higher vocational","","","",""
"Daily","2015","higher education","","","",""
"Min 1x per week","2015","in school","","","",""
"Min 1x per week","2015","inadequately","","","",""
"Min 1x per week","2015","general elemantary","","","",""
"Min 1x per week","2015","middle vocational","","","",""
"Min 1x per week","2015","vocational + Abi","","","",""
"Min 1x per week","2015","higher vocational","","","",""
"Min 1x per week","2015","higher education","","","",""
"Min 1x per month","2015","in school","","","",""
"Min 1x per month","2015","inadequately","","","",""
"Min 1x per month","2015","general elemantary","","","",""
"Min 1x per month","2015","middle vocational","","","",""
"Min 1x per month","2015","vocational + Abi","","","",""
"Min 1x per month","2015","higher vocational","","","",""
"Min 1x per month","2015","higher education","","","",""
"Rarely","2015","in school","","","",""
"Rarely","2015","inadequately","","","",""
"Rarely","2015","general elemantary","","","",""
"Rarely","2015","middle vocational","","","",""
"Rarely","2015","vocational + Abi","","","",""
"Rarely","2015","higher vocational","","","",""
"Rarely","2015","higher education","","","",""
"Never","2015","in school","","","",""
"Never","2015","inadequately","","","",""
"Never","2015","general elemantary","","","",""
"Never","2015","middle vocational","","","",""
"Never","2015","vocational + Abi","","","",""
"Never","2015","higher vocational","","","",""
"Never","2015","higher education","","","",""
"Daily","2016","in school","","","",""
"Daily","2016","inadequately","","","",""
"Daily","2016","general elemantary","","","",""
"Daily","2016","middle vocational","","","",""
"Daily","2016","vocational + Abi","","","",""
"Daily","2016","higher vocational","","","",""
"Daily","2016","higher education","","","",""
"Min 1x per week","2016","in school","","","",""
"Min 1x per week","2016","inadequately","","","",""
"Min 1x per week","2016","general elemantary","","","",""
"Min 1x per week","2016","middle vocational","","","",""
"Min 1x per week","2016","vocational + Abi","","","",""
"Min 1x per week","2016","higher vocational","","","",""
"Min 1x per week","2016","higher education","","","",""
"Min 1x per month","2016","in school","","","",""
"Min 1x per month","2016","inadequately","","","",""
"Min 1x per month","2016","general elemantary","","","",""
"Min 1x per month","2016","middle vocational","","","",""
"Min 1x per month","2016","vocational + Abi","","","",""
"Min 1x per month","2016","higher vocational","","","",""
"Min 1x per month","2016","higher education","","","",""
"Rarely","2016","in school","","","",""
"Rarely","2016","inadequately","","","",""
