"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","4.06","4","9451","2","4","5","5","5","4.04","4.08","1","5","4","5"
"1991","","","","","","","","","","","","","",""
"1992","","","","","","","","","","","","","",""
"1993","","","","","","","","","","","","","",""
"1994","","","","","","","","","","","","","",""
"1995","4.14","5","13285","2","4","5","5","5","4.12","4.16","1","5","5","5"
"1996","","","","","","","","","","","","","",""
"1997","","","","","","","","","","","","","",""
"1998","4.2","5","14203","2","4","5","5","5","4.18","4.22","1","5","5","5"
"1999","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","",""
"2001","4.39","5","21816","3","4","5","5","5","4.38","4.4","2","5","5","5"
"2002","","","","","","","","","","","","","",""
"2003","4.22","5","22139","2","4","5","5","5","4.21","4.23","1","5","5","5"
"2004","","","","","","","","","","","","","",""
"2005","4.32","5","20622","3","4","5","5","5","4.31","4.33","2","5","5","5"
"2006","","","","","","","","","","","","","",""
"2007","4.32","5","20430","3","4","5","5","5","4.31","4.33","2","5","5","5"
"2008","4.16","5","19345","2","4","5","5","5","4.14","4.18","1","5","5","5"
"2009","4.26","5","17958","2","4","5","5","5","4.25","4.27","2","5","5","5"
"2010","","","","","","","","","","","","","",""
"2011","4.27","5","28343","2","4","5","5","5","4.26","4.28","2","5","5","5"
"2012","","","","","","","","","","","","","",""
"2013","4.02","4","25522","2","3","5","5","5","4.01","4.03","1","5","4","4"
"2014","","","","","","","","","","","","","",""
"2015","4.25","5","26855","2","4","5","5","5","4.24","4.26","2","5","5","5"
"2016","","","","","","","","","","","","","",""
"2017","4.19","5","32162","2","4","5","5","5","4.18","4.2","1","5","5","5"
"2018","4.33","5","3857","2","4","5","5","5","4.3","4.36","1","5","5","5"
"2019","4.02","5","29363","2","3","5","5","5","4.01","4.03","1","5","5","5"
