"year","e11102","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1996","Employed","inadequately","","","","","","","","","","","","","",""
"1996","Employed","middle vocational","","","","","","","","","","","","","",""
"1996","Employed","vocational + Abi","","","","","","","","","","","","","",""
"1996","Not Employed","general elemantary","","","","","","","","","","","","","",""
"1996","Not Employed","higher education","","","","","","","","","","","","","",""
"1996","Not Employed","higher vocational","","","","","","","","","","","","","",""
"1996","Not Employed","in school","","","","","","","","","","","","","",""
"1996","Not Employed","inadequately","","","","","","","","","","","","","",""
"1996","Not Employed","middle vocational","","","","","","","","","","","","","",""
"1996","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"1997","Employed","general elemantary","","","","","","","","","","","","","",""
"1997","Employed","higher education","","","","","","","","","","","","","",""
"1997","Employed","higher vocational","","","","","","","","","","","","","",""
"1997","Employed","in school","","","","","","","","","","","","","",""
"1997","Employed","inadequately","","","","","","","","","","","","","",""
"1997","Employed","middle vocational","","","","","","","","","","","","","",""
"1997","Employed","vocational + Abi","","","","","","","","","","","","","",""
"1997","Not Employed","general elemantary","","","","","","","","","","","","","",""
"1997","Not Employed","higher education","","","","","","","","","","","","","",""
"1997","Not Employed","higher vocational","","","","","","","","","","","","","",""
"1997","Not Employed","in school","","","","","","","","","","","","","",""
"1997","Not Employed","inadequately","","","","","","","","","","","","","",""
"1997","Not Employed","middle vocational","","","","","","","","","","","","","",""
"1997","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"1998","Employed","general elemantary","4.33","5","1190","3","4","5","5","5","4.28","4.38","1","5","5","5"
"1998","Employed","higher education","3.78","4","1540","2","3","5","5","5","3.72","3.84","1","5","4","4"
"1998","Employed","higher vocational","4.08","4","618","2","4","5","5","5","4","4.16","1","5","4","4"
"1998","Employed","in school","","","","","","","","","","","","","",""
"1998","Employed","inadequately","4.72","5","210","4","5","5","5","5","4.63","4.81","1","5","5","5"
"1998","Employed","middle vocational","4.21","4","4522","3","4","5","5","5","4.18","4.24","1","5","5","5"
"1998","Employed","vocational + Abi","3.97","4","384","2","4","5","5","5","3.86","4.08","1","5","4","4"
"1998","Not Employed","general elemantary","4.52","5","1341","3","4","5","5","5","4.47","4.57","1","5","5","5"
"1998","Not Employed","higher education","3.84","4","425","2","3","5","5","5","3.73","3.95","1","5","4","4"
"1998","Not Employed","higher vocational","4.09","4","203","2","4","5","5","5","3.94","4.24","1","5","4","5"
"1998","Not Employed","in school","3.41","4","314","1","2","5","5","5","3.26","3.56","1","5","4","4"
"1998","Not Employed","inadequately","4.81","5","236","5","5","5","5","5","4.74","4.88","2","5","5","5"
"1998","Not Employed","middle vocational","4.34","5","2485","3","4","5","5","5","4.3","4.38","1","5","5","5"
"1998","Not Employed","vocational + Abi","3.9","4","124","2","3","5","5","5","3.68","4.12","1","5","4","5"
"1999","Employed","general elemantary","","","","","","","","","","","","","",""
"1999","Employed","higher education","","","","","","","","","","","","","",""
"1999","Employed","higher vocational","","","","","","","","","","","","","",""
"1999","Employed","in school","","","","","","","","","","","","","",""
"1999","Employed","inadequately","","","","","","","","","","","","","",""
"1999","Employed","middle vocational","","","","","","","","","","","","","",""
"1999","Employed","vocational + Abi","","","","","","","","","","","","","",""
"1999","Not Employed","general elemantary","","","","","","","","","","","","","",""
"1999","Not Employed","higher education","","","","","","","","","","","","","",""
