"year","hgtyp1hh","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","(Married) couple without C.","Rural Area","4.14","5","458","2","4","5","5","5","4.04","4.24","1","5","4","5"
"1990","(Married) couple without C.","Urban Area","4.14","4","1843","2","4","5","5","5","4.09","4.19","1","5","4","5"
"1990","1-pers.-HH","Rural Area","4.29","5","178","3","4","5","5","5","4.13","4.45","1","5","5","5"
"1990","1-pers.-HH","Urban Area","4.11","5","856","2","3","5","5","5","4.03","4.19","1","5","4","5"
"1990","Couple + C. GT 16 ","Rural Area","4.01","4","451","2","3","5","5","5","3.91","4.11","1","5","4","4"
"1990","Couple + C. GT 16 ","Urban Area","3.92","4","1599","2","3","5","5","5","3.86","3.98","1","5","4","5"
"1990","Couple + C. LE 16","Rural Area","4.04","4","422","2","4","5","5","5","3.95","4.13","1","5","4","4"
"1990","Couple + C. LE 16","Urban Area","3.99","4","1657","2","3","5","5","5","3.94","4.04","1","5","4","5"
"1990","Couple + C. LE and GT 16","Rural Area","3.98","4","154","2","3","5","5","5","3.81","4.15","1","5","4","5"
"1990","Couple + C. LE and GT 16","Urban Area","3.92","4","724","2","3","5","5","5","3.84","4","1","5","5","5"
"1990","Single parent","Rural Area","4.05","4","91","2","4","5","5","5","3.84","4.26","1","5","4","5"
"1990","Single parent","Urban Area","4","4","369","2","3","5","5","5","3.87","4.13","1","5","4","5"
"1991","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"1991","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"1991","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1991","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"1991","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"1991","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"1991","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"1991","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"1991","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"1991","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"1991","Single parent","Rural Area","","","","","","","","","","","","","",""
"1991","Single parent","Urban Area","","","","","","","","","","","","","",""
"1992","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"1992","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"1992","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1992","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"1992","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"1992","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"1992","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"1992","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"1992","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"1992","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"1992","Single parent","Rural Area","","","","","","","","","","","","","",""
"1992","Single parent","Urban Area","","","","","","","","","","","","","",""
"1993","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"1993","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"1993","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1993","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"1993","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"1993","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"1993","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"1993","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"1993","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"1993","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"1993","Single parent","Rural Area","","","","","","","","","","","","","",""
"1993","Single parent","Urban Area","","","","","","","","","","","","","",""
"1994","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"1994","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"1994","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1994","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"1994","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"1994","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"1994","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"1994","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"1994","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"1994","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"1994","Single parent","Rural Area","","","","","","","","","","","","","",""
"1994","Single parent","Urban Area","","","","","","","","","","","","","",""
"1995","(Married) couple without C.","Rural Area","4.22","5","1094","3","4","5","5","5","4.16","4.28","1","5","5","5"
"1995","(Married) couple without C.","Urban Area","4.15","5","2411","2","4","5","5","5","4.11","4.19","1","5","5","5"
"1995","1-pers.-HH","Rural Area","4.31","5","395","2","4","5","5","5","4.21","4.41","1","5","5","5"
"1995","1-pers.-HH","Urban Area","4.19","5","1051","2","4","5","5","5","4.12","4.26","1","5","5","5"
"1995","Couple + C. GT 16 ","Rural Area","4.05","4","910","2","4","5","5","5","3.98","4.12","1","5","4","4"
"1995","Couple + C. GT 16 ","Urban Area","4.05","4","1580","2","4","5","5","5","3.99","4.11","1","5","5","5"
"1995","Couple + C. LE 16","Rural Area","4.2","4","1101","3","4","5","5","5","4.15","4.25","1","5","4","5"
"1995","Couple + C. LE 16","Urban Area","4.08","4","2041","2","4","5","5","5","4.03","4.13","1","5","4","5"
"1995","Couple + C. LE and GT 16","Rural Area","3.98","4","450","2","4","5","5","5","3.88","4.08","1","5","4","4"
"1995","Couple + C. LE and GT 16","Urban Area","3.96","4","793","2","3","5","5","5","3.88","4.04","1","5","4","5"
"1995","Single parent","Rural Area","4.16","5","192","2","4","5","5","5","4","4.32","1","5","4","5"
"1995","Single parent","Urban Area","4.08","4","419","2","4","5","5","5","3.97","4.19","1","5","4","5"
"1996","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"1996","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"1996","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1996","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"1996","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"1996","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"1996","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"1996","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"1996","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"1996","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"1996","Single parent","Rural Area","","","","","","","","","","","","","",""
"1996","Single parent","Urban Area","","","","","","","","","","","","","",""
"1997","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"1997","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"1997","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1997","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"1997","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"1997","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"1997","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"1997","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"1997","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"1997","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"1997","Single parent","Rural Area","","","","","","","","","","","","","",""
"1997","Single parent","Urban Area","","","","","","","","","","","","","",""
"1998","(Married) couple without C.","Rural Area","4.29","5","1365","3","4","5","5","5","4.24","4.34","1","5","5","5"
"1998","(Married) couple without C.","Urban Area","4.23","5","2768","3","4","5","5","5","4.19","4.27","1","5","5","5"
"1998","1-pers.-HH","Rural Area","4.4","5","485","3","4","5","5","5","4.31","4.49","1","5","5","5"
"1998","1-pers.-HH","Urban Area","4.19","5","1260","2","4","5","5","5","4.12","4.26","1","5","5","5"
"1998","Couple + C. GT 16 ","Rural Area","4.18","4.69","940","2","4","5","5","5","4.12","4.24","1","5","4","5"
"1998","Couple + C. GT 16 ","Urban Area","4.13","5","1612","2","4","5","5","5","4.08","4.18","1","5","5","5"
"1998","Couple + C. LE 16","Rural Area","4.26","5","1069","3","4","5","5","5","4.2","4.32","1","5","4","5"
"1998","Couple + C. LE 16","Urban Area","4.18","4","2027","2","4","5","5","5","4.14","4.22","1","5","5","5"
"1998","Couple + C. LE and GT 16","Rural Area","4.04","4","519","2","4","5","5","5","3.95","4.13","1","5","4","5"
"1998","Couple + C. LE and GT 16","Urban Area","3.95","4","732","2","3","5","5","5","3.87","4.03","1","5","4","5"
"1998","Single parent","Rural Area","3.97","4","228","2","3","5","5","5","3.82","4.12","1","5","4","5"
"1998","Single parent","Urban Area","4.17","5","481","2","4","5","5","5","4.07","4.27","1","5","5","5"
"1999","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"1999","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"1999","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"1999","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"1999","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"1999","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"1999","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"1999","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"1999","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"1999","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"1999","Single parent","Rural Area","","","","","","","","","","","","","",""
"1999","Single parent","Urban Area","","","","","","","","","","","","","",""
"2000","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"2000","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"2000","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"2000","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"2000","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"2000","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"2000","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"2000","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"2000","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"2000","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"2000","Single parent","Rural Area","","","","","","","","","","","","","",""
"2000","Single parent","Urban Area","","","","","","","","","","","","","",""
"2001","(Married) couple without C.","Rural Area","4.52","5","2282","3","4","5","5","5","4.49","4.55","2","5","5","5"
"2001","(Married) couple without C.","Urban Area","4.38","5","4550","3","4","5","5","5","4.35","4.41","2","5","5","5"
"2001","1-pers.-HH","Rural Area","4.51","5","852","3","4","5","5","5","4.45","4.57","2","5","5","5"
