"year","regtyp","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","Rural Area","East Germany","","","","","","","","","","","","","",""
"1990","Rural Area","West Germany","4.1","4","1906","2","4","5","5","5","4.05","4.15","1","5","4","4"
"1990","Urban Area","East Germany","","","","","","","","","","","","","",""
"1990","Urban Area","West Germany","4.05","4","7545","2","3","5","5","5","4.03","4.07","1","5","4","5"
"1991","Rural Area","East Germany","","","","","","","","","","","","","",""
"1991","Rural Area","West Germany","","","","","","","","","","","","","",""
"1991","Urban Area","East Germany","","","","","","","","","","","","","",""
"1991","Urban Area","West Germany","","","","","","","","","","","","","",""
"1992","Rural Area","East Germany","","","","","","","","","","","","","",""
"1992","Rural Area","West Germany","","","","","","","","","","","","","",""
"1992","Urban Area","East Germany","","","","","","","","","","","","","",""
"1992","Urban Area","West Germany","","","","","","","","","","","","","",""
"1993","Rural Area","East Germany","","","","","","","","","","","","","",""
"1993","Rural Area","West Germany","","","","","","","","","","","","","",""
"1993","Urban Area","East Germany","","","","","","","","","","","","","",""
"1993","Urban Area","West Germany","","","","","","","","","","","","","",""
"1994","Rural Area","East Germany","","","","","","","","","","","","","",""
"1994","Rural Area","West Germany","","","","","","","","","","","","","",""
"1994","Urban Area","East Germany","","","","","","","","","","","","","",""
"1994","Urban Area","West Germany","","","","","","","","","","","","","",""
"1995","Rural Area","East Germany","4.38","5","2412","3","4","5","5","5","4.34","4.42","1","5","5","5"
"1995","Rural Area","West Germany","4.07","4","2040","2","4","5","5","5","4.02","4.12","1","5","4","5"
"1995","Urban Area","East Germany","4.22","5","1267","3","4","5","5","5","4.16","4.28","1","5","4","5"
"1995","Urban Area","West Germany","4.11","4","7566","2","4","5","5","5","4.09","4.13","1","5","5","5"
"1996","Rural Area","East Germany","","","","","","","","","","","","","",""
"1996","Rural Area","West Germany","","","","","","","","","","","","","",""
"1996","Urban Area","East Germany","","","","","","","","","","","","","",""
"1996","Urban Area","West Germany","","","","","","","","","","","","","",""
"1997","Rural Area","East Germany","","","","","","","","","","","","","",""
"1997","Rural Area","West Germany","","","","","","","","","","","","","",""
"1997","Urban Area","East Germany","","","","","","","","","","","","","",""
"1997","Urban Area","West Germany","","","","","","","","","","","","","",""
"1998","Rural Area","East Germany","4.4","5","2554","3","4","5","5","5","4.36","4.44","1","5","5","5"
"1998","Rural Area","West Germany","4.16","5","2304","2","4","5","5","5","4.12","4.2","1","5","4","5"
"1998","Urban Area","East Germany","4.22","5","1306","3","4","5","5","5","4.16","4.28","1","5","4","5"
