"year","bula_h","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Baden-W?rttemberg","general elemantary","2.69","2","394","1","1","4","5","6","2.54","2.84","1","7","2","3"
"2005","Baden-W?rttemberg","higher education","3","3","444","1","2","4","5","7","2.86","3.14","1","7","2","3"
"2005","Baden-W?rttemberg","higher vocational","3.12","3","192","1","2","4","5","6","2.9","3.34","1","7","2","3"
"2005","Baden-W?rttemberg","in school","3.43","4","102","1","2","5","5","7","3.11","3.75","1","7","2","4"
"2005","Baden-W?rttemberg","inadequately","3.25","4","48","1","1","5","5","6","2.79","3.71","1","6","1","3"
"2005","Baden-W?rttemberg","middle vocational","2.91","3","1152","1","2","4","5","7","2.82","3","1","7","3","3"
"2005","Baden-W?rttemberg","vocational + Abi","2.78","2","146","1","1","4","5","7","2.54","3.02","1","7","2","3"
"2005","Bavaria","general elemantary","2.77","2","339","1","1","4","6","7","2.59","2.95","1","7","2","3"
"2005","Bavaria","higher education","2.75","2","558","1","2","4","5","7","2.62","2.88","1","7","2","2"
"2005","Bavaria","higher vocational","2.99","3","222","1","1","4","6","7","2.76","3.22","1","7","2","3"
"2005","Bavaria","in school","3.12","2","84","1","2","4","7","7","2.72","3.52","1","7","2","3"
"2005","Bavaria","inadequately","","","","","","","","","","","","","",""
"2005","Bavaria","middle vocational","2.8","2","1497","1","1","4","5","7","2.72","2.88","1","7","2","3"
"2005","Bavaria","vocational + Abi","2.82","3","137","1","1","4","5","7","2.54","3.1","1","7","2","3"
"2005","Berlin","general elemantary","2.98","2.7","64","1","2","4","6","7","2.54","3.42","1","7","2","3"
"2005","Berlin","higher education","2.79","2","236","1","2","4","5","7","2.58","3","1","7","2","3"
"2005","Berlin","higher vocational","3.29","3","55","1","2","4","5","7","2.82","3.76","1","7","2","3"
"2005","Berlin","in school","","","","","","","","","","","","","",""
"2005","Berlin","inadequately","","","","","","","","","","","","","",""
"2005","Berlin","middle vocational","2.99","2","312","1","2","4","6","7","2.79","3.19","1","7","2","3"
"2005","Berlin","vocational + Abi","2.31","2","38","1","1","3","5","6","1.76","2.86","1","6","1","3"
"2005","Brandenburg","general elemantary","3.26","3","56","1","1","5","6","7","2.77","3.75","1","7","2","4"
"2005","Brandenburg","higher education","2.92","3","250","1","2","4","5","6","2.72","3.12","1","7","2","3"
"2005","Brandenburg","higher vocational","3.08","3","72","1","2","4","5","6","2.72","3.44","1","6","3","4"
"2005","Brandenburg","in school","","","","","","","","","","","","","",""
"2005","Brandenburg","inadequately","","","","","","","","","","","","","",""
"2005","Brandenburg","middle vocational","2.84","2","434","1","1","4","5","7","2.68","3","1","7","2","3"
"2005","Brandenburg","vocational + Abi","2.97","2","31","1","1","4","7","7","2.32","3.62","1","7","2","4"
"2005","Bremen","general elemantary","","","","","","","","","","","","","",""
"2005","Bremen","higher education","2.51","2","32","1","1","4","5","7","1.9","3.12","1","7","2","3"
"2005","Bremen","higher vocational","","","","","","","","","","","","","",""
"2005","Bremen","in school","","","","","","","","","","","","","",""
"2005","Bremen","inadequately","","","","","","","","","","","","","",""
"2005","Bremen","middle vocational","3.02","2","71","1","1","5","6","7","2.61","3.43","1","7","2","3"
"2005","Bremen","vocational + Abi","","","","","","","","","","","","","",""
"2005","Hamburg","general elemantary","","","","","","","","","","","","","",""
"2005","Hamburg","higher education","3.15","2.53","72","1","2","5","6","7","2.74","3.56","1","7","2","3"
"2005","Hamburg","higher vocational","","","","","","","","","","","","","",""
"2005","Hamburg","in school","","","","","","","","","","","","","",""
"2005","Hamburg","inadequately","","","","","","","","","","","","","",""
"2005","Hamburg","middle vocational","2.8","2","131","1","1","4","5","7","2.51","3.09","1","7","2","3"
"2005","Hamburg","vocational + Abi","","","","","","","","","","","","","",""
"2005","Hesse","general elemantary","2.82","2","160","1","1","4","5","7","2.55","3.09","1","7","2","3"
