"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","2.91","3","20682","1","1","4","5","7","2.89","2.93","1","7","3","3"
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","","","","","","","","","","","","","",""
"2009","3.09","3","17991","1","2","4","5","7","3.07","3.11","1","7","3","3"
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","3.12","3","7124","1","2","5","6","7","3.08","3.16","1","7","3","3"
"2013","3.07","3","18842","1","2","4","5","7","3.05","3.09","1","7","3","3"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","3.13","3","29264","1","2","5","6","7","3.11","3.15","1","7","3","3"
"2018","","","","","","","","","","","","","",""
"2019","2.97","3","25749","1","2","4","5","7","2.95","2.99","1","7","3","3"
