"year","hgtyp1hh","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","(Married) couple without C.","Rural Area","2.85","3","2257","1","1","4","5","7","2.78","2.92","1","7","2","3"
"2005","(Married) couple without C.","Urban Area","2.81","3","4742","1","1","4","5","7","2.76","2.86","1","7","2","3"
"2005","1-pers.-HH","Rural Area","2.79","2","877","1","1","4","5","7","2.68","2.9","1","7","2","3"
"2005","1-pers.-HH","Urban Area","2.61","2","2074","1","1","4","5","7","2.54","2.68","1","7","2","2"
"2005","Couple + C. GT 16 ","Rural Area","3","3","1352","1","2","4","5","7","2.92","3.08","1","7","3","3"
"2005","Couple + C. GT 16 ","Urban Area","3.11","3","2286","1","2","4","6","7","3.04","3.18","1","7","3","3"
"2005","Couple + C. LE 16","Rural Area","2.97","3","1158","1","2","4","5","7","2.88","3.06","1","7","3","3"
"2005","Couple + C. LE 16","Urban Area","2.98","3","2538","1","2","4","5","7","2.92","3.04","1","7","3","3"
"2005","Couple + C. LE and GT 16","Rural Area","2.93","3","589","1","1","4","5","7","2.8","3.06","1","7","2","3"
"2005","Couple + C. LE and GT 16","Urban Area","3.07","3","1109","1","2","4","6","7","2.97","3.17","1","7","3","3"
"2005","Single parent","Rural Area","3.04","3","389","1","2","4","6","7","2.87","3.21","1","7","2","3"
"2005","Single parent","Urban Area","2.98","3","708","1","2","4","5","7","2.85","3.11","1","7","2","3"
"2006","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"2006","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"2006","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"2006","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"2006","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"2006","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"2006","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"2006","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"2006","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"2006","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"2006","Single parent","Rural Area","","","","","","","","","","","","","",""
"2006","Single parent","Urban Area","","","","","","","","","","","","","",""
"2007","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"2007","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"2007","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"2007","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"2007","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"2007","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"2007","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"2007","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"2007","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"2007","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"2007","Single parent","Rural Area","","","","","","","","","","","","","",""
"2007","Single parent","Urban Area","","","","","","","","","","","","","",""
"2008","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"2008","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"2008","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"2008","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"2008","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"2008","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"2008","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"2008","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"2008","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"2008","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"2008","Single parent","Rural Area","","","","","","","","","","","","","",""
"2008","Single parent","Urban Area","","","","","","","","","","","","","",""
"2009","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"2009","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"2009","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"2009","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"2009","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"2009","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"2009","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"2009","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"2009","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"2009","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"2009","Single parent","Rural Area","","","","","","","","","","","","","",""
"2009","Single parent","Urban Area","","","","","","","","","","","","","",""
"2010","(Married) couple without C.","Rural Area","2.99","3","2116","1","2","4","5","7","2.92","3.06","1","7","3","3"
"2010","(Married) couple without C.","Urban Area","2.81","3","4189","1","2","4","5","7","2.76","2.86","1","7","2","3"
"2010","1-pers.-HH","Rural Area","2.87","3","844","1","1","4","5","7","2.76","2.98","1","7","2","3"
"2010","1-pers.-HH","Urban Area","2.63","2","1889","1","1","4","5","7","2.56","2.7","1","7","2","2"
"2010","Couple + C. GT 16 ","Rural Area","3.28","3","1057","1","2","4","6","7","3.18","3.38","1","7","3","3"
"2010","Couple + C. GT 16 ","Urban Area","3.21","3","1760","1","2","4","6","7","3.13","3.29","1","7","3","3"
"2010","Couple + C. LE 16","Rural Area","3.07","3","857","1","2","4","5","7","2.96","3.18","1","7","3","3"
"2010","Couple + C. LE 16","Urban Area","2.99","3","1683","1","2","4","5","7","2.92","3.06","1","7","2","3"
"2010","Couple + C. LE and GT 16","Rural Area","2.97","3","335","1","2","4","5","6","2.81","3.13","1","7","2","3"
"2010","Couple + C. LE and GT 16","Urban Area","2.86","3","710","1","2","4","5","7","2.75","2.97","1","7","2","3"
"2010","Single parent","Rural Area","3","3","306","1","2","4","5","7","2.81","3.19","1","7","2","3"
"2010","Single parent","Urban Area","2.98","3","581","1","2","4","5","7","2.85","3.11","1","7","2","3"
"2011","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"2011","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"2011","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"2011","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"2011","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"2011","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"2011","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"2011","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"2011","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"2011","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"2011","Single parent","Rural Area","","","","","","","","","","","","","",""
"2011","Single parent","Urban Area","","","","","","","","","","","","","",""
"2012","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"2012","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"2012","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"2012","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"2012","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"2012","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"2012","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"2012","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"2012","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"2012","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"2012","Single parent","Rural Area","","","","","","","","","","","","","",""
"2012","Single parent","Urban Area","","","","","","","","","","","","","",""
"2013","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"2013","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"2013","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"2013","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"2013","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"2013","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"2013","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"2013","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"2013","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"2013","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"2013","Single parent","Rural Area","","","","","","","","","","","","","",""
"2013","Single parent","Urban Area","","","","","","","","","","","","","",""
"2014","(Married) couple without C.","Rural Area","","","","","","","","","","","","","",""
"2014","(Married) couple without C.","Urban Area","","","","","","","","","","","","","",""
"2014","1-pers.-HH","Rural Area","","","","","","","","","","","","","",""
"2014","1-pers.-HH","Urban Area","","","","","","","","","","","","","",""
"2014","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"2014","Couple + C. GT 16 ","Urban Area","","","","","","","","","","","","","",""
"2014","Couple + C. LE 16","Rural Area","","","","","","","","","","","","","",""
"2014","Couple + C. LE 16","Urban Area","","","","","","","","","","","","","",""
"2014","Couple + C. LE and GT 16","Rural Area","","","","","","","","","","","","","",""
"2014","Couple + C. LE and GT 16","Urban Area","","","","","","","","","","","","","",""
"2014","Single parent","Rural Area","","","","","","","","","","","","","",""
"2014","Single parent","Urban Area","","","","","","","","","","","","","",""
"2015","(Married) couple without C.","Rural Area","2.66","2","2856","1","1","4","5","7","2.6","2.72","1","7","2","2"
"2015","(Married) couple without C.","Urban Area","2.53","2","5059","1","1","3","5","7","2.49","2.57","1","7","2","2"
"2015","1-pers.-HH","Rural Area","2.53","2","1171","1","1","3","5","7","2.44","2.62","1","7","2","2"
"2015","1-pers.-HH","Urban Area","2.38","2","2550","1","1","3","5","7","2.32","2.44","1","7","2","2"
"2015","Couple + C. GT 16 ","Rural Area","2.72","2","981","1","2","4","5","7","2.62","2.82","1","7","2","2"
"2015","Couple + C. GT 16 ","Urban Area","2.61","2","1967","1","1","4","5","7","2.54","2.68","1","7","2","2"
"2015","Couple + C. LE 16","Rural Area","2.56","2","2274","1","1","3","5","7","2.5","2.62","1","7","2","2"
"2015","Couple + C. LE 16","Urban Area","2.43","2","4428","1","1","3","4","7","2.39","2.47","1","7","2","2"
"2015","Couple + C. LE and GT 16","Rural Area","2.62","2","779","1","2","3","5","7","2.51","2.73","1","7","2","2"
"2015","Couple + C. LE and GT 16","Urban Area","2.55","2","1445","1","1","3","5","7","2.47","2.63","1","7","2","2"
"2015","Single parent","Rural Area","2.51","2","803","1","1","4","5","7","2.4","2.62","1","7","2","2"
"2015","Single parent","Urban Area","2.38","2","1583","1","1","3","5","7","2.31","2.45","1","7","2","2"
"2016","(Married) couple without C.","Rural Area","1.93","1.02","53","1","1","2","4","6","1.5","2.36","1","7","1","1"
"2016","(Married) couple without C.","Urban Area","2.55","1","116","1","1","4","7","7","2.27","2.83","1","7","1","1"
"2016","1-pers.-HH","Rural Area","1.59","1","336","1","1","2","3","7","1.46","1.72","1","7","1","1"
"2016","1-pers.-HH","Urban Area","1.63","1","595","1","1","2","4","7","1.52","1.74","1","7","1","1"
"2016","Couple + C. GT 16 ","Rural Area","","","","","","","","","","","","","",""
"2016","Couple + C. GT 16 ","Urban Area","1.42","1","59","1","1","2","2","3","1.21","1.63","1","5","1","1"
"2016","Couple + C. LE 16","Rural Area","1.72","1","550","1","1","2","4","7","1.6","1.84","1","7","1","1"
"2016","Couple + C. LE 16","Urban Area","2.01","1","1299","1","1","3","4","7","1.94","2.08","1","7","1","1"
"2016","Couple + C. LE and GT 16","Rural Area","1.59","1","114","1","1","1","5","6","1.33","1.85","1","7","1","1"
"2016","Couple + C. LE and GT 16","Urban Area","2.27","1","296","1","1","4","5","7","2.13","2.41","1","7","1","1"
"2016","Single parent","Rural Area","1.56","1","111","1","1","1","4","7","1.31","1.81","1","7","1","1"
