"year","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","2.87","3","20632","2.85","2.89","1","1","4","5"
"2006","","","","","","","","",""
"2007","","","","","","","","",""
"2008","","","","","","","","",""
"2009","","","","","","","","",""
"2010","2.9","3","16632","2.88","2.92","1","2","4","5"
"2011","","","","","","","","",""
"2012","","","","","","","","",""
"2013","","","","","","","","",""
"2014","","","","","","","","",""
"2015","2.52","2","26716","2.5","2.54","1","1","3","5"
"2016","1.95","1","4324","1.91","1.99","1","1","2","4"
"2017","1.7","1","2837","1.65","1.75","1","1","2","4"
"2018","1.7","1","411","1.54","1.86","1","1","1","4"
"2019","1.9","1","275","1.71","2.09","1","1","2","4"
