"year","regtyp","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","Female","18420.87","17566.2","1161","0","0","28121","37887","65701","17332.07","19509.67","0","266639","19761","21807"
"1985","Rural Area","Male","23722.61","21705.59","1123","0","10635","31700","43971","92657","22365.89","25079.33","0","359884","22088","24210"
"1985","Urban Area","Female","19877.68","18188.54","4471","0","0","30882","43616","76694","19330.83","20424.53","0","271803","21423","22650"
"1985","Urban Area","Male","24543","23124.75","4332","0","12364","34328","47601","79240","23974.56","25111.44","0","358109","24031","24849"
"1986","Rural Area","Female","20472.83","19326.34","1115","0","0","29901","41824","79848","18979.77","21965.89","0","448945","21986","24115"
"1986","Rural Area","Male","24753.45","22865","1070","0","10763","33407","46170","83132","23172.3","26334.6","0","448945","23536","25258"
"1986","Urban Area","Female","19997.76","18764","4262","0","0","32012","43511","77777","19440.41","20555.11","0","210703","22495","23673"
"1986","Urban Area","Male","24868.7","23315.98","4196","0","12271","35330","47862","82774","24319.2","25418.2","0","210703","24798","26153"
"1987","Rural Area","Female","20262.3","19392.23","1110","0","0","30831","43360","76387","19158.94","21365.66","0","206521","22534","24996"
"1987","Rural Area","Male","24436.67","23090","1050","0","11018","35484","48368","78079","23292.53","25580.81","0","206521","24389","26605"
"1987","Urban Area","Female","20945.02","19830.19","4197","0","0","32927","45959","89016","20362.93","21527.11","0","186673","23531","24900"
"1987","Urban Area","Male","26047.67","24542.71","4156","0","13294","37018","49319","94441","25470.33","26625.01","0","186673","26076","27329"
"1988","Rural Area","Female","20704.86","19925.61","1033","0","0","32472","45173","70349","19575.55","21834.17","0","147446","22614","25820"
"1988","Rural Area","Male","25131.12","23777.65","991","0","12271","36506","48278","81091","23984.97","26277.27","0","147446","25156","27763"
"1988","Urban Area","Female","21651.44","20109.18","4035","0","0","34001","47234","85769","21018.46","22284.42","0","310964","23980","25411"
"1988","Urban Area","Male","26990.3","25396.99","3963","0","13815","38228","50976","94525","26375.31","27605.29","0","187082","26239","27610"
"1989","Rural Area","Female","22078.69","21228","971","0","0","33933","48343","81398","20724.7","23432.68","0","301361","24378","27405"
"1989","Rural Area","Male","27061.76","25778.52","952","0","12387","37714","52330","86664","25719.01","28404.51","0","301361","26797","29425"
"1989","Urban Area","Female","23079.89","21219","3957","0","0","35821","50357","99205","22391.37","23768.41","0","296956","25156","26894"
"1989","Urban Area","Male","28607.03","26580.13","3829","0","14650","39821","53379","113430","27907.18","29306.88","0","276098","27917","29144"
"1990","Rural Area","Female","22692.94","21081.36","978","0","0","35075","49340","86219","21339.17","24046.71","0","218336","24323","27722"
"1990","Rural Area","Male","28273.79","26629.01","940","0","14112","39742","54779","88709","26908.02","29639.56","0","218336","28211","30665"
"1990","Urban Area","Female","24412.99","22455.06","3849","0","0","37222","51743","100135","23635.39","25190.59","0","473150","26470","28121"
"1990","Urban Area","Male","30060.18","28223","3750","0","15339","41124","55163","113347","29252.77","30867.59","0","473150","29348","30627"
"1991","Rural Area","Female","23157.02","21497.22","989","0","0","36032","50822","80475","21773.32","24540.72","0","278603","25162","28658"
