"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","21404.16","20371.37","12231","0","3579","31516","42895","76625","21064.15","21744.17","0","290361","21934","22599"
"1985","21801.43","20490.76","11087","0","2812","31981","45045","77651","21439.91","22162.95","0","359884","22599","23392"
"1986","22345.31","21091","10643","0","2454","33190","45061","80211","21961.81","22728.81","0","448945","23734","24542"
"1987","23099.81","21934","10513","0","3068","34666","47229","87245","22734.29","23465.33","0","206521","24900","25673"
"1988","23873.06","22701","10022","0","3068","35825","48363","85769","23484.04","24262.08","0","310964","25411","26089"
"1989","25426.61","23774.71","9709","0","3573","37300","51743","99205","24988.96","25864.26","0","301361","26894","27763"
"1990","26722.39","24961","9517","0","5113","38933","52764","101901","26233.78","27211","0","473150","28172","29056"
"1991","27543.53","25627.19","9466","0","4704","40551","55935","102534","27073.53","28013.53","0","324668","29116","30115"
"1992","26807.58","24181.69","13391","0","5829","40034","56907","99242","26430.32","27184.84","0","304729","26076","26914"
"1993","28321.99","25563.79","13178","0","5026","42488","60013","101849","27906.37","28737.61","0","404432","27823","28831"
"1994","28897.72","26892","12944","0","3784","43817","61355","101082","28471.52","29323.92","0","301560","29723","30678"
"1995","28644.46","25880.5","13370","0","1698","43816","62459","105693","28211.38","29077.54","0","390116","29387","30422"
"1996","29621.53","26356.1","13125","0","511","45709","64862","113333","29164.53","30078.53","0","433269","29902","30780"
"1997","29475.85","26467","12915","0","235","45818","64826","110163","29012.59","29939.11","0","356862","30362","31299"
"1998","29769.73","26649","14327","0","0","45822","65928","111645","29315","30224.46","0","564977","30288","31240"
"1999","30590.45","27252.19","13768","0","0","47134","67565","119142","30122.62","31058.28","0","330117","30824","31905"
"2000","31559.53","28053.57","24266","0","0","48470","69536","127004","31168.28","31950.78","0","614039","30934","31858"
"2001","31814.1","28327.43","22063","0","0","49053","70328","130124","31392.11","32236.09","0","492828","31700","32518"
"2002","31684.49","27300","23157","0","0","47800","69267","145200","31126.1","32242.88","0","950298","34913","35938"
"2003","32420.47","27910","22297","0","0","49690","72350","150470","31866.11","32974.83","0","540000","35200","36177"
"2004","31846.32","27021.08","21733","0","0","48954","71283","143283","31281.69","32410.95","0","785424","34500","35760"
"2005","32013.12","27604.23","20812","0","0","49510","72600","139439","31455.69","32570.55","0","579999","33800","35200"
"2006","32323.71","26725","22381","0","0","49800","73194","152760","31766.32","32881.1","0","992880","32500","33720"
"2007","32953.61","27600","20965","0","0","50610","74850","148185","32362.46","33544.76","0","604825","32980","34370"
"2008","33982.12","28900","19686","0","0","52404","76700","158639","33375.59","34588.65","0","906996","33100","34794"
"2009","35308.56","29960","18363","0","0","53151","79997","161107","34611.59","36005.53","0","1220406","33600","35000"
"2010","35485.18","29645.75","24432","0","0","54000","82200","161990","34949.7","36020.66","0","720000","32115","33450"
"2011","36957.14","30000","29015","0","0","56398","84327","174748","36443.18","37471.1","0","950000","32400","33540"
"2012","38017.24","30937.62","28276","0","0","57675","86692","175500","37405.94","38628.54","0","2612459","33040","34200"
"2013","38333.85","30300","31316","0","0","59000","88841","173290","37795.1","38872.6","0","1877400","33893","34840"
"2014","39166.52","30900","27786","0","0","60005","90000","180412","38593.7","39739.34","0","2377356","34800","36000"
"2015","39642.26","31800","27512","0","0","61941","93000","170906","39101.68","40182.84","0","1884495","34900","36000"
"2016","41306.85","33300","24957","0","600","63100","95195","196450","40643.73","41969.97","0","2942079","36000","37300"
"2017","41998.1","33960","29452","0","123","65050","96550","186544","41434.91","42561.29","0","1443616","34800","36000"
"2018","43467.6","34940","29890","0","120","67000","99400","194370","42868.32","44066.88","0","1389898","30800","32400"
"2019","45890.58","37400","29667","0","1520","69300","104100","201188","45089.45","46691.71","0","1708102","36699","38421"
