"year","bula_h","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Baden-Württemberg","East Germany","","","","","","","","","","","","","",""
"1984","Baden-Württemberg","West Germany","23925.78","22407.47","2270","0","9837","32876","45345","87124","23075.77","24775.79","0","264849","23870","25539"
"1984","Bavaria","East Germany","","","","","","","","","","","","","",""
"1984","Bavaria","West Germany","21667.7","21255","2108","0","6749","31843","42437","75671","20921.32","22414.08","0","220878","21883","23402"
"1984","Berlin","East Germany","","","","","","","","","","","","","",""
"1984","Berlin","West Germany","20074.84","19848","411","0","0","30780","39523","56249","17338.58","22811.1","0","250028","21578","26562"
"1984","Brandenburg","East Germany","","","","","","","","","","","","","",""
"1984","Brandenburg","West Germany","","","","","","","","","","","","","",""
"1984","Bremen","East Germany","","","","","","","","","","","","","",""
"1984","Bremen","West Germany","10039.75","0","132","0","0","17225","30889","100622","7196.34","12883.16","0","100622","1892","14418"
"1984","Hamburg","East Germany","","","","","","","","","","","","","",""
"1984","Hamburg","West Germany","18888.71","17946","311","0","0","30350","43746","75825","16858.48","20918.94","0","79088","18611","22701"
"1984","Hesse","East Germany","","","","","","","","","","","","","",""
"1984","Hesse","West Germany","22794.08","21489.48","1252","0","5092","35177","46834","68002","21620.7","23967.46","0","290361","22088","23622"
"1984","Lower Saxony","East Germany","","","","","","","","","","","","","",""
"1984","Lower Saxony","West Germany","19708.47","19005.49","1236","0","2470","30079","39210","64820","18772.86","20644.08","0","138662","19582","21372"
"1984","Mecklenburg-Western Pomerania","East Germany","","","","","","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","West Germany","","","","","","","","","","","","","",""
"1984","North Rhine-Westphalia","East Germany","","","","","","","","","","","","","",""
"1984","North Rhine-Westphalia","West Germany","21484.87","20094","3270","0","2556","30702","42539","79762","20845.73","22124.01","0","225173","21075","22088"
"1984","Rhineland-Palatinate,Saarland","East Germany","","","","","","","","","","","","","",""
"1984","Rhineland-Palatinate,Saarland","West Germany","20426.41","19634","854","0","1227","29933","42872","76071","19312.74","21540.08","0","107558","20707","22856"
"1984","Saxony","East Germany","","","","","","","","","","","","","",""
"1984","Saxony","West Germany","","","","","","","","","","","","","",""
"1984","Saxony-Anhalt","East Germany","","","","","","","","","","","","","",""
"1984","Saxony-Anhalt","West Germany","","","","","","","","","","","","","",""
"1984","Schleswig-Holstein","East Germany","","","","","","","","","","","","","",""
"1984","Schleswig-Holstein","West Germany","20138.25","17738.76","387","0","3567","30984","43981","60332","18504.48","21772.02","0","69011","18279","22477"
"1984","Thuringia","East Germany","","","","","","","","","","","","","",""
"1984","Thuringia","West Germany","","","","","","","","","","","","","",""
"1985","Baden-Württemberg","East Germany","","","","","","","","","","","","","",""
"1985","Baden-Württemberg","West Germany","23410.86","22292","2057","0","8508","33438","46273","77651","22672.71","24149.01","0","110469","24481","25820"
"1985","Bavaria","East Germany","","","","","","","","","","","","","",""
"1985","Bavaria","West Germany","22940.84","21725","1915","0","6136","32595","45364","92657","22007.81","23873.87","0","359884","23401","25367"
"1985","Berlin","East Germany","","","","","","","","","","","","","",""
