"year","migback","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","direct migration background","Rural Area","20642.2","20624.82","348","0","11785","28326","36167","76481","19143.03","22141.37","0","106896","20844","23622"
"1985","direct migration background","Urban Area","22411.2","20607.22","2597","0","13212","30882","41082","65650","21877.64","22944.76","0","157474","22548","24005"
"1985","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1985","indirect migration background","Urban Area","19803.99","19581.57","127","0","10025","27805","37580","50669","17525.02","22082.96","0","54928","22752","28377"
"1985","no migration background","Rural Area","20983.99","19736","1919","0","1227","29911","41389","76694","19986.59","21981.39","0","359884","21423","22211"
"1985","no migration background","Urban Area","22040.44","20630","6079","0","1365","32820","46497","78943","21517.28","22563.6","0","358109","22804","23928"
"1986","direct migration background","Rural Area","21668.18","21986","357","0","13641","29757","40776","56677","20279.05","23057.31","0","62797","22548","24968"
"1986","direct migration background","Urban Area","22643.62","21270","2499","0","13600","32365","40699","71734","22097.18","23190.06","0","121649","23519","25156"
"1986","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1986","indirect migration background","Urban Area","19914.05","20129.62","137","0","8951","29420","39753","65246","17148.85","22679.25","0","69747","21730","29420"
"1986","no migration background","Rural Area","22540.75","20889.49","1809","0","2480","32007","44661","83132","21257.73","23823.77","0","448945","22906","24542"
"1986","no migration background","Urban Area","22274.04","20963","5822","0","997","33694","46113","80211","21758.3","22789.78","0","210703","23586","24808"
"1987","direct migration background","Rural Area","23332.19","23240.47","363","0","11018","34410","42182","60409","21549.77","25114.61","0","109825","24644","29226"
"1987","direct migration background","Urban Area","23769.53","22849.22","2480","0","14163","33822","43830","66734","23189.79","24349.27","0","105224","24747","26229"
"1987","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1987","indirect migration background","Urban Area","21475.44","22292.61","156","0","12936","30138","39308","62383","19036.63","23914.25","0","66468","22906","27917"
"1987","no migration background","Rural Area","22155.95","21212","1776","0","2556","32927","46078","78079","21264.43","23047.47","0","206521","23090","25156"
"1987","no migration background","Urban Area","23318.58","21934","5717","0","1227","35379","48638","92902","22776.7","23860.46","0","186673","24900","25974"
"1988","direct migration background","Rural Area","22915.89","22845.24","334","0","11760","32953","43018","59031","21228.7","24603.08","0","80501","23724","28121"
"1988","direct migration background","Urban Area","24465.8","23332.11","2356","0","14163","34538","46037","72779","23821.23","25110.37","0","128079","24849","26127"
"1988","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1988","indirect migration background","Urban Area","22117.45","22088","195","0","10507","32545","40791","65892","19610.48","24624.42","0","128079","23021","27252"
"1988","no migration background","Rural Area","22803.1","21860.74","1661","0","2991","34359","47806","80011","21888.86","23717.34","0","147446","23775","26344"
"1988","no migration background","Urban Area","24164.74","22804","5447","0","984","36603","49327","93152","23584.44","24745.04","0","310964","25513","26485"
"1989","direct migration background","Rural Area","23851.65","24000.83","316","0","11964","35433","41977","63739","22028.13","25675.17","0","93362","25493","30115"
"1989","direct migration background","Urban Area","26017.45","24153.51","2290","0","14367","35228","45761","107105","25294.88","26740.02","0","272876","26792","28172"
"1989","indirect migration background","Rural Area","25067.45","22381.01","32","0","19092","33041","39625","93362","17673.16","32461.74","0","93362","21474","38550"
"1989","indirect migration background","Urban Area","24953.75","26790.67","228","0","12885","33502","45761","63866","22670.55","27236.95","0","97539","27712","31444"
"1989","no migration background","Rural Area","24533.49","23683.43","1575","0","614","36187","51226","83903","23435.25","25631.73","0","301361","25745","27942"
"1989","no migration background","Urban Area","25659.61","23683","5268","0","2209","38500","52765","110439","25011.05","26308.17","0","296956","26536","27840"
"1990","direct migration background","Rural Area","25054.36","24614.28","317","0","13089","34924","46119","70783","23018.63","27090.09","0","101236","26894","32232"
"1990","direct migration background","Urban Area","26986.75","24822.3","2234","0","14827","36813","48919","87178","26182.4","27791.1","0","368870","28019","29553"
"1990","indirect migration background","Rural Area","28080.65","25727.41","37","0","20835","38705","51896","70783","22156.94","34004.36","0","79779","24323","42182"
"1990","indirect migration background","Urban Area","27551.98","27932.22","259","0","14889","38316","48327","69178","25288.78","29815.18","0","105940","29962","34781"
"1990","no migration background","Rural Area","25397.09","23392","1564","0","4761","37195","51681","87942","24298.8","26495.38","0","218336","26181","28470"
"1990","no migration background","Urban Area","27115.67","25341.87","5106","0","3298","39881","53865","107709","26366.67","27864.67","0","473150","27917","29195"
"1991","direct migration background","Rural Area","26208.7","25862.32","313","0","15391","37887","48777","70252","24277.65","28139.75","0","76326","29144","34666"
"1991","direct migration background","Urban Area","28407.62","26587","2188","0","15646","40085","51998","94384","27603.03","29212.21","0","324668","29655","31496"
"1991","indirect migration background","Rural Area","30854.63","31176.49","42","0","20554","46712","58902","65445","25023.66","36685.6","0","76326","30444","46712"
"1991","indirect migration background","Urban Area","29255.37","30515.89","307","0","15013","42169","52152","79813","27093.25","31417.49","0","94500","31470","36394"
"1991","no migration background","Rural Area","26185.24","24562.32","1597","0","2914","38112","54447","86832","25061.82","27308.66","0","278603","27011","29254"
"1991","no migration background","Urban Area","27844.28","25637","5019","0","1902","41415","57751","113947","27137.19","28551.37","0","324668","28464","30011"
"1992","direct migration background","Rural Area","23547.22","22587.35","401","0","6289","36485","46224","77227","21585.49","25508.95","0","98168","25309","29686"
